speaker,q&a,content
Company Participants,0,"Renee Leck - Director, Investor Relations
Mark Rothera - President, Chief Executive Officer
Bobby Gaspar - Chief Scientific Officer
Frank Thomas - Chief Financial Officer and Chief Business Officer"
Conference Call Participants,0,"Anupam Rama - JPMorgan
Ritu Baral - Cowen
David Nierengarten - Wedbush Securities
Graig Suvannavejh - Goldman Sachs"
Operator,0,"Good day, ladies and gentlemen, and welcome to the Orchard Therapeutics First Quarter 2019 Earnings Call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session and instructions will be given at that time. [Operator Instructions] And as a reminder, today’s conference call is being recorded.
I’d now like to turn the conference over to Renee Leck, Director of Investor Relations. Please go ahead."
Renee Leck,0,"Thanks, operator. Good morning, everyone, and welcome to Orchard's first quarter 2019 investor update. You can access slides from today's call by going to the investors section of our website orchardtx.com.
Before we get started, I'd like to remind everyone that statements we make on this call will include forward-looking statements. Actual events and results could differ materially from those expressed or implied by any forward-looking statements, as a result of various risk factors uncertainties, including those set forth in the most recent Form 20-F filed with the SEC, and any other filings that we may make.
In addition, any forward-looking statements made on this call represent our views only as of today and should not be relied upon as representing our views as of any subsequent date. We specifically disclaim any obligation to update or revise any forward-looking statements.
With that, I'll turn the call over to President and CEO Mark Rothera."
Mark Rothera,0,"Thanks, Renee. Welcome everyone and I hope many of you enjoyed a long holiday weekend. On today’s call, we plan to update you on the progress we have made over the last quarter and discuss this morning’s exciting announcements related to the expansion of our Neurometabolic Disease Portfolio with a new clinical-stage program. Before we dive into the recent news, I’ll spend just a few minutes reminding you about Orchard’s vision and our scientific platform.
We are a pureplay gene therapy company with a focused approach and singular vision transforming the lives of patients with life-threatening diseases around the world. Our expertise lies in developing ex vivo autologous hematopoietic stem cell or HSC gene therapies with a focus today on rare genetic diseases, a platform technology that has been clinically validated. Recall that we now have clinical proof of concept in five programs in five different disease areas across three different physiological systems.
The majority of our remarks today will focus on our neurometabolic franchise because of this morning’s news, but we also have programs in primary immune deficiencies and hemoglobinopathies. In the primary immune deficiencies area, we are preparing regulatory filings in two diseases, ADA-SCID with an FDA filing anticipated in 2020 and Wiskott-Aldrich syndrome, or WAS, with FDA and EMA filings anticipated in 2021.
In addition, we declared clinical proof of concept in X-CGD at ASH in December last year and are making good progress in designing the registration trial and end points that we would like to discuss with regulators in the coming quarters. Our program in transfusion-dependent, beta-thalassemia also recently achieved clinical proof of concept, and as next steps we intend to design a pivotal trial, conduct further CMC process development work, and engage regulators.
As a reminder, this program has prime designation in Europe. With over 150 patients treated across our portfolio and follow-up showing durability of response going out to 8 years or more, we believe we have one of the most robust and comprehensive clinical datasets in the field of gene therapy.
In addition, the Orchard team has a deep understanding of developing and commercializing medicines to treat rare diseases that will be invaluable as we continue to expand our global footprint and prepare for multiple potential product launches over the next two to three years.
Turning to this morning’s news, I’m thrilled by the progress and expansion of our neurometabolic diseases franchise where we have three unique news items to talk about. First, we secured an exclusive worldwide license for six clinical-stage, gene-therapy program in MPS-I to add to our portfolio.
Second, we brought forward the regulatory timeline for our MLD program in Europe. And finally, we wanted to draw your attention to some encouraging news out of the University of Manchester where the first patient with Sanfilippo Syndrome Type A or MPS-IIIA was treated under a Specials license. Early signs of the treatment are positive, and Bobby will share more details shortly.
Now, let’s focus on our MPS-I deal announcement. We have entered into a new collaboration with the Fondazione Telethon and Ospedale San Raffaele in Milan, Italy that includes a program with exciting clinical data using ex vivo HSC gene therapy technology. This collaboration gives us another clinical-stage asset in neurometabolic diseases and an opportunity to help patients with a highly debilitating condition, which impacts cognitive cardiovascular and skeletal functions amongst other serious complications, and for which the current standard of care is inadequate. Bobby will say more about this in his remarks.
I want to congratulate the team within Orchard that drove this transaction to completion and look forward to our expanded relationship with our partners in Milan as we bring their science through development and onto the market to treat MPS-I patients. We built Orchard systematically to be a company driven by innovation with an intense focus on the patient. 
That helped us secure the GSK gene therapy portfolio last year and continues to make us a partner of choice for companies and academic centers driven by a common purpose of delivering these potentially transformative medicines to the patient. We will continue to be opportunistic to seek out and secure exciting programs that leverage our platform and capabilities.
Next is our most advanced program in the neurometabolic disease franchise, metachromatic leukodystrophy or MLD, a rapidly progressing condition characterized by a devastating loss of motor and cognitive function [often at a] very young age. OTL-200 has shown impressive clinical results in this indication and is approaching its first regulatory filing in Europe.
As we announced this morning, we conducted a positive pre-MAA meeting with European Medicines Agency in early May. We are now bringing forward our submission to the first half of 2020 narrowing our previous guidance. Our goal is to get this therapy to patients as rapidly as possible not only in Europe, but in the U.S. and markets around the world.
Further cementing our leadership in the neurometabolic diseases arena, we have declared that a proof of concept clinical trial in the third condition MPS-IIIA will be starting this year. Our partners at the University of Manchester from whom we licensed our MPS-IIIA program have recently shared some exciting news on the first patient to be treated with ex vivo HSC gene therapy.
This patient was treated under a Specials license granted by the U.K. government and outside of our clinical protocol, and we’re encouraged by the results to date. We look forward to the initiation of the trial later this year after a CTA filing. Beyond the exciting news in neurometabolic diseases, we’ve also made significant progress executing on our 2019 plan, including the achievement of several important milestones thus far this year. 
In addition to the transfusion dependent beta-thalassemia proof-of-concept data I mentioned previously; we have provided multiple data releases for our lead programs. Most recently, we presented the registration dataset in MLD at the European Blood and Marrow Transplant meeting in March.
We’re also pleased to have dosed the first patient in a clinical trial for WAS using the cryopreserved formulation of OTL-103. This is in line with our strategy to launch with a cryopreserved formulation for all of our products. Recall, the registrational trials for our lead three programs were conducted using a fresh formulation. For the rest of our time together, we will use the following agenda.
Next up, Bobby Gaspar, our Chief Scientific Officer will discuss the progress in our neurometabolic franchise in more detail. Frank Thomas, our Chief Financial Officer and Chief Business Officer will then review our first quarter financial results and provide more detail about our new credit facility, which we also announced today and how that impacts our cash runway. I’ll return to close with some commentary of our current view of the market opportunity addressed by our portfolio and review our remaining 2019 milestones. Bobby?"
Bobby Gaspar,0,"Thank you, Mark and hello everyone. I’d first like to spend some time reminding you of the technology and the approach [we are using] across our entire gene therapy portfolio. And then give you some insights into the three neurometabolic programs where we have some very encouraging news to share today.
Third, let’s take a step back. Our approach is to use ex vivo autologous hematopoietic stem cells or HSCs to deliver gene modified cells to patients with very severe rare diseases. This approach is very powerful because HSCs are self-renewing. This means once engrafted in the bone marrow, the HSC continues to self-renew and give rise to gene modified progeny, which is why we see the durability effect across each of our rare disease indications.
The other important characteristic of HSC is that they have the ability to become multiple different cell lineages, including cell with immune system, red blood cells, platelets, and macrophages, which gives us the opportunity to correct multiple cell-types and therefore correct multiple different diseases.
Most importantly for what we are going to talk back today, a subset of HSC is going across the blood bank barrier through a natural process to become microglia in the brain. This is very important to CNS related conditions because by correcting HSCs we can correct microglia and therefore deliver genes and enzymes in the brain that allow for the correction of severe neurogenerative diseases. This is an extremely exciting prospect that has already been demonstrated in pre-clinical models.
Now, let me talk about MLD where we have demonstrated the application of our HSC platform in the clinical setting. As we announced this morning, earlier to this month, we had a positive pre-MAA meeting with the EMA for MLD. We are now brining forward our targeted submission to the first half of 2020. The acceleration of the MAA submission time line for MLD during the specially exciting development for this deadly disease given that there are no effective treatment options available for patients.
Enzyme replacement therapy is not an option due to the inability of ERT to cross the blood-brain barrier, and allogenic transplantation is associated with significant limitations in a severe neurogenerative condition such as this. We are committed to commercializing our therapies globally for the benefit of our patients.
We plan on leveraging the MAA into a biological license application with the FDA. We’re currently undertaking development activities to bridge from the EU to U.S. regulatory requirements in anticipation of this filing. Based on our current expectations our plan is to file the PLA approximately a year after the MAA submission.
Let me briefly remind you about the date in this program. We presented strong clinical data at the European Society for Blood and Marrow transplantation meeting in March from 20 early onset MLD patients from the registrational trial that have all reached the study's primary endpoint. This data demonstrates significant correction of both the most function and cognitive function in comparison with patients in a natural history cohort.
Also, insertion site analysis presented the American Society of gene and cell therapy supported the safety of using HSC gene therapy in this condition with no evidence of clonal dominance. In anticipation of our upcoming filing, we’re well in the progress of transitioning this program from a fresh cell formulation, which is a cryopreserved formulation, that we plan to use in the commercial setting.
Indeed, four patients have already been dosed in our ongoing client preserve formulation trial and we plan to present a graph and data by the end of this year. The potentially transformative effect that we’ve seen an MLD is one reason we feel this HSC gene therapy approach can be applied to other neurometabolic diseases. That is why we are extremely excited to share our news about MPS-I. The only ex vivo autologous HSC gene therapy program, currently in clinical development.
We previously had an auction to license this program as part of our April 2018 transaction with GSK. However, given the exciting data emerging in patients, which was recently showcased at last month’s ASGCT meeting, we made the strategic decision to fully license the clinical stage program as part of an expanded collaboration with Fondazione Telethon and Ospedale San Raffaele. The same partners for our program in MLD, WAS and transfusion dependent beta-thalassemia.
Now, let me talk a little bit about MPS-1. This is a condition, which is caused by mutations in the IDUA gene, an enzyme that breaks down lysosomal storage products. The absence of the enzyme means that there is a buildup of the storage compounds in multiple different systems of the body. This is a multi-systemic disease that affects the skeleton, the joints, the heart, and importantly in its most severe form, known as Hurler syndrome, could affect the brain and cause a significant neurodegeneration.
The underlying disease genotype requires effective correction of multiorgan systems, including central nervous system. Current treatment strategies including enzyme replacement therapy and allogeneic transplantation have multiple limitations. There is limited efficacy with ERP. Due to its inability to cross the blood-brain barrier and correct the underlying neurodegenerative genotype, which is one of the most significant characteristics of the disease.
Allogeneic transplantation also has limitations, and works best when patients are treated at a young age and when IDUA enzyme activity is restored to normal levels. Transplantation also comes with risks and morbidity and mortality most commonly related to other reactivity. Our approach, similar to that which is being used so successfully in MLD is to over express the IDUA gene in autologous HSCs and then deliver those gene modified cells intravenously to patients with the severe disease. This approach allows gene modified cells to produce high level of the IDUA enzyme to correct the peripheral problems. 
The gene corrected HSCs also cross the blood-brain barrier become microglia, and secrete enzyme in the brain that leads to long term correction of neurological defects. This approach has produced encouraging preliminary clinical data in MPS-I patients who have been treated with autologous gene modified cells. As our partners at the San Raffaele Telethon Institute for gene therapy presented at ASGCT just a few weeks ago, I will summarize.
A total of four patients, all under the age of three have been treated today with gene therapy. These patients all had the severe Hurler form of the disease, with advanced features such as corneal clouding, carpal tunnel syndrome, umbilical hernia, kyphosis of the thoracolumbar spine, and knee contractures.
The selected conditioning regime was well-tolerated in all patients. Engraftment in the bone marrow and periphery by assessment of the vector copy number was seen in the first two patients with sufficient follow-up to assess these parameters. In the patient with the longest follow-up of nine months, we observed supranormal IDUA enzyme expression in the cerebrospinal fluid confirming the overexpression we’re looking to achieve with this approach. Rapid metabolic correction of gag levels in the CNS and urine suggest peripheral and central correction at this early time point.
Clinically, the patient is more interactive, with improved motor skills, regression of corneal clouding and upper airway congestion, and has resumed growth, suggesting clinical improvement. We look forward to updating you on this proof of concept trial. We expect to complete enrolment of up to 8 patients in the first half of 2020. One-year follow-up data will be available in 2021.
The last update I’d like to give you intend neurometabolic space is in Sanfilippo A and B, also known as MPS-IIIA and MPS-IIIB. These are pre-clinical programs licensed from the University of Manchester. MPS-IIIA and MPS-IIIB are life thermal storage disorders where similar to MPS-I and enzymatic defect leads to buildup of life thermal storage compounds and results in severe cognitive defects.
In MPS-IIIA, which is caused by mutations in the SGSH gene, disease onset leads to severe motor and cognitive impairment. Patients showed deteriorating function and are often confined to wheelchairs with mortality in the later teens and early 20s. This is another disease like MLD with no effective treatment options.
We believe our ex vivo HSC gene therapy approach, which has produced compelling clinical results in MLD and now early data in MPS-I will have significant clinical benefit in this disease. We’re on track to file a clinical trial application and expect the trial to open for enrolment at the University of Manchester later this year.
In the meantime, as Mark mentioned, the University of Manchester recently treated its first MPS-IIIA patient under physician-initiated Specials license. The UK government grants such licenses for the use of unlicensed pharmaceutical product in situations of high unmet need when there is no other treatment option available.
Data [at three-month in this patient] suggest the successful engraftment of gene modified HSCs and overexpression of SGSH enzyme. This is an exciting development, especially as we embark upon a trial in MPS-IIIA with the same research team later this year, utilizing the same technology and procedures that were used to treat this patient.
We wish the family and investigators well with the treatment of this patient. We have also licensed an MPS-IIIB program from the University of Manchester which uses the same technology. This program has also shared preclinical proof of concept and this data was recently presented at ASGCT.
In closing, and summarize, we’re excited to add MPS-I to our portfolio of now six clinical stage programs. To advance our timing for the MLD European regulatory filing and to move the MPS-IIIA program into the clinic this year on the heels of the encouraging data generated by the University of Manchester.
Let me now hand over to Frank to make his remarks."
Frank Thomas,0,"Thanks, Bobby. 2019 has already been a very busy year for Orchard and today was no exception. Financially, we also have some new news to report with the addition of new capital to strengthen our cash position. We remain well-capitalized to execute our business plan. As we build out our portfolio, our manufacturing capabilities, and the commission footprint, we have continued to find ways to finance the growth with the most attractive cost of capital available.
Today, we announced that we entered into a five-year senior credit facility with MidCap Financial, which builds on an already strong balance sheet and investor base. We ended Q1 with a cash position of approximately 300 million and this new capital available under the credit facility plus our current cash balance provides runway extension now into 2021.
The facility allows us to borrow up to 75 million with 25 million funded at closing and 50 million accessible in two tranches upon the achievement of certain clinical and regulatory milestones in the next 24 months. There is an interest only period of up to 36 months and the coupon rate is LIBOR plus 6%.
So, we believe we’ve secured capital and an attractive cost to the company and the interest only period allows us to utilize this capital to achieve additional milestones with a minimal impact on our near-term burn rate. You might recall our commitment to build our manufacturing facility in Freemont, California. This credit facility will support some of that investment in construction and equipment with a non-equity-based source of capital.
As with the rest of our business plan, we are taking a strategic approach to manufacturing. This includes leveraging our existing CMO relationships for our first three potential product launches, while preparing to bring the Fremont manufacturing site online for the other programs in our pipeline such as X-CGD, transfusion-dependent beta-thalassemia, and the multiple preclinical programs we are advancing. This manufacturing strategy enables us to own and manage our capacity needs while establishing redundancies in the commercial supply chain for our initial launches.
As part of the strategy, we are also undertaking work to improve the efficiency of both drug product and vector production by utilizing new technologies in the gene therapy space with transduction enhancers, stable cell lines, and automated cell processing. These innovations will reduce the cost of goods for our HSC gene therapy products over the long-term and deliver optimal therapies to patients as quickly and efficiently as possible.
Mark already touched on our focus to find new and complementary programs as part of our business development strategy. And we are committed to doing this in a capital efficient way. The MPS-I deal structure with a small upfront payment followed by success-based future milestone payments and royalties on net sales enables us to balance risk, while maximizing the potential of the program. And because we’ve grown our capabilities around the world, we are continuing to see opportunities for new programs.
We remain focused on bringing in programs where we have a high probability to succeed and were appropriate value can be delivered to our shareholders. The MPS one program and deal structure represents a good example of this strategy. You can find the full financial results for the first quarter in this morning's press release, which I will briefly highlight here. R&D expenses were 17.5 million for the first quarter of 2019, compared to 9.2 million in the same period in 2018.
The increase was primarily driven by cost associated with clinical stage programs acquired from GSK in April 2018. SG&A expenses were 10.8 million for the first quarter of 2019, compared to 4.5 million in the same period in 2018. This increase was primarily due to personnel cost to support public company operations, as well as cost to market Strimvelis and prepare for the potential commercialization of three late stage development programs.
We used about 40 million of cash in the first quarter of 2019, which included a significant pay down of 2018 accrued expenses. Some related to deferred payments on the GSK transaction for inventory and transition services.
And with that, I'll now turn the call back over to Mark."
Mark Rothera,0,"Thanks, Frank. I want to close by spending a few minutes discussing three areas. The market opportunity for our clinical stage programs, patient identification efforts, and market access preparations. First, let’s cover the market opportunity for our primary immune deficiencies and neurometabolic diseases clinical stage programs.
Based on ongoing work by our commercial team and with the addition of the MPS-I program, we now estimate that the market opportunity for the six programs in these two franchises is over $3 billion per year. This is based only on the infant populations and only covers countries that reimburse orphan drugs. This does not take into account the various factors that will ultimately define the number of addressable patients for each indication.
I’ll speak to efforts underway for two of these factors; patient identification and market access in a moment. Prevalent populations also exist for each of these indications and our estimates now include ADA-SCID, MLD, MPS-I, and MPS-IIIA. These prevalent populations along with X-CGD and WAS represent additional revenue potential.
Our clinical program in transfusion-dependent beta-thalassemia recently achieved proof of concept and we estimate that there are 5,000 incidents and approximately 150,000 prevalent patients respectively in countries that reimburse orphan drugs. Given the size of the patient population, we see potential for significant revenue generation in this indication for our program.
As our lead programs in ADA-SCID, MLD approach their first regulatory filings, we have a few key initiatives in mind as we prepare the ground for multiple upcoming launches. The first involves patient identification. We are deploying a two-pronged effort focused on education around early symptoms and also newborn screening. For ADA-SCID, our focus is on educating the patient and physician community around symptomatology that is well documented in the literature.
ADA-SCID is also listed on the recommended uniform screening panel in the US known as RUSP. Newborn screening has been adopted in all 50 US states and has been implemented or is in the pilot stage in over 10 other countries. For MLD, much of this work is underway as we look to define early signs of the disease and then make these more widely known through collaboration with physicians and patient organizations. This could shorten the time to diagnosis. A well-characterized assay and pilot studies for newborn screening are also in development.
Now, let me spend a few minutes sharing our views about market access. These are extremely valuable therapies that have the potential to transform patients’ lives with a single administration. The durability of outcomes demonstrated to date reinforces this notion. Our goal is to get these therapies to many as appropriate patients as possible as fast as possible. 
Right now, scientific innovation is evolving faster than the structures in place to pay for these ones and done therapies. Our near-term focus is on creatively working with the current system to offer a flexible range of payment options that meet the needs and preferences of our various payer partners. These options include, but will not be limited to at-risk arrangements, which we’re comfortable with given the sustained outcomes we’re seeing.
At the same time, we are also collaborating more broadly with payors, policymakers, advocates, and think tanks to evolve the current payment system to better reflect the different paradigm created by these once and done therapies. For instance, we are really active in the MIT NEWDIGS financing of cures in the US initiative, where we partner with stakeholders across the continuum of health care to identify tests and implement some very novel approaches to paying for these therapies.
Before we open the line for Q&A, I’d like to remind you of the important list of milestones we remain on track to achieve by the end of 2019. Firstly, present data from the cryopreserved product formulation studies for OTL-200 in MLB OTL-101 for ADA-SCID. Secondly, published three-year follow-up data in 8 patients from the registrational trial for OTL-103 for WAS.
And finally, design and engage regulators on the registrational trial for OTL-102 for patients with X-CGD. These catalysts all lead to regulated filings for three potential new products in 2020 and 2021.
I’ll now open the call for your questions. Operator?"
Operator,1,Thank you. [Operator Instructions] And our first question comes from Anupam Rama from JPMorgan. Your line is now open.
Anupam Rama,1,"Hi, guys. Thanks for taking the question and congrats on all the progress. For OTL-200 in MLD, what was it in the EMA discussion that allowed the timelines to be moved up to the first half of 2020? And can you also remind us of the gating factors that need to be completed between EMA and FDA filings? And then a second question, for the ongoing phase I/II program in MPS-I, I think the ASGCT slide suggested that, you know, you would enroll patients four through six, so that kind of leaves two patients to enroll, and the slide suggested that there has been several patients that have been identified. So, why is the guidance for the first half of 2020? Why can’t you complete the enrollment sooner potentially given all the progress that’s been made? Thanks so much."
