speaker,q&a,content
Company Participants,0,"David Niederman - Vice President, Investor Relations
Nikesh Arora - Chairman and Chief Executive Officer
Kathleen Bonanno - Chief Financial Officer and Executive Vice President
Lee Klarich - Executive Vice President and Chief Product Officer"
Conference Call Participants,0,"Keith Weiss - Morgan Stanley
Gur Talpaz - Stifel
Walter Pritchard - Citi
Sterling Auty - JPMorgan
Ken Talanian - Evercore ISI
Andrew Nowinski - Piper Jaffray
Karl Keirstead - Deutsche Bank
Rob Owens - KeyBanc Capital Markets
Saket Kalia - Barclays Capital
Phil Winslow - Wells Fargo
Michael Turits - Raymond James
John DiFucci - Jefferies
Fatima Boolani - UBS
Matt Hedberg - RBC Capital Markets"
Operator,0,"Good day, and welcome to the Palo Alto Networks Fiscal Third Quarter 2019 Earnings Call. Today's conference is being recorded.
At this time, I would like to turn the conference over to David Niederman, Vice President, Investor Relations. Please go ahead."
David Niederman,0,"Good afternoon, and thank you for joining us today on today's conference call to discuss Palo Alto Networks' fiscal third quarter 2019 financial results. This call is being broadcast live over the web and can be accessed on the Investors section of our website at investors.paloaltonetworks.com.
With me on today's call are Nikesh Arora, our Chairman and Chief Executive Officer; Kathy Bonanno, our Chief Financial Officer; and Lee Klarich, our Chief Product Officer.
This afternoon, we issued a press release announcing our results for the fiscal third quarter ended April 30, 2019. If you would like a copy of the release, you can access it online on our website.
We'd like to remind you that during the course of this conference call, management will make forward-looking statements, including statements regarding our financial guidance and modeling points for the fiscal fourth quarter and full fiscal year 2019; our competitive position and the demand and market opportunity for our products and subscriptions; benefits to us and our customers and timing of new products and subscription offerings, including those from our proposed acquisitions of Twistlock and PureSec; continued investment in our products; our ability to drive outsized growth rates; and trends in certain financial results, operating metrics, mixed shift and seasonality.
These forward-looking statements involve a number of risks and uncertainties, some of which are beyond our control, which could cause actual results to differ materially from those anticipated by these statements. These forward-looking statements apply as of today, and you should not rely on them as representing our views in the future. And we undertake no obligation to update these statements after this call.
For a more detailed description of factors that could cause actual results to differ, please refer to our quarterly report on Form 10-Q filed with the SEC on February 27, 2019, and our earnings release posted a few minutes ago on our website and filed with the SEC on Form 8-K.
Also, please note that certain financial measures we use on this call are expressed on a non-GAAP basis and have been adjusted to exclude certain charges. For historical periods, we provided reconciliations of these non-GAAP financial measures to GAAP financial measures in the supplemental financial information that can be found in the Investors section of our website located at investors.paloaltonetworks.com.
And with that, I will turn the call over to Nikesh."
Nikesh Arora,0,"Thanks, David, and thank you, everyone, for joining us this afternoon for our fiscal third quarter 2019 results. I'm very excited to be here with you today. This call marks my fourth earnings call as CEO and brings me close to my 1 year anniversary with the company.
We've accomplished a great deal this year, furthering our leadership in cybersecurity and also setting the foundation for our future growth. When I joined Palo Alto Networks, my primary impression was how cybersecurity was poised to increase in importance to organizations globally, and also how the cloud revolution was set to impact the industry. The key themes in my first call were integration, cloud and more automation.
I am pleased to report that after nearly a year on the job, my confidence in these trends is stronger than ever. Moreover, I'm delighted that we have made progress across all these imperatives and will continue to do so.
On today's call, I will briefly go through our financials and then provide an update on our 3 strategic focus areas, securing the enterprise, securing the cloud, which is where I will spend most of my time given our announcements in this area today; and finally, securing the future with Cortex.
Starting with our financials. I'm pleased to report that as we continue our transformation, the team continues to deliver. We had yet another solid quarter. Fiscal Q3 revenues of $727 million represents year-over-year growth of 28%, and non-GAAP earnings per share increased by 26% to $1.31.
Diving into the details of our three focus areas. Let's first talk about securing the enterprise. We continue to see success around the world with our next-generation firewall offerings. Network security remains a top priority for companies and c-servs, and we continue to outperform this aspect of the market. Our new products introduced last quarter are performing well, and we've had a number of significant wins this quarter. Here's a couple I'd like to highlight.
We signed an 8 figure deal with a U.S. government agency. This is one of the 10 largest deals in the history of Palo Alto Networks, and contributed to our strength in product revenues this quarter.
We expanded our footprint more than $5 million each with 10 existing customers, many of whom bought a combination of new use cases and also hardware refreshes. This includes deals with one of the best-known brands in the world, a Fortune 50 technology company and a Fortune 500 consumer finance company.
And finally, we introduced DNS security service, a new attached subscription to our next-generation firewalls. DNS is already quickly gaining traction. And while it's early days to share metrics around this offering, I can safely say that if DNS were an independent start-up company, it would be getting a lot of attention. We're excited about its early success and optimistic for its future prospects.
Our core business continues to be strong with customers becoming more security aware and looking for simplicity in their infrastructure. We continue to make it easier to deploy more services from our firewalls in the most secure way, and you should expect us to add more capability here.
Now let's talk about securing the cloud. We continue to be highly focused on delivering technology that enables our customers in the cloud journey. We plan to enable this by delivering a comprehensive set of security capabilities across a broad set of clouds and cloud configurations. This focus and our speedboat approach has led to tremendous progress over the past year.
With this, we are delighted to introduce Prisma. Prisma, announced this morning, brings our industry-leading cloud solutions within a single suite to help our customers in their cloud journey. Whether you want to connect your mobile users or branch offices to the cloud, protect your application and data in the public cloud, protect your SaaS applications, or are worried about upcoming trends in container security and service computing, Prisma has a solution.
Prisma is our approach to deliver industry leading cloud security products in an integrated fashion. It will address SaaS, API-based, and inline cloud security across all vectors. We will continue to build on Prisma over the coming quarters and years to make it the industry leading platform for the journey to the cloud.
We believe Prisma is already the number one suite of cloud security product in the world. This quarter, Prisma surpassed $0.25 billion billings run rate and has approximately 9,000 customers.
The products that comprise Prisma are already industry-leading in their own right. Take the VM series, we believe we deliver the most VMs across the public cloud landscape, with more than 60 six figure or higher deals this last quarter alone.
RedLock, which forms the basis of Prisma public cloud surpassed $100 million billings run rate this quarter. What is even more exciting is that we won more than 10 RedLock deals, each over $0.5 million, in the third quarter with over half of them in the Global 2000. This is a rare feat, to acquire a company, transform its revenue and its profile and trajectory in 6 months is unheard of.
Additionally, we're very excited about the new enhancements for our GlobalProtect Cloud Service. The next version includes cloud onboarding and management interface, and will be available in the Google Cloud platform shortly.
In this quarter, we continued our success on GPCS by securing 40,000 mobile users at the biggest car company in their category, 27,000 mobile users at a leading global consumer brand, and 25,000 mobile users at one of the largest high-tech companies in the world.
The success of RedLock is a key factor in making us #1 in cloud security and gives us the confidence that our introduction of the Prisma suite will bolster our ability to keep winning in this space. In addition, today's announcement of our intent to acquire Twistlock, which is the best in its category for container security, will bring best-of-breed products into the Prisma suite.
Containers are one of the fastest-growing segments of both private and public cloud workloads, and we're looking forward to offering container security to our customers. We also announced our intent to acquire PureSec, a leading provider of serverless security. These proposed acquisitions will further enhance our cloud security suite.
Other examples of our ability to acquire companies and accelerate their performance is Demisto, which brings me to the third key focus area, securing the future with Cortex. We closed the acquisition of Demisto at the end of March, and in our first month operating together, I'm pleased to report that sales are already doing exceptionally well.
Demisto's multi-vendor orchestration capability, analytics, and playbooks are unique. They help our customers further automate their security operations and allow them to focus on solving the most complex threat.
This quarter was also notable for the introduction of Cortex XDR at the end of February. In its first quarter of availability, we closed over 50 deals, and the pipeline is strong. XDR is the successor of EDR.
XDR enables teams to stop sophisticated attacks and adapt their defenses to prevent future threats by integrating network, endpoint and cloud data to reduce the signal to noise ratio plaguing security analysts.
In fact, earlier today, MITRE released test results validating the capabilities of Traps and Cortex XDR. The result from MITRE's ATT&CK testing confirmed that Traps and Cortex XDR provides the broadest coverage against different attack techniques with the fewest missed attacks out of all 10 vendors recently evaluated.
We also had some notable Cortex XDR wins this quarter, including a 7-figure deal with a U.S. health insurance care organization with over 26,000 employees; a win at a major Asia-based airline, and a win with one of the largest cities in the world.
To wrap up, we had a solid quarter of enterprise execution with strong progress on the cloud and with the initial rollout of Cortex. We continue to see the opportunity to expand our market leadership to be one of the platforms for both today's security needs and to those tomorrow.
As my first year comes to an end, I would like to make a few observations and reiterate a few things. One, we will continue to expand our leader - lead as the number one cybersecurity company in the world, one that provides simple, integrated, and leading products help our customers.
The company I walked into had done a great job in building the world's best firewall and expanding their ability to secure the enterprise. Over the last year, in addition to strengthening our firewall business, we have made tremendous progress in areas, which will become equally, if not more important, the cloud and automation.
My year here has convinced me that we have the right strategy and the right team, and we're making the right moves. Transitions take time. This one will also take time. But there is no team better prepared than us to make this happen.
The new products and delivery mechanisms are more SaaS-based and have a different consumption model. In that, many cloud customers purchase annual subscriptions rather than multi-year deals. The brilliance of a SaaS model though is the annual recurring revenue stream.
As we evolve our business, maximizing this recurring revenue stream will be our primary focus. While this may impact total billings, we would expect to see better margin performance. And most importantly, underlying this trend is a going demand for our products, which is what matters.
Reading some of your notes, I know that you're watching the internal management moves we are making. You should know that any leadership moves that we're making are being made in a thoughtful manner and for the right reasons.
Rest assured, while I might not have spent time in cybersecurity, I know how to build great teams. This is an area me and the team are extremely vigilant and focused on.
I am confident that one year out, we are stronger, we are better focused, a more robust product roadmap, and our teams are poised to win. This is a time to believe in our plans and our ability to execute and our strategy to win the increasing addressable market in our industry and our quest to increase our lead as the number one enterprise security company in the world.
And with that, I'll turn the call over to Kathy."
Kathleen Bonanno,0,"Thank you, Nikesh. Before I start, I'd like to note that except for revenue and billings figures, all financial figures are non-GAAP, and growth rates are compared to the prior year period unless stated otherwise. All current and prior periods financials discussed are reflected under ASC 606 as we adopted the new standard as of August 1, 2018.
In the third quarter, we continued to add new customers at a healthy clip and further expand our existing base. We did this while balancing investments in our recently acquired businesses and maintaining a focus on profitability.
In Q3, total revenue grew 28% to a record $726.6 million. Looking at growth by geography. The Americas grew 28%, EMEA grew 26% and APAC grew 29%. Q3 product revenue of $278.4 million grew 28% compared to the prior year.
Our SaaS-based subscription revenue of $258.8 million increased 35%. Support revenue of $189.4 million increased 20%. In total, subscription and support revenue of $448.2 million increased 28% and accounted for 62% share of total revenue.
Turning to billings. Q3 total billings of $821.9 million increased 13%. Q3 current billings were $799.5 million net of acquired deferred revenue, up 25% year-over-year. The dollar weighted contract duration for new subscription and support billings in the quarter remains at approximately 3 years, but declined by 4 months year-over-year due to the strength of our cloud business and fewer multi-year deals. Total deferred revenue at the end of Q3 was $2.6 billion, an increase of 27%.
In addition to robust new customer acquisition, we continue to increase our wallet share with existing customers. Our top 25 customers, all of which made a purchase this quarter, spent a minimum of $38.7 million in lifetime value in Q3, a 35% increase over the $28.7 million in Q3 of fiscal '18.
Q3 gross margin was 76.5%, which was up 30 basis points compared to last year. Q3 operating margin was 20.9%, a decline of 50 basis points year-over-year and includes a headwind of approximately $7 million of net expense associated with our recent acquisitions. We ended the third quarter with 6,503 employees.
On a GAAP basis for the third quarter, net loss declined by 50% to $20.2 million or $0.21 per basic and diluted share. Non-GAAP net income for the third quarter grew 30% to $130.1 million or $1.31 per diluted share. Our non-GAAP effective tax rate for Q3 was 22%.
Turning to cash flows and balance sheet items. We finished April with cash, cash equivalents and investments of $3.7 billion. Q3 cash flow from operations of $296.4 million increased 23%. Free cash flow was $276.1 million, up 30% at a margin of 38%.
Adjusting for cash charges associated with our headquarters in Santa Clara, free cash flow in the quarter was $279.8 million, up 27% at a margin of 38.5%. Capital expenditures in the quarter were $20.3 million. DSO was 51 days, a decline of 6 days during the prior year period.
Turning now to guidance and modeling points. For fiscal Q4 '19, we expect revenue to be in the range of $795 million to $805 million, an increase of 21% to 22% year-over-year. We expect Q4 '19 non-GAAP EPS to be in the range of $1.41 to $1.42, which includes expenses related to the Demisto acquisition and the proposed acquisitions of Twistlock and PureSec using approximately 100 million to 102 million shares.
Before I conclude, I'd like to provide some additional modeling points. We expect full year billings to grow approximately 21% year-over-year, which includes the impact of shorter contract lengths. Our Q4 non-GAAP EPS guidance includes approximately $15 million of net expense or $0.12 per share, attributable to a full quarter run rate of our Demisto acquisition and the proposed acquisitions of Twistlock and PureSec. Our Q4 EPS guidance also includes an expected $0.02 impact attributable to U.S. tariffs on Chinese origin goods.
Excluding these acquisition and tariff expenses, we would expect non-GAAP EPS to be in the range of $1.55 to $1.56. We expect our Q4 non-GAAP effective tax rate to remain at 22%. CapEx in Q4 will be approximately $35 million to $40 million with approximately $20 million related to our headquarters in Santa Clara.
Finally, turning to free cash flow. For the full year, we continue to expect an adjusted free cash flow margin of approximately 36%. The adjustments include onetime items such as the expected settlement of our 2019 convertible debt and cash flow associated with the additional investment in our headquarters in Santa Clara.
You can review these adjustments to free cash flow in our supplemental financial information document, which is posted on our Investor Relations website.
With that, I'd like to open the call for questions. Operator, please poll for questions."
Operator,1,Thank you. [Operator Instructions] We'll go first to Keith Weiss with Morgan Stanley.
Keith Weiss,1,"Excellent. Thank you guys for taking the question. And really solid quarter. Nikesh, I think you might be understating sort of operating well through transition with 27% product revenue growth against a really tough comp. That's a truly impressive number.
I wanted to ask you one question and one to Kathy. The question for you is on the M&A strategy. One of the things I think investors have been looking for, for a while is somebody who could effectively consolidate demand within security. It sounds like the individual companies are doing - or individual solutions that you bought, like RedLock, are doing really well.
Could you talk to us about the progress that you've made in sort of creating a suite or getting people to buy across the portfolio, and where the new acquisitions kind of fit into that suite and sort of how you expect to sort of catalyze that activity across the board?
And then, for Kathy, in terms of the shorter duration, can you give us some kind of indications on sort of where that impacted? Was it across the board for both sort of new subscriptions as well as maintenance or is that just focused on kind of just the newer stuff?"
Nikesh Arora,1,"Thank you, Keith. Thank you for your comment, and thank you for the question. Let me start talking - answering your question around the acquisitions and the launch of Prisma today. As you know, about a year ago we started talking about how there is going to be a big move to the cloud, and we were getting ready for it. We owned Evident, Evident only worked in AWS. We felt we needed to complement that with more capabilities, so we acquired RedLock.
RedLock had de minimis revenue 6 months ago. And just the sheer success of RedLock that we've seen the last 6 months where we've seen customers close deals within a week, I think that's unheard of in the cybersecurity space. You walk in. You show the customer a solution, and a week later you walk out with a purchase order.
So that's emboldened us with this notion that there's not enough cloud security solutions being offered to customers who are making this journey to the cloud. And if you look at the customers 2 years ago, they were talking about public cloud. Today, they're talking about containers. And if you looked in the market, there are only 2 players, and Twistlock was by far the leader.
And talking to customers, they still want to buy best of breed. So, our team made the decision that it's important for us to acquire Twistlock and integrate that with RedLock as soon as possible. So you will see us integrating both RedLock and Twistlock.
And then, the next conversation people want to talk about is serverless, and we looked at the market, and PureSec, by far, is the leader in serverless computing. Serverless security have decided to acquire it at the same time.
We intend to integrate this as soon as possible thereby offering a fully sort of integrated public cloud security suite where customers don't have to buy piece products on containers or private cloud, public cloud, on-prem, SaaS, or serverless.
And that's where we see the consolidation from a cloud security perspective. We've also integrated pieces of [indiscernible] for a cloud service with Aperture so you can see in-line SaaS security as opposed just API, which Aperture offers. So we are driving hard and fast to try and keep trading integrations so customers don't have to buy a piece product and spend time integrating.
The problem with the cybersecurity industry has been, for a $140 billion industry, with $80 billion in services and $60 billion in products. That $80 billion is spent integrating the $60 billion product, and we want to make sure that we don't make this mistake going into cloud and that's kind of what underpins our acquisition strategy as it relates to consolidating these products and as it relates to providing a platform for cloud security. Kathy?"
Kathleen Bonanno,1,"Yeah. And Keith, on the contract length question. As you mentioned, we did see a decline in contract length -- or as we mentioned, of 4 months year-over-year. And there are a couple of things driving that.
One is that we had very strong performance in our cloud products. The mix of our Prisma public cloud this quarter was very strong. We saw terrific growth as Nikesh mentioned in his prepared remarks. So we're really excited about the trajectory of that business and the opportunity for us there.
Additionally, we are focusing more on doing - making sure that we have good annual recurring revenue in our contracts, and that's our primary focus this year. And so some of it is customer preference. Some of it is us trying to structure deals to maximize that annual recurring revenue stream.
And so both of those, the combination of those things are driving the average contract length down, and we think both of those things are really terrific for our business, and we're very pleased with the results."
