speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by and welcome to the Pinduoduo Third Quarter 2018 Earnings Conference Call. At this time, all participants are in a listen-only mode. There will be a presentation followed by a question-and-answer session. [Operator Instructions] I must advise you that this conference call is being recorded today, 20th of November 2018.
I would now like to hand the conference over to our first speaker today, Mr. Christian Arnell. Thank you. Please go ahead, sir."
Christian Arnell,0,"Thank you, operator. Hello, everyone, and thank you for joining us today. Pinduoduo's earnings release was distributed earlier today and is available on our IR website at investor.pinduoduo.com, as well as through Globe Newswire services.
On the call today from Pinduoduo are Mr. Zheng Huang, Chairman and Chief Executive Officer; and Mr. Tian Xu, Vice President of Finance. Mr. Huang will review business operations and company highlights, followed by Mr. Xu, who will discuss financials. They will be available to answer your questions during the Q&A session that follows.
Before we begin, I'd like to remind you that this conference contains forward-looking statements made within the meaning of Section 21E of the Securities Exchange Act of 1934, as amended and as defined in the U.S. Private Securities Litigation Reform Act of 1995. These forward-looking statements can be identified by terminology such as will, expect, anticipate, future, intend, plans, believes, estimates, targets, going forward, outlook and similar statements.
Such statements are based upon management's current expectations and current market operating conditions, and relate to events that involve known or unknown risks, uncertainties and other factors, all of which are difficult to predict, and many of which are beyond the company's control, which may cause the company's actual results, performance or achievements to differ materially from those in the forward-looking statements.
Further information regarding these and other risks, uncertainties or factors is included in the company's filings with the U.S. Securities and Exchange Commission. The company does not undertake any obligation to update any forward-looking statement as a result of new information, future events or otherwise, except as required under applicable law.
It is now my pleasure to introduce Chairman and Chief Executive Officer, Mr. Huang. Mr. Huang, please go ahead."
Zheng Huang,0,"Thank you, Christian, and thanks everyone for joining us on our third quarter results discussion. We just released our third quarter results. Our last 12 months GMV grew 386% year-over-year to RMB344.8 billion. This was fueled by the growth in our annual active buyers, which more than doubled, and further compounded by doubling in the annual spent per active buyer. Over the last 12 months, we had 386 million users make at least one purchase on our platform, an increase of 42 million users over the prior quarter. During the third quarter, we had an average of 232 million MAUs, an increase of 37 million users over the prior quarter this year.
Our revenue for the third quarter grew almost 7x over the same period in 2017 to RMB3.4 billion, primarily driven by the growth in our online marketing services, which we have only launched in April 2017. Though our monetization rate continued to improve, it was partially offset by the strategy we announced in last quarter after rewarding higher quality merchants with more traffic. We hope to create a virtuous cycle whereby high quality merchants who will provide a value for money products with good user experiences are rewarded attracting more high quality merchants to our platform.
At Pinduoduo, user satisfaction is our ultimate goal. We have created a platform where users can discover value for money products in a fun, social and entertaining setting. By aggregating the demand for each SKU into larger volumes through our team purchase option, we enable our merchants to better manage their supply chain and lower their production and logistics costs. The savings can then be transferred to our users. Therefore, users often find products at a cheaper price they expected as compared to their perceived value of those products.
We are very focused on improving efficiency and capabilities of our merchants so that we can serve our users better. Over the last 30 years, China has grown to become the largest manufacturing base for most consumer goods sold worldwide. However, it also has a complex distribution system. The average manufacturer lacks a good understanding of the consumers and doesn't have much visibility on the demand for their goods. As such, manufacturers may lose out on potential sales if their products are expectedly popular or they may end up having to discount deeply to move inventory if they overproduce.
Our platform aims to let the manufacturers have a more direct pulse and the consumer demand. We hope that as our technology advances, our team purchase option put into only help aggregate demand quickly but also be able to assimilate the likely demand at a certain point in time, and then relay this information to manufacturers. By equipping merchants with the data analytics, they then have ample lead-time to make adjustments and prepare the products for shipping. Over time, based on our data, the merchants can also develop particular SKUs that are better suit to their target consumer taste and by cutting out the middleman manufacturers retain more profits, while our users get better quality and value for money products. Linking the users to manufacturers in this way reduces waste and will allow manufacturers to build strong original brands over the long run.
This is important as we have also observed that younger consumers increasingly prefer more personalized offerings that are tailored to their need. The supply chain therefore has to evolve in order to cater to this demand for personalization. The next step in this evolution is the utilization of 5G, IoT and AI. As 5G rolls out at a scale and adoption grows, the industrial supply chain will also be transformed as data flows and information exchange happens on a much faster level. Whether it'd be a tree in orchids or a batch of raw materials in the factory, all of the information about different parts of the supply chain can be readily grasped. At the same time, as the vast amounts of information gets processed that it paves the way for innovative new technologies, one of the industries that it can be really transformed by this is agriculture.
Most of the agricultural land in China has scattered through small-scale farming. Unlike farming in U.S., which is more standardized, Chinese farmers often lack basic information on market demand, which means they face uncertainties throughout the farming cycle. For example, what to plant, how much would sell and how much what it is sell for? Making matters worse is convoluted distribution structure between farmers and the consumers resulting in a spoilage and limited shelf time by the time the product to reach its consumers. Farmers operating under this traditional structure are often forced to harvest their produce prematurely or to build their produce in chemicals in order to prolong shelf time, consumers end up paying not only a higher price, but gather inferior product.
Our solution today is to aggregate the demand of consumers through our team purchase option and a channel that is sizable demand to farmers. With more market intelligence and transparent commodity pricing, farmers can set their own price, compare their price with nationwide peers, and then work on how to market their products to users with a right price point and packaging. Thereafter, they can ship the product directly to the 384 million users on our platform. While the existing logistics infrastructure in China is not a well-suited before delivering fresh produce, there is at least a basic network that farmers can tap on to reach consumers.
Consumers end up getting fresher and safer products for better price, while farmers schedule to make more money, which can be reinvested to improve their farming practices and a set of both their production for quantity and quality. This creates a win-win outcome, and it can have great impact on transforming agriculture and uplifting the poor, as an example, in [indiscernible] county in [indiscernible] which is mountain and its difficult to getting into. There is often excess inventory of their locally produced oranges. At times, farmers cannot even sell their oranges for $0.60 a kilogram, which is a shame as these are high quality oranges.
Now, with on-boarding of their produce on our platform, the farmers can realize as stable selling price of RMB6 a kilogram. By year-end, the [indiscernible] county will cross the national poverty line. This is just one example out of the 730 impoverished counties we are working with. But it shows the real impact that technology can have and how we can do our part to uplift to the poor. Going forward, we will continue our efforts to aim farmers in impoverished countries. What we have achieved so far is just the first step and we look forward to contributing more.
Next, I would like to take this opportunity to update you our effort to fight, compensate and infringing products on our platform. From the very beginning, we were the first platform in China to strictly hold all our merchants to the standard of our 10x penalty on counterfeit goods. After 50 odd brands, we were alleged to have counterfeit or infringing versions on our platform. We have thoroughly investigated over the past few months and found that plenty of these ""fake brands"" never existed on our platform. Of the other 30, we have finished our cleaning efforts and have worked tirelessly to close every loophole and tackle all issues. Additionally, we set up reach our public comps to clarify any residue buyer concerns.
Since August, we have also upgraded our merchants' on-boarding system to integrate with the police identity verification system from the consumer end. We have refreshed our search algorithm to diploid the legitimacy brand name even we have user's key in infringing brands. By striking at a root and removing incentive for copyright infringement, we hope to weed out bad behaviors.
We will continue to invest in our technical capabilities associated to keyword identification, filtering image, tax and video imaging recognition and developing a blacklisting mechanism. We are also creating a fast-track IP channel with the government to have merchants apply for their own trademarks and build their own brands. At the same time, we continue to collaborate closely with the authorities to uphold the rights of consumers.
We are grateful for all the parties that have made us a better perform throughout this process, especially the government, which has been extremely supportive and understanding, the media, which has helped us uncover cases of abuse, and users who have trusted us and helped us with their candid reviews on our platform.
All of the above wouldn't have been possible without our focus on technology. As we continue to grow in size and build out our offering to our users, we plan to invest more in our efforts in R&D and also upgrade our existing infrastructure to meet future demand. We continue to improve the accuracy of our product recommendations and add targeting by enhancing our distributed AI infrastructure. We are also in discussions with various institutions worldwide to partner our initiative to further our technical knowhow around distributed AI to help ourselves better understand our user behavior and to enhance user data privacy protection capabilities. I myself will be leading this effort and we hope to share our results with the public at a later stage.
Finally, to end on a more lighthearted note, let's talk about Duo Duo Orchard, which I mentioned last quarter. Duo Duo Orchard is a game that rewards users for completing a variety of emissions daily as they try to grow virtual fruit trees. Once the user achieved bear fruit, we send an actual package of fruit to them as a reward. Participation on Duo Duo Orchard is so strong that we now send out over 500 tons of fruit daily from farmers in impoverished areas like southern Xinjiang.
Duo Duo Orchard allows us to delight our users while doing good and encapsulates our company division of offering the users a differentiated and entertaining shopping experience with value for money products. Last month, we celebrated the third year anniversary of our app with our users, merchants and employees. We're grateful for all our ecosystem partners as well as all experienced investors worldwide who have supported us. We see ourselves as a very young company with much room for further improvement and we will dedicate ourselves relentlessly to meeting our users' needs and overcoming all obstacles along the way.
With that, I will hand the call over to our VP of Finance Tian to walk through our financial results in the quarter. Tian, please."
Tian Xu,0,"Thank you, Colin. Hello, everyone. Or total revenue in this third quarter were RMB3.4 billion, growing strongly by 697% from RMB423 million in the same quarter last year. The main driver of this growth was our online marketing services. 88% of the total revenue or RMB3.0 billion were revenues from online marketing services, which increased significantly from RMB290 million during the same period last year, and 25% from the prior quarter. The increase was due to our increased number of users and the growing user engagement, which supported our healthy GMV growth and demand for advertising on our platform. 12% of our total revenues or RMB398 million, were revenues from commission fees, which increased from RMB134 million during the same period last year and 80% from the prior quarters. That increase was driven by the gross in our GMV.
We continue to keep our commission rates low and offer some discounts to selected merchants. Our low fees structure combined with our ability to aggregate large volumes of orders for merchants has made us an attractive platform for merchants. As we grow our buyer base and the breadth of our products selection, we are confident that it will also increase the annual average spending per user, which, as you have seen, has been doubling year-on-year over the last three quarters.
You may also recall on last quarter we talk about rewarding high-quality merchants to create a virtuous circle and weed out the less compliant merchants. Specifically, we have offered the more traffic with better pricing and discounted commission fees to those high-quality merchants. This has strengthened the growth in our monetization rate in the short-term, but we believe this is the right thing to do as we strive to deliver the best customer experience. We are pleased with the results of our strategy so far and remain deeply committed to improving our platform.
Moving on to costs. Total cost of revenue increased by 315% year-over-year to RMB775 million from RMB187 million in the same quarter of 2017. The increase was due to higher costs for cloud services, our call center and merchant support. Total operating expenses were RMB3.9 billion compared with RMB471 million in the same quarter of 2017.
In particular, sales and the marketing expenses came in at RMB3.2 billion, mainly due to an increase in branding campaigns and online and offline advertisement and promotions. As we continue to invest in strengthening our brand recognition and facilitating greater user's engagement, the momentum seen in our MAU growth this quarter evidenced to a degree that the investments in marketing we have made in the past quarters is effective and will continue to payoff in the long term.
General and administrative expenses were RMB306 million. The increase was primarily due to an increase in headcount. Research and development expenses rose to RMB332 million, primarily due to an increase in headcount and the recruitments of very experienced research and development personnel, as well as an increase in our R&D-related cloud services expenses.
As shared by Colin, we continue to focus on expanding our technological capabilities for the long-term growth of our platform and expected our R&D expenses to grow further. We are in active discussions to launch research initiatives to help us improve our platform and the services. Operating loss was RMB1.3 billion compared with the loss of RMB234 million in the same quarter of last year. Non-GAAP operating loss was RMB790 million, an increase from RMB231 million during the same period last year.
In the third quarter, net loss attributable to ordinary shareholders was RMB1.1 billion compared with the loss of RMB221 million in the same quarter of last year. Basic and diluted net loss per ADS was RMB1.20 compared with RMB0.52 during the same period of last year. Non-GAAP net loss attributable to ordinary shareholders rose to RMB690 million compared with RMB218 million in the same quarter last year. Non-GAAP basic and diluted net loss per ADS were RMB0.68 compared with RMB0.48 for the same period of 2017. That completes the profit and loss statement for the quarter.
Net cash flow provided by operating activities was RMB250 million compared with RMB682 million in the same quarter last year, primarily due to an increase in our online marketing services revenue. As of September 30, 2018, the company has a strong balance sheet with RMB15 billion in cash and cash equivalents, an increased from RMB3.1 billion as of December 31st 2017. It is primarily from our IPO proceeds. On top of our cash balances, we also have another RMB7.5 billion of short-term investment. Altogether, we have RMB22.5 billion of cash and short-term investments.
Our strong balance sheet and healthy operating cash flow highlights once again the extremely cash flow generated business model that we have and provided us with a good cushion to make the necessary investments to grow our business.
Lastly, I would like to make a quick comment in response to claim that the company has misrepresented our revenues and earnings. I would to stress that we have always held ourselves to the highest standards and that the numbers in our consolidated financial statements are in compliance with the rules and regulations of the SEC.
Our filings are in accordance with U.S. GAAP and the audited financial statements included therein, have been audited by Ernst and Young. Similarly, our related party transactions, as included in the IPO prospectus, have also been disclosed in accordance with the U.S. securities laws, listing rules and NASDAQ regulations.
This concludes our prepared remarks. Operator, we're now ready to begin the Q&A session. Thanks."
Operator,1,"Ladies and gentlemen, we will now begin the question-and-answer session. [Operator Instructions] So we have the first question coming from the line of Mr. Thomas Chong from Credit Suisse. Please go ahead."
Thomas Chong,1,I have 2 questions. The first question is about how should we think about the impact of a macro headwinds to our business? And my second question is about any updates about the new e-commerce mall and about implementation plan? Thank you.
Tian Xu,1,"Yes. There has been a lot of discussions on the potential slowdown in China as well as growing concerns about U.S. and China trade war. While we are following macro conditions closely, we haven't yet observed impact on our business. Our GMV is still growing healthily and we're strong in terms of the user growth and all these metrics. We're feeling there is still a very strong unmet domestic demand for our users which we are doing our best to fulfill.
Ultimately, no matter how macro conditions may be the demand for value for money goods is still constantly growing, I believe, for the consumers in lower-tier cities, for instance, through our platform, they're able to find better quality goods at a similar, or even lower prices, versus whether they may be available in their local stores. So I think this is going to be a chance. And we're also able to provide such value for money goods due to our C2M model where we are aggregate users demand and try to connect this demand directly to manufacturers and merchants with the strong supply chain capability, allowing users to safe by reducing manufacturing costs and cutting down the layers of intermediary distributors. We do see our GMV growth growing faster than online good sales growth rate reported by MBS, which shows that we are continuing to gain market share at this moment.
Finally, on the trade war, I think we are fortunately relatively sheltered as our platform today is purely servicing domestic demand and our merchants manufacturing base is also mostly located in China. However, with all our staff, we are part to a bigger and larger economy, and wouldn't be fully insulated, of course. Therefore, we are also monitoring the economy and our business closely to be fully prepared for any market change in the future.
Your second question is e-commerce law. The e-commerce law marks a positive development for the Chinese e-commerce industry, I think, and it has been discussed before a long, long time even it's started even before PDD existed. We had participated very recently in several rounds of discussions with the authorities before it was published. The finalized e-commerce law is along the lines after previous drafts and has adopted many industries currently best practices.
As a platform that has been following the best of practices in the market, we welcome and fully support the condition of codification of such practices and underlying principles. And there are some rules in the law, which emphasis on the fair competition. The emphasis on fair competition is something that we think will pave the way for a more level playing field in the industry, and it may change the competitive landscape a little bit in the future as well. The areas of consumer rights and the data privacy protection are also areas that we have spent a lot of efforts on internally. We have always had a strong focus on removing infringing goods and merchants who spoil our merchants -- our consumers experience on our platform. And as I mentioned, I will be personally leading our research efforts on data privacy protection, which shows how seriously we, as a company, view this issue. We don't want to get into trouble the other companies have experienced. We expect that further consultation will be organized to provide detailed implementation guidance and procedures of the rules under the new e-commerce law as the current law is more focused on broader principles.
We will continue to participate in the consultation, and if appropriate upgrade or enhance our system and the policy in accordance with the guidance and the procedures. But it will take some time. We don't think the very detailed rules will be rolled out very soon. We believe – and it's going to be a process. We believe the government will take a balanced approach and also consider how e-commerce has helped to grow domestic demand and rejuvenate domestic manufacturing capacity to support SME growth. Thank you."
Operator,1,We have our next question coming from the line of Mr. Piyush Mubayi from Goldman Sachs. Please go ahead.
Piyush Mubayi,1,"Thank you for taking my question and congratulations on your numbers. I've got two areas of questions. The first is on your GMV growth rate, which has, no doubt, been very strong. Could you talk through the drivers of being 99% increase in annual spending per active buyers that you're seeing as well as the average team size if you've observe right now? Also, given how important 4Q is in terms of size. Could you give us a sense of how it's been tracking through the last two months, if you could comment on that? The second is on the effective take rate, which, excluding payment, we think to a certain degree to factor under your control. And it's come down about 0.4% to 2.5% in 3Q. Now we know you've described initially it's about rewarding quality merchants with traffic. Could you detail how successful this attempt has been? How many merchants you have on your platform? And how long you believe it's necessary to continue to offer this discounted traffic? And at what point of time in the forward, could we expect this to trend back up towards 2.8% or 3%? Thank you."
Tian Xu,1,"Hi, Piyush. This is Tian. We are pretty confident that our GMV will continue the strong momentum, we've seen so far. This quarter we have seen strong growth in our GMV, driven by two doublings: one is doubling in our annual active buyers, the other is doubling in the annual spending proactive buyers. Our user base distribution closely mirror the population distribution of China. And we see the great potential as the internet population in China continues to grow. This is because we are confident that our value proposition of offering value for money and the fun, entertaining shopping experience has kind of universal appeal. And it's not constrained to only a particular demographic or geography. So for those who have used our Pinduduo app, we think, you would agree that it has been a very engaging outfit for you to kill the time and discover new products, you might find some new products that you didn't even know you need. So for those who haven't used our app, we strongly encourage you to give a try.
So moving to the second part of this equation which is the annual spending per active buyer, we still see a lot of runway for our annual spending per active buyer to grow. As user mature, they came to trust the platform more and are willing to purchase a much bigger ticket items. And the fact is exponential. This is something that we have observed from our internal data. And it has increased our believing that our recent strategies are paying off with regards to improving the overall quality of our platform. And on top of that, we are also enriching our product selection. So there will be even more for our users to discover on our platform. So during the double 11/11 sales period, for example, we sold over 200,000 units of Apple's latest phones. You know the iPhone XS, XR, XS Max et cetera, which demonstrated the strong purchasing power some of our users have.
Your second question is about monetization. In order to create – as Colin mentioned, in order to create a virtuous cycle of attracting more capable and responsible merchants to our platform and also churning out the lower quality ones, we have been giving discounted traffic and discounted commission fees to some selected merchants who have been demonstrated our willingness and the capacity to serve our users better. This initiative does affect the pace of our monetization growth in the short term. Nevertheless, we believe this is the right thing to do, and this can help to drive that ecosystem in the positive way in the medium to long-term. And in general, we are not concerned by this quarterly fluctuation as we continue to experiment with different strategies, and advertising products offerings, and as we believe our efforts will eventually benefit monetization in the long run rather than the short run. And after all, we only started monetization -- monetizing our platform in the middle of the last year. So the results so far have already demonstrated that monetization can grow very healthily if merchants are seeing good returns on our platform. So overall, we still take a conservative approach towards growing our platforms monetization. I would say monetization is not our near-term goal, but a result of user satisfaction and good user experience. And we will continue to enable our ecosystem counterparties to improve their capacity and to serve our users. Thank you.
Operator next question please."
