speaker,q&a,content
Company Participants,0,"Edelita Tichepco - Vice President, Investor Relations
Frank Calderoni - Chief Executive Officer
Dave Morton - Chief Financial Officer"
Conference Call Participants,0,"Richard Davis - Canaccord
Alex Zukin - Piper Jaffray
Heather Bellini - Goldman Sachs
Stan Slotsky - Morgan Stanley
Brent Bracelin - KeyBanc Capital Market
Terry Tillman - SunTrust
Peter Levine - Evercore
Scott Berg - Needham
Shelby Seyrafi - FBN Securities"
Operator,0,"My name is Sharon, and I’ll be your conference operator today. At this time, I would like to welcome everyone to the Anaplan First Quarter Fiscal 2020 Earnings Conference Call. All lines have been placed on mute to prevent any background noise. After the speaker’s remarks, there will be a question-and-answer session. [Operator Instructions]
Thank you. Edelita Tichepco, you may begin your conference."
Edelita Tichepco,0,"Good morning. And thank you for joining us on today’s conference call to discuss Anaplan’s First Quarter Fiscal Year 2020 Financial Results. Joining me on the call are Frank Calderoni, our Chief Executive Officer; and Dave Morton, our Chief Financial Officer.
On this call, we will be making forward-looking statements, including financial guidance and expectations for our second quarter and fiscal year 2020, anticipated future operating and financial performance, strategies, customer demand, product and technologies. These statements reflect our best judgment based on factors currently known to us and actual events or results may differ materially.
Please refer to documents we filed with the SEC, including the Form 8-K filed with today’s press release. Those documents contain risks and other factors that may cause our actual results to differ from those contained in our forward-looking statements.
These forward-looking statements are being made as of today and we disclaim any obligation to update or revise these statements. If this call is reviewed after today, the information presented during this call may not contain current or accurate permission.
We will also discuss non-GAAP financial measures, which are not prepared in accordance with generally accepted accounting principles. Unless otherwise stated, during the call, all references to our gross margins, expenses and operating results are on a non-GAAP basis. For historical periods, our reconciliation of GAAP and non-GAAP results is provided in the press release and in supplemental financial information on our website.
Finally, we are planning for today’s call to last approximately 45 minutes and we will do our best to accommodate your questions following our prepared remarks as time permits.
And with that, I will now turn it over to Frank Calderoni."
Frank Calderoni,0,"Thank you, Edelita, and good morning, and welcome to our first quarter earnings call. I would like to first start-off by saying thank you to our customers, partners, investors and especially our employees, who have been instrumental in helping us get to where we are today. We are very proud of how far we have come in a short amount of time and we could have done it without the commitment, dedication and loyalty from all of our stakeholders.
We are very pleased with our first quarter results as it marked a strong start to the year with solid financial and operational performance. This is a reflection of our committed market momentum and an indicator that all main drivers behind our growth are producing well. We believe we are the leading modern business planning platform, as we are the only connected planning solution that can address the phenomenon of digital transformation.
The rapid growth and expansion we are seeing is a result of the key role Anaplan play in helping enterprises regardless of industry adapt faster to the increased business dynamics. Every business leader is now applying new rules of engagement in order to compete and grow and they are seeking solutions that can address their needs for the future. Our platform is quickly becoming the new core digital technology standard that can dramatically improve the economics of any business and our results reflect it.
Within this quarter, we have experienced strong topline growth. Our total revenue grew 47% year-over-year to $76 million. Our non-GAAP operating margin improved 19 percentage points year-after-year, while we maintain very strong revenue growth, as we continue to see increasing year-over-year leverage in our business.
Our dedication to putting our customers first and our relentless focus on establishing deep relationships with them have enabled us to grow to serve a broad customer base. We grew our customer momentum in the first quarter and we now serve 279 customers with over $250,000 in annual recurring revenue, a number that has grown 43% year-over-year.
The enthusiasm and interest our customers have for our Connected Planning solution continues to multiply, as demonstrated by our consistently high dollar base network expansion rate, which was 123% in the first quarter.
We experienced a healthy mix of new customer wins and strong expand activity as demand for our platform continues to grow. This quarter, one of our largest insurance companies in the world selected Anaplan as part of a large scale effort to modernize their financial processes and functions.
This customer has over 50,000 employees in almost 1,000 locations, so they needed a platform that could extend beyond finance. Consistent with our land and expand strategy, this customer is first implementing Anaplan for one of their business units and then have plans to rollout our platform globally.
Another new customer this quarter is a Japanese global information and communication services leader. This is a company that has operated for over 100 years and conducts business in over 150 countries. The customer chose our platform for its ability to support a broad range of potential planning use cases, as well as its intelligent and flexible modeling capabilities.
The first use case will enable a consolidated accurate sales forecast across multiple business units, which previously took months to deploy. Our platform has enabled and improved forecast capability that now runs within days and has driven investment priorities against a more accurate and timely sales forecast.
A key customer expand this quarter was with one of our largest multinational technology companies, through their digital transformation effort to focus on transforming user experience with their products.
I have personally met with their Chief Strategy Officer and their Chief Digital Officer to discuss how we are their core technology platform to help them further penetrate their markets in a digitized way.
They were already using the Anaplan platform for financial planning and workforce planning, and we are now focusing on their global marketing operations. Previously, manual processes and limited visibility into spending across geographies led to millions of lost marketing campaign dollars. We are the platform that will modernize this customer’s marketing resource management by building foundational capabilities across this campaign lifecycle, as well as optimizing its marketing budget planning and tracking.
We have a new framework to visualize how Anaplan’s many use cases typically expand and connect within our customers, which we call the Honeycomb. Starting with one use case or a single hexagon within a Honeycomb, we typically see that rapidly expand into additional use cases, often in related or adjacent business areas.
An excellent recent example of this is a large G2K customer as a consumer products company. They have continued a rapid expansion of their connected planning to help drive digital transformation across multiple lines of business.
Recent goal lies in April of 2019 supporting new use cases in P&L and OpEx planning were deployed in just four months to bring them to a total of 14 deployed use cases across supply chain and finance, in addition to using Anaplan with their external network of suppliers.
Future plans are to deploy the Anaplan platform to support an incremental six use cases within this calendar year in areas such as project planning and sales, and operations planning, and a road map for an additional 10 use cases in 2020. Once these are in place, this customer’s Honeycomb will have been built out to about 30 use cases within a rapid 24-month period.
Overall, we are becoming an emerging standard in a number of industry verticals. As leading companies in the industry deploy our platform and see the immediate results, word spreads quickly within the industry.
For example, we believe we are the leader in the spirits and cosmetics verticals, with many of our customers digitizing the way they conduct their business globally and we hear often that we are the only platform that can help them achieve their ambitious growth goals. Our successful and happy customers are best promoters and salespeople for Anaplan and this is now resulting in a domino effect in several industries.
One of our top priorities is broadening our partner ecosystem, where we see strong momentum in our partner contribution. They continue to invest heavily in scaling their Anaplan practice capacity and capability, and we have now formalized partnerships with the world’s leading strategic and global systems integrated firms, including Bain, VCG, McKinsey and on-boarding this quarter, A.T. Kearney and Oliver Wyman.
We also recently won an award with Wipro at their Annual Partners Summit. Anaplan was named accelerated go-to-market partner of the Year. We are very proud of our recent achievements as Anaplan was recognized as a leader by Gartner in the 2019 Sales and Operations Planning Systems of Differentiation, S&OP, market Magic Quadrant.
In Gartner’s last version of this report, we were considered a niche player and we have quickly moved to a leadership position. We believe the recognition in a leaders’ quadrant is because of the high customer satisfaction and impressive capabilities of our supply chain solution. It’s important to note that we are one of the few included in six different Gartner categories for single-platform.
Driving further adoption of our platform globally is an area of focus. One way we do this is through our user community, including our inaugural virtual user conference. The event was impressive with over 275 companies participating and 38 countries represented.
Our customers are excited to share their Anaplan success stories and we host some of our top global customers from the Fortune 100 at our marketing events, including our upcoming global user conference call Connected Planning Xperience. It is taking place on June 10th to 12th in San Francisco.
We expect a large turnout as we will showcase how Anaplan will enable businesses to maximize real-time opportunities and continually improve decision-making in a fully digitized future. We will demonstrate our new user experience and mobility, which essentially brings to life all planning for all people.
The momentum and opportunity we are experiencing with our customers are exciting. With digital transformation taking over every industry, we have never been better prepared for this moment.
We are at an inflection point where we believe we will continue to see an increase in market adoption. Our purpose-built platform gives the depth and breadth across six different quadrants that will help any organizations make better, smarter and faster decisions.
Now, let me turn over the call to Dave, who will discuss our first quarter financials and outlook for the second quarter and fiscal year 2020. Dave?"
Dave Morton,0,"Thanks, Frank, and good morning, everyone. For the first quarter of fiscal 2020, we exceeded our expectations across all of our key financial metrics. We drove year-over-year revenue growth of 47%, and within this, subscription revenues were up 45% year-over-year and comprised 86% of total revenue. Service revenues were $11 million, up from $7 million in the first quarter last year and calculated billings of $87 million grew 57% year-over-year.
Our remaining performance obligation or RPO consists of both billed and unbilled consideration for contracted business remaining to be performed that we expect to recognize as subscription revenue. We exited the first quarter with a total RPO of $473 million, up 53% over last year, which accelerated compared to last quarter’s year-over-year growth rate of 44%.
There are two key factors that can influence RPO. First is the timing of large enterprise renewals and second is the weighted-average contract term length. We have standard contract terms. Initial land contracts are approximately three years in length, renewal contracts are approximately one-and-a-half years and expand contracts are somewhere within that range.
Highlighting results from some additional key metrics. Our dollar based net expansion rate was 123% and continues to track above 120% underscoring our success in retaining and steadily expanding business with our existing customer base.
We ended the quarter with 279 customers over $250,000 in annual recurring revenue, up from 195 customers this time last year. And within this, the number of customers over $1 million in annual recurring revenue has almost doubled compared to the same period last year.
We continue to drive the growth of our overall deal size, led by an increase in our lands average selling price, which was up 60% compared to the prior year. We have a broad and diverse customer base across all range of industries. This quarter, some of our largest deals were with customers in the consumer goods, oil and gas, financial and technology verticals, thus growing in diverse customer base speaks to the breadth and value of our platform, and Anaplan’s increasing role in enabling our customer’s digital transformation strategies.
Turning to our profitability metrics for the first quarter, total non-GAAP gross margin was 73% and flat on a year-over-year basis. Within this, subscription gross margins were 84%, up 92 basis points year-over-year and services gross margins were approximately 7%, up 65 basis points year-over-year.
Total non-GAAP operating expenses were $75 million, up from $61 million in the prior year period. Year-over-year growth in spending was driven by strategic go-to-market investments, and as mentioned on our last earnings call, first quarter operating expenses included certain seasonal costs such as our annual sales kickoff and audit fees.
First quarter loss from operations was $20 million, down from $23 million in the same period last year. Operating margins of negative 26.5% improved 19 percentage points, compared to negative 45.2% in the same period last year.
While we are still in the early stages of driving increased leverage from our strategic go-to-market investments over the fiscal years, we are beginning to see the returns in our topline growth and achieving better leverage and scale within our financial model.
Net loss per share in the first quarter was $0.16, based on $123 million weighted average shares. Free cash flow, which is cash flow from operations less capital expenditures for the first quarter was negative $5 million. We ended the first quarter with $333 million in cash and cash equivalents.
We have strong momentum heading into the second quarter fiscal 2020 both in terms of market opportunities and profitability goals. We expect total revenue to be in the range of $77.5 million to $78.5 million and non-GAAP operating margin to be in the range of negative 25.5% to 26.5%. Weighted average share count for the second quarter is expected to be approximately 128 million shares.
For the full fiscal 2020, we are raising our revenue and operating margin outlook, driven by the first quarter performance and the ongoing strength we see in our business. Looking ahead, we expect total revenue to be in the range of $326 million to $331 million and we expect billings to track in line with overall revenue growth rates.
As previously stated, Anaplan’s quarterly calculated billings can fluctuate from quarter-to-quarter, impacted by timing renewals and of annual contracted billings. Non-GAAP operating margin is now expected to be in the range of negative 22.5% to 23.5%.
As a reminder, second quarter operating expenses will reflect the cost related to our upcoming annual user conference in June. The weighted average share count for the full year is expected to be approximately 129 million shares.
In summary, we drove excellent operating results in the first quarter, with strong topline growth and improved leverage in our business model through productivity gains. There is significant momentum in our business with increasing deal sizes, strong unit, economics and then expanding and diversifying customer base. We are confident our focus execution will continue to drive Anaplan’s category leadership and the connected planning market.
With that, I will now turn it back to the operator to take your questions."
Operator,1,[Operator Instructions] And our first question comes from Richard Davis with Canaccord. Your line is open.
Richard Davis,1,"Thanks. Just a quick question. So no tipping point is always kind of a loaded phrase. But, Frank, you are not seeing a bunch of past companies kind of try and fail the scale in connected planning. So when I kind of think about this and when you think about this, what -- is there -- what’s the most important factor that’s kind of broken the dam to kind of get this upgrade cycle, is it -- you talked about time delay, is it early steps to verticalization, is consult and validation, I mean, I guess, you could just say it’s everything? But can you identify something that outsiders we can kind of focus on to think about what’s making this thing work well? Thanks."
Frank Calderoni,1,"Yeah. Richard, that’s a good question. I have to say this spending over 30 years in the planning vertical or I should say. The first thing I would say is that there hasn’t really been that much change in planning in decades from the standpoint of process, as well as the tools and applications.
And I think if you look back over the last several years what I think has hit a strong point with customers is that, they are trying to digitize, as I mentioned in the prepared remarks, and they haven’t been able to really effectively do that in planning.
And to have a platform that Anaplan has so pervasive across an enterprise, I think, it’s very compelling for many of these companies to start to leverage that and really start on embarking on a new way of doing their planning.
And once they start, and all the examples that we have seen especially myself over the last two and a half years with Anaplan, really starts to show that we are in the early stages of what I think is really pretty phenomenal as far as what companies, large G2K companies, enterprise companies can accomplish over a period of time.
So I think it’s really kind of taking processes that haven’t had a much change, that are very costly, that haven’t been very flexible, that has been more backward looking rather than forward looking and providing these customers with an option where they can make some change and realize value in a short period of time, and that’s the compelling part the Anaplan platform delivers."
Richard Davis,1,Great. That’s super helpful. Thanks so much.
