speaker,q&a,content
Operator,0,"Good day, and welcome to the Pope Resources 2018 Investor Update Conference Call. Today's conference is being recorded. At this time, I’d like to turn the conference over to Kirsten Chapman of LHA Investor Relations. Please go ahead."
Kirsten Chapman,0,"Thank you, David, and thank you all for joining us today for the Pope Resources June 2018 investor conference call. This is Kirsten Chapman of LHA Investor Relations. Please note today’s call is being webcast with an accompanying presentation. Both the webcast link and the presentation can be found at www.orm.com/investorrelations. Joining me today from management are, Tom Ringo, President and CEO; Mike Mackelwich, Vice President of Timberland Operations; Kevin Bates, Vice President of Timberland Investment; Jon Rose, Vice President of Real Estate; and Daemon Repp, Director of Finance.
It is now my pleasure to turn the call to Daemon Repp. Please go ahead sir."
Daemon Repp,0,"Thank you, Kirsten. We begin by reminding the audience that except for our statements about past performance, almost everything we say on this call, consists forward looking statements. To the extent we talk about our plans for the future, or our expectations for future business development, we ask that you recognize that these are not promises about our plans or guarantees of future performance.
There are many events and developments that could cause us to change our plans or to fall short of our expectations. The printed version of this presentation, which is available on our Web site, contains a brief summary of the known factors and our SEC reports contain more detailed discussion about these and other risks and uncertainties. And we ask that you read them as you are considering your investment decisions.
I will now hand it over to Tom Ringo."
Tom Ringo,0,"Thank you, Daemon. I’d turn your attention to Slide 4, but before I get there, I just want to make sure I welcome everyone and thank you for joining the call today. This is the second edition as Kirsten said of what we intend to be a series of annual teleconferences, where our primary objective is to give investors, whether current unit holders or those interested in the Company for any number of reasons, give those folks an opportunity to hear management discuss directly the opportunities and challenges that face the Company as we execute on our growth strategy.
To give this hour long call a broad outline, our plan is to give you 35 to 40 minutes of prepared remarks where you will hear the voices of five members of the management team. We will pass the speaking baton to each other as we spin through the slide deck accompanying this teleconference. And Kirsten has already introduced the team by name and title. After prepared remarks, the balance of the call will be devoted to Q&A. And when we get there, we’ll all get instructions on how questions may be teed up for management response.
So Slide 4, Pope Resources’ overview. This slide is an overview of the Company with a call-out of selected key attributes. All of these attributes will get more discussion as our managers unpack, in turn, each of the business segments. Pope Resources, as most of you know, is a Master Limited Partnership or MLP, a last timber company organized in this fashion where once there were a handful. In a few slides, I’ll comment on what we consider to be the key tax advantage of this form of governance has for individual investors.
Through predecessor company, Pope & Talbot, we have roots that go back over more than 1.5 centuries here in Pacific Northwest. The Partnership owns outrights nearly 120,000 acres of prime Pacific Northwest timberland and 2,100 acres of development property, all in the State of Washington, and when it comes to the development property all in the lead of Seattle, nation’s hottest real estate market. Nested inside this MLP, there is also this private equity business centered on Timberland with three timber funds holding 124,000 acres in the states of Washington, Oregon and California. And draw your attention to the map on Slide 4 for a rough idea where the plantations are located. Finally, our units trade on NASDAQ under the symbol POPE, and currently offer yield of just about 4%.
Let’s go to Slide 5. We have recently migrated, talking about our Company in terms of four business segments, as opposed to the three that we have historically referenced. We’ve gone from three to four by splitting the key timber segment into its partnership and Fund component parts. As the significance in size of our Fund business has grown, it has become ever more apparent that we needed to do more to help POPE unit holders clearly understand our performance results as it pertains to cash flows supportive of distributions.
Looking left to right on the Slide 5 offers a synopsis of each segment, together with recent performance metrics, expressed in terms of adjusted EBITDA. The definition of this metric starts with the familiar acronym EBITDA and eliminates gains on timberland sales and adds back environmental remediation expenses embedded in the real estate results. The chart at the bottom of this Slide 5 will reappear later in the deck and Daemon will speak to notable patterns over the years, spanning 2009 to early 2018.
Moving to Slide 6. Unit holder distributions are essential aspect of how we deliver value to investors in POPE. This chart indexes our historical distributions to a December 2007 starting point pre-global financial crisis. And using the same indexing overlay compares our payouts to those of our timber REIT peers. As you study this chart, you notice some interesting patterns. The green line is for POPE, and you can see how we responded to the GFC by dramatically dropping our distribution. Then starting in 2010, we have since stair-stepped the distribution backup smartly to its current annual rate of $2.80 a unit, or that 4% yield I previously mentioned.
We’ve been holding our distribution flat for almost three years as we work our way out of the peak environmental cleanup spend at Port Gamble. Since the worst of that cleanup is now behind us, we look forward to resuming a growth pattern to the distribution. And let's not forget that our distribution is a tax-free return of capital.
Let’s go to Slide 7. Now whether it’s looking at after-tax yields prior to recent tax reform or after, we believe that the most tax-advantaged way for an individual to own timber is an MLP, even better than a REIT. Of course, individual circumstances vary so exceptions to such blanket statements are conceivable. Our Annual K-1 bifurcates the Partnership‘s income into two primary categories or buckets, if you will, ordinary loss and capital gain. In a typical year, the net of these two amounts is a positive income number. But because the ordinary loss is to offset income tax at an individual, say top marginal rate of 37%, while we capital gains tax at 20%, the interplay of these different rates produces a tax benefit in many cases. Now, those benefit has been somewhat muted in recent years as environmental spend at Port Gamble has disturbed at typical pattern. But the broad pattern is set to resume now that the worst for the cleanup his is largely behind us.
So I'd like to invite you now to turn to Slide 8, and I'll hand the speaking role over to Mike Mackelwich."
Mike Mackelwich,0,"Thanks, Tom. Pope Resources’ strategy for its timber portfolio is to create long-term value from the harvest and management of a specific northwest timberlands and related resources and secondly, through the targeted acquisition of additional timberlands. We have the sustainable harvest schedule that is based on net available acres, and we implement civil culture practices that reduce future harvest cost and produce a desirable sort mix, ultimately providing optimal returns to unit holders. We grow our opportunity for cash available for distribution with a thoughtful and disciplined approach to acquisitions of small track timber lands. And through the co-investment in private equity, timber Fund vehicles where Pope Resources currently has an equity stake ranging from 5% to 20%.
Turning to Slide 9. Looking at the table, in our Fee Timber portfolio, Pope owns at 119,000 acres of timberland in Washington State, together with some long-term timber bids, the net acres of which provide the basis for the 52 million board foot annual cut. Through the Partnership’s equity stake in the Funds, Pope has exposure to log markets in Central and Southern Oregon, and Northern California, which creates added log market debt that would not exist without the Funds.
In row two of that table, average side index is identified side index as a common major of growing productivity, the average Douglas-fir site index with the Partnership lands is a 113 feet at base age 50. This dropped slightly to 112 feet when blending in Pope’s portion of Fund acres. Site 112 to 113 is what foresters term high site three timberland that is good quality. Turning now to the chart at the lower left of the page, you can see the age class distribution of the Partnership’s timberlands, shown a reasonably well distributed age class profile with the heaviest concentration in the 25 to 34-year-old tranche.
Looking at the pie chart on the lower right, you will see that we primarily grow Douglas-fir. Douglas-fir is a species that commends a premium, and is sought by end users because of its superior strength. It also has lower term dry times than other species, and has some un-dried green product options. Then of course it has a beautiful appearance and is used for open being construction at times to display that trade.
Turning to Slide 10. In the Pacific Northwest, especially where most of our timberlands are located, log prices are supported by diverse log markets with access to both domestic mills in Asia. Our primary market is the domestic log market where products are used mostly for home construction, so framing lumber, beam supply wood OSB, cabinets and doors. Export demand provides market diversification for us that that keeps pressure on the domestic markets. We sold logs to export brokers who market those logs to China, Japan and Korea for use in many products, including concrete forms, appearance lumber and pallet stock.
Looking at the chart, you see our export percent shown as light brown bars keen off the left hand Y axis. When domestic takeaway is weak due to poor U.S. housing starts, Asian markets are important to Pope Resources. Notice that since 2010, there has been a narrowing in the premium between export log prices, shown as the blue line and domestic log prices, shown as the green line; both keen off the right hand Y axis and both in nominal terms. The continuance of that narrow premium through 2018 indicates sustained competition between U.S. mills and Asia for our logs. Much of this is related to China's significant appetite for logs to feed their construction sector.
Our current log prices -- strong log prices in quarter one 2018 are attributable to strong takeaway for domestic housing, duties on Canadian lumber and pressure from Asia as previously described. And as implied by the chart, the U.S. domestic market has always been our primary outlet for logs. And we believe this will remain true, moving forward, as U.S. housing starts and repair and remodel activities increase in the U.S. in coming years.
Turning to Slide 11. You heard us log some from timberland assets of Pope and the Funds in Washington, Oregon and Northern California. As indicated earlier, the Partnership’s sustained harvest level is 52 million board feet. It’s shown as the black line below in the chart. The increase in the cut from 2014 to ’15 resulted from improved inventory information and better optimization software used in our long-term planning process, which we generally update every five years and which we did update at the end of 2014.
The increase from 2015 to ’16 of 4 million feet is related to the addition of the 7,300 acre Carbon River tree farm purchased by Pope Resources in 2016. And we also opportunistically harvest additional volume from our real estate portfolio when markets are strong, and that's not part of that 52 million board feet sustained cut. Added volume is also taken strategically from small tract acres.
We did increase our harvest target in 2018 above the 52 million board foot mark as blue bars indicate, or as the blue bar for at least 2018 indicates, as forecast for ’18. And that’s due to excellent log prices that developed in 2017 and early 2018. The extra 14 million board feet there in 2018 will not impact that 52 million board feet sustained harvest level, because it comes from real estate acres and small tract acres not yet included in our long-term sustained cut calculation. Pope Resources also realizes revenue from volume harvested from Fund Timberlands, that's depicted in green in the chart, and that share of the Funds is projected to be 9 million board feet for 2018.
Turning to Slide 12. We started acquiring what we have termed small tract timberlands programmatically in 2014. These acquisitions are strategic and that they increase our land base and our sustained harvest yield partly through improving our age class profile and that is one of the programs' expressed purposes. In 2014 through ’17, we added almost 5900 gross acres for a total of $20.5 million, much of which has been 1031 Exchange proceeds from real estate and conservation sales as we reposition assets and move them away from North Kitsap County, Washington to more timber friendly areas. 2018 has been active on the small tract front with four acquisitions in quarter one, totaling just under 900 acres for $5.4 million. The cash on cash return for those four acquisitions from quarter one in '18 will be roughly 85%, because there is a significant amount of timber on these tracts.
That concludes the Fee Timber prepared remarks, and I’ll pass up the tone to Kevin Bates for a discussion of Timberland Investment Management segment."
Kevin Bates,0,"Thank you, Mike and good morning everyone. I have the pleasure, as Mike said, speaking with you today about our private equity timberland business. The purpose of this business segment is to leverage our Pacific Northwest timberland management expertise to sponsor and co-invest in timberland investments vehicles, focused exclusively in the Pacific Northwest. This business segment has represented our primary growth vehicle over last 12 years, and today it represents timberland with a total value of $490 million.
Please turn to Slide 14. The table on the top of this Slide provides a snapshot of where our private equity strategy sits today. I will highlight a few numbers from this table, starting with the top row, to help explain how the table is constructed. The three funds we are currently managing own a total of 124,000 acres, which you can see they are in the center column. The Partnership owns 20% of Fund II, 5% of Fund III and 15% of Fund IV. If you apply these percentages to acres owned by each of the funds, the Partnership’s equity interest in the funds represents 15,000 acres across the states of Washington, Oregon and California.
The diversification the Partnership enjoys in its timberland portfolio would not be possible if the partnership were only investing its own capital. To illustrate this point, I would like to draw your attention to the cumulative paid-in capital figure of $43 million, which represents paid-in capital for Funds II, III, and IV. If the Partnership were investing only its own capital, that $43 million would be invested in one or maybe two tree farms bought in one or two separate transactions. By investing in these private equity timber vehicles, that same paid-in capital instead represents an interest in nine separate timberland properties acquired in nine separate transactions between 2009 and 2018.
Moving a few rows below cumulative paid-in capital, you will find current Fund debt. We have used timberland mortgages in Funds II and III, totaling $57 million. Fund debt is collateralized only by Timberland in each of these respective funds. There is no cross collateralization with Partnership properties. The Partnership’s share of that fund debt, using it for proportional equity interest in these funds, is $7 million.
The next row I would like to draw your attention to is carried interest. Carried interest is earned when investors have received their entire paid-in capital plus their preferred return in cash distributions. The $10 million indicated in the table is a pro forma amount based upon the latest third party of appraisal reports, and assuming the properties are sold at their appraised value. Note that carried interest represent, the cost of the third-party investors and income to the Partnership, or more precisely to its wholly owned subsidiary, Olympic Resource Management. Just to be clear, our investors in these vehicles own common shares are limited liability company units. And as such, there is no guarantee that investors will receive that preferred return.
Finally, internal rate of return as a blended figure for all of our private equity investment vehicles. We acquired the properties in our first fund in late 2006, not long before the global financial crises. We liquidated that fund prior to the end of its fund life generating a 3.3% internal rate of return. The funds we are currently operating follow a somewhat predictable pattern with those investment vehicles with the lease operating history at lower returns, while those vehicles that we have managed for a longer period of time are higher. This is due to the cost incurred in the first few years placing capital, which dragged down returns until the investments have been managed for a longer enough period of time to fund those early costs.
For example; Fund II, which was placed in 2009 and 2010, currently has a 12% internal rate of return; Fund III, placed from 2012 to 2015, is currently at 5.3% internal rate of return; Fund IV is negative as we’re still working on placing capital and have had less than a quarter to manage the newly acquired properties in this fund. The Fund II portfolio also has benefitted from being placed certainly after the global financial crisis when timberland values were at a cyclical level. The higher return for the Partnership’s share of the Funds is due to the pro forma carried interest on Fund II, which is expected to be paid to Olympic Resource Management ones the Fund is liquidated.
Now please turn to Slide 15. The purpose of this slide is to give an indication of current and historic cash flow generated from our private equity business as the proportion of the Partnership’s distributions. We are currently generating $3 million of asset management fee annually. When you add cash distributions paid to the Partnership due to its co-investment in these funds, we are currently generating cash in this operation of more than 35% of the Partnership’s cash distributions. We expect that we’ll continue to increase as we place capital for Fund IV. The spike you see in 2013 is due to a mortgage that was taken out on our Fund II portfolio with proceeds distributed back to investors.
I am now turning to Slide 16. We were very pleased to close on our first two Fund IV acquisitions in early 2018. We are cautiously optimistic that over the remainder of 2018 we will buy one or two additional properties to add to this portfolio. We currently have committed capital in this fund of $273 million to place, of which $41 million represents Partnership co-investment. Fund IV is constructed a little differently than our prior funds, and that the term is longer at 15-years versus 10-years from our previous fund. The draw down period can be expanded to five years, and there are only four investors plus Pope Resources. All of our partners in this vehicle are knowledgable long-term timberland investors.
That concludes my prepared remark. And I will turn it over to Jon Rose to cover our Real Estate segment."
Jon Rose,0,"Thank you, Kevin. Please turn to Slide 17. In Real Estate, our Group creates and harvest higher and better use real-estate value through a variety of entitlement and development strategies that benefit from our proximity to Seattle and Tacoma. Today, we’ll provide a market overview and review some of our key strategies and projects.
Please turn to Slide 18. Seattle and Puget Sound are experiencing a perfect storm of real estate supply and demand. The Seattle area remains the highest real estate market in the nation with over 50 construction cranes in use. This historic demand falls from the aggressive hiring of Amazon and other technology companies. This period of high demand is also taking place during a period of record scarcity of land upon which to build new homes and other developments.
This scarcity is derived from a law Washington State passed in 1991. That was the Growth Management Act that mandates that cities and counties must concentrate growth in compact urban areas. These urban growth areas are filling to capacity, leaving builders and developers scrambling to find project sites all over Puget Sound. Years ago, the Company worked to position its holdings inside urban growth areas. We have been and we will continue to enjoy the fruits of this effort for years to come. Being able to execute long-term asset repositioning like this is an advantage we enjoy over other real estate development organizations that don't have the luxury of time in positioning and capitalizing their projects.
Our holdings in Kitsap County received a significant boost in value, when Kitsap County passed the bond measure to initiate high-speed passenger-only ferry service to downtown Seattle in three locations. These boats will deliver commuters to downtown Seattle in less than 35 minutes. Please turn to the map to see the location of these boats. The Bremerton service began in 2017. It is very popular and the boats are regularly full to capacity.
The Kingston boat is slated to begin in operations in 2018, but might be delayed till 2019. And the Southworth boat is scheduled to begin in 2020. Its instructors study Bainbridge Island, which has enjoyed a 35 minute ferry ride to Seattle for decades. Bainbridge Island is now one of the most expensive communities in Puget Sound. The effect of these market dynamics and improved transportation systems is the westward migration of homebuyers and homebuilders, seeking affordable land that is now within commuting distance to Seattle.
I’d like to draw your attention to the area of the map around Kingston and Port Gamble. In 2007, the Company owed 8,000 acres in this area where over 85,000 people lived. We deem this to be too populated and risky with regards to long-term industrial timberland management, and decided to reduce our exposure there. We began a partnership with the communities to help it raise money and purchase many of these lands. This effort concluded in December of 2017, and the community now owns approximately 4,500 acres in a mild waterfront.
Known as the Kitsap Forest and Bay project, the proceeds from these transactions help to fuel our small tract acquisitions and timber fund co-investments, which purchase land in more remote timber friendly locations. Further, by selling to a county government for park and recreation uses rather than a timber or development company, we have reduced supply of residential properties and created a major amenity for all of our 3,500 acres of retained lands. These lands will benefit from a rising tide of residential real estate values.
Now please turn to Slide 19 for an overview of some of our key projects that are enjoying our urban growth and asset repositioning strategy. Harbor Hill is a 330 acre property and this former timberland that was placed inside the City of Gig Harbor urban growth area in 1998. Active development began in 2006. We expect to wind up the development this year with the sale of our last 65 single family lots and an 18 acre retail commercial property. Harbor Hill has been a very successful project. Its completion and 12 years of development has set us well for our Arborwood and Port Gamble projects.
The Arborwood project was placed in the Kingston urban growth area in 2011. We now have approval to develop 750 residential units in a project that is only two miles from the Kingston ferry. Arborwood will benefit from a new 800 acre park that was created from Kitsap Forest and Bay project, and is directly adjacent to the project. We are already receiving strong interest from regional and national homebuilders. We believe the small lots, close proximity to the ferry and good schools will be highly attractive to Seattle commuters. And we anticipate starting our first phase of development in 2019 or 2020.
Port Gamble is our historic company town that lies eight miles from the Kingston ferry terminal. We have been positioning this property for eventual development and disposition for many years, starting with the rezone of the township urban style zoning in 2000. We now have zoning for over 290 residences and 100,000 square feet of commercial. We have been conducting environmental cleanup activities in Port Gamble since 2002.
Last year, we completed the most significant portion of the environmental cleanup with the dredging of 100,000 cubic yards of sediment from Port Gamble Bay and removal of 800,000 creosoted piles. There's still cleanup to be done on the mill side itself, but we expect this to be far less costly than the dredging project. That work should take place in 2019 and 2020.
You may have noticed last week we received some disappointing news from Washington State Supreme Court, which denied our petition to find that the Washington State Department of Natural Resources is liable to contribute to our past and future cleanup costs. This decision does not create any new environmental liabilities it just eliminates the Department Of Natural Resources as a potential contributor.
Our positioning of Port Gamble has provided with adequate urban services. In the last years, we completed construction of a brand new waste-water treatment plant in connection to a local water utility. Now Port Gamble has enough sewer and water capacity for its full development. The aforementioned Kitsap Forest and Bay project will benefit Port Gamble with over 3,000 acres of new public-park and trials, and a mile of public water front directly adjacent to the town. We are revising and resubmitting our master plan to Kitsap County this summer, and hope to have projects approval in two to three years.
We believe Port Gamble with its historic character water front location, access to Seattle and acres of parkland will be highly attractive to its high rise Kitsap County. These buyers have now built significant equity in their homes, and will be able to relocate and take advantage of Kitsap County's relatively lower housing cost and laid-back lifestyle.
Regarding conservation sales, the Company began to actively court the sale of conservation fee and easement sales around the year 1998. Conservation easements extinguish development rights but they allow for continued management of the timberlands. We sold over 17,000 acres of conservation easements and over 12,000 acres in fee for over $51 million in revenue since 1998, and we are working all the time to keep the pipeline full with new projects. We expect the closing of at least one significant conservation easement sale this year.
Now please turn to Slide 20. That focus is on Bainbridge landing. We've included a special focus on this project as its Company's first private equity play in real-estate. As in our Timberland Management business, the Company believes it can improve benefits from the opportunistic execution of private equity joint venture projects that create reoccurring cash flows and leverage outside equity and debt. We are 50-50 joint partners with another local firm, and have provided about 12% of the required equity. Details on the capitalization are included on the slide. The project is under construction and will produce 107 apartment units and 25% of homes. Bainbridge landing lies only 900 feet from the existing Bainbridge Seattle ferry landing is going to significantly benefit from the intense housing pressure we’re all experiencing.
And now, I'd like to turn it back over to Daemon Repp."
Daemon Repp,0,"Thank you, Jon. I'm on Slide 21 where we illustrate adjusted EBITDA by segment. Our efforts across the Company that you have just heard describe combining the strong markets in each of our four segments have resulted in increased cash generation since the global financial crisis. Through improving log prices, increased harvest volume, growth of our Timber Fund business and capitalizing on our real-estate development projects. These factors resulted in $37.2 million of consolidated adjusted EBITDA during 2017, and a solid start to 2018 with $11.7 million in het first quarter.
Turning to Slide 22. We present the various perspectives from which one can measure our financial performance. This is important because our GAAP financial statements include the results of non-controlling interest, which is a significant amount. Non-controlling interest represents a portion of our Timber Funds owned by the Funds’ third-party investors. One such perspective is Partnership, which includes the ownership and operation of our Hood Canal and Columbia tree farms totaling 119 acres, the investment management of our three timber funds and the ownership and operation of our 2,100 acre real-estate portfolio.
Secondly, the consolidated perspectives represents our GAAP results, and includes the ownership and operation of everything owned by the partnership in our three timber funds. The consolidated perspective results in the elimination of fee revenue earned by our Timberland Investment Management segment with the corresponding elimination of the fee expense incurred in the Fee Timber Funds segment.
Finally, the look through perspective represents the Partnership, plus its 20% interest in Fund II, 5% interest in Fund III and 15% interest in Fund I. Per gap we have always recorded our look through net income on our consolidated income statement, and the fees paid by our third party investors have always been part of that looks through net income amount. With the release of our first quarter 2018 results, we began disclosing other financial metrics on a look through basis as we felt it provided current and perspective unit holders with the better sense of the financial results of owning a Pope unit. Further detail on these definitions and our financial results are presented in Appendix A of this presentation.
Turning to Slide 23. We present recent key financial information from the three perspectives I just discussed. Our solid first quarter 2018 results reflect the continuation of the strong trends we experienced during 2017. I would like to highlight first quarter 2018 net income as it is the same for all three perspectives, which may lead to some questions or confusion. For the partnership net income was $5.7 million, the combined net income of our three timber funds totaled zero and that’s our consolidated net income was also $5.7 million. Finally, the partnership's share of each of the three timber funds net income coincidentally also totaled zero and that’s our look through or GAAP net income was also $5.7 million. This is a coincidence that we would not expect to repeatedly off in future reporting periods.
On Slide 24, we endeavor to break down one of the side effects of our consolidated GAAP financial statements. Our consolidated balance sheet reflects all of the debt held by the partnership and the funds totaling over $145 million. While it is important to note that the partnerships look through debt is only $95 million, it is even more important to understand that there is no cross collateralization between the funds, debt and the partnerships assets. The partnerships debt agreements with this vendor are completely separate from those of the funds with the debt held by the partnership collateralized by a portion of the partnerships timberland and real estate portfolio and the debt held by each of Fund II and Fund III collateralized by portions of their respective timberland portfolios. Again, there is no cross collateralization between the partnership Fund II or Fund III.
I’ll now turn it back to Tom."
Tom Ringo,0,"Thank you, Daemon. And so ringing at home first on Slide 25, as is apparent from the preceding comments by my colleagues, there’s a lot going on with the Company and the balance of 2018 looks very promising to management for three primary reasons. One, strong log prices have us teed up for a record harvest volume here when partnership and funds are combined. Two, sourcing opportunities to deploy fund for committed capital is front and center for us and it's not just about responding to options. Three, the real estate sales to finish off our Harbor Hill project in Gig Harbor, as well as other smaller land transactions plus conservation easement sales awaits us. It's a fare play to realize all this and bring it home.
Slide 26 in terms of takeaways, we’re the beneficiaries of geography and like, they say the real estate location, location, location its truly applicable when you think about our real estate portfolio and that location, next to Seattle, but it is also true for timberland. And being located here on the Eastern shore of the Pacific Rim is a very great place to be, we love where we’re located. And I think in last year's call I talked about the 21st century being the Pacific century if you could think of the 20th as the European century. We love being on this side, left coast of the U.S. facing towards Asia, and I think it provides an awful lot of opportunities for us going forward. We paid an attractive after-tax yield with partnership vehicle that management wants to grow. Lastly hopefully this call gives credibility to my assertion that there is a highly capable management team in place at Pope Resources, all of whom are working very hard each day to create long-term value for our unit holders and investors.
Thanks for your time and attention and we will now shift in the Q&A mode."
Operator,1,[Operator Instructions] We will take our first question from Collin Mings with Raymond James.
