speaker,q&a,content
Operator,0,"Welcome to Post Holdings Fourth Quarter and Fiscal Year 2018 Earnings Conference Call and Webcast. Hosting the call today from Post are Rob Vitale, President and Chief Executive Officer; and Jeff Zadoks, Chief Financial Officer.
Today's call is being recorded and will be available for replay beginning at 12:00 p.m. Eastern Time. The dial-in number is 800-585-8367, and the passcode is 5686449. [Operator Instructions].
It is now my pleasure to turn the floor over to Jennifer Meyer, Investor Relations of Post Holdings, for introductions. You may begin."
Jennifer Meyer,0,"Good morning, and thank you for joining us today for Post's Fourth Quarter 2018 Earnings Call. With me today are Rob Vitale, our President and CEO; and Jeff Zadoks, our CFO. Rob and Jeff will begin with prepared remarks, and afterwards, we'll have a brief question-and-answer session.
The press release that supports these remarks is posted on our website in both the Investor Relations and the SEC Filings sections at postholdings.com. In addition, the release is available on the SEC's website. Before we continue, I would like to remind you that this call will contain forward-looking statements, particularly statements regarding the IPO of our Active Nutrition business. These forward-looking statements are subject to risks and uncertainties that should be carefully considered by investors as actual results could differ materially from these statements. These forward-looking statements are current as of the date of this call, and management undertakes no obligation to update these statements.
As a reminder, this call is being recorded, and an audio replay will be available on our website. And finally, this call will discuss certain non-GAAP measures. For a reconciliation of these non-GAAP measures to the nearest GAAP measure, see our press release issued yesterday and posted on our website.
With that, I will turn the call over to Rob."
Robert Vitale,0,"Thanks, Jennifer, and thank you all for joining us. This morning, I'll briefly comment on the quarter and on fiscal 2018. I will spend more time on our outlook for 2019 and the plan we announced last evening with respect to an IPO of our Active Nutrition business. The quarter came in as expected across the business. Each unit performed reasonably well, and we saw the first step towards gross margin rebuild of Post Consumer Brands. Recall last quarter, we told you gross margin had declined because of systemic inflation that had not been priced and unusual costs that would moderate over the next several [indiscernible].
This is developing as anticipated with a sequential increase of 60 basis points. The increase was indeed driven by lower manufacturing costs, but was dampened by incremental freight cost. I will speak more on the impact of pricing and inflation when I comment on 2019 outlook. In terms of the full year, we are pleased with our consolidated results. Despite a challenging cost environment, we finished the year near the high-end of our initial targets, and we took strategic actions with the acquisition of Bob Evans Farms and the recapitalization of 8th Avenue Food & Provisions. Along the way, we generated nearly $500 million in free cash flow, repurchased 2.8 million shares of common stock and, including the proceeds from 8th Avenue, significantly reduced leverage.
Our outlook for fiscal 2019 calls for adjusted EBITDA of $1.19 billion to $1.24 billion, excluding 8th Avenue. On a pro forma basis, the midpoint of our guidance reflects a healthy 6% growth rate in adjusted EBITDA. Our approach to guidance has been and remains to hedge the start of the year for unknowns that can materialize over any 12-month period. For the first time in several years, our plan includes meaningful inflation and pricing actions. The variability in our range of estimates in large part depends on how these assumptions, including as they may be impacted by Brexit, developed during the year.
Our plan for 2019 is back-end loaded relative to 2018. The timing change results from 3 factors. First, the inflation-pricing relationship I just mentioned favors the second half of 2019. Second, the first half of 2018 benefited from approximately $25 million in excess profit, resulting from an imbalance in Michael Foods egg pricing model. That imbalance is now eliminated, and we are finally back to net neutral with respect to the impact of market egg prices on our foodservice business. Finally, the timing of changes in our manufacturing capacity changes forces the second -- favors the second half P&L.
Let me explain in more detail, starting with our ready-to-drink shake capacity. Despite adding capacity in fiscal 2018, the contract manufacturers that support our shake business are operating at full capacity. In fact, shake sales in the back half of the fiscal 2018 outstripped our capacity. This depleted our inventory and created challenges in maintaining our high service levels. We ended fiscal '19 with insufficient inventory. Although we are bringing on additional capacity in the first half of fiscal 2019, we've had to make choices to navigate the short-term supply constraints. To minimize line downtown and maximize output, we've elected to temporarily limit production to our 2 most popular flavors, chocolate and vanilla, and rebuild our 7-flavor portfolio during the second quarter. While we expect meaningful year-over-year sales growth in 2019, this constraint will cause the first quarter to be relatively flat. We anticipate shake growth to significantly accelerate the balance of the year as this bottleneck lessens.
In contrast, we are shrinking cereal capacity by closing two factories acquired with Weetabix, 1 in the U.S. and 1 in the U.K. We do not expect to reflect any of the cost reduction from the plant closures until the fourth quarter. And these 2 ways changes in our manufacturing capacity favor profitability in the second half of the year. Our current estimate of the impact of all these factors suggest a cadence in which the first quarter will most heavily under-index the year, with an expectation of increases in each sequential quarter.
Before turning to our announcement about Active Nutrition, I want to comment on how we expect to discuss 8th Avenue with you. This is our first guidance estimate following the 8th Avenue transaction. Recall we retained 60.5% of the common equity of 8th Avenue, but our Post guidance does not include any contribution. As I mentioned, we expect 8th Avenue to generate adjusted EBITDA of $110 million to $120 million in fiscal 2019. The business was capitalized on October 1 with $648 million in senior debt and $250 million in preferred equity. Anticipate that we will continue to report adjusted EBITDA and capital structure data to enable you to incorporate 8th Avenue value into your models. Turning to our announcement last evening regarding Active Nutrition, I want to share with you our rationale and current plans. Our business is dominated by ready-to-drink shakes sold under the Premier Protein brand. The segment includes the Premier Protein, Dymatize, PowerBar, Supreme Protein and Joint Juice brands. The business has consistently demonstrated near best-in-class growth rates and cash flow conversion dynamics. 
Since 2014, the segment has grown adjusted EBITDA by 68% compound annual growth rate. We believe we are in the early stages of category and brand development. We intend to offer the business directly to the public market by an IPO, representing approximately 20% of the ownership of the new company. We expect to capitalize it in a manner that enables it to service an acquisition vehicle. Our Active Nutrition President, Darcy Horn Davenport, will lead the newly formed business as CEO, and I will serve as Executive Chairman. We anticipate that there will be incremental stand-alone costs, but that, to the extent possible, we will leverage Post infrastructure to mitigate the increase. We expect to locate the corporate functions in St. Louis with the operating center in the Bay Area. We expect this transition to occur during fiscal 2019 depending on market conditions. We will provide you with additional information in upcoming quarters with respect to capital structure, management, Board of Directors and the ultimate structure of the IPO sale itself. We expect this transaction to be approximately leverage-neutral to the remaining Post business. We're quite excited about the prospects for this transaction and for creating additional value through organic growth and M&A. With the Active Nutrition team has accomplished, it is quite extraordinary, and we look forward to sharing the story with you.
With that, let me again thank you for your support, and I will turn the call over to Jeff."
Jeff Zadoks,0,"Thanks, Rob, and good morning, everyone. As Rob mentioned, on a consolidated basis, our performance this quarter met our expectations. Adjusted EBITDA for the fourth quarter and fiscal year were $320.6 million and $1.23 billion, respectively. Notably, fourth quarter pro forma net sales grew 4.4% year-over-year, with each of our North America businesses growing. Post Consumer Brands net sales grew 1.6%, while volumes grew 2.2%. Pebbles and other licensed products and Honey Bunches of Oats drove grow, while Malt-O-Meal bags and private label experience declined. Average net pricing declined slightly resulting from increased trade spending and slotting only partially offset by favorable mix.
Post Consumer Brands' adjusted EBITDA declined 7% compared to prior year. As in prior quarters, systemic inflation in freight, commodities and wages drove much of the year-over-year decline and was only partially offset by volume gains and reduced SG&A. We continue to see progress in our Weetabix segment promotional reset. Average net selling prices improved 4%. And as anticipated, we saw reduction in volume. However, margins improved and adjusted EBITDA was approximately $37 million, flat compared to prior year.
Net sales in our Refrigerated Food segment increased 4.5% on a pro forma basis. Foodservice pro forma net sales increased 7%, with egg volumes increasing 5% and potato volumes increasing 1.5%. On the retail side, pro forma net sales and volumes were flat as volume growth in our retail side dishes of 6.6% was offset by declines in egg and sausage retail products. More specifically, we saw continued strength in our growing Bob Evans side dish business, but our Simply Potatoes brand was flat. Adjusted EBITDA for this segment was $113 million. Bob Evans performed in line with our expectations, while the legacy Michael Foods business had good year-over-year growth, benefiting from higher volumes, which were somewhat offset by mild freight rate inflation.
Net sales in our Active Nutrition business grew 14%, and adjusted EBITDA grew 56%. Strong net sales growth in shakes of 25% was driven by organic growth and distribution gains. Volume growth and lower raw material input costs and marketing expenses more than offset inflation in freight rates. Our Private Brands segment, now the 8th Avenue Food & Provisions business, grew net sales 7.5%. Volumes increased 1% behind increases in fruit and nut and organic peanut butter. Private Brands adjusted EBITDA was $30.5 million, a 3% increase compared to prior year, driven primarily by volume growth.
Effective October 1, results of 8th Avenue will be deconsolidated in our GAAP financial statements and excluded from our calculation of adjusted EBITDA. We will account for our retained interest in 8th Avenue's common stock, using equity method accounting. Before we open up the call for Q&A, I would like to make a few comments on freight, leverage and cash flow. Fourth quarter freight costs increased approximately $12 million, which was higher than our expectation. For the full year, the increase was approximately $37 million. Our adjusted EBITDA guidance for 2019 assumes a headwind of between $30 million and $35 million when compared to the full year 2018, with the largest impact in the first quarter declining sequentially thereafter.
Turning to leverage, following the closing of the 8th Avenue transaction on October 1, we paid down our term loan by $863 million. As a result, our pro forma net leverage as measured by our credit facility is approximately 5.4x. For 2018, we had strong cash flow performance generating $719 million of cash flow from operations. When compared to prior year, we benefited from incremental cash generation from the Bob Evans and Weetabix acquisitions as well as strong organic growth at Michael Foods and Active Nutrition.
Regarding capital expenditures, our fiscal 2018 spend was $225 million. In fiscal 2019, we plan to invest between $300 million to $310 million. While this is a step-up from historical spending levels, the increase primarily relates to growth in our egg business and capital for network consolidation and optimization in our North American and U.K. cereal businesses. Finally, we estimate cash taxes for fiscal 2019 will be approximately $115 million based on the midpoint of our guidance range, and we expect cash interest expense to be approximately $335 million.
With that, I'd like to turn the call over to the operator for questions. Operator?"
Operator,1,[Operator Instructions]. Our first question comes from the line of Andrew Lazar of Barclays.
Andrew Lazar,1,"Couple of things. I'll start off with the Private Brands business. I guess, Post sort of dual-tracked the process between an IPO, private placement or a sale. I guess, that's more of a triple track, actually. But with Active Nutrition, obviously, you just mentioned the IPO. So I'm curious if there are other ways you're considering potentially monetizing the asset that are under consideration. And I guess, if not, why would that be?"
Robert Vitale,1,"Well, I think if you compare Private Brands to our Active Nutrition business, it's a more obvious public company -- that Active Nutrition is a more obvious public company than Private Brands would be. Private Brands, given the growth rate, comparability to Active Nutrition, favored, looking at a number of different alternatives, whereas with respect to Active Nutrition, it was more self-evident that there was a role for you in the public market. We, obviously, have obligation to explore all different types of opportunities, but we have first gone to the one that we thought made more sense and then, to the extent other ideas come up, would be responsive rather than proactive."
Andrew Lazar,1,"Got it. Regarding what will be the ongoing business sort of one that's not obviously IPO'd. As you become somewhat more focused over time and delever, is the aim to still gain more scale within consumer and refrigerated, the latter of which where Post has quite a bit of scale and competitive moats? Or will Post also consider new verticals, so to speak?"
Robert Vitale,1,"I think the best answer is yes and yes. But as you know, we've used this line quite a bit on the spectrum of strategic to opportunistic, we tend to be more opportunistic. So we look first in the short term to making sure that we are positioned well from a business process perspective to act on M&A within our verticals and, secondarily, respond to where we see market opportunities to add to our verticals. So we want to do M&A in additional verticals when it makes sense, and we want to be positioned to do by nature more accretive in portfolio M&A by being very good at process and enabling us to very quickly synergize."
Andrew Lazar,1,"Got it. And last one would be, certainly, many in the industry are taking pricing at this stage. It's been a while as you mentioned to us [indiscernible] Post as to how to take any meaningful pricing. I guess, where across the business is most of this pricing coming through? Or is it in one specific segment more than the others or pretty broad-based? And then I guess, what's Post's experience with this sort of pricing in the past in terms of the muscle to be able to execute it and, obviously, elasticity around volume and such?"
