speaker,q&a,content
Company Participants,0,"Stuart Davis - VP, IR and Strategy
Mac Curtis - CEO
John Kavanaugh - CFO"
Conference Call Participants,0,"Edward Caso - Wells Fargo
Joseph Vafi - Loop Capital
Gavin Parsons - Goldman Sachs
Gautam Khanna - Cowen and Company
Jon Ladewig - Stifel Nicolaus
Matthew Sharpe - Morgan Stanley"
Operator,0,"Good afternoon, and welcome to the Perspecta Incorporated Fourth Quarter Fiscal Year 2019 Earnings Conference Call. All participants will be in listen-only mode. [Operator Instructions] Please note this event is being recorded.
I would now like to turn the conference over to Stuart Davis, Vice President, Investor Relations and Strategy. Please go ahead."
Stuart Davis,0,"Thank you. Welcome everyone to today's quarterly and full fiscal year earnings conference call. Presenting on the call today are Mac Curtis, our CEO; and John Kavanaugh, our CFO. Today's call is being webcast on the Investor Relations portion of our Web site, where you'll also find the earnings release and financial presentation slides that we will use for today's call.
Turning to slide two of the presentation, please note that during this call, we will make forward-looking statements that are subject to known and unknown risks and uncertainties that can cause actual results to differ materially from anticipated results. For a full discussion of these risks and uncertainties, please refer to our SEC filings including our latest Form 10-K. In addition, the statements represent our views as of today and subsequent events may cause our views to change. Though we may elect to update the forward-looking statements, we specifically disclaim any obligation to do so.
Finally, as shown on slide three, we will discuss some non-GAAP financial measures that we believe provide useful information for investors. The slide deck for today's call includes reconciliations to the most closely comparable GAAP measures.
At this time, it's my pleasure to turn the call over to Mac, who will begin on slide four."
Mac Curtis,0,"Thank you, Stuart, and thank you all for joining us on this afternoon's call. I'm pleased to report there was strong operational performance in the fourth quarter. We completed a very successful [inaugural] [ph] year. I continue to be amazed at the efforts in the entire Perspecta team. We jointed together to become one Perspecta, and have delivered both outstanding financial results, a customer measure of success. We've accomplished a lot in our first year, and we still have work to do. Well, if they look at our report card for the year, and where we expect to land next year, we're ahead of the aggressive plan that we laid out to the investment community at our Investor Day a year ago.
I'll provide an overview of our financial performance in the quarter, and then turn to a discussion of the government marketplace, business development, our strengthening cyber presence, and a key addition to our leadership team. First, we once again exceeded consensus estimates on all of our key financial metrics. Our results for the fourth quarter demonstrated the fundamental tenants supporting the creation of Perspecta are sound, and our business model is on track. Revenue was up 3% year-over-year on a pro forma basis and up 2% sequentially. As a result of revenue growth and margin expansion, adjusted EBITDA was up 10% year-over-year, and adjusted diluted EPS was up 15% year-over-year. Our strong performance in the quarter also enabled us to exceed the top end of our fiscal year guidance for all measures, a truly outstanding result given the demands of a complex integration effort. In FY '20, we'll keep the momentum going. The guidance ranges that we're introducing today points to accelerating revenue growth and robust margins. Our guidance is above current consensus, and in line with the long-term targets that we laid out at our May 2018 Investor Day.
Second, our financial performance is benefiting from a strong market backdrop. We're in the early stages of a long-term uptick in government spending. Since our last call, there have been many positive signs on the budget front. The President submitted his budget request with significant increases in national security spending, and an emphasis on priority areas like R&D, and cyber that line up well for Perspecta. All the House appropriation subcommittees have passed budgets. Perhaps most importantly, negotiations involving the House and Senate majority and minority leaders to reach a two-year budget agreement have begun.
That said much still needs to be done. In addition to averting the Budget Control Act caps, Congress will have to deal with the deficit in the summer. Like most observers, we expect to begin the year with a continuing resolution. We also expect that congress will ultimately agree on a deal with budget growth in the 2% to 4% range, which is consistent with our Investor Day outlook. There was bipartisan support for higher defense and intelligence spending in a world that isn't getting any safer. Given the current threat environment funding for our programs will be secure. For example, when much of the government was shut down for more than a month this past winter, only 28 of our more than 14,000 employees were affected.
Third, we had another excellent business development quarter. Bookings totaled $1.4 billion or a book-to-bill ratio of 1.2 times. 93% of the quarter's awards were new work for Perspecta. We've seen at a one times book-to-bill ratio in every quarter in the fiscal 2019, and closer to book-to-bill ratio of 1.6 times for the year. We're well positioned for growth as we enter fiscal year 2020. The largest award in the quarter was a five-year $905 million contract to support the Army's Cyber Command. ARCYBER is a landmark win for us, creating excitement both internally and externally because it was bid as Perspecta, none of the legacy companies would have bid it before the merger. We'll provide comprehensive cyberspace operations support for ARCYBER headquarters and its partners [indiscernible] of a new command as it moves from Fort Belvoir to Fort Gordon. This award is a major revenue synergy proof point, bringing together leading edge cyber R&D from Perspecta Labs, capabilities in past performance from Vencore support for the U.S. Cyber Command, and scale around enterprise IT and network defense from USPS.
With good bookings we were able to grow our total backlog. At the end of the fourth quarter, total backlog was $10.7 billion, which was up 2% compared to the third quarter of fiscal year 2019. Funded backlog at the end of the fourth quarter was $2.2 billion, which was unchanged sequentially. Our robust $68 billion pipeline of qualified opportunities includes $17 billion worth of proposals already submitted and awaiting decision. The submitted total includes our NGEN re-compete, which is always a topic of keen investor interest. There has been no real change since the last call, but let me clearly reiterate where we stand. Bids were submitted in January, and we expect to see the award late in calendar year 2019. We're currently under contracts through May of 2020. We absolutely expect to win this program. We believe the Navy and Marine Corps customer will see Perspecta as the best value, low-risk option to execute this critical mission. John and I have been deeply and personally involved in this pursuit, and we're excited for the award decision.
Our performance on the program has been solid, it will part of the advantage that we have over our competitors. The move to best value allows our key differentiators to be scored and enables the Navy to get the solution they want. The Navy is looking forward to modernizing the network which fits directly with our focus on digital transformation and the innovations that are coming out of Perspecta Labs, and our world-class technology partners, like AT&T. We've also knocked some important wins so far in the first quarter. I'll describe one in particular because it is such a true power of the Pyramid award. We received a $75 million other transaction agreement, or OTA, to help modernize the IT systems that support a defense security service vetting processes including adjudications, background checks, and insider threat programs.
Leading a team of several non-traditional partners will enable the DoD to achieve bold transformational change by combining commercial off-the-shelf solutions with our capabilities and expertise in emerging technology areas such as data ingest [brokery] [ph] and analytics enabled by artificial intelligence, machine learning, and natural language processing and enterprise-level DevSecOps, which continues authority to operate processes in a secure government cloud environment.
Fourth, we continue to strengthen our leadership position in cyber security. Our deep expertise in researching, developing, and implementing adaptive and innovative solutions for a constantly evolving cyber landscape is unparallel. From a resource perspective, we are a leading provider of the cyber research for DARPA. Perspecta Labs is a key driver of technical differentiation for us, and cyber is one of its core sweet spots. Our demonstrated leadership in cyber research was absolutely essential to recent competitive wins by ARCYBER in this quarter in the Air Force enterprise logging win in Q3.
Among the cyber commands, we now hold franchise positions at U.S. Cyber Command and Army Cyber Command. In the operating organization cyber can range from defense of massive enterprise-wide networks, like on NGEN, to integrated cyber and electronic warfare. We've recently bolstered our position in the field by winning prime positions on two large multiple-award indefinite delivery indefinite quantity cyber operations contracts. The first is the fourth quarter award of the AR4 contracts for Army Program Executive Office, or PEO, for intelligence, electronic warfare and sensors, or IEW&S, which has a potential ceiling value of $982 million over 10 years. Using our deep signals intelligence, wireless, and big data expertise, we'll compete to develop and deploy a comprehensive suite of cyber electronic warfare capabilities in support of the Army's Cyber Electromagnetic Activities Mission. This is brand new work for us, and it is integral to the Army's strategy. We won't be able to talk much about this contract, but we see good potential for growth in late FY'20 and FY'21.
The second is a potential seven-year $740 million contract within Space and Naval Warfare Systems Command or SPAWAR, in San Diego, to establish and maintain cyberspace operations with a focus on interoperability at the tactical, operational, and strategic levels. This first quarter award offers a great opportunity to expand our presence with the full power of the Pyramid behind us.
And fifth, I'm pleased to welcome Rocky Thurston to the leadership team as head of our Civilian and State and Local business. Rocky comes to us after successfully running large P&L units at AT&T and Accenture, and growing up at Lockheed Martin. Rocky is a hands-on leader with a strong growth focus. He is financially astute, and is comfortable with fixed price execution. I'm excited about the future of our civilian agency and state and local business.
In conclusion, we are excited for the future and grateful for the support of our people, customer, technology partners, and shareholders. With integration so aggressively in our first year, we can now focus our efforts on one Perspecta to implement our strategy, which is all about growth, both by pursuing largely business opportunities by investing in our innovation, engine, and technical differentiators by partnering with leading technology companies to drive the transformation agenda for our customers and by acquiring companies in enhanced customer access or specific capabilities all while keeping our commitment to serving a federal government customers as you implement critical IT and mission solution for our nation.
Before turning to John, I will call your attention to a filing that will cause the war during this call. It's the one-year anniversary of our news listing on New York Stock Exchange we're filing a shelf for registration on Form S3 to register 23 million shares owned by Veritas Capital. The S3 replaces the existing S1 we filed in November, and eliminates the requirements to file any more Perspecta supplements to incorporate updated financial statements going forward. Veritas Capital isn't required to sell any of its shares, and Perspecta isn't issuing any new shares related to this shelf registration.
With that, let me turn the call over to John."
John Kavanaugh,0,"Thanks, Mac, and good afternoon, everyone. I'm extremely pleased with our performance in the fourth quarter and this fiscal year. Now, first year as the public company we've had four quarters of solid execution. I'll walk through the results for the quarter, quickly review our report card for the full-year, and then turn to our forward outlook both for fiscal year 2020 and the longer term.
Turning to slide five, revenue for the quarter was $1.09 billion, which was up 3% from the fourth quarter of fiscal year 2018 on pro forma basis, and up 2% in the third quarter of fiscal year 2019. Q4 was our fourth straight quarter of year-over-year growth and almost rapid growth quarter yet. The growth driver in the quarter was our Defense and Intelligence segment, which increased 8% year-over-year, with strong performance in our Federal Background Investigations support business, and solid balanced performance across our remaining Defense and Intelligence customers. This growth came despite a $16 million rollover challenge in the Q1 contract divestiture.
Civilian and Health Care segment revenue decreased 5% year-over-year, $6 million of the $19 million revenue decrease was from the final payments in the fourth quarter of fiscal year 2018 on the Kennedy Space Center engineering contract. The remainder spread across multiple programs that are ramping down. The government shutdown, which included the first three weeks of the quarter, had no material impact on our operational results.
Q4 adjusted EBITDA was $207 million, which was up 10% compared to year-ago pro forma adjusted EBITDA, as margin improved from 17.8% to 18.9%. The year-over-year increase in profit reflects three primary factors: Number one, strong program execution on fixed price programs. Number two, the merger cost synergies and operational efficiencies we committed to at our Investor Day. In fact, we were able to achieve our three-year cost take out targets in the first year. And number three, we received a one-time 8 million gain from a subcontractor negotiation. Excluding the one-time gain, adjusted EBITDA margin was 18.2%, which was up 130 basis points sequentially and well above our previous long-term target range. Contract mix, which is a key driver of our industry-leading adjusted EBITDA margin, was basically in line with last quarter. As a percentage of total revenue, our contracts were 54% fixed price, 21% time and materials, and 25% cost-plus.
Moving down the income statement, depreciation and amortization totaled $116 million in the quarter, which was higher than its normal level. Depreciation of $48 million was about $8 million above its run rate this year, resulting from additional asset acquisitions in support of customer requirements. Acquisition-related intangibles amortization, which is backed out of adjusted net income and adjusted diluted EPS was $68 million, which included about $30 million of amortization related to adjustments we made to the intangible assets identified in our purchase price allocation, coupled with software-acquired certain support of the business. We expect both items to return to their normal levels in fiscal year 2020.
Net interest expense totaled $37 million in Q4, which includes the interest on our term loans and capital leases. We also incurred $28 million of transaction, integration, and restructuring expense, which is excluded from all adjusting metrics. With an effective tax rate of 27%, Q4 adjusted net income was $89 million, which was up 14% year-over-year on a pro forma basis. As a result, adjusted diluted earnings per share were $0.54 against a diluted share count of 163.8 million. Adjusted diluted EPS for the quarter were up 15% year-over-year, and also up 15% sequentially.
Turning to slide six, during the fourth quarter we generated $168 million of cash flow from operating activities and $136 million of adjusted free cash flow, or 153% of adjusted net income. The difference between the cash metrics is the $62 million of capital expenditures, which includes capital lease payments and the $30 million of restructuring integration payments. The strong cash flow in the quarter was reflected in our day sales outstanding metric of 54 days, which is below our target DSO range of the mid to high 50s, and a sequential improvement of five days.
During the quarter, we benefited from the reversal of Q3 collection delays stemming from the government shutdown, as well as about $70 million from an accelerated customer payment, and the subcontractor negotiation I mentioned earlier. We continue to execute our balanced capital deployment plan with the mix of debt pay down, share repurchases, and dividends. During the fourth quarter, we paid down $88 million of debt and returned $24 million to shareholders, $8 million in quarterly dividends and $16 million in share repurchases. We ended the quarter with $88 million of cash, $2.7 billion of debt, including $305 million of capital leases. With the $600 million of undrawn revolver capacity, our $688 million of total liquidity affords us substantial financial flexibility to manage the business, and we are comfortably below our debt covenants.
Slide seven summarizes our performance for the fiscal year. Pro forma revenue was $4.27 billion, which was up 2% pro forma revenue for fiscal year 2018, despite a 108 million headwind in the Kennedy Space Center contract, and the $37 million headwind from the Q1 contract divestiture. Revenue for the year was $14 million above the upper-end of guidance given on our last call, and $74 million above the midpoint of the original guidance given at Investor Day.
Pro forma adjusted EBITDA was $760 million, up 16% company to pro forma adjusted EBITDA for fiscal year 2018. Pro forma adjusted EBITDA margin was 17.8% compared to our most recent guidance of 17.1% to 17.3%. Excluding the one-time Q1 divestiture and Q4 subcontractor negotiation gains adjusted EBITDA margin was 17.1%. Pro forma adjusted diluted EPS was $2, up 20% compared to pro forma adjusted diluted EPS for fiscal year 2018. EPS was $0.05 above the upper-end of guidance given on the last call and $0.12 above the midpoint of the Investor Day guidance.
For fiscal year 2019, we generated $420 million of pro forma adjusted free cash flow, or 128% of pro forma adjusted net income of $329 million. Our elevated free cash conversion rate increased adjusted free cash flow by $91 million, compared to our most recent guidance of 100% plus of adjusted net income, and $124 million compared to the Investor Day guidance. Excluding the one-time 70 million of benefits in Q4 cash flow from the items I previously mentioned, adjusted free cash flow would have been 106% of adjusted net income for the year, still about our most recent guidance.
Looking ahead, our initial fiscal year 2020 guidance on slide eight reflects the strong foundation that we built this year. We expect revenue for the year to be $4.35 billion to $4.45 billion, adjusted EBITDA margin of 17% to 18%, adjusted diluted earnings per share of $2.05 to $2.16, and adjusted free cash flow conversion of 95% plus of adjusted net income. This guidance puts us ahead of the plan that we laid out as we launched the company.
We'll start the year with strong year-over-year organic growth; although likely down slightly on a sequential basis as a few Civilian and Healthcare segment programs ramped down. We'll return to sequential growth in the back-half of the year as recent and expected new business wins ramp up. Adjusted EBITDA margin will likely be in the lower half of the guidance range for the year. Implicit in our guidance is the assumption of an effective tax rate of 26% which we'll achieve through concerted efforts around R&D credits and state tax planning. Although not included in the adjusted metrics, we're expecting to spend roughly $60 million in integration and restructuring cost. In fiscal year 2020, we'll continue to allocate capital in a balanced manner. We'll still be paying down debt, but because our financial covenant net leverage ratio was down to about 3.3 times, we're more open to acquisitions and capital returns. With integration activities well under control, we'll consider strategic tuck-in acquisitions that strengthen our competitive position and financial outlook.
In May, we announced that we took the quarterly dividend up a penny per share, which translates to an additional $6 million in annual dividend payments, and we'll be opportunistic with our share repurchase program against our remaining $340 million authorization. Looking longer term, we're comfortable with the revenue and EPS growth targets that we've given through FY'22, specifically, we've targeted 3% to 5% revenue CAGR, and an 8% to 12% adjusted diluted EPS CAGR. We're upwardly revising our adjusted free cash flow conversion to 95% plus. We expect to sustain margins over that period, which will now be in the 17% to 18% range for adjusted EBITDA. Although our forecast anticipates stable margins, I want it clearly understand that we won't sacrifice growth for margins. Strategic alignment, sustainable EPS growth, and shareholder value will be the primary filters as we evaluate new business opportunities or acquisitions.
Operator, we're now ready to take any questions."
Operator,1,We will now begin the question-and-answer session. [Operator Instructions] Our first question comes from Edward Caso with Wells Fargo. Please go ahead.
Edward Caso,1,"Hi, good evening. Congrats on the solid numbers here. I talked to the gentleman who runs the clearance for the government, and he said that he expects the use of vendors to do the clearances to go down now that they got over the initial hump of backlog. Are you starting to see a tail-off in the key point business at this point, and what's the outlook?"
Mac Curtis,1,"No, we haven't. This is Mac, Ed, and thank you for joining the call. No, we haven't seen that yet. I know we do, as we talked about the backlog I think we'll see when that starts to -- if when that happens. And then one of the things we look at, Ed, is we talk about the suitability business, and I think we've talked about it over the calls, is how we really look at this as from the kind of a trusted workforce perspective, the trusted workforce market. I mean, look, there's a lot of moving parts here, from OPM to DSS, as DSS now goes from a defense security service to a defense counterintelligence security agency, there are a lot of moving parts there from the suitability, the continuous evaluation, continuous management. We just -- it was published, the whole OTA about building the system off for DSS, and we looking at trusted workforce no only in that vein, but also when you start to look at the counterintelligence, the HSPD-12 next generation.
So there are a lot of moving parts to this thing, and they take a little while to sort out. I think what happens if you do talk to -- to certainly OPM, more people coming in the queue we have noticed frankly that the crossover has gotten a little bit quicker. We still haven't seen a downtick when you start to look at the different levels of clearance as we start to look at TS/SCI CI and some of the more complex cases, but no, we really haven't seen the so-called downturn with regard to the cases that we're getting. John, do you have any other comment?"
John Kavanaugh,1,"Yes, no, I would just add on, I think we still believe there's even opportunity to get further market share. We're very, very pleased with the performance of that business. And as Mac said, as we continue to evolve into continuous evaluation and continuous monitoring, we're excited about that business."
Mac Curtis,1,"I mean it's a rapidly changing market, and we're right upfront, so we'll -- time will tell."
Edward Caso,1,"My other question is around access to talent. You obviously do a lot of sort of higher-end IT work. Can you talk sort of access within the D.C. -- Greater D.C. Area, and then maybe access outside the D.C. area what are you seeing?"
Mac Curtis,1,"Yes, I think as we've talked about, about 74% of our workforce is not in the D.C. Area; we're in San Diego, and in Boise, Idaho, in spaces you would expect, Montgomery, Alabama, Huntsville, et cetera. So we don't have that kind of deadweight pressure, which it is tough. So 25% to 46% of our workforce is in the D.C. area. And it's always been challenging, Ed, because a lot of that workforce are the work in the intelligence community. So we're dealing with the TS/SCI CI, full-scope poly, and that's very, very competitive, there's no question about that. It's not so much -- and again, when we look at how we hire it's not just the dollar compensation, it's the benefits piece, it's all the 401(k), all these things are part of this competitive package. And frankly, with the generation we're hiring it's social conscience and social programs are also important.
I'll tell you that about north of 80% of our offers are accepted, and about 45% of the new hire -- I think about 30% of the new hires this year have come from employee referrals, in the legacy Vencore business about 42%. And so when we talk about that, that makes us feel pretty good, Ed, because we're doing something right. When you think about north of 40% of your employees in this area in the legacy Vencore business are referred for one, friends and family to another. I do think, Ed, to kind of close out the answer, that the Amazon is going to put some stress on the system, I don't think there's any doubt about it. I think just in general in Northern Virginia when you look at the technology play it's a touch recruit. It's a touch recruit, no question about it, a lot - a little less pressure when you kind of get outside the D.C. area. Does that answer your question?"
Edward Caso,1,"Yes, great. Thank you. Keep the good news coming."
Mac Curtis,1,"Yes, thank you."
John Kavanaugh,1,"Thank you, Ed."
Operator,1,The next question comes from Joseph Vafi with Loop Capital. Please go ahead.
Joseph Vafi,1,"Hey guys, good afternoon. Good results. I was wondering we could just focus on the book-to-bill on the quarter, real nice to see a 122 on almost new business, it's a big number for just new business. So I just wanted to drill down on the recompete characteristics of the quarter. Was this just a really light renewal quarter; was there a win rate issue or something like that? And then I have a follow-up."
Mac Curtis,1,"Yes, no, I'll start, and then John will turn it over. It was a 93% win rate in new business, means there's 7% which is -- it was a low kind of award period, but we've talked about, Joe, we've got the big NGEN recompete, right. And we've talked about NASA NEST, where that is. In the queue there's just not that many other recompetes. I mean we start to look at the recompetes going forward what's in play right now, there's one classified recompete, that's about 3% of the business. After that there's a pretty substantial falloff in backend of '20 and '21. There's one in the healthcare space, but that's about it. But no, it's just that cycle, Joe, where we didn't see a lot of awards. We didn't lose anything, but we there also we didn't have any big recompetes that were awarded. Does that answer your question?"
Joseph Vafi,1,"Yes, sure, that's helpful."
Stuart Davis,1,"Joe, this is Stuart. Just to put a point on that. We had less than $100 million of recompete adjudications in the quarter, so it was really a volume issue, and we're glad with the new business."
