speaker,q&a,content
Company Participants,0,"David Spille - Vice President, Investor Relations
Charles Harrington - Chairman and Chief Executive Officer
George Ball - Chief Financial Officer
Carey Smith - Chief Operating Officer"
Conference Call Participants,0,"Matt Sharpe - Morgan Stanley
Raymond Gonzalez - Jefferies
Edward Caso - Wells Fargo
Natalie O’Dea - Bank of America/Merrill Lynch
Tobey Sommer - SunTrust
Dan Flick - Cowen & Company"
Operator,0,"Good morning. My name is Jack and I will be your conference operator today. At this time, I would like to welcome everyone to the Parsons First Quarter 2019 Earnings Conference Call. All lines have been placed on mute to prevent any background noise. After the speaker’s remarks, there will be a question-and-answer session. [Operator Instructions] Thank you. David Spille, Vice President of Investor Relations. You may begin your conference."
David Spille,0,"Thank you. Good morning and thank you for joining us today to discuss our first quarter 2019 financial results. Please note that we have provided presentation slides on the Investor Relations section of our website. On the call with me today are Charles Harrington, Chairman and CEO; George Ball, CFO and Carey Smith, Chief Operating Officer.
Today, Chuck will discuss execution against our corporate strategy. George will provide an overview of our first quarter financial results and then Carey will review our operational highlights. We then will close with a question-and-answer session. Management may also make forward-looking statements during the call regarding future events, anticipated future trends and the anticipated future performance of the company. We caution you that such statements are not guarantees of future performance and involve risks and uncertainty that are difficult to predict. Actual results may differ materially from those projected in the forward-looking statements due to a variety of factors. These factors are described in a registration statement on Form S-1 and other SEC filings. Please refer to our earnings press release for Parsons complete forward-looking statement disclosure. We do not undertake any obligation to update forward-looking statements. Management will also make reference to non-GAAP financial measures during this call and we remind you that these non-GAAP financial measures are not a substitute for their comparable GAAP measures.
I now will turn the call over to Chuck."
Charles Harrington,0,"Thank you, David. Welcome to all who are on the line to Parsons first quarter 2019 earnings call. We had a strong quarter across both business segments and our Q1 results reflect the success of executing on our enhance, extend, transform strategy. Financially, we delivered a strong quarter, first quarter results, which included notable increases in revenue, profitability and contract awards over the first quarter of 2018. In fact, our revenue grew 20%, our adjusted EBITDA grew 43%, and included a 120 basis point margin improvement. Total backlog increased 35%, now stands at $8.6 billion on the strength of a 1.4 book-to-bill ratio and our federal solutions revenue contribution increased to 47% of the corporate total in the quarter from 39% in the prior year.
Strategically, we closed on a key acquisition, OGSystems and as you know, recently completed our IPO. Our performance has benefited from our strategy to enhanced organic operations through strategic leadership additions, technology R&D efforts and focusing our sales on higher margin, lower working capital markets. Simultaneously, we have also executed our extend strategy to enter the geospatial intelligence, cloud computing and small satellite markets while expanding our revenue in cyber, intelligence, missile defense and intelligent transportation systems. These accomplishments coupled with the execution of our transform strategy to build our technology revenue streams and transactional revenue streams has enabled us to accelerate revenue growth, increase margins, generate strong free cash flow and bring new capabilities to our customers. Our M&A strategy added Polaris Alpha and OGSystems to our federal solutions segment in the past year.
The OGSystems acquisition was completed in early January of this year. This acquisition provides us with geospatial intelligence capabilities, increased data analytics and cloud computing expertise, additionally provides an insider’s threat detection capability for our defense and intelligence customers. Through OGSystems, we also acquired the PeARL product suite, which enables our defense and intelligence customers to analyze objects and their movements from 10,000 feet above ground and yields resolution of objects at a 4 cm accuracy. So, we are taking this same technology to our critical infrastructure market to create 3D models of existing critical infrastructure structures like bridges, reducing or eliminating the need for inspectors to take physical measurements in the field. M&A will continue to be a key initiative given our transform strategy and the strength of our balance sheet.
And finally, I want to acknowledge Parson’s tenth consecutive recognition as one of the world’s most ethical companies by the Ethisphere Institute. This award reflects our culture and commitment of our global workforce to ethical business practices. We are proud of this recognition and our commitment to integrity is one of our six core values. In summary, this first quarter, of our 75th year of operations was a success in terms of financial results and strategic actions.
With that, I am going to turn the call over to George Ball, our Chief Financial Officer to discuss our first quarter 2019 financial highlights. George?"
George Ball,0,"Thank you, Chuck and good morning everyone. Today, I will organize my remarks in the four key areas: the income statement, cash flow results, balance sheet, and contract awards. I will also discuss certain financial results on an adjusted non-GAAP basis, where we believe doing so provides a meaningful comparison to our prior financial results. GAAP reconciliation tables are provided in the press release and the PowerPoint presentation which was issued this morning.
As Chuck noted, our first quarter revenue, profitability and bookings all exceeded our prior year results. Total revenue for the first quarter increased 20% and organic revenue increased 4% from the first quarter of 2018. GAAP EPS for the quarter was $0.12 per share and adjusted EPS for the quarter was $0.57 per share. Our EPS comparisons are less meaningful this quarter due to IPO transaction cost and the additional shares issued in the IPO. Total shares issued and outstanding at the conclusion of the IPO were approximately 99.4 million shares. Adjusted EBITDA increased 43% to $68 million equating to an adjusted EBITDA margin of 7.5% or a 120 basis point improvement over the prior year. This margin expansion was driven largely by the addition of our Polaris Alpha and OGSystems acquisitions, which has significantly higher margins than our legacy business as well as improved margins in our underlying legacy business.
Turning now to our operating segments and starting first with Federal Solutions, first quarter revenue grew 45% year-over-year. This increase was primarily due to the acquisitions of Polaris Alpha and OGSystems with accompanying organic growth of 3%. Federal Solutions adjusted EBITDA grew 93% and our margin expanded by 230 basis points to 9.2%. This increase was again driven largely by the acquisitions of Polaris Alpha and OGSystems as well as margin expansion in our underlying legacy business.
And now a few words regarding our Critical Infrastructure segment. First quarter revenue grew 4% organically year-over-year on the strength of growth on existing contracts. Critical Infrastructure adjusted EBITDA grew 6% and our margin expanded by 10 basis points to 6.1%. These increases were driven primarily by the aforementioned revenue increase and improved business mix and overhead cost reduction initiatives which were partially offset by targeted increases in business development costs.
Now I will turn into cash flow and balance sheet metrics. Our net DSO for the quarter was 61 days as compared to 75 days at the end of the first quarter of 2018. The decline in net DSO was driven by improved Middle East cash collections and our Critical Infrastructure segment and the acquisitions of Polaris Alpha and OGSystems, both of which have lower net DSOs than our legacy business. During the quarter, we used $60 million in operating cash flow, which represents an 8% improvement as compared to the prior year period. Cash flow tends to be lower in the first quarter as a result of incentive compensation payments and other obligations dispersed during the period. We expect solid cash flow from operations for the full year in line with or above underlying earnings.
Our first quarter 2019 balance sheet reflects gross and net debt of $659 million and $538 million respectively. However, the proceeds from our recently completed IPO reduced these amounts to approximately $250 million and $50 million respectively and we are therefore ideally positioned to continue our investment in the company’s strategy. The implementation of the new leasing standard had no notable impact on earnings in the first quarter and we anticipate no notable future impact. But its implementation did have the effect of increasing both assets and liabilities by over $200 million. As Chuck noted earlier, we reported contract awards of $1.2 billion in the first quarter, which represents a book-to-bill ratio of 1.4 times a strong performance driven largely by our Federal Solutions segment which achieved a book-to-bill ratio of 1.9 times. Total backlog at the end of Q1 is now $8.6 billion, up 35% from last year, and notably Federal Solutions now represents 60% of the Company’s backlog as compared to 50% at the end of Q1 2018.
With that, I’ll turn the call over to Carey, who will discuss some of our first quarter operational highlights. Carey?"
Carey Smith,0,"Thank you, George. Operationally, as Chuck and George have noted, we had strong performance in both segments, and particularly strong in Federal Solutions. Our first quarter book-to-bill ratio of 1.4 times was driven by large contract awards, strong win rates, and excellent performance in the Federal Solutions segment which as George noted achieved a book-to-bill ratio of 1.9 times. Our Critical Infrastructure book-to-bill ratio was 0.9 times, which was in line with our expectations as we implement a focused bid strategy of pursuing higher margin work. We expect our book-to-bill ratio in this segment to improve throughout 2019.
We had several key awards in our Federal Solutions segment, including our cyber, intelligence, and space focused markets. First, we won $175 million re-compete award from a classified government customer to provide services relating to information technology infrastructure and industrial control systems. And in addition, we won three significant new awards. A $982 million ceiling value, multiple-award contract for the Army to provide a full spectrum of cyber electromagnetic initiatives; a $147 million award from another classified government customer to provide high-end software, hardware, integration, operations and maintenance, and mission support; and an award worth approximately $100 million by the Air Force Space and Missile Systems Center for integration services for small satellite delivery to space.
For Critical Infrastructure, we had notable contract expansion bookings, including the California Interstate 405, Gordie Howe bridge and the Southern California Gas Program. Both segments also had strong top and bottom line growth. The revenue growth was both organic, driven by early contract wins and growth on existing contracts; in the case of Federal Solutions, also inorganic. The margin expansion is the result of top line growth, strong award and incentive fees, as well as cost reduction initiatives in the Critical Infrastructure segment. Next, I would like to briefly discuss our two most recent acquisitions, Polaris Alpha and OGSystems. We are very pleased with the performance of both acquisitions, as they continue to experience double-digit revenue growth and EBITDA margins exceeding their financial targets. We’re already experiencing revenue synergies in nearly every bid as a combined Parsons, Polaris Alpha, OGSystems response. A recent example of our Polaris Alpha revenue synergy award is the Army’s defensive cyber operations mission planning contract. An example of an OGSystems’ cross segment revenue synergy award is our recent Critical Infrastructure, Dubai Roads and Transport Authority win, which leveraged our PeARL sensor system.
Finally, OGSystems, our most recent acquisition, continues to have industry-leading employee retention at 96%, which has improved since we closed the acquisition. I’m very excited about the opportunities we have to grow our business and expand our margins. We are winning more high-end work in our targeted markets and are executing well in both business segments. Our pipeline is an all-time high, and we have $3.9 billion of outstanding bids awaiting award.
On the technology front, our strategic incubator, which we call S-Works is driving growth in markets, including artificial intelligence, critical infrastructure protection, and operational energy. We formed company-wide technology community as a practice, that’s been both business segments, and we have initiated commercial product marketing strategies.
In addition, we’re investing research and development in critical areas including high-speed processing, smart cities, and border security integrated sensor systems.
With that, I will turn it back over to Chuck."
Charles Harrington,0,"Thank you, Carey. In summary, we achieved strong growth in revenue, profitability and awards. We delivered effective execution against our strategy and we continue to transform our business, enhancing our revenue growth and margin expansion opportunities. We also have a strong balance sheet providing the financial flexibility to make continued investments in our strategy. Before, we move to the Q&A session, I want to acknowledge that our success is driven by the hard work and dedication of our nearly 16,000 employees. They are the foundation of our business. And their commitment to our customers’ missions and our core values is inspiring, and what makes Parsons a great place to work. Their achievements put us on a path to successfully execute our IPO.
Now, we’ll open up the line for questions."
Operator,1,Certainly. [Operator Instructions] Your first question comes from the line of Matt Sharpe with Morgan Stanley. Your line is open.
Matt Sharpe,1,"Good morning, Chuck, George and Carey. Congratulations on the IPO and the first earnings print."
