type,name
Executives,Matt Danziger - VP of IR
Executives,Charlie Giancarlo - CEO
Executives,David Hatfield - President
Executives,Tim Riitters - CFO
Executives,Matt Kixmoeller - VP of Product
Analysts,Mark Murphy - JP Morgan
Analysts,Alex Kurtz - KeyBanc Capital Markets
Analysts,Katy Huberty - Morgan Stanley
Analysts,Jason Ader - William Blair
Analysts,Aaron Rakers - Wells Fargo
Analysts,Wamsi Mohan - Bank of America Merrill Lynch
Analysts,Simon Leopold - Raymond James
Analysts,Rod Hall - Goldman Sachs
Analysts,Andrew Nowinski - Piper Jaffray
Analysts,Stephen Fox - Cross Research
Analysts,David Rzyhik - Susquehanna
Analysts,Eric Martinuzzi - Lake Street
Analysts,Erik Suppiger - JMP Securities
Analysts,Nehal Chokshi - Maxim Group
