speaker,q&a,content
Operator,0,"Good day, everyone, and welcome to Qiwi Third Quarter 2018 Earnings Conference Call. Today's conference is being recorded. At this time, I would like to turn call over to Ms. Varvara Kiseleva, head of Investor Relations. Please go ahead."
Varvara Kiseleva,0,"Thank you, operator, and good morning, everyone. Welcome to the Qiwi third quarter earnings call. I'm Varvara Kiseleva, head of Investor Relations, and with me today are Sergey Solonin, our Chief Executive officer; and Alexander Karavaev, our Chief Financial Officer. A replay of this call will be available until Wednesday, November 21, 2018. Access information for the replay is listed in today's earnings press release, which is available on our Investor Relations website at investor.qiwi.com. For those listening to the replay, this call was held and recorded on November 14, 2018.
Before we begin, I would like to remind everyone that this call may contain forward-looking statements as they are defined under the Private Securities Litigation Reform Act of 1995. These forward-looking statements about our expectations for future performance are subject to known and unknown risks and uncertainties. Qiwi cautions that these statements are not guarantees of future performance. All forward-looking statements made today reflect our current expectations only, and we undertake no obligation to update any statements to reflect the events that occur after this call. Please refer to the company's most recent annual report on Form 20-F filed with the Securities and Exchange Commission for factors that could cause our actual results to differ materially from any forward-looking statements.
During today's call, management will provide certain information that will consist of non-IFRS financial measures, such as adjusted net revenue, adjusted EBITDA, adjusted net profit and adjusted net profit per share. Reconciliations of IFRS measures to certain additional information are also included in today's earnings press release. With that, we will begin by turning the call over to Sergey Solonin, our Chief Executive Officer."
Sergey Solonin,0,"Thank you, Varvara, and good morning, everyone. Thanks for joining us today. I'm excited to share our third quarter results with you. This quarter we continued to grow our business, delivering an impressive set of numbers. Our core Payment Service segment demonstrated robust performance with 34 segment net revenue and 27 segment net profit growth.
Our results this quarter were mainly driven by the growth in our key vertical, currently our betting related payment services that presented as part of our e-commerce market vertical as well by the development of our payment ecosystem. On top of that, our new segment which will operate through Tochka multi-banking platform, showed strong growth trends. We continue to enhance our key products and use case and develop our new business segments in order to offer our clients convenient solutions in our focused market vertical initiatives.
Given all of the above, we believe that our performance serves as a solid foundation for future growth. As we continue to benefit from the strong performance of Payment Services segment, which remains a core part of our business, generating significant cash flows, we are well-positioned to pursue our strategy and carry on with investing in new business lines and projects in order to build out our ecosystem, diversify operation, prolong the life cycle of our clients and ultimately secure the long-term growth prospects of our company.
Now on to some operating highlights. Payment Services segment volume increased by 26% to reach RUB297 billion, driven by significant growth in e-commerce and Money Remittance verticals, which grew 56% and 46%, respectively, over the third quarter of 2017. The growth was largely driven by the circle of trends in our core categories including the boom of sports betting markets triggered by the football World Cup of 2018. The rollout of the products we report for our partners as part of our B2B2C and self-employed focus as well as by the development of our P to PS system.
As of the 30th of September, we had 20.8 million Qiwi Wallet accounts, an increase of 1.8 million as compared to the prior year, resulting from our continuous effort to grow and leverage our ecosystem and implementation of B2B2C strategy. Our total Consumer Financial Services segment payment volume reached RUB3.7 billion for the third quarter of 2018. While we also see positive dynamics across key operating metrics of the project including clients' lifetime value. Moreover, last month we have signed a partnership with Otkritie Bank, launching SOVEST Multibank platform. We're currently in the testing phase, verifying and enhancing the business model. 
With the launch of SOVEST Multibank, already we've transformed this project into a platform and on the operator of the [indiscernible] products for banks. The derivative is one of the milestones in developing and scaling up services sector with building up wider Qiwi consistent. We will further focus on developing SOVEST project and position and extending the Multibank platform. Our SME segment, which we developed through Tochka, continues to demonstrate robust and great financial performance in the first quarter of 2018, significantly improving and creating efficiency through tariff optimization and cross-sell amplification, demonstrating attractive client domains. Fully devoted dynamics in our key market verticals converts into strong payments services and net revenue growth. And together with our new segment, contributed to the overall robust performance of our business. Alexander will walk you through the third quarter numbers in more detail just in a moment, but I would like to walk you through some recent developments.
This quarter we have finalized the Rocketbank transaction on the terms materially equivalent to those regionally agreed and consolidated this business as part of Qiwi Group. We started to transfer Rocketbank clients to Qiwi at the end of July. And by now, we have nearly finalized the process, transferring over 175,000 clients with over RUB9 billion current account balances. We aim to conclude the transfer of the Rocketbank customers, personal and business processes to Qiwi by the end of 2018. We believe that Rocketbank is a unique proprietary product offering that has the potential to reach our ecosystem. We will provide an update with respect to this line of business during our inaugural Investor Day that we will hold in London on Monday, November 19. With this, I will turn the call over to Alexander, who will take you through our financial results in more detail. Alexander?"
Alexander Karavaev,0,"Thank you, Sergey, and good morning, everyone. This quarter [Indiscernible] 62% to reach RUB5.2 billion, up from RUB3.2 billion for the third quarter of 2017. The increase was mainly driven by Payment Services and the Financial Services net revenue growth. Payment Services segment net revenue is 34% to reach RUB4.3 billion compared to RUB3.2 billion in the prior year. Payment Services, payment adjusted net revenue increased 38% to RUB3.7 billion, up from RUB2.7 billion in the prior year. As a result of the net revenue growth in our e-commerce and money interest verticals, we grew 63% and 43% respectfully, offset by a decline in net revenue in Financial Services vertical by 10%.
Our financial results in this segment was driven both by increase of volumes, as Sergey just described, and the improvement of the payment average net return income by 10 basis points year-over-year, as a result of change in category and product mix, offset by slight degree of decline in most key categories. Payment Services other adjustment net revenue increased 14% to RUB589 million compared to RUB518 million in the prior year. Consumer Financial Services segment net revenue was RUB125 million for the third quarter 2018 as compared to the net revenue of RUB52 million in the third quarter of the prior year, showing the development of our service project as well as the effect of the introduction of new consumer-focused options.
Net revenue of the SME segment was RUB842 million for the third quarter 2018 compared with nil in the prior year. Although the majority of company Tochka has been established as of September 30, 2018, business operations of the entity were not launched due to the timeline associated with legal procedures. But we'll continue to recognize Tochka project net revenues, which includes mostly Tochka revenues from information and technology agreements with Otkritie Bank for providing services to Tochka clients that have their accounts with Otkritie Bank in full for the third quarter 2018.
Moving on to expense. Strong operating performance of our Payment Services business that continues to generate substantial cash flows, supported our investments and the development of our new projects. This being said, adjusted EBITDA increased 23% to RUB1.6 billion from RUB1.6 billion in the prior year. Adjusted EBITDA margin was 31% compared with 41% in the prior year. The adjusted EBITDA margin contraction primarily results from the increase in the final expense of related taxes, as well as increase in client acquisition advertising expenses, all in short in connection was the development of the SOVEST project and the Tochka and Rocketbank projects and previous loss expenses. In short, the use of [Indiscernible] SOVEST project. Group adjusted net profit increased 10% to RUB1.2 billion from RUB1.1 million over the prior year.
Adjusted net profit was largely affected by the same factors as adjusted EBITDA, as well as by foreign exchange loss, an increase of income tax expenses as compared to the prior year. Payment Services segment net profit increased 27% from RUB2.5 billion compared with RUB2 billion in the prior year, driven primarily by Payment Services segment net revenue growth. Consumer Financial Services segment net loss was RUB699 million in the third quarter 2018, as compared to a net loss of RUB625 million in the same period of the prior year, resulting from the expansion of the operation for the SOVEST project.
The increase in cost mostly related to debt expenses and professional service level [Indiscernible] of taxes. SME segment net loss was RUB80 million, resulting mostly from personal expenses as well as client acquisition and marketing costs. Corporate and other category net loss was RUB538 million compared with a net loss of RUB156 million in the prior year. The net loss was primarily driven by expense in certain connection with full-scale launch of Rocketbank project in September 2018, as well as variable other individual insignificant projects.
Finally, I would like to point out we are continuously driving our dividend distribution retention. As you saw in our earnings release, our Board of Directors refrains from this previous dividend for the third quarter of 2018. However, considering our expectations above the performance of the group, as well as our anticipated level of investments in 2019, the board intends to review the previously announced substantial dividend payment in the third quarter from '19. As you heard, the long-term intention of the Company is to distribute all excess cash to its shareholders.
Now on to our guidance. We've increased our Payment Services segment net revenue guidance and expect Payment Services segment net revenue to increase by 22% to 27%, driven by the strong performance of our Payment Services business. We increased our total adjusted net revenue guidance and cover the increase of our Payment Services segment net revenue guidance, as well as the full recognition of the Tochka project net revenue for third quarter of 2018 and our expectations regarding SME net revenue for the full year. Thus, we expect our total adjusted net revenue to increase by 40% to 45% over 2017.
We increased our Payment Services segment net profit guidance to incorporate the increase of our Payment Services segment net revenue guidance, and expect Payment Services segment net profit to increase by 17% to 22% over 2017. The increase in our group adjusted net profit guidance is offset as described above, and expected to decrease by 10% to 15% over 2017. With that, operator, please open up the call for questions."
Operator,1,[Operator Instructions] Our first question is from Brady Martin with Citibank.
Brady Martin,1,"Just wanted to get more color on exactly what surprised you in the second half of Q3 I guess to raise the guidance. I mean you're generally a late reporter, you reported at mid-August with a certain level of guidance, now it's a much more bullish numbers. I read your statements saying your guidance increase was due to the upgrade in the Payment Services segment. I'm just wondering, what part of your results from mid-August to today, really surprised you and made you want to increase the guidance."
Alexander Karavaev,1,"First, it's primarily two major components of our Payment Services segments. First of all, it's e-commerce, which primarily is concentrated around [Indiscernible] and digital inter-payments -- actually on the previous call, we were discussing that we were expecting certain revenues in terms of euros and net revenue plus the World Cup. But this is something that we actually had been first time full-service for this segments itself and initially it was not having enough basis for [Indiscernible] of that segment. So it proved to be -- intent we would, I would say concerned for that time.
And second part is our focus on self-employed, so it's [Indiscernible] -- it's primarily only concentrated around e-commerce and [Indiscernible] fellow projects that we discussed that were launched in the short half of this year. They are performing very well for this. And again, this is also the segment itself is relatively new. So we don't yet have full visibility on the size of markets or the dynamics of the markets. These 2 reasons are probably the major ones."
Brady Martin,1,"On the first -- your first -- your response, part of it was around, I guess this betting around the World Cup. Are you just -- you're saying that the kind of your attention of clients or the -- post World Cup, the amount of business you're getting in that segments is more than you expected?"
Alexander Karavaev,1,"Yes, that's exactly right. We weren't expecting that [Indiscernible] around the World Cup, we were thinking that it would probably be declining after the World Cup end, but up until now it looks like we attract a lot of an audience into that market and the growth that we are creating in August and September are slightly lower than in July but still very good, so fairly higher than our [Indiscernible]."
Brady Martin,1,"Great and this final question, is that continuing into Q4? I mean is that business maintaining into October, November?"
