speaker,q&a,content
Operator,0,"Good afternoon. My name is Ian, and I will be your conference operator today. At this time, I would like to welcome everyone to the Quantenna Communications Third Quarter of Fiscal Year 2018 Earnings Conference Call. [Operator Instructions]
I would now like to turn the call over to Vern Essi, Director of IR and Strategic Finance for Quantenna Communications. Please go ahead."
Vernon Essi,0,"Thank you, Ian, and welcome, everyone, to our Third Quarter of Fiscal Year 2018 Earnings Conference Call. With me today are Dr. Sam Heidari, Chairman and Chief Executive Officer; and Sean Sobers, Chief Financial Officer. The webcast of this call can be accessed through our website, quantenna.com, and will be archived for 90 days. Also, a replay will be available by dialing 800-585-8367 and referencing conference ID number 1795125 shortly after the conclusion of today's call. A copy of today's press release dated October 29, 2018, for the quarter ended September 30, 2018, and related financial tables can be found in the Investor Relations portion of Quantenna's website.
During the course of this conference call, we will make forward-looking statements, including those relating to our preliminary financial results for the third quarter of fiscal year 2018 ended September 30, 2018; financial outlook for the fourth quarter of fiscal year 2018 and beyond; our strategy, future business and financial performance; our product development and technology; customer relationships; and market opportunities, all of which are subject to the risks and uncertainties that we discussed in detail in our documents filed with the SEC, including our Form 10-K filed on February 28, 2018, and subsequent Form 10-Q filings.
These risks and uncertainties may cause actual results to differ materially from those anticipated by these statements. The forward-looking statements made on this call apply only as of today, and you should not rely on them as representing our views in the future. We undertake no obligation to update these statements after this call.
Also, please note that certain financial measures we use on this call are expressed on a non-GAAP basis and have been adjusted to exclude certain charges. We have provided reconciliations of these non-GAAP financial measures to GAAP financial measures in our earnings press release.
Before we start our prepared comments, I want to call your attention to our supplementary financial commentary and supplementary earnings presentation, both of which were included in our 8-K filing today and are available in the Download Library section of our Investor Relations website at quantenna.com. Since we are providing the financial commentary with trended financials, Sean's remarks will be abbreviated, and certain metrics not discussed in today's call, including the historical comparisons in GAAP to non-GAAP measures, will appear in these supplementary materials.
The financial commentary and earnings presentation should be referenced in conjunction with both today's conference call remarks and the earnings press release issued today.
On our call today, Sam will discuss Quantenna's record-setting highlights from the second quarter and our growth opportunities. This will be followed by Sean with the financial overview and guidance. Sam will then conclude our prepared comments with a discussion of our new QSR5GU-AX PLUS product and 802.11ax. We'll then open the call for question and answer.
Also note that the Wi-Fi Alliance has changed the naming conventions for various Wi-Fi standards. For example 802.11ax will now be called Wi-Fi six and 802.11ac will be called Wi-Fi 5. While Quantenna supports this recent change for the sake of clarity, we are keeping the legacy nomenclature intact with the investment community for this call.
Before I turn the call over to Sam, I'd like to announce the investor conferences that we will be participating in during the fourth quarter. These includes Stifel's 2000 Midwest 101 Growth Conference on November 8th in Chicago. Needham's Networking Communications and Security Conference on November 13th in New York. Roth's Fourth Annual Access Day on November 14 in New York. Benchmark's Discovery 101 Conference on November 29th in Chicago. Barclay's Global TMT Conference on December 5th in San Francisco; and Roth's Seventh Annual Corporate Access Event in December 6 in Utah.
I will turn the call over to Sam. Sam?"
Sam Heidari,0,"Thank you, Vern. Good afternoon, everyone. We appreciate your interest and support and thanks for joining us today. We are pleased to report the record revenue and earnings for the third quarter and guide to record levels for both revenue and earnings for the fourth quarter. Our results are driven by increasing adoption of our Wave 3 10G solution and breadth and reach of Wave 2 offerings. First, let's briefly review or Q3 financial results. Quantenna posted record revenue of $59 million in the third quarter representing 11% sequential growth compared to the second quarter, and 18% annual growth compared to the third quarter of 2017.
Non-GAAP EPS was $0.17 for the third quarter compared to $0.12 in the second quarter and $0.14 in the third quarter of 2017. This marks our ninth consecutive quarter of profitability on non-GAAP basis. Furthermore, Q3 results demonstrated continued earning leverage as we grow our top line, and we posted record operating cash flow.
Turning to our customer activities. We are excited at Deutsche Telekom announced new two new products using Quantenna solution. A gateway design and a repeater design. The repeated design win continues our leadership momentum in the repeated market for service providers. The Gateway design win is for Deutsche Telekom's flagship product. Note that this product is the first Wave 3 10G for European operator and a first to take full advantage of our industry's leading 12 stream capabilities.
In addition for North American Wave 3 10G adoption continues as another cable MSO has initial full deployment. This brings us to full four MSO deploying leading-edge gateways using or 8x8 technology. Let me take a moment to share with you that our value proposition with 8x8 continues to grow. First, I would like to note that we have the only commercially available 8x8 solution on the market that's being deployed. And this technology is being hardened in the field since 2016. With or 8x8 technology we are the first in the industry to deliver over one gigabit per second throughput to each mainstream client, while accomplishing multi gig network capacity using both our QSR10G and QSR10G-AX.
We have maximized the capacity of today's network and our advantage will grow as 11-AX in more advanced features are introduced into the market. In addition, we have mastered the building the highest order in Wi-Fi. Our technology leadership uniquely enables us to build differential products with a variety of configuration.
For example or latest nine stream solution the QSR5GU-AX PLUS provides five by five in five gigahertz and four by four in 2.4 gigahertz. We are now the performance leader even in the mainstream market. And this broadens our market reach. I will discuss our 5 by 5 and 11.ax development later in the call. But for now, I would like to turn the call over to Sean to discuss our strong financial results in further detail. Sean?"
Sean Sobers,0,"Thanks Sam and good afternoon everyone. As Vernon previously stated, our financial commentary should be referenced in conjunction with both my remarks and the earnings press release issued today.
We reported record revenue of $59.3 million in the third quarter. This represents 18% growth over the third quarter of last year and 11% sequentially. This sequential growth was driven primarily by the increased deployment of our Wave 3 10G products. Our third quarter Non-GAAP gross margin was 49.8% and increased to 130 basis points sequentially and 80 basis points year-over-year. We exceeded our guidance midpoint by over 100 basis points due to the impact of our cost optimization efforts and the slightly better product mix.
As we have noted on our previous earnings calls, our gross margin is typically impacted by product mix. Our third quarter operating expenses increased 6% sequentially as anticipated due to the increased headcount and R&D related project spend. Non-GAAP operating expenses were 38% of sales in the third quarter, a decline of 190 basis points sequentially. As a result, our operating income was $7 million in the third quarter representing 12% of revenue. This grew 35% over the third quarter of last year and 52% on a sequential basis. In the third quarter, we generated a record $16 million in cash from operations or $0.40 per diluted share. For the first three quarters of fiscal 2018, we generated $20 million in cash from operations or $0.49 per diluted share. This cash generation was due to the timing of billing and collections from our customers and the timing of payments to vendors.
Third quarter Non-GAAP taxes were $265,000. GAAP taxes were a benefit of $648,000. Our Non-GAAP EPS which excludes stock-based compensation and changes in deferred tax balances was $0.17 for the third quarter compared to $0.12 for the second quarter and $0.14 in the third quarter of 2017.
Turning to the balance sheet, we closed the third quarter with $132 million in cash and cash equivalents and investments. This translates to $3.30 per share on a fully diluted basis.
Accounts receivable ended at $20.1 million or 30 day sales outstanding, this compares to $29.7 million or 50 days in the second quarter. This decrease in DSO was due to the timing of our billings and collections within the quarter. Note this is outside of our normal DSO range.
Inventory ended at $21.6 million or 5.5 annualized turns in the third quarter compared to $21.4 million or 5.1 annualized turns in the second quarter.
Now for discussion of revenue segmentation by Wi-Fi to technology. Our legacy 802.11an revenue saw decline at 26% sequentially in the third quarter and 84% year-over-year compared to the third quarter of 2017. We expect this product segment to grow slightly in dollar terms on a sequential basis in Q4. However, we expect the segment to decline longer term. Our 802.11ac Wave 2 products grew 6% sequentially in the third quarter and 12% year-over-year compared to the third quarter of 2017. Our third quarter Wave 2 dollar shipments were at record levels.
For the fourth quarter, we anticipate Wave 2 revenue will be slightly up in dollar terms on a sequential basis. Our Wave 3 10G revenue represented another record level, growing 28% sequentially and 173% compared to the third quarter of 2017. In Q4, we anticipate Wave 3 revenue will grow 5% to 10% on a sequential basis.
I will now cover our guidance for the fourth quarter of 2018 in more detail. As discussed, our customers deployment of our Wave 3 products is broadening outside of the MSO space and our Wave 2 revenue continues to exhibit stable run-rates. Taking this into consideration, we expect fourth quarter revenue to be between $61 million and $63 million. As discussed in the past, the gross margin on our 10G product is below lower corporate average but has been improving due to our ongoing cost optimization efforts. Given our current outlook for mix between our product segments, we anticipate our fourth quarter Non-GAAP gross margins to be 50% plus or minus 100 basis points.
In the fourth quarter, we expect operating expenses to grow 5% sequentially. We expect R&D expenses to account for majority of this increase due to increased headcount and R&D related project spend. We remind you that our R&D expenses will generally fluctuate quarter-to-quarter due to the timing of our R&D projects. We anticipate SG&A will be flat to slightly up on a sequential basis.
In the fourth quarter, we expect our Non-GAAP tax amount to be approximately GAAP tax amount to be approximately $300,000. Taking these factors into consideration for the fourth quarter, we anticipate GAAP earnings per share of $0.08 to $0.10 and non-GAAP earnings per share to be $0.18 to $0.20. Please refer to our GAAP to non-GAAP business outlook reconciliation contained in our earnings release for more information.
To recap, we are excited about the momentum we are seeing in our business. We believe the longer term deployment forecast for our Wave 3 customers and continued follow on revenue in Wave 2 will drive our revenue and earnings in 2019.
I would now like to turn the call over to Sam for concluding remarks. Sam?"
Sam Heidari,0,"Thank you, Sean. Now I'm excited to further discuss the newest offering of are expanding 11x product family the QSR5GU-AX PLUS. As discussed previously, if you're leveraging our know-how and expertise from many years of developing 8x8 MIMO to create any MIMO subset based on the market demand. In this case, we created 5x5 MIMO.
The exciting thing about this product is as build to compete in a mainstream market which is currently served by 4x4 MIMO. As you recall, Quantenna pioneer 4x4 MIMO which marginalized 3x3 solutions and evolved into the best while performing Wi-Fi product serving the mainstream market today.
Now we are changing the game again with our latest 5G-AX. The 5G-AX will enable multiple applications for different performance, footprint and cost requirements. The first of its kind in the industry. It offers a unique architecture enabling the world's only nine stream Wi-Fi product consisting of an integrated dual band, dual concurrent 5x5 MIMO in the 5 gigahertz band and 4x4 MIMO in the 2.4 gigahertz band.
This is solution provides up to 50% more throughput than any competing 4x4 solution. As we detailed in this press release, there are many other differentiating features encompassing the 5G-AX in addition to their higher MIMO capability.
As we expand our 11-AX product offering, we have validated our presence with multiple ecosystem partners. As recently announced, we joined forces with SoftAtHome, Plume and Cortina to accelerate the availability of for solutions based on the latest draft of 11-AX standard. These developments along with others that we have mentioned in the prior quarters are putting us in the unique position of enabling even larger ecosystem built around technology.
To summarize, today Quantenna's product serve a wide range of applications and price performance tradeoffs. From price sensitive, with the spot and essential to mainstream with 5G-AX to premium with 10G -AX. All of these offerings are part of an industry ecosystem, but also enjoy proprietary software and algorithms that boost the performance and user experience. Our market traction continues, as evidence by or recently announced design wins at Orange, France, Orange Poland and Deutsche Telekom.
On a final note, I would like to thank our employees for their hard work for supporting us as the leading Wi-Fi technology innovator. Thank you for joining us today. I would like now to turn the call over to Vern. Vern?"
Vernon Essi,0,This concludes our prepared remarks. We would now like to open the call up for your questions.
Operator,1,"[Operator Instructions]
Our first one is from the line of Ross Seymore from Deutsche Bank."
Ross Seymore,1,"Hi guys. Congratulations on the strong results. Sam, first and foremost, just want to talk about the new customers that you have. Any color on either the pace or general timing of the ramp of the 4th MSO, as well as the new large European customer, Deutsche Telekom, I believe?"
Sam Heidari,1,"Yes. So the 4th MSO has already gone to production. And Deutsche Telekom, we believe that they will ramp, start ramping end of this year, early next year."
Ross Seymore,1,"And anything on the trajectory of that and I doubt you're going to say specific quarters or specific slope. But if we compare to the ramp of say, your first big customer on the Wave 3 side of things, will this be smoother, steeper, how should we think of that slope?"
