type,name
Executives,"Vernon Essi - Director, IR and Strategic Finance"
Executives,Sam Heidari - Chairman and Chief Executive Officer
Executives,Sean Sobers - Chief Financial Officer
Analysts,Ross Seymore - Deutsche Bank
Analysts,Gary Mobley - The Benchmark Company
Analysts,Joseph Moore - Morgan Stanley
Analysts,Quinn Bolton - Needham & Company
Analysts,Blayne Curtis - Barclays Bank
Analysts,Charles Anderson - Dougherty & Company
Analysts,Alessandra Vecchi - William Blair & Company
Analysts,"Tore Svanberg - Stifel, Nicolaus & Company"
Analysts,Suji Desilva - ROTH Capital.
