speaker,q&a,content
Operator,0,"Good afternoon, ladies and gentlemen, and welcome to the conference call of Raiffeisen Bank International. Today’s conference is being recorded. At this time, I would like to turn the conference over to Ms. Susanne Langer, Head of Group Investor Relations. Please go ahead, madam."
Susanne Langer,0,
"Thank you. Good afternoon to everybody from Vienna, and thank you for joining today’s conference call. This morning, the presentation for the call was sent out, along with the additional insight slides. As usual, our three board members, Mr. Strobl, Mr. Grüll, Mr. Mösenbacher will go through the third quarter results, after which, we will open the line for your questions.",0,"With that, I will hand over to Mr. Strobl. The floor is yours."
Johann Strobl,0,"Good afternoon, ladies and gentlemen. Thank you for joining this call. A very warm welcome. Today, we can present another very good quarter, and let me start with the summary, which you find on Slide 4 in the presentation.
In the first nine months of this year, we have consolidated profit of EUR 1.173 billion, which is up 29% year-on-year. And this number already includes EUR 121 million loss from the sale of our Polish core banking operations, which you might remember was already booked in the second quarter this year. What we like very much is that the operating income is up 5% year-on-year, also supported very much by net interest income.
We have again, a very positive development of risk costs, driven by high releases of loan loss provisions. What we also like is that our loans to customers, up 3% year-to-date, despite the sale of the Polish core banking operations, which is reported under the IFRS 5 reclassification.
The sale of the Polish core banking operations will give us an uplift of 85 basis points, which will be recognized at the end of the Q4 this year. The NPL ratio given this very good development also in the risk costs was decreased further and is now at 4.4%. A big part comes from organic reduction, but this is also supported by the sale of the Polish core banking operation. And the CET1 ratio on a fully loaded basis, but also included the year-to-date results, is 12.8%.
If I turn now to the numbers on the next slide, so this confirms what I highlighted in my summary. Net interest income, up 4.6%; net fee income, up 4.2%; so overall operating income, up 4.8%. General administrative expenses slightly increased by 0.7%. I mentioned already the very good performance of the risk costs. So we’re over nine months, still positive with EUR 56 million, which leads to profit before tax of almost EUR 1.6 billion, a profit after tax with almost EUR 1.3 billion and already, I have reported the consolidated profits. NPL ratio, I mentioned. The NPE ratio, the more important figure for the regulators, is now down to 3%.
If we turn to the next slide. Clearly, the ROE is very friendly in the development. Cost/income ratio on a good way. So over the year, it’s I think now 55.7%. There might be some pressure – or will be some pressure in the fourth quarter. So overall, this year, it will be a little bit higher than what we see now. Net interest margin is stable and provisioning ratio very, very favorable.
I, like usual, in these dates, I would like to give you an update on Russia. Our activities there are performing very well. Again, we have the profit after tax in euro terms of EUR 368 million, which is up another 3%. And this despite of the ruble depreciation, which had been 9% year-to-date. And year-on-year average, it’s down 11%. The net interest margin is stable on a solid high level; risk costs, very low; loan growth in euro terms, good at 8%; the NPL ratio, stable.
So what we can say is we confirm our strategy in Russia, which simply is expand the customer base in the retail area and then the SME area. We believe that the progress we are making in the digital development also will support our sales by our digital channels. In corporate, we’re progressing in diversifying our large corporate segment, and we would like to get a little bit more numbers but also volume of mid-caps. And again, to confirm in the lower part of this slide, the loan book is diversified on total bank level as well as within the retail.
Poland, we are at the end of a challenging period. Probably, we will mention it once again in the year-end call because not all the details can be already shown in the numbers for the third quarter, but let me sum up. We finished the sale of the core banking operation on the 31st of October, which simply meant that we transferred EUR 7.8 billion [ph] of assets and EUR 8.3 billion of liabilities to the buyer. We disclosed these numbers in the September report on the held-for-sale. We confirmed the price, which we have given before. So the price/tangible book value multiple of 0.95, which is approximately EUR 760 million. The impact on CET1, 85 basis points, I have already mentioned in the summary. And in total, I can say that the assets, which had been transferred were EUR 9.3 billion and in terms of RWA, it had been EUR 4.9 billion.
What’s left for RBI is a branch in Poland with EUR 3.3 billion of assets. This include a EUR 3 billion foreign currency mortgage book and EUR 300 million of corporate loans. As we very regularly stated, the average maturity of this portfolio is rather long term, so weighted average maturity is in the range of 10 to 15 years. This also depends on the currency. The branch will not originate new business. So this is a pure rundown branch. The NPL portfolio is currently on the level of EUR 373 million.
If we move to the next slide, I can confirm what we already showed on the last several calls. We have various growth strategies in the markets. Preferred markets from the current perspective are the Czech Republic, the Slovakian Republic, Romania and also Bulgaria. Also, I have to state that total assets, Bulgarian operations is rather a small one, and we also see in some other markets a positive development.
If we then move to the next slide, here is an update of our macro outlook. As said several times, we believe that the peak in this cycle was in 2017, but reduced growth rate is still on a considerably good level with 4.2%, for example, in Central Europe; 3.4% now in Southeast Europe; and on a stable level of 1.7% in Eastern European countries. And this will be reduced in the next two years also, but we believe still on a good level.
I’m already on Slide 11. And there, I can confirm the outlook, which means that we expect in the coming years mid-single-digit loan growth. For this year, impairment losses on financial assets, the risk costs below the 2017 level; NPL ratio to be further reduced, also in the midterm. Midterm, we want to achieve a cost/income ratio below 55% from our targets, so this is the most challenging one. In these days, we have a consolidated return on equity significantly above the 11%. But given the strength of our business, we believe that in the coming years, we can achieve this 11% ROE. We have targeted a CET1 ratio of 13% after dividends and still a broad range of payout ratio for the dividend of 20% to 50%. We also mentioned there in the past that the broad range comes also because of some uncertainty of additional RWA increases by Basel IV.
And with this, I hand over to Martin."
Martin Grüll,0,"Thank you very much, Johann. Also, from my side, welcome, and good afternoon. Let’s make a deep dive in the quarter-on-quarter development. I am now on Slide 13. Net interest income, down in Q3, EUR 22 million – sorry, net interest income, up EUR 22 million coming mainly from Russia. Here, we are benefiting from higher volumes and also good deals from central bank treasury builds. Romania, good margin development thanks to key interest hikes in this country, and also Czech Republic, where we also had quarter-on-quarter nice development of loan volumes.
Dividend income in this quarter was lower. As we reported in Q2, we had extraordinary payments. And since all these payments usually are received in Q2, obviously, dividend income in Q3 is lower. Net trading income and fair value results, down EUR 14 million, driven by valuation losses. General administrative expenses, down EUR 20 million. There were some one-offs in Q2, so I will elaborate in more detail later on.
Other result. As we reported in the second quarter, we booked the effect of the Polish core banking sale in full according to IFRS 5. This is the EUR 121 million impact. Impairment losses, we booked EUR 28 million, so this was a real cost. That should remind us that this is not a profit center. Hannes is already eagerly waiting to provide more flavor to you on the current development of our risk costs.
Next slide shows the distribution of profit. I will focus more on quarterly development of the various countries. Czech Republic visibly improved operating income. Hungry came in with EUR 33 million net profit, but benefited strongly from an EUR 80 million positive risk result from the release of a workout case. Slovakia, a very good quarter, close to 0 risk cost, higher net interest margin and growing volumes, boosting the bottom line.
Albania, very stable profit development. Same in Bosnia. Bulgaria, lower because there were significant releases in Q2. Croatia, same trend as in Bulgaria, no benefit anymore from releases of risk cost. Romania, excellent performance, very strong bottom line driven by net interest margin improvement. We are at the level of 4.4%, so that’s significantly above the level a year ago. And also the loan book is growing nicely in Romania. Serbia, we see a quite stable development. Belarus, also good development, EUR 4 million plus on the profit. Russia, fully on track; net interest margin, stable and again, low impairment losses, as was mentioned by Johann Strobl, and a very juicy growth of 5.6% quarter-on-quarter on the loan book. So in Ukraine, the operating result was stable, however, a lower profit compared to the second quarter since there were no releases booked in the third quarter.
Moving on to the top line development. I mentioned already EUR 22 million more on the top line. NIM, very slightly increased by three basis points. However, we expect across the group for the coming quarters a rather stable development. So I believe it will be around 2.5% in the coming quarters. Dividend income, I explained already. Net fee income, commission income, down EUR 4 million. There was an exceptionally high second quarter net trading, I also mentioned already.
Let’s move on to the cost side, which deserves a particular attention because we had now EUR 20 million lower cost. That was, as I mentioned earlier, driven by various factors. One factor is a booking of salary increases based on the agreement with the unions, so the collective agreement, which had to be paid retroactively beginning of the year. So that was a one-off. And in the third quarter, we released provisions for vacation allowances. So this has to be considered when you model the cost, the staff expenses going forward, which also needs to be considered to be reflected, and Johann mentioned it already, that we see across the board, quite a significant wage inflation. In some countries, the salaries go up by even 10%, so that you should clearly reflect in your – not only Q4 2018, but also in the 2019 forecasts.
Let’s move on the balance sheet overview on Page 17. 3% year-to-date growth of loan book despite the Polish core banking sale. That was achieved mainly in head office, Vienna, but also Czech Republic, Romania, Russia and I mentioned already, Slovakia. Some of this growth is driven by repo business, so short-term repo business, and cannot be considered as sustainable. This is why we stick to our outlook to grow our loan book by mid-single-digit number on average in the coming years.
Moving on to the regulatory capital quarter. I’m now on Page 18. Quarter-on-quarter, the CET1 capital ratio remained flat, including Q3 earnings. We had seen in line with the growth I mentioned earlier, nonretail credit risk growth of roughly EUR 2.6 billion; retail, roughly EUR 0.5 billion. And due to hedging operations in connection with the Polish sale, we had seen a more – a bigger growth of our market risk, so bigger-than-usual EUR 939 million growth on the market risk. At the same time, operational risk came down by EUR 200 million.
Moving on to Page 19. The uplift from the Polish sale in the amount of 85 basis points on the CET1 is not yet reflected here. We do not expect any significant change of our Pillar 2 requirements for 2019. I remind you that beginning of 2019, we have the combine buffer requirement of 4.5% on the CET1 lever. You know that we have fully covered our AT1. MDA restriction is at 9.83%, so very healthy. The buffer to MDA trigger, 2.5%. And also the ADI volume is very sufficient at the level of close to EUR 2 billion.
On the Slide 20, also you see a quite stable trend on funding and liquidity. We have a loan deposit ratio of 98%. Liquidity coverage ratio, 128%. Due to the dynamic growth, we will come to the market with senior unsecured transactions on a more regular basis.
Coming to my last slide, this is 21. As you know, we are aiming at a multiple point of entry strategy. It’s still work in progress. Each network unit must form a separate resolution group. That means we have to negotiate with the Single Resolution Board in Brussels on the one side, and also with each resolution authority in the relevant countries. That needs time and, therefore, we, unfortunately, cannot yet share with you any specific targets, which will be given by the authorities. What we know is that for Austria and Slovakia, we would expect binding targets by the end of the second quarter 2019. And that – then it should become effective and binding from the beginning of the third quarter, and the transition might go up to four years. But that, again, needs to be agreed with the relevant authorities.
That’s all for my side, and I would like to pass on to Hannes."
Hannes Mösenbacher,0,"Well, thank you, Martin. Good and nice afternoon also from my side. Well, I think from the risk point of view, the summary is quite straightforward. The one thing is we have seen good growth in business. NPL reduced to 4.4%. If you prefer the NPE ratio, we’re now at 3%. NPL coverage sums up to 75%. We see good support by the economy. Why is this important? It gives us lower inflow into the troubled asset part and also, it gives good support for our workout efforts.
So let me jump into the details. I’m now on Page 23. Credit risk RWA is increased by roundabout EUR 3.6 billion. So where did the growth come from? It comes from nonretail side, mainly from Czech Republic, Romania and Slovakia. But also, good growth was executed on the Group Corporates & Markets segment.
On the retail side, we have seen increasing RWAs of somewhere around EUR 678 million, and this growth was mainly weighted in Bulgaria, Czech Republic, Slovakia and, of course, not to forget Russia.
Martin already indicated the market risk increase in RWEs. This goes hand-in-hand with our Polish deals transactions, so we did some forward hedgings, and those hedgings have consumed some RWAs. But they, of course, after the successful execution of the transaction, will also fall back.
Yes. So I would move to the next page. When talking about NPL and provisioning ratios on the portfolio level, we have seen good and strong improvement year-to-date when talking about risk costs. NPL ratio is now down, and we’re 4.4%. NPL coverage ratio, more or less the same like in Q2. We’re on 75% now. Impairment losses on Q3 is EUR 28 million. This gives us the provisioning ratio of 14 basis points. So I think one could conclude that this looks quite decent.
Let me jump to my last page of the presentation, when talking about NPL distribution by the country. Last time, you have asked me what is my guidance when it comes to the NPL ratio. So we are aiming to somewhere around 3% to 5%. And then it’s also easy to see on which markets there is some still way to go, well, obviously, in Poland, Albania and Croatia. In Ukraine, we are confident that we will meet somewhere around – that we will finish the year-end somewhere around 10%.
Well, not keeping to you too long for your questions, so we would now open the floor for your questions. Please go ahead."
Operator,1,"Thank you, gentlemen. [Operator Instructions] Our first question comes from Anna Marshall from Goldman Sachs. Please go ahead. Your line is open."
Anna Marshall,1,"My first question is in capital, please. Firstly, could you please confirm if capital target is likely to remain unchanged at around 13% in the medium term? This is in light of stable Pillar 2 requirement but increasing countercyclical buffers in some countries. And a small part of that question probably is how much would be the risk-weighted asset relief after Poland sale related to market risk? And the second question is on the related topic. Specifically, could you give an update on capital utilization plans, both in terms of growth and in terms of dividends and for dividends specifically from 2018 earnings?"
Hannes Mösenbacher,1,"So we confirm that the capital target, as it was presented by Johann Strobl, is still unchanged at the level of 13% CET1. On the market risk, of course, I’m rather cautious in my guidance there because we have volatility. But if you would isolate the effect, we’re talking an RWA relief of somewhere around EUR 800 million to EUR 1 billion."
Martin Grüll,1,"So capital utilization, may I start with – I mean, again, in line with our outlook, dividends between 20% to 50% of the net profit and, of course, 5% risk-weighted asset growth roughly – or mid-single digit in the coming years, around mid-single digit with – certainty also consume a certain part of the capital."
