type,name
Executives,Susanne Langer – Head of Group Investor Relations
Executives,Johann Strobl – Chief Executive Officer
Executives,Martin Grüll – Chief Financial Officer
Executives,Hannes Mösenbacher – Chief Risk Officer
Analysts,Anna Marshall – Goldman Sachs
Analysts,Julia Matoshchuk – Morgan Stanley
Analysts,Gabor Kemeny – Autonomous Research
Analysts,Alastair Ryan – Bank of America
Analysts,Benjamin Goy – Deutsche Bank
Analysts,Andrea Vercellone – Exane
Analysts,Riccardo Rovere – Mediobanca
Analysts,Johannes Thormann – HSBC
Analysts,Alan Webborn – Societe Generale
Analysts,Tobias Lukesch – Kepler Cheuvreux
Analysts,Gilles de Bourrousse – OCTO Finances
