speaker,q&a,content
Operator,0,"Good morning and good evening, everyone. Welcome to RISE Education’s third-quarter 2018 earnings conference call. [Operator instructions] This call is also being broadcast live on the company’s IR website.
Joining us today are Mr. Yiding Sun, CEO; Ms. Jiandong Lu, COO; Ms. Chelsea Wang, CFO of RISE Education; and Jack Wang, senior associate of ICR. Following management’s prepared remarks, we will conduct the question-and-answer session.
Before we begin, I’ll refer you to the safe harbor statement in the company’s earnings release which also applies to the conference call today as management will make forward-looking statements.
I am now turning the call over to Mr. Yiding Sun, CEO of RISE Education. Please go ahead, sir."
Yiding Sun,0,[Foreign Language]
Jack Wang,0,"Thank you, Sir. Hello, everyone. This is Jack Wang, and I will translate for Mr. Sun. Before I start reviewing our third-quarter results, please allow me to introduce our chief operating officer, Ms. Jiandong Lu. Ms. Lu served as our independent director from our successful listing on the NASDAQ Global Market in October 2017 and will be appointed as our chief operating officer on September 28, 2018.
Prior to joining us, Ms. Lu was an investment banker with JPMorgan where she held several senior executive positions and gained tremendous management experience overseeing the daily operations of the business. I am confident that her capital market expertise, her management experience and her leadership will be a great asset for our future expansion.
Now I will turn the call over to Ms. Lu to speak on behalf of Mr. Sun. Please go ahead, ma’am."
Jiandong Lu,0,"Thank you, Jack. This is Ms. Jiandong Lu. I apologize if I’m losing my voice. Now speaking on behalf of our CEO, Mr. Yiding Sun. During the third quarter of 2018, we continued our strong growth trajectory. Our total revenues grow by 33.6% year-over-year to RMB 347.4 million.
Our educational programs remain our primary growth driver, and revenue generated from educational programs grew by 32.8% year-over-year to RMB 270.3 million. During the third quarter, we opened 38 new learning centers, including four self-owned learning centers and 34 franchised centers, bringing the total number of our learning centers to 345 in our total network, including 72 self-owned learning centers, two of which are from Edge, and 273 franchised centers. As a result, we have added a total of 42 classroom in our self-owned learning centers. Our student retention rate remains high at 71% during the third quarter.
As we continued to execute our growth strategy, we have encountered some challenges in the marketplace, including tightening regulations in the education sector, increasing competition, more stringent fire safety code on commercial buildings and soften consumer spending in the PRC. Such challenges slowed down the growth rate of our student enrollment compared to the same period of previous years, while the total student enrollment at our self-owned learning centers and online courses increased by 26% year-over-year to 14,702, including the enrollments for short-term courses.
Despite the temporary challenges, we are confident that RISE Education is well positioned to continue to lead the Chinese junior ELT market and enjoy healthy growth in the foreseeable future. First, in the first half of this year, the Chinese government issued a series of new regulations to reduce students’ after-school workloads. Such regulations targeted school-aged children and test preparation children services. Since about 75% of our students are preschool children and because of our education courses are more geared toward building soft skills and capabilities instead of test preparation, we are less impacted by the tightening regulation.
However, as the industry adapts to the new regulations, many test-prep-orientated service providers in China are now shifting their demographics focus from school-aged to preschool children, intensifying competition in the ELT market has escalated marketing channel cost during the quarter. We have also adjusted our promotion strategies by increasing our investments in marketing.
The junior ELT market has a unique set of characteristics which makes it difficult to new entrants to prep within a short period of time. RISE Education has over 10 years of successful operation, a premium and trusted bank and a large trajectory of high quality cost materials in China’s junior ELT industry. Therefore, reducing the new regulations will have a material or lasting impact on RISE operations.
Second, local government agencies have recently imposed a more stringent fire safety code of commercial buildings. As our learning centers brand premises and commercial building such as shopping malls, it has taken longer time for our landlords to meet the more stringent fire safety codes. Therefore, we’re only about to open new learning centers as fast as we scheduled earlier this year. We’re now more mindful of the fire safety standards when selecting our landlord while also working closely with our landlord to meet the requirements under the fire safety code as quickly as possible. As of now, the opening of our new learning centers has been slightly behind our original schedule, and we will be two centers short than what was originally planned by the end of 2018.
Third, our business has been partially affected by the softened consumer spending amid the escalating trade war. However, the impact of the trade war has been mostly on discretionary spending such as overseas travel and new purchasing. In contrast, Chinese parents have always regarded their children’s education as a non-discretionary investment. Industry studies have also shown that among all subjects, spending on English education is the most resilient to economic downturns, more so than spending on math, science and other subjects. Above all, we believe consumers tend to focus more their efforts on their brands that they trust amid market uncertainty.
On August 25, we successfully concluded the seventh RISE Cup Competition. During the final one, 15 finalists out of more than 55,000 registered participants showcased soft skills, including communication, collaboration, teamwork and leadership to the audience of more than 2,000 people. This year’s RISE Cup was a tremendous success, setting a new record in the company’s history. This achievement demonstrates our significant brand of influence as well as the recommendation and the trust from our customers.
In a recent survey conducted by DDC, an international STEM program provider, RISE is ranked as the number one brand among the top 10 ELT providers in China based on our course curriculum, high-class style, education materials, teacher background and the quality of service. Our well-known brand have also manifested in our consistently high student retention rates allows the student retention rates remain high at about 70%, that is to say our students typically stay with RISE for a long time, in many cases, a minimum of three years once the students are enrolled into our educational program. With our ability to retain students and across new programs, we believe the long lifetime value of our students is actually increasing despite our increased upfront investments in student acquisition.
A high skilled and retention rate has been one of our key competitive advantages. Even so, we are constantly working to further improve it. In an environment where competition and regulation intensify day-by-day, we focus our changing – further enhancing our consumer service and improving our management efficiency while expanding our business. We are building on our learning platform such as Homeschool Connectand After-School Homework will enable to closely monitor our student’s learning outcomes and to further improve our communications with parents in order to improve on customer satisfaction.
We are also reinforcing our teachers’ training and optimizing our teachers’ composition structure to raise future satisfaction and to lower our teachers’ turnover rate. At the same time, we are improving our operation system and accounting management system in order to improve our management efficiency and better control our operational risks. We’ll use technology to empower our educational services, our teachers and our operations. As one of our growth strategies, we continued to evaluate our franchise essentially focused on consolidation.
I’m very pleased to report that recently, we signed an agreement with our existing franchise partner Shijiazhuang for future reach we will purchase from her 51% of equity interest in all the five learning centers in Shijiazhuang.
These five learning centers have approximately 3,500 students in total. Shijiazhuang is in a very attractive market for us as RISE is already the number one junior ELT provider in the Shijiazhuang market in terms of market share. We see continued opportunities to increase student enrollment as well as the course prices. We believe this is a testament to RISE’s ability to continue to roll out existing franchises centers.
In addition to franchises center acquisition, we are evaluating all the potential acquisition opportunities which may be complementary to our service offering, student demographics and teaching philosophy. Looking forward, we believe that the market demand for junior English teaching training will remain strong because of Chinese parents’ unwavering commitment to their children’s education. In order to fully capitalize on such market opportunities, we will continue investing in sales and marketing to attract the new students while enhancing our customer services to retain existing students.
Our strong profitability, positive cash flow and sufficient cash reserve afford us with ample firepower to invest for our long-term and sustainable success. To demonstrate our strong conviction toward our long-term success, we have put a plan in place to buy back up to $30 million worth of ADS during the next 12 months.
We believe our core competencies will enable us to thrive in any market condition. This concludes the remarks of our CEO, Mr. Yiding Sun. I will now turn the call over to our CFO, Ms. Chelsea Wang, to go through our financial highlights. Chelsea, please go ahead."
Chelsea Wang,0,"Thank you, Jiandong, and hello, everyone. Before I begin, please note that all numbers stated are in RMB terms. In the third quarter of 2018, our total revenues increased by 33.6% year over year to RMB 347.4 million from RMB 260 million in the same period last year. The increase was driven by a 32.8% year over year increase in revenues from our educational programs, which increased to RMB 270.3 million in the third quarter of 2018.
Such growth was primarily attributable to our industry retention rate which increased to 71% this quarter from 70% in the same period last year. The first expansion of our self-owned learning center network also contributed to our strong financial performance this quarter. Franchised revenues increased by 15% year over year to RMB 35.6 million in the third quarter of 2018 despite the impact on revenues due to the adoption of ASC 606.
The increase is primarily attributable to the steady growth of recurring franchisees and increased number of franchised learning centers, which totaled 273 as of the end of September 2018 compared to 201 by the end of September 2017. Other revenues increased to RMB 41.5 million in the third quarter of 2018, up 63% year over year from RMB 25.5 million in the same period last year, primarily due to the revenue contributions from The Edge and our study tour program.
Gross profit for the third quarter of 2018 increased by 37.8% year over year to RMB 183.5 million. Gross margin increased to 52.8% during the third quarter of 2018 compared with 51.2% in the same period last year. Selling and marketing expenses for the third quarter of 2018 was RMB 77.5 million or 22.3% of total revenue compared with RMB 45 million or 17.3% of our total revenue in the same period last year. The growth of our selling and marketing expenses was mainly driven by the increases in our marketing channel expenses as we expanded our network of self-owned learning centers and increased our student enrollments.
General and administrative expenses for the third quarter of 2018 were RMB 57.8 million or 15.6% of total revenues compared with RMB 44.8 million or 17.2% of our total revenues in the same period last year. The increase in our general and administrative expenses was primarily due to higher personnel costs and office expenses as a result of our business expansion.
Our operating income for the third quarter of 2018 increased by 11% year over year to RMB 48.2 million. Operating margin for the third quarter of 2018 decreased to 13.9% from 16.7% in the same period last year related to the increase in our selling and marketing expenses. Our non-GAAP operating income for the third quarter of 2018 was RMB 50.6 million, and our non-GAAP operating margins for the third quarter of 2018 was 14.6%.
Adjusted EBITDA for the third quarter of 2018 remained stable at RMB 64.8 million compared with the same period last year. Adjusted EBITDA margin decreased to 18.7% from 24.9% in the same period last year, mainly due to the increase in our sales and marketing expenses. Net income attributable to RISE for the third quarter of 2018 increased by 9.9% year over year to RMB 32.9 million from RMB 29.9 million in the same period last year.
Non-GAAP net income attributable to RISE was RMB 35.3 million, and non-GAAP net margin was 10.2% for the third quarter of 2018. Basic and diluted net income attributable to RISE per ADS were both RMB 0.57 for the third quarter of 2018. Basic and diluted non-GAAP net income attributable to RISE per ADS was RMB 0.62 and RMB 0.61, respectively, for the third quarter of 2018. Turning to our cash flow in the balance sheet. We generated RMB 74.7 million positive cash flow from operating activities for the third quarter of 2018 compared with the RMB 75.5 million in the same period of the prior year.
The slight decrease was mainly attributable to an increase in operational costs and rental deposit as we opened more new self-owned learning centers. As of September 30, 2018, we had cash, cash equivalents restricted cash, short-term investments and loan receivable of RMB 1,299.6 million compared with RMB 1,084.9 million as of December 31, 2017. As of September 30, 2018, total deferred revenue and the customer advances balance increased by 27.1% to RMB 1.03 billion from RMB 812.8 million at the end of 2017.
This increase was primarily driven by higher prepaid tuition and fees from our rising level of student enrollment, partially offset by recognized revenue as our courses were delivered. Now let me provide you with our guidance. For the first quarter of 2018, we expect our total revenues to be between RMB 345 million and RMB 350 million, representing a year over year growth of approximately 28%. At the same time, please note that with our plans to increase our marketing spending, we expect our full-year EBITDA margin, adjusted EBITDA margin to be between 22.5% to 23.5%.
This forecast reflects our current and preliminary view in the markets and operational conditions which are subject to change. This concludes our remarks. Operator, we would now like to open up the call for questions from our audience.
For those who would like to ask a question, please state your question in Chinese first and then in English. Operator, please proceed."
Operator,1,"Thank you, Chelsea. [Operator instructions] Your first question comes from Melissa Chen from China Renaissance. Please ask a question."
Nicky Ge,1,"[Foreign Language]
I will translate for myself. So thanks, management, for taking my question. So I’m calling on behalf of Nicky Ge our analyst. She has two questions actually. So first of all, about the regulation. So I’m just wondering whether the regulation on the government has changed so far, specifically on the most recent regulatory change from the general state council.
And the second question is about the sales and marketing. So as mentioned before, the total guidance for sales and marketing expense is going to be stable compared to last year. So I’m wondering, will there be any change about the guidance and what’s our guidance for the next year? Thanks."
Yiding Sun,1,[Foreign Language]
Jiandong Lu,1,"Let me answer Mr. Sun’s answer to your question. Your first question is regard to the policies issued by the government recently on the kindergartens. I would say the policy is not related to our business.
Although we focus on the age group between three to six demographics, we provide only after-school English training. So although we see some fluctuation in the market, I will say it has nothing to do with our business."
Chelsea Wang,1,"Okay, let me answer your second question. So regarding the sales and the marketing expense, as a percentage of revenue, it will be increased by 2% compared with year 2017. As we explained in second-quarter earnings release call, we decided to invest the marketing spending to drive more student enrollment. So it is a long-term strategy. We believe we will reach our return of earnings that return on investment in the future. Thank you."
