speaker,q&a,content
Company Participants,0,"Allison Malkin - Investor Relations
Gary Friedman - Chairman and CEO
Jack Preston - Chief Financial Officer"
Conference Call Participants,0,"Chuck Grom - Gordon Haskett
Michael Lasser - UBS
Steve Forbes - Guggenheim Securities
Tami Zakaria - JPMorgan Chase
Mike Baker - Deutsche Bank
Elizabeth Suzuki - Bank of America
Cristina Fernandez - Telsey Advisory Group
Brad Thomas - KeyBanc Capital Markets
Seth Basham - Wedbush Securities
Chuck Grom - Gordon Haskett
Mike Baker - Deutsche Bank"
Operator,0,"Good afternoon, my name is Erica, and I will be your conference operator today. At this time, I would like to welcome everyone to the RH First Quarter 2019 Earnings Q&A Conference call. [Operator Instructions]
Thank you. Ms. Allison Malkin, you may begin your conference."
Allison Malkin,0,"Thank you. Good afternoon everyone. Thank you for joining us for RH's first quarter fiscal 2019 Q&A conference call. Joining me today are Gary Friedman, Chairman and Chief Executive Officer; and Jack Preston, Chief Financial Officer.
Before we start, I would like to remind you of our legal disclaimer that we will make certain statements today that are forward-looking within the meaning of the federal securities laws, including statements about the outlook for our business and other matters referenced in our press release issued today. These forward-looking statements involve a number of risks and uncertainties that could cause actual results to differ materially. Please refer to our SEC filings, as well as our press release issued today for a more detailed description of the risk factors that may affect our results.
Please also note that these forward-looking statements reflect our opinion only as the date of this call, and we undertake no obligation to revise or publicly release the results of any revision to these forward-looking statements in light of new information or future events. Also during our call today, we may discuss non-GAAP financial measures, which adjust our GAAP results eliminate the impact of certain items. You will find additional information regarding these non-GAAP financial measures and the reconciliation of these non-GAAP to GAAP measures in today's financial results press release. A live broadcast of this call is also available on the Investor Relations section of our website at ir.rh.com.
With that, I'll turn the call over to the operator to begin our Q&A session."
Operator,1,[Operator Instructions] Our first question is from the line of Chuck Grom with Gordon Haskett.
Chuck Grom,1,"Just a question on the revenue change in the guidance. It looks like it was about $40 million, but I think you only beat the first quarter, high-end by about $10 million. So, just wondering if you can unpack for us the change in the revenue assumption. How much is stronger, a stronger core top line assumption versus higher prices from tariffs starting to flow through and then in addition to that, just wondering if you could also speak to the cadence of sales in the quarter. It sounds like in the release that it accelerated, but I'm just curious if you could speak to that also anything quarter-to-date. Thank you."
Jack Preston,1,"So let me start with the revenue guidance. So it was at the midpoint, it was at $14 million beat. So at the midpoint to the year, we're taking the guidance up $43 million and so again at the high end, you mentioned $11 million the high end of the guidance is being taken up by $28 million.
As it relates to your higher prices due to tariffs, our guidance fully reflects the tariffs and there is no assumption that higher prices roll through to incremental revenue. So that is a reflection of the trends we're seeing and trends that we're seeing in the business."
Gary Friedman,1,"This is Gary. Let me echo that. We're basically, we've got a chance now to see our post. I think the market volatility and the stock market kind of stabilizing. We saw our business come back in the second half of the first quarter, and we've also got early indications on RH Beach Houses. The book starts to roll-in.
We also have confidence in many of the underlying trends in the business as we look forward. So that's what gives us the confidence to look forward with the guidance that we have."
Chuck Grom,1,And then just my follow-up would be just any deviation in trend in some of the markets that have been impacted by the soft changes over the past say 60 days to 75 days?
Jack Preston,1,"It's Jack here. As we mentioned this one we're watching just because of all the noise around it, heard anecdotes but I got to tell you the data shows that there was no meaningful impact. So nothing that we saw."
Gary Friedman,1,"Yes, nothing yet."
Operator,1,And our next question is from the line of Michael Lasser with UBS.
Michael Lasser,1,"So you initially offered guidance for this year with the fourth quarter, then you took it down - sorry with third quarter, then you took it down with fourth quarter and now you're raising it with the first quarter, does this just reflect some volatility in the underlying business. Where are you getting the confidence that the volatility is going to be reduced in the back half?"
Gary Friedman,1,"I'm sorry, can you just give me that question again?"
Michael Lasser,1,So the guidance was - initial guidance was established and it was brought down and now it's being brought up. So it would be adjustive of that there's a lot of volatility in the business. What gives you confidence that volatility is not going to persist during the second half?
Gary Friedman,1,"Look, we can't control macro or market issues. Nobody can, whoever's running the business. So we always pray for peace and plan for war. I think it's important for us not to get distracted by the short term noise and stay focused on the long-term narrative that is created a truly unique brand with the best operating model in our industry. So we can tell you what we're seeing today and what the trends are today. If the market falls or we go into a recession or something different happens, something different happens.
So I don't think it's our business, it's the only business that volatile. You know that the market is volatile. I mean we haven't to be the only business of our kind that has increasing, meaningfully increasing revenues, meaningfully increasing operating margins and profitability. So that's one thing that's been consistent, right. We haven't really lowered meaningfully any earnings.
So we beat earnings every quarter and we've had some movement in our top line because of the market volatility and added in parts of our business in trying to create a better model but, I think if you look back at the last three years and just look at our numbers, I don't think you'd see volatility.
I think you'd see a really consistently improving business model. I mean we have the highest operating margins in our industry today. We believe that support 400 basis points to 600 basis points more so but we can't do anything about what happens to the macro environment.
So, we keep an eye on that stuff, we have plans for - if the market is expanding that the business is expanding, we'll do certain things. If the marketplace is contracting we have plans for that. So we just try to capitalize for our shareholders no matter what happens."
Michael Lasser,1,"My follow-up question is as you look over the course of the rest of the year. It sounds like you raised your guidance for the next few quarters about $20 million to $30 million. Is that coming from the contribution from new stores, is it coming from more optimism around the launch of RH Beach House or is it coming from some of the legacy stores that have been around for more than…"
Gary Friedman,1,"Yes. You got to be careful you get lost in the details here. Our business trends reversed. The market fell 800 points in one day. The day after we gave guidance, right, in the fourth quarter. So, for a high-end customer, if the market gets rocked like that it's definitely impacts our business, we saw the trends change. We revised our guidance. Since then the markets being consistently - you know the Dow has been consistently over 25,000 right.
So with the Dow stabilizing people act differently. Look, in the fourth quarter, I was going to by a piece of property and build a new house, the market got rocked and I as a customer is - database of one decided not to purchase the property and not to buy the house. Now the market stabilized, I'm looking at buying the property and building a house again. So those kind of things that are more affected it then if you try to break down - our galleries are performing well.
You know our product categories are performing well. They are performing better than what we guided, but they're performing more like what we would have expected them to guide in the market previously and so we're halfway through the second quarter, right.
So we have pretty good visibility on the second quarter. We've got good visibility on the second half of the first quarter, those trends are pretty clear and there is nothing surprising in the numbers. We're just happy that it looks like with the stability of the stock market that our customer is responding in a more normal fashion and that's not much more to it than that."
Operator,1,Our next question is from Steve Forbes with Guggenheim Securities.
Steve Forbes,1,"I wanted to start with the home delivery experience. Gary, if you can maybe just update us on the progress of the various test and comment on some of the key learnings thus far as we work our way through the year here?"
Gary Friedman,1,"Yes. We're very happy as we've indicated in the early numbers we now see about $15 million to $20 million of annual savings that we think will roll in about one-third this year, two-thirds next year just based on our early tests and what our learnings are and we're just getting started here.
We think there's going to be a lot more opportunities as it relates to reducing returns, reducing exchanges, taking more cost out of the system, we think as we improve the service level, which we're doing and there's been a big impact there that will - if you think about returning, excuse me, lowering returns and that's directly as a positive to revenue. Right.
So if we can get the goods to stick, if we can have better delivery experiences we have happier customers, happier customers are going to be repeat customers and buy more and so on and so forth. It's all good things for the brand and I think it's probably for the most part in our industry, it's kind of the under-appreciated strategy because the uglier part of the business, we would like to say this business is not for the faint of heart rate, it's an ugly baby but it's ours, and back in my days in apparel, you had men's and women's tops and bottoms and accessories and it all came fold the same size. It all traveled in the same size box and nothing broken transit. Our business is exactly the opposite.
Nothing comes in the same size boxes and everything can break in transit and get damaged and plus we have take into the customer's home and set it up and so on and so forth. So I think for us, we just really see based on our positioning in the market, right because of our luxury positioning it costs us more to make mistakes. I mean it's all exponential. There is exponential savings and there is exponential cost. If you're on the other side of it and the customers have higher expectations.
So we're just investing more into that experience. We're leading it with much more focus and passion. Yes, we're into the details. It's not like that kind of a part of the business it's sitting outside the business. Most of it, what percent are we in-sourced now."
Jack Preston,1,67% it could be 80%.
