speaker,q&a,content
Rico Back,0,"Good morning, ladies and gentlemen. Welcome. As you know, I have attended these meetings and briefings before as the CEO of GLS, and more recently with additional responsibilities for the UK Parcels and International Mail. This is my first time here speaking to you as Group CEO since I took over in June. It is a great privilege to lead a company that is more than 500 years old, and I am truly moved by Royal Mail’s heritage and the pride our people have in working for company that is so much part of the UK life. This is a great company, it’s a great brand.
In the UK, we can deliver letters and parcels across 60,000 routes to over 30 million addresses, six days a week. Nobody, nobody can beat that. And in GLS, we have one of the largest deferred ground-based parcels networks in Europe, and we are starting to expand into Canada and into the United States. Right now, we are going through major cultural change in the UK and overseas. The evolution of the Internet represents both a challenge and an opportunity for the Royal Mail Group. We know that businesses and consumers are sending fewer letters and more parcels.
In letters, our focus is on quality, efficiency and the right pricing for the services we provide. Parcels are major growth opportunity for Royal mail. We are clearly capitalizing on that opportunity. 62% of our Group’s revenue now comes from parcels. This is up 50% just a few years ago. As a company, we are adapting to changes. We have done this before many times in our 500-year history, and we’ll do it again.
I knew, when I took over as CEO, there were a lot of challenges to overcome. I knew it would not be easy. Clearly, I had no hope to start my time as CEO by communicating a disappointing UK productivity performance, lower cost avoidance targets, lower letter volumes expectations in the short term and, therefore, our revised profit expectation for the year.
In the first three months of the financial year, we experienced the aftereffect of the industrial dispute. We, therefore, did not plan a great deal in the way of productivity improvements. This is proved to be the case in the first quarter. We did expect a move upwards in productivity during the second quarter. However, that was slower than expected. And the lack of progress crystallized our management judgment that we would not be able to deliver our productivity improvement target for the full year. Accordingly, we revised our 2018, 2019 cost avoidance target to £100 million.
In order to secure this, we have put in place a range of short-and medium-term actions. They include a review of our organizational structure, our management roles, discretionary spend, central costs. Stuart will take you through more in a short minute in more details about this.
We have tested our revised cost avoidance targets against a number of scenarios, and we are sure that we will deliver this. Our investment expenditure will remain according to plan. We are appropriate we have implemented pricing actions. In the UK, we have increased letter prices for large and business mail senders by an average of about 9%. This necessary increase will help us to sustain the Universal Service.
In GLS, and in line with our peers, we have implemented price increases in a number of markets with more to come elsewhere. Taking these actions into account, I would like to confirm our revised outlook for group adjusted operating profit before transformation costs of £500 million to £550 million for this financial year based on a 52-week basis.
We are thinking very carefully about the medium-term priorities for Royal Mail. This is all about Royal Mail for the future. Our result presentation today will be followed by a Christmas update in January and the Capital Market Day in March 2019. At the Capital Market Day, we will tell you about our direction for the next five years. We know where we want to be. There will be greater emphasis on how we connect customers, companies and countries through our domestic and international business. There will also be a clear focus on financial performance and management accountabilities.
Over the next few months, as we finished our annual business planning cycle, we will be finalizing our strategic framework, testing it and putting our financial plan in place. An important part of our focus will be delivering productivity and efficiency improvements, including all the initiatives outlined in our agreement with the Communication Workers Union, CWU. This agreement is wide-ranging. It has secured a fair and sustainable pension solution for the company and our colleagues. We are delighted by the government’s publication of a public consultation on the introduction of the CDC pension just last week. Another key element of our agreement is our ambition to implement a shorter working week. But the offsetting of these costs requires a successful deployment of specific productivity measures alongside with the pension changes.
We also have started the UK network review. Just let me be clear, we get considerable benefits from the combined delivery of letters and parcels in the UK. This is our economic sweet spot, which nobody else has. It will remain the case for a considerable period of time that letters will be central to the economics of our business in the UK. The aim of our network review is to get clarity how can we create a modern optimized efficient network to deliver letters, parcels and new products. Just to clarify, we already have the best network in the UK. This is about getting the best from it. We are not building a new network.
There will be a focus on processing and delivery. This is where most of our activity is. Since privatization, we have invested around £2 billion in modernization, it’s a bit lot of money, particularly in IT, automation in letters and parcels, and this has delivered already great benefits. Any further investment required will be targeted and focused on delivering efficiency and greater effectiveness. We will take an evolutionary and phased approach within an agreed expenditure envelope.
Our company is changing. Firstly, parcels account for more than half of Group’s revenue. Secondly, a lot more international. In the first half of the year, our non-UK revenue was about 38% of the Group in total. This is probably more than many people might think.
If I now turn to GLS, it’s performance in the first half of the year reflects the ups and downs of good economic growth in Europe. On the one hand, our revenue was up 9%, based on good volume growth and necessary price increases. On the other hand, our operating adjusted profit margin has declined to 5.7%. This is primarily because of increased – of an increasing labor cost. Our current view is that we can recover the margin in the second half through prudent pricing actions and tight cost management. We are targeting a margin of 6% for the full year.
In GLS Spain, our revenue was up by 17% in the first half on an underlying basis. We now are a major player in the Spanish market. Dicom in Canada has just become part of our Group, giving us a good presence in one of the world’s largest economies. We have acquired two separate businesses on the West Coast of the United States in the last two years: GSO, Golden State Overnight, it’s a great name by the way; and Postal Express. We are in the process of integrating these two businesses. We will then have a full West Coast interstate overnight coverage. We are pleased with the revenue development of GSL. We also have started to organically increase in a starter way our geographic footprint by establishing a presence into Idaho and into Utah.
We have taken in the U.S. a deliberate decision to accelerate transition of the business to a fully independent contractor model, which is in line with the tried-and-tested GLS approach elsewhere. This is one of the factors that has influenced our cost base in the short term, and subsequently we have recognized an impairment of £68 million. This is a non-cash operating specific item, and Stuart will cover this in a lot more detail. As you would expect from a CFO, he has taken a prudent view on this. From my perspective, the transition will take time, but it will be successful.
If I look at the future, we are connecting the very best of Royal Mail and GLS in order to increase value. Royal Mail International is well-placed to benefit from UK’s leading presence in cross-border e-commerce market. It’s already accessing the GLS European network. In the first half of this year, it shipped around two million parcels from the UK. It’s only days of course, but we’re also connecting into GLS North America. Royal Mail’s global network is a postal option for all of our UK clients and GLS clients. Our ambition is to offer, through that postal and own network, parcel solutions to anywhere in the world for any client. For some reason. I must say, it has been a challenging time since I took over in June.
As I said earlier, we have great strength. This include our great people, our great brands, our great products, our wide coverage in the UK and Europe and our presence in North America. And last but not least, it requires strong balance sheet. We are disappointed with our recent performance and are taking short-and medium-term actions to address this. We are confident in our guidance for this year.
Our cost avoidance target of £100 million is underpinned by a range of known and understood actions. As I said earlier, they include a review of our organizational structure and management roles, discretionary spend and central costs. Let me confirm, we, as a management team, are pulling all levers to improve our performance. Christmas is always a key factor in our performance, it’s just six weeks ago – six weeks and then we have Christmas. I can say that our preparation for the festive season is going very well. We will share the outcome with you in January.
We’ll also provide shareholders with a further update on our Capital Market Day in March 2019. Royal Mail has been in existence in one form or another for over 500 years. We have transformed ourselves many times before to reflect the broader changes that influence the communities we serve. We will succeed by working with our people and our customers, it might take time, but we’ll get there. So I’ll stop here and hand over to Stuart."
Stuart Simpson,0,"Thank you, Rico. Morning, everyone. Thank you for coming. Just to reiterate from my perspective, Rico and I are absolutely joined at the hip on this; we will hit the cost avoided target for £100 million; we will hit £500 million to £550 million profit that we are guiding towards. I’ll now take you through the detailed financial numbers. If you start at the top with Group revenue, Group revenue was up 1%.
So we’re pleased with that. Operating profit before transformation costs was down 25% on an underlying basis. We’ll dig into why that was in a moment. Transformation costs were down around £11 million, it’s primarily driven by less voluntary redundancy. This resulted in an operating profit down £70 million to £190 million, margin down 150 basis points. If you look at the in-year trading cash flow, you can see it’s a cash outflow of around £100 million.
I think the thing to note in this is, we had a significant one-off cash payment relating to the pay deal last year, the payment for £100 million lump sum to our people included within that. Net debt has increased primarily due to the acquisition of Dicom and the £100 million payment. If you look at the interim dividend per share in line with our progressive policy, we are pleased to announce that interim dividend, 1/3 of last year’s prior year. Just turning to the top right.
As you know, we present the results on a reported and on an adjusted basis. Key adjustment in the past has always been the pension charge to cash difference. This year that is £34 million, significantly down from what has been in the past due to the close here of the RM-defined benefit scheme. Just drawing on the specific items, you can see down the reported column, there are two significant ones there: First one is a pension buy-in in RMSEPP, where we further derisked the balance sheet, £64 million; and then an impairment of £68 million that Rico has alluded to.
Now turning to an explanation of underlying. Just to remind you, we take the prior year starting on the left-hand side, we then adjust the foreign exchange, acquisitions and working days. As you can see here, we only have a very small adjustment foreign exchange, working days are the same, the zero impact from acquisitions.
It gives us a new base for comparison against which the profits are down 25%. You can see they are down in both the UK. and GLS, and we will expand on that now. Moving to the segmental results, starting with the UK. Challenging in the UK, revenues were down 1%. Growth in parcels, which was good, not offsetting the decline in letters. If you look at the costs, the costs are up 1%.
As mentioned before, transformation costs £11 million less, primarily driven by VR, had a little bit of an offset on that in terms of IT investment. It’s resulted, in the bottom line, profit down 34% on an underlying basis to £113 million. Margin down 150 basis points to 3.2%. From an outlook perspective, we confirm the £150 million for transformation costs. Moving to you UKPIL revenue. As stated, that was down 1%.
The growth in parcels that we’re pleased not offset – offsetting the reduction in letters. Just turning to parcels, volume up 6%, pricing mix flat, so revenue up 6%. Within that, the important account parcels, excluding Amazon, was up 8%, really pleased with that. Tracked volume up 25%. So again in that key sector, online shopping doing really well. The international initiative we started about 18 months ago, traffic coming in from Asia into our Heathrow distribution center into UK and Europe, that accounted for 2% of the volume growth.
So that’s continuing to grow well. So really pleased with that. Turning to letters. The letters volume down 7%, outside our 4% to 6% range. We are sticking with that range at 4% to 6%. We’ve been out of the range before. We popped out now, but we are sticking with that. We review it very closely every three months, but for now we are sticking with it. We do expect volume to be around 7% down for the full year.
Interestingly, if you take out the impact of elections, we didn’t have an election this year, revenue was only down 5%. Now turning to UK costs. As previously stated, the costs were up 1%. On people costs, an increase of 1%, primarily where productivity is not offset the pay deal. There have been some headwinds there. Sick absence, we expect it to reduce year-on-year. It has actually continued to drift up.
We also have invested little bit in quality of service. You may have seen our headline, First-class Quality, it’s not quite where it should be, so we’ve put a little bit of investment in that as well. But that key people costs line is up 1%. Turning to non-people costs, these are flat. This is primarily driven through distribution, conveyance, the vehicles that we run. If you recall the end of last year, there was some very severe weather around March, and then we kept a lot of vehicles longer, more incidents with them.
We’ve had to invest fixing those up and keeping them longer and actually hiring a few more. So a challenging time in UK costs. We’ll touch on what we’re doing going forward. As we’ve said, we are committed to the £100 million cost avoided. We’ve delivered £41 million of that already. It was a flow through from the operational management restructure we did last year. We had a significant modernization of the Heathrow facility on our international, delivering some savings, and we started pulling the short-term levers.
If we look to the second half of the year, we will continue to pull the short-term levers, the discretionary spend, the management structure, the management headcount. In addition, some projects that we anticipated coming on earlier in the year will start kicking in, the line haul review, for example, local distribution. We also have a key focus. As you know, we granted a shorter working week, that went.
And in October, we’re working incredibly hard to make sure that lends well and that will again underpin productivity in the second half. Moving to GLS. GLS had a strong top line, revenue up 9%. Note that the volume is up around 6%. What we’re actually seeing there is a positive price and mix, primarily mix, good international flows, which are highly – higher priced and more profitable.
So pleased with that. And then the prices, that Rico alluded to, are starting to flow in. If you look at the margin on GLS, you can see that has come down 160 basis points to 5.7%. There are some challenges there. We talked about margin compression due to cost pressures, those have come through a little bit stronger than we anticipated. In addition to that, we’ve had a bit of a drag in France and in the U.S., we’ll expand on that in a moment.
We are confident that the margin for the full year for GLS will be no less than 6%. So we expect that to bounce back. Expanding on GLS revenues, as I said, up 9%. If you actually look at it on a reported basis, they’re up 11%, including the acquisitions. Germany grew well, France grew well, Italy grew well. Note that the growth in Italy around 8%, less than it has been the last few years, where we’ve been riding a bit of wave of Amazon.
As you know, we were very clever we did not invest capital into Amazon. We capped their volume growth. We knew they were going to switch out of us into other carriers, primarily the Italian Post. That’s happened this year as you’ve seen our growth soften. However, we’re very comfortable with that. We knew it was coming. Rico has already alluded to Spain.
Spain was a pretty small part of the network just a few years ago. It’s now a real significant contributor to the business, up 17% on an underlying basis. We expect more price to kick in, in the second half of the year, to drive that margin forward. Looking at the GLS costs, this is a challenge. Look at the people costs, that semivariable moved broadly in line, with the volume we’ve seen that again.
So a good cost control from what we can control. If you then look to the subcontractors, that is more challenging. That’s the non-people costs, up 12%. We’ve seen that all across Europe and in the U.S. Very low unemployment. This is driving wages up. We’re not the first country – company to have reported on this. This is a challenge for many people. If we move down to infrastructure costs, bit of pressure on rent and rates.
Depreciation has drifted up by low single-digit millions. Moving to other operating costs, up 23%. Actually, that is overstated. Last year, there was a provision release. So the 26% last year would have been higher, but there was a low single-digit million provision release. If you adjust for that, it was 10% up and actually that 10% relates to the acquisition costs of Dicom. Now back to group results.
As we said, operating profit down £70 million to £190 million. Finance costs relate to the €500 million bond we have. No finance income is actually up. We paid £190 million into a pension escrow account, getting a little bit of interest on that, so the net finance costs are down. Moving to the tax charge. The tax charge has drifted up this year from prior years. Couple of factors.
In the UK, it was abnormally low, last year around 17%. That’s normalized at 19%. If you look at GLS, that’s jumped from 22% to 35%, bit of country mix in that, but also the widening losses in France and the losses in the U.S. have contributed to that. Moving to specific items. We start at top on the impairment in the U.S., Rico has already alluded to this. We are still comfortable and confident it is a good strategic asset.
Top line growth is going as anticipated, probably a little bit better. We’ve have joined the two businesses up. What we have seen though is cost pressure is higher than anticipated, people and non-people. So we knew they go up, but they’re up a little bit more. We’ve also taken the decision to expand into two states. As you do that, you’re running line haul that isn’t full, you’re running delivery that isn’t full, so you’d carry a bit of a cost drag there.
However, with proving the concept, we can grow. Final point is we were always planning to move to an independent contractor model. We didn’t start early enough and actually we’re compressing it. So we’re doing more in a short period of time. That causes a period of losses. And being fairly prudent, we’ve chosen to write that down. It’s a noncash item. If you look to the next line down, that’s a derisking of the balance sheet, where we’ve bought in, in the RMSEPP pension.
The next one, the £70 million is a noncash charge for the free shares gifted to the employees. It comes to the very bottom of the page, pension charge cash difference £34 million, huge change from what it was before. This reflects the new defined-benefit cash balance scheme. It’s actually less than we anticipated, less people have chosen to move across into that scheme. We expect around £70 million for that for the year. Looking at cash flow, starting with the adjusted EBITDA, you can see it’s down around €80 million year-on-year, that reflects the underlying operating performance being weaker.
If you go to the in-year trading working capital movement, the £270 million versus the £130 million last year, the £130 million was actually lower than it ordinarily would have been. It would ordinarily have been closer to £200 million, that’s because we have an accrual in that for the pay deal. We haven’t paid for a pay deal. The balance of it is the £100 million we’ve paid out related to the pay deal last year.
So that explains that movement. Investment broadly in line with where it was before. Income tax paid is a major step up. This is because we couldn’t get a tax deduction for the £180 million we paid into the pension escrow. So it’s cash taxes drifted up. If you come to the very bottom of the page, you can see we’re making an adjustment. We back out the £101 million we paid as a lump sum to our employees related to the prior year.
That would give an implied in-year trading cash flow of £1 million. If you note, the bottom right hand of the chart, there is a 53rd week this year. We normally report on a 52-week basis. That 53rd week, there was an extra VAT payment. And this year, we carry 13 monthly payments from management, just the way the timing falls, something to note.
In terms of uses of cash, we started with cash on the balance sheet. Just explained the in-year trading cash outflow of £500 million. We then have the acquisition of Dicom, and then we paid a dividend. So that net debt has increased. We anticipate that coming down by the end of the year.
So just to reiterate, before I hand back to Rico, we are absolutely committed to the £100 million cost avoided, we got a significant chunk of it in the bag already, we have plans on the balance. We will hit the £500 million to £550 million pre-transformation operating profit.
Thank you. Rico?"
Rico Back,0,"Thank you, Stuart, for taking us through the numbers. I will just now finish with summarizing the outlook. Our current trading is in line with our revised expectation. Our outlook and other guidance is unchanged. As we set out in October, we continue to accept – to expect adjusted group operating profit before transformation costs to be in the range of £500 million to £550 million for the full year.
Given our performance to date, we are anticipating UKPIL parcel volumes and revenue growth rates for the full year to be better than 2017, 2018. We are maintaining our medium term outlook for addressed letter volume declines of between 4% and 6% per annum, excluding political parties’ election mailings. For the full year, we are maintaining our outlook for a similar decline to what we have seen in the first half.
As I mentioned earlier, we are committed to our revised £100 million cost avoidance target. We are sure to deliver it. We are expecting UKPIL productivity to improve in 2018, 2019 to be significantly below our expectations towards the upper and – the 2% or the 3% range. While productivity improvements are lower than anticipated, we continue to expect transformation costs of around £150 million to the certain cost targets, and we’ll continue to expect even better for the second half. They include the review of our organization structure, management control, discretionary spend and central costs. We expect good continued revenue growth in GLS for the full year.
As a result of pricing initiatives and cost mitigation actions, we are targeting GLS adjusted operating profit margins of over 6% for the full year. We are well prepared for the Christmas season. As in previous years, the outcome for the full year will be dependent on our performance over this period. We continue to target total net cash investments of around £500 million in 2018, 2019. The Group has a progressive dividend policy.
As I mentioned earlier, we will update you later in January on our Christmas performance, and we’re looking forward to see you all at our Capital Market Day in March when we tell you about our direction for the next five years. Now up to you for questions."
A - Stuart Simpson,1,Maybe if we start over here.
Arthur Truslove,1,"Arthur Truslove from Crédit Suisse. You, obviously, talked about £40 million of cost avoided in the first half, which implies about £60 million in the second half. You also talked a little bit about how things are developing with the union and where the cooperation is back in line with the sort of levels seen from FY 2016 through to FY 2018. And kind of on the same theme, is it reasonable to expect you to get back to sort of £200 million a year of cost avoidance within a reasonable period?
Secondly, on GLS, I was just wondering whether you could provide a little bit more detail on what the costs of the shift into new geographies in the U.S. have been? And also the shift towards the more European-style model? And just by that, you could kind of break that out and really lay out the margin impact of that."
Stuart Simpson,1,"Okay. Starting with the £40 million cost avoided in the second half. So we are actually still working really closely with the CWU. Rico has talked to Terry Pullinger several times. The teams on the ground are working day-in and day-out. We have our trials up and running. The relationships are good. There is no change. So we’re pleased with that. We respect the people, we respect expect the union. We have to work with them and want to work with them and continue to do so.
So we’re comfortable with that. In terms of getting back to the rates of cost reduction we’ve had in the past, we’re not going to comment on that today. We’re working through the trials. We’ve said we’ll be back, we’ll give update in January, then again in March when we know more where we’re going on it. But that relationship with the union is still good and it’s still strong.
In terms of GLS, we’re not breaking out what the cost is in terms of transition to the new model. We always knew we’re going to do it. As I said, we started later for various reasons. And instead of dragging out over few perries, we’re compressing it into a couple. So that puts a bit of a drag on the profit, so thank you. If you could maybe pass the microphone down, that would be great. Thank you."
Matija Gergolet,1,"Matija Gergolet from Goldman Sachs. The first question is regarding the shorter working week. I mean, it’s been implemented on the 1st of October. Can you give us a little bit of, say, color about how is it progressing? Is it productivity growth? Basically, has it improved since October? I think the message previously was that the installments per day were going to be relatively easy to absorb?
Second question is about, I think, you mentioned there was a 9% price increase for letters for large customers, from when is that applied? And what amount of revenues are we talking about to which it is being applied?
And thirdly, maybe with more of, say, strategic, or, say, longer-term question, on GLS. I mean, you mentioned that you’re seeing like a significant increase now in conveyance costs, in basically subcontracted costs. We’re basically facing fairly low unemployment in the U.S., in many Europe – some European countries. Does it effectively means that in the next few years, as long as we have this low unemployment, your business will be a little bit challenged because this structural cost would just probably keep going up for a couple of more years?"
Rico Back,1,"Maybe to start with the shorter working week question. The shorter working week has been deployed 1st of October this year, which is in line with the agreement with our unions. We have started to deploy discussions about how can we offset that through trials. So there is a program running, where we have, say, you can call more, but eight important trials how to increase productivity through the existing processing.
Our understanding is that the cost of the shorter working week will be offset through productivity improvement. We are making progress there. We are not there where we want to be, but we’re making progress. This is part of the reasons why we’re very secure about our cost avoidance targets for this year, and this is also very clear for us that we will increase our productivity activities for the rest of this financial year.
So I think this is about the shorter working week. The 9% increase in business mail has been announced in the market. As you expect, people are not very happy that we just increased prices, but I think everybody understands that this is in line with other markets trend. And in comparison, honestly to say, I think we provide great value for that volume. If you talk about GLS, the movement in our gross margin and the increase of our cost pressure has been a trend since about, I think, 1.5 year or so we’ve seen that.
So the first thing what you do is that you just try to target your efficiency. So you do and go – bought cost levers and say, is your model right with your subcontractors? Are they paying the same rates? And at the same time, you can see that all the other market participants have the same issues, all over Europe. I think that’s a general trend. So I think, one hand, it’s good that we have a good economy. So volumes are growing. People can buy more. We have a low unemployment rate, but they also can choose their jobs and they have a better ask on wages.
And you can see also that minimum wages is going up in all the countries. So when you’re then in your productivity level where you want to be, you have to start to do pricing action, that’s what you have to do. And we’ve started to do this already, you could see it when you look to revenue and volume development. Our revenue is a little bit better. It will be fully come in place in January, February. So we expect effects for this financial year, but they will flow through the next financial year.
And what we have said to most of the markets in which we serve, including the U.S., to our clients get used to it. We have to have price increases to offset the pressure on wages, which we have all over, I think, all over Europe and the U.S. where we serve. So that’s where we are. Next question?"
Stuart Simpson,1,"I may be if you could pass it back, that’d be great. Thank you."
Alex Paterson,1,"It’s Alex Paterson from Investec. Three questions, please. Firstly, could you just say on the cost avoidance, what you were unable to bring in during the half year that you were expecting to, i.e., to talk a bit more about the delta between the €230 million and the €100 million, please.
Secondly, could you talk about maybe on a – with the difference between Q1 and Q2 on productivity and cost avoidance, I’m imagining there’s a bit of a lag between you putting in place measures and the benefits coming through. And so was Q1 benefiting from what you did last year and Q2 slower or are there other dynamics?
And then thirdly, just on the short-term measures on the cost avoidance, would you be able to explain – they haven’t increased £100 million, do they come in for next year? Or was the £100 million included in the short-term measures that you’re bringing, putting in place as well?"
