speaker,q&a,content
Company Participants,0,"Pattye Moore - Interim Chief Executive Officer
Lynn Schweinfurth - Chief Financial Officer
Guy Constant - Chief Operations Officer
Jonathan Muhtar - Chief Concept Officer"
Conference Call Participants,0,"Gregory Frankfurt - Bank of America
Will Slabaugh - Stephens Inc
Alex Slagle - Jefferies
John Glass - Morgan Stanley
Chris O’Cull - Stifel
Jeff Farmer - Gordon Haskett
Stephen Anderson - Maxim Group
Brian Vaccaro - Raymond James
Jon Tower - Wells Fargo"
Operator,0,"Good afternoon, everyone, and welcome to the Red Robin Gourmet Burgers Incorporated First Quarter 2019 Earnings Call. Please note that today’s call is being recorded. During the course of this conference call, management may make forward-looking statements about the company’s business outlook and expectations. These forward-looking statements and all other statements that are not historical facts reflect management’s beliefs and predictions as of today and therefore are subject to risks and uncertainties as described in the Safe Harbor discussion found in the company’s SEC filings.
During the call, the company will also discuss non-GAAP financial measures. These non-GAAP measures are not prepared in accordance with the generally accepted accounting principles, but are intended to illustrate an alternative measure of the company’s operating performance that maybe useful. A reconciliation of the non-GAAP financial measures to the most directly comparable GAAP measures can be found in the earnings release. The company has posted its fiscal first quarter 2019 earnings release and supplemental financial information related to the results on its website at www.redrobin.com in the Investors section.
Now, I would like to turn the call over to Red Robin’s Interim CEO, Pattye Moore. Please go ahead, Pattye."
Pattye Moore,0,"Well, hello everyone and thank you for joining us. With me this afternoon are Lynn Schweinfurth, our Chief Financial Officer and Guy Constant, our Chief Operations Officer. Jonathan Muhtar, our Chief Concept Officer is also with us to help answer questions you may have during the call.
I am pleased to be speaking with all of you as Interim CEO. Let me start by saying that I continue to serve Red Robin with a real passion for this brand and this uniquely fun and welcoming environment as well as for the casual dining industry. To provide a bit of background about me, in addition to serving as a Director of Red Robin, I previously had a 12-year career at Sonic where I served in a number of senior management roles. Overseeing marketing, brand development, franchise relations, company store operations and as President and board member during which time average unit volumes and profits more than doubled. I am looking forward to bringing this experience to bear in this interim period as I support our executive team and our great team members across the organization to focus our efforts and return the business to sustainable growth and profitability.
As our financial results demonstrate, there is still much work to be done on the turnaround and I can assure you we are moving with urgency. The Board has engaged The Elliot Group, which has deep experience in our industry, to assist in the CEO search and the Search Committee has already begun the interview process. At the same time, in the 9 weeks since I became Interim CEO, I have worked closely with the management team to narrow the list of critical initiatives and simplify our focus. We are actively working with The Cypress Group on refranchising and reassessing our real estate portfolio. And today, we announced the closure of 10 underperforming units. We have hired an experienced industry leader as our new VP of Consumer Insights and we are continuing our deep dive into all aspects of our business. These efforts are designed to improve the customer experience, significantly improve cash flow, increase profitability and ultimately drive shareholder value. We are confident our initiatives will steadily improve our financial and operational performance and that our search process will identify a leader who can accelerate this turnaround.
As we have outlined previously, we are very focused on five key strategic priorities. Strengthening and stabilizing the dine-in business, continuing to build our off-premise and catering business, improving guest experiences and recapturing our Gift of Time, implementing digital platforms and technology solutions and selectively refranchising and evaluating our real estate portfolio. Guy, Lynn and I will share specifics around these initiatives and the progress and positive momentum we are beginning to see.
With that, I would like to turn the call over to Guy who I want to remind you took over full time this Chief Operating role at the end of January. Guy is going to talk about one of our most important priorities and that’s returning the business to sustainable profitable growth by improving the dine-in experience for our guests. Guy?"
Guy Constant,0,"Thank you, Pattye and good afternoon everyone. As Pattye said, our first and foremost priority is stabilizing and strengthening the dine-in experience. In order to do so, we are focused on four primary areas for operations that will provide the needed focus we require to execute on our operational turnaround.
First is hire, train and retain. Improving the experience starts with hiring the right people, training them properly and being fully staffed as well as reducing turnover, particularly at the General Manager level. Our operations leadership team is making real progress against these objectives. While broader industry turnover and staffing challenges have increased in Q1 overall, Red Robin experienced reductions in our hourly Manager and General Manager turnover from Q4 of 2018 to Q1 this year. And all are at better levels than the average for the casual dining industry. In fact, our Manager and General Manager turnover levels are closer to best-in-class than they are even to the average. We have also been able to bring our Manager staffing levels to 96.8%, a meaningful improvement over where we ended 2018. Having better staffed restaurants and stable management teams is a very important part of any sustainable improvement in operational execution.
Next is Manager Front of House engagement. We know we can improve the overall guest experience, shorten wait times, reduce walkways, have cleaner dining rooms and effectively identify and resolve potential issues by continuously getting our managers on the dining room floor and at the host end during peak hours and our efforts are delivering results. Overall satisfaction scores improved throughout the first quarter reversing a trend that saw a decline throughout 2018 to a low point at the end of Q4. Year-over-year walkways are down 4.2%, wait times are shorter, guest complaints on cleanliness and wait times have declined meaningfully and guests have told us that they have seen marked improvements in problem resolution when there is an issue.
Next is managing the shoulders to peak the peaks. By shifting the labor investment from overstaffed shoulder hours during the day to understaffed peak hours we are able to improve throughput on our busiest shifts thereby capturing the greater sales opportunity that is available during those peak times without having to make incremental investment in labor expense. Our continued focus on staffing has yielded improved guest scores for our taste of food, temperature of food, speed of service and execution of our bottomless promise during the first quarter.
And last is delivering on the promise of Maestro. This effort focuses our kitchen managers on the active coordination of the fast and accurate delivery of high-quality food at the proper temperature. And as an added benefit, ticket times have shown continuous improvement benefiting speed of service. We have also started to reduce our menu complexity, while still providing guests the options they desire and we have narrowed our culinary focus to concentrate on improving the consistency and quality of our core menu products. These include of course our gourmet burgers, chicken, buns and of course, our signature bottomless steak fries. We look forward to updating all of you on the continued progress on these key priorities and their impact on operational execution over the coming weeks and months.
With that, I will turn the call back over to Patty."
Pattye Moore,0,"Thank, Guy. I want to reiterate that an important theme through all the operations focused efforts and an important learning from us from last year is making sure that we are setting our operators up for success as we implement operational changes and technology improvements. As we mentioned in the press release, our updated guidance reflects among other reasons a deliberate decision to delay the rollout of some restaurant level technology to ensure that we are giving our operators the sufficient time to absorb the technology initiatives being implemented now and that we are able to maintain the momentum that Guy talked about that we are currently seeing in operations. Lynn will be talking about the updated guidance in more detail.
I would also like to touch briefly on marketing efforts. The first half of the year is focused on our high-quality gourmet burger line featuring new products, including our porky gnocchi burger and the latest in our Burger Master series, Zita’s Chicky ‘Cado. This product celebrates the talent of another of our heart of house restaurant cooks, Zita Martinez who has been with us for over 19 years. Early results indicate that our featured items are outperforming expectations.
With respect to media and creative, first, I want to tell you that we have been pleased to see increased positive fan engagement from our social channels throughout the quarter. We are also in final development stage of a new omni-channel creative campaign, which we will launch in July. The new campaign has tested very well with consumers, connecting on an emotional level and conveying what our guests love most about Red Robin. We are confident that this omni-channel campaign will help us elevate the conversation about our brand both internally and with our guests. We also shifted media weight from the first quarter to the third quarter to ensure we were ready from an operations and staffing perspective and to solidify restaurant routines and processes in preparation for the new marketing campaign. And we will begin utilizing technology enhancements as they rollout late this year and into 2020 to better target and segment our 8.5 million royalty members.
Finally, we are pleased to announce the hiring of a new Vice President of Consumer Insights and Loyalty, Cyrus Kelley, who joins us from Darden Restaurants. Cyrus and his team aimed to greatly enhance our data and insights capability, which will guide all guests facing activity going forward. So that’s a brief update on our first priority stabilizing dine-in operations. Our second area of focus is to continue building off-premise and catering. Our total off-premise business is now mixing at 11.6% of total revenues, with a growth rate of 20.6% year-over-year at the end of the first quarter. We are also focused on continuing to improve the to-go experience by implementing improved operational processes and tools and we are looking to increase our reach with additional third-party delivery partners.
Catering now represents 1.2% of company sales through the first quarter of 2019 or growth of 220% compared to last year. We believe catering continues to represent a big opportunity for us essentially all incremental. We also believe it increases brand awareness and relevancy. In 2018, we built a strong foundation for catering that included building out our strategic leadership and infrastructure. We began adding sales team members supported by targeted marketing. In 2019, we are building on that momentum from the back half of 2018. We are continuing to enhance our sales team and focusing on building both local and national accounts.
Our third priority which involves both the operations improvement that Guy talked about, but also technology is to improve the guest experience and recapture the Red Robin gift of time convenience as a differentiator, which simply means allowing customers the gift of getting in and out of our restaurants at their own pace. In addition to improving ticket times and reducing wait times as Guy talked about, we are beginning to see customer satisfaction improvements on pace of experience. We are also looking forward to adding more improvements to speed up throughput with menu simplification and with technology investments that are beginning to rollout in the back half of the year.
Speaking of technology, our fourth priority is implementing digital platforms and technology solutions. We completed the rollout of headsets to our restaurants this month to enhance communication among our managers and certain team members. While this may seem like a minor point to some, it has allowed our operators to turn tables faster and to stay more engaged during a busy shift. Additionally, we expect to rollout portable POS terminals to our servers by the end of the third quarter. This will enable our team members to take an inputting order at the table, improving not only accuracy, but ticket time.
Our fifth and final area of focus is on selectively refranchising and assessing our real estate portfolio. As I mentioned earlier, The Cypress Group is helping us focus our refranchising efforts and work is well underway. Lynn will discuss this and our most recent assessment of our real estate portfolio, including our mall strategy. We believe that the momentum we are beginning to see will continue and lead to improved financial results and drive shareholder value. Thank you.
Now, let me turn the call over to Lynn."
Lynn Schweinfurth,0,"Thank you, Patty and good afternoon everyone. Let me begin by first reinforcing the intensity of focus we share to transform our business and to deliver value to our shareholders. We are acting decisively to make changes in the business that will put us in a stronger position. We are also taking a disciplined approach to prioritizing and spending capital and G&A, while strategically refining our portfolio through recent store closures and our enhanced refranchising program.
As I walk you through the Q1 highlights, please note that the quarter includes the first 4 periods or 16 weeks of our fiscal year. Q1 total company revenues decreased 2.8% to $409.9 million, down $11.7 million from a year ago. Comparable restaurant sales declined 3.3% driven by a 5.5% decline in guest traffic partially offset by a 2.2% increase in average check. Overall net pricing after taking into account discounting was 1.9%, while the 0.3% mix increase was driven by lower tavern mix and higher on train mix. Dine-in sales were down 5.5% partially offset by off-premise growth. Off-premise growth continues to be meaningful and rose 20.6% in Q1. Off-premise now represents 11.6% of total food and beverage sales. Traffic at enclosed mall locations representing 76 restaurants in our system continue to perform worse than the balance of our company owned locations by approximately 300 basis points. As we previously disclosed, we experienced severe winter weather that we estimate negatively impacted Q1 sales by approximately 80 to 100 basis points.
Q1 restaurant level operating margin was 18.3%, down 170 basis points versus a year ago, driven by the following factors. Cost of sales of 23.4% was favorable at 40 basis points versus a year ago, due primarily to favorable food waste, as measured by actual versus theoretical performance and lower tavern mix. Restaurant labor costs of 35.7% were unfavorable 120 basis points versus a year ago, due primarily to higher wage rates, increased management headcount associated with our focus on being fully staffed to provide quality execution and sales de-leverage. Other operating costs increased 60 basis points to 13.9%, due primarily to increases in third-party delivery fees and equipment repairs and maintenance. Occupancy costs increased 30 basis points to 8.7%, due primarily to sales de-leverage.
G&A costs increased 50 basis points to 7.3% of total revenues, due primarily to increases in professional services and travel related expenses, associated with training managers related to our focus on being fully staffed to provide quality execution and higher salaries, partially offset by lower incentive and equity based compensation. Selling expenses increased 20 basis points to 4.4% of total revenues, due primarily to projects related spending. Pre-opening costs decreased $0.8 million, due primarily to the suspension of restaurant openings for the foreseeable future, as we continue to work on improving our four wall economics.
Net interest expense and other was $0.2 million lower versus the prior year, due primarily to a gain in our deferred compensation plan assets. Our weighted average interest rate was 5%. Our effective tax rate was 291% benefit and better than the prior year, due primarily to lower income. During the quarter, we recognize other charges of $2.4 million, due primarily to executive transition costs and costs associated with previously closed locations. Q1 adjusted EBITDA was $34.3 million as compared to $42.4 million in Q1 2018. Q1 adjusted earnings per diluted share were $0.19, as compared to $0.69 in Q1 2018.
Now, turning to the balance sheet, we invested $10.2 million in CapEx in Q1, which was primarily related to facilities in improvements and investments in information technology. We ended the quarter with $23 million in cash and cash equivalents. Our lease adjusted leverage ratio was 4.23 times and we were in compliance with all debt covenants. During the quarter we paid down $10 million on our revolving credit facility, resulting in a quarter and outstanding debt balance of $183.4 million in addition to letters of credit outstanding of $7.4 million. We also bought back approximately 31.2000 shares for a total of approximately $1 million. This is consistent with our initial goal of offsetting the dilutive effect of our equity compensation program over the course of four quarters, as we utilize cash flow primarily to reinvest in our business and to reduce debt, while we return the business to sustainable growth.
Let me turn next to the fifth key strategic priority, selectively refranchising and reassessing our portfolio. In our press release today, we announced that we will be closing 10 locations, including 7 enclosed mall locations. These restaurants have an average unit volume or AUV of $1.8 million and in Q1 generated a total of $4.5 million in restaurant revenue. Pre-tax operating losses for these restaurants in Q1 totaled $0.9 million, including an immaterial amount of depreciation expense. All related leases allow us to go dark and we will pursue all sublease and lease termination options as quickly as possible. We also continue to focus on improving the financial performance of other underperforming mall and non mall locations through negotiated rent concessions. Catering and targeted marketing and sales building strategies for restaurants once they improve their operations. As Patty noted, we have engaged The Cypress Group to help facilitate our franchising program. We have been diligently working with them to refine our process, related financial, real estate and other transaction related material, restaurant portfolio strategy, buyer sourcing and next steps. We will continue to pursue the markets, which includes approximately 100 existing Red Robin locations previously targeted, along with any other locations that we determine to be viable geographies for future refranchising purposes.
Turning to our 2019 expectations, we have recently made the decision to delay or defer certain items, so we can focus on improving our operational execution and dine-in guest experience through better pacing the field initiatives. We understand that last year we rolled out too much at once to our operators and we learned a lot from that experience. Based on that learning and our desire to capitalize on the momentum that we are beginning to see with improved operational execution, we are taking a very disciplined approach. We are beginning to see improvements in core business KPIs being driven by execution against a specific plan. And while there is more work to do, we believe we will build a strong foundation for a brighter future. We continue to expect an improving trajectory of comp store sales in the back half of 2019. More specifically, we are expecting comparable sales of down 1% to up 1%, lower than previous guidance due to lower dine-in sales, partially offset by higher off-premise sales. Third-party delivery sales are expected to increase due to higher organic growth, added delivery coverage to more restaurants and added service partners. We have reduced our selling, general and administrative expenses from $160 million to $164 million, to $156 million to $159 million, as we identified opportunities to reduce spending, while sustain focused on delivering our 2019 objectives.
We have also shifted to adjusted EBITDA and adjusted earnings per diluted share guidance to exclude various non-recurring charges, including executive transition, restaurant closures, certain professional fees and impairment. We now expect adjusted EBITDA of $117 million to 100 – we now expect adjusted EBITDA of $107 million to $117 million. In addition to the pacing of field initiative, we are expecting a continuation of higher wage inflation than what we originally expected and are proactively addressing these cost pressures through programs to reduce turnover and better manage wages at a market level to mitigate the impact of a competitive labor environment.
Lastly, the increase of third-party delivery sales was still profitable include incremental commission costs that will impact the flow through on these sales category. We are expecting adjusted earnings per diluted share of $1.14 to $1.77, which includes the positive impact associated with an estimated tax benefit of $0.73 to $0.96. These updated ranges include both the benefit of the 10 restaurant closures. They do not, however, currently reflect the impact of any refranchising transactions. We have also lowered our 2019 capital expenditures range to $44 million to $55 million, which is down from earlier expectations of $50 million to $60 million. This lowered range still primarily consists of facilities improvements, technology and other investments and reflects the delay of some elements of restaurant and guest technology. And as Patty mentioned, we have just rolled out headsets to the field to help us better achieve the gift of time for our guests and handheld POS terminals will be completely rolled out by August.
Before I close, let me recognize the efforts of a collaborative organization that has rallied behind our five areas of strategic focus driving visible improvements in our business. We believe continued operational progress will translate into ongoing improvement in guest satisfaction and in conjunction with focused and impactful marketing, core product focus and technology enhancements we can successfully improve the trajectory of our business results.
With that, I will turn the call back over to Patty."
Pattye Moore,0,"Thank you, Lynn. Let me wrap up by reiterating that the entire Red Robin team is acting with urgency on the five key priorities that are critical to this turnaround. Within those priorities, we have narrowed the focus to the critical few initiatives that will have the most impact in stabilizing the business. I believe that we will show progress every quarter, but it is going to take time to get to where we need to be in improving our operational, financial performance. But I’m very energized by the progress we are beginning to see in the dine-in business and across all of the initiatives. I’m proud of the focus and determination of our team members. And I’m confident we are focused on the right things and now moving in the right direction. Thank you for your interest in Red Robin.
And now, we would be happy to take any questions."
Operator,1,"Thank you very much. [Operator Instructions] We will take our first question from Gregory Frankfurt with Bank of America. Your line will be open in just a moment, go ahead."
Gregory Francfort,1,"Hey, thanks for the question. Just maybe one – on that tax benefit comment you put in the guidance. Is that a one time tax benefit or is that just quantifying the overall, where you expect, I guess, the tax rate to be for the year?"
