speaker,q&a,content
Company Participants,0,"Joe Sanderson - Chief Executive Officer
Mike Cockrell - Chief Financial Officer
Lampkin Butts - President and Chief Operating Officer"
Conference Call Participants,0,"Ken Goldman - JPMorgan
Benjamin Theurer - Barclays
Ben Bienvenu - Stephens
Adam Samuelson - Goldman Sachs
Michael Piken - Cleveland Research
Ken Zaslow - Bank of Montreal"
Operator,0,"Good day and welcome to Sanderson Farms, Inc. Second Quarter Fiscal 2019 Conference Call. Today’s call is being recorded. At this time, for opening remarks and introductions, I would like to turn the call over to Mr. Joe Sanderson. Please go ahead, sir."
Joe Sanderson,0,"Thank you. Good morning and welcome to Sanderson Farms’ second quarter conference call. We published second quarter results this morning announcing net income of $40.6 million or $1.83 per share for our second fiscal quarter of 2019. This compares to net income of $41.9 million or $1.84 per share during last year’s second quarter.
Before we begin, I will ask Mike to give the cautionary statement regarding forward-looking statements."
Mike Cockrell,0,"Thank you, Joe and good morning everyone. This morning’s call will contain forward-looking statements about the business, financial condition and prospects of the company. The actual performance of the company could differ materially from that indicated by the forward-looking statements because of various risks and uncertainties. These risks and uncertainties are described in our most recent Annual Report on 10-K and in our press release this morning. These documents are available on our website at sandersonfarms.com. Please do not place undue reliance on forward-looking statements made this morning. Each of statement speaks only as of today and we undertake no obligation to update or revise our forward-looking statements. External factors affecting our business such as grain costs, market prices for poultry and the health of the economy among others remain volatile and our view today maybe very different from a few days from now."
Joe Sanderson,0,"Thank you, Mike. Higher feed costs per pound processed, good demand for chicken at retail grocery stores, lower, but improved market prices for boneless breast meat produced at our plants for foodservice customers, and steady export demand drove our results during our second fiscal quarter. Our sales volume of fresh and frozen chicken was lower by 1.5% compared to volume during our second fiscal quarter of 2018 and reflects lower overall live weights and scheduled downtime to move live weights to our target at our Hammond, Louisiana plant and scheduled down days taken at 4 other plants to install new equipment.
Our feed cost per pound of fresh chicken processed was higher by 3% during the quarter compared to last year’s second quarter, while our average net sales price per pound of chicken sold was higher by 3.5%. Market prices for tray pack products sold to retail grocery store customers continue to reflect balanced supply and demand dynamics. Market prices for jumbo wings boneless thigh meat and tenders produced at plants that target food service customers were higher than during last year’s second quarter, while boneless breast meat and leg quarter prices were lower. Trade issues, politics and now African swine fever continued to impact export markets, but export demand improved this spring. Leg quarter market prices moved higher as we moved through the quarter. Leg quarter inventories remain manageable and we are optimistic regarding demand from export markets as we move into the summer. This is as good a place as any to discuss African swine fever.
My first observation is that reports about the actual impact of the disease on China’s hog herd vary significantly and estimates have ranged from a loss of 25% to 40% of the herd. Even a loss at the bottom of that range would be significant. Like any event without precedent however, we can only guess as to the impact of this event and the situation continues to evolve. I do agree with a few broad conclusions. First, if 30% of China’s herd is lost, that is the equivalent of losing every hog in North America. A loss of that magnitude will cause a worldwide protein deficit and global protein prices will rise. Where it gets more difficult is trying to predict the impact on the United States poultry industry. I do believe the industry will benefit from a rise in global protein prices, but just how much depends on many unknowable variables. Should for example the United States and China not reach an accord to settle the trade dispute between two countries, I believe China will look elsewhere for protein to fill their deficit. If that happens, I do believe our industry will have opportunities elsewhere in the world to fill gaps caused and other countries are called on to sell product to China, but to benefit under that scenario to our industry isn’t as significant as it would be if we sold product directly to China. If an accord is reached with China, then I do believe the United States becomes a supplier of choice to fill the protein deficit in China. That would benefit us more directly and I believe more significantly.
It would be just guess though to try to quantify the impact given the many unknown variables that will impact the magnitude of any benefit to domestic prices. First, the Chinese prefer pork over poultry will they only buy pork, that will certainly help chicken compete in the domestic market, but doesn’t directly benefit chicken. Will the Chinese consumer turn to chicken to fill a portion of the protein deficit? If they turn to chicken, the benefit could be much more significant to us. I can tell you we have already received inquiries from Chinese buyers regarding our ability to ship whole legs to China. As I have said before, the export market is always going to be wrought with fits and starts. This is just another example of that fact. Prices paid for corn increased slightly during the quarter compared to last year while soybean meal prices were lower during the quarter.
The USDA updated its 2018-19 grain balance sheet and published its first look at projected 2019-20 crop balance sheets on May 10. The report confirmed the United States and the world have adequate supplies of feed grain. The 2018-19 corn balance sheet remains healthy and estimated carryovers to the next year remain above 2 billion bushels. For next year, the USDA assumed trend line yields combined with 85.4 million harvested acres to get to an ending stock projection of 2.5 billion bushels at the end of the 2020 marketing year. Soybeans are also well supplied. The ending stock estimate for 2018-19 year was close to trade estimates and also at almost 1 billion bushels and that represents a near 25% stock to use ratio. There was little change for the 2019-2020 year.
At the end of the day of course estimates for the 2019-2020 year did not mean much today. Weather, trade issues and other wildcards will affect these estimates in significant ways. All that said planting progress has been slow across the Midwest, given extreme wet conditions. Despite a dry wind a couple of weeks ago, it turned wet again last week and this week’s planting progress report showed 58% of the corn crop is planted, 32% behind the 5-year average of 90%. Most corn needs to be planted by the end of this week to prevent potential yield losses. As a result, grain prices generally and corn prices especially have increased as the market ponders the weather impact on planted acres and yields given the colder, later wetter start to the growing season. As of this past Sunday night, 29% of the United States soybean crop was planted versus 74% last year and a 66% 5-year average. We have priced all of our soybean meal needs through September, and all of our corn through July.
In addition, we have priced 40% of our August and September corn needs. Given where futures prices closed yesterday in the Chicago Board of Trade, had we priced our remaining needs through the end of the fiscal year at yesterday’s close, cash corn and soybean meal prices during fiscal 2019 would be $31.4 million lower than a year ago. These numbers do not include the additional volume of grain we will need to purchase this year to feed the additional chickens we have on the ground in Tyler. These lower costs would translate into a decrease of a $0.01 of pound in feed cost per pound of chicken processed for the year compared to fiscal 2018. Feed cost per pound of chicken processed through the first half of the fiscal year averaged $0.25 per pound. Had we priced our remaining needs yesterday, feed cost per pound would be approximately $0.2525 per pound in Q3 and $0.2585 per pound in Q4.
In addition to our cost, we will be closely watching the chicken markets and production numbers. Weekly egg sets as reported by the USDA continue to trend about 1.5% above a year ago, while cumulative pullet placements are 3% higher than 2018. While the USDA also reports that the broiler breeder flock is 1% larger than a year ago, egg production, hatch rates and livability are all lower. Through March, the USDA reports that head processed was fractionally higher than last year, but the live weights have been slightly lower than last year. The current USDA estimate for 0.9% more broiler meat production during calendar 2019 when compared to 2018 seems reasonable.
Looking forward to the second half of the year, both the grain and chicken markets could be more volatile than we have seen. Grain prices will fluctuate based on trade issues, planting delays and weather concerns. Chicken markets could be impacted by ASF issues and trade. With respect to the chicken markets, we expect retail tray pack demand to remain good. We are competing against more pork and beef, but the retail price spread between those proteins and chicken remains constructive for chicken. Furthermore, we will watch to see to what extent the ASF issue in China pulls protein from the United States market. We need foodservice demand to improve compared to last summer for better white meat market prices at our plants producing products for that market. Unlike last year, we do see signs of more features at foodservice. Three large QSR chains featured chicken sandwiches this spring and another large chain dropped a chicken ad over the weekend and we know of at least one more feature coming this summer.
We announced last Thursday that effective June 2 hourly wages for entering employees at Sanderson Farms will be raised by $1 per hour, while all current employees will receive wage increase of at least $1 per hour. Following these changes all employees employed by the company for at least 90 days will earn at least $15 per hour. Hourly rates for truck drivers, hourly maintenance employees and employees in all upgraded positions will increase by at least $1 per hour. This decision reflects in part the company’s efforts to continue to recruit and retain the best employee base possible. The company already pays 75% of the cost of health insurance for employees and their families and offers a generous retirement package. We believe these hourly rate increases when combined with other benefits will allow the company to remain very competitive in an economic climate where employees have more choices available to them. We estimate that the cost of this increase can be offset with increased efficiencies, including reaching our target plant yields and achieving our target live weights. I am pleased to report that we continue to increase production in Tyler, Texas. The successful startup reflects the success of our training program, which prepares young managers to run new operations.
At this point, I will turn the call over to Lampkin for a more detailed discussion of the market and our operations during the second quarter."
Lampkin Butts,0,"Thank you, Joe and good morning everyone. As Joe mentioned, overall market prices for poultry products were higher during the quarter when compared to our second quarter last year. Market prices for chicken products sold to retail grocery store customers decreased slightly compared to last year’s second quarter, but remain relatively strong and continue to reflect good demand. Tray pack pricing during the second quarter was $0.02 per pound lower than last year’s second quarter, offset by $0.01 improvement in mix and compared to our first fiscal quarter prices were higher by $0.014 per pound and mix was flat. Bulk leg quarter prices were lower for the quarter compared to last year’s second quarter averaging $0.34 per pound during our second quarter of this year compared to $0.366 per pound last year. That said leg quarter prices improved during our second quarter by 32.6% when compared to our first fiscal quarter of this year.
The current Urner Barry bulk leg quarter quote is $0.37 per pound and we have sold genuine production in a $0.40 per pound to $0.42 per pound range and that’s price delivered to the port. Prices for jumbo wings were higher during our second fiscal quarter than last year’s second quarter. Jumbo wings averaged to $1.82 per pound, a 32.7% from the average of a $1.37 per pound during last year’s second quarter. The current Urner Barry quote for Jumbo wings is a $1.77 per pound. Wing prices moved well above historical average prices this spring as demand remained strong after the Super Bowl and through March madness and wings have held their value through May. Boneless breast improved during March but were lower than during last year’s second quarter. Market prices were lower on average about 2.4% compared to the second quarter a year ago.
The second quarter’s average Urner Barry price was a $1.19 per pound. Today, the Urner Barry quoted market for jumbo boneless breast is $1.16 per pound. The overall result of these market price changes was an increase of $0.025 per pound in our average sales price per pound of chicken sold. We sold 1.051 billion pounds of fresh and frozen poultry during the second quarter, a decrease from the 1.068 billion pounds so during last year’s second fiscal quarter. We processed 1.084 billion pounds of dressed poultry during the quarter, down 0.69% from the 1.092 billion pounds we processed during last year’s second fiscal quarter. We now expect to process approximately 4.6 billion pounds of fresh chicken this fiscal year, an increase of approximately 2.5% compared to 2018.
We estimate we will process approximately 1.22 billion pounds in our third fiscal quarter and approximately 1.24 billion pounds during our fourth fiscal quarter. We have factored into those estimates planned downtime and lower for equipment upgrades, higher average target live weight, our target yields and continuing improved – continued improving live bird performance. Weather, bird performance and other factors could affect these estimates. We sold 64.7 million pounds of processed chicken at our prepared chicken plants through the first half of this year compared to 43.3 million pounds through the first half of last year. The average sales price through the first half of the year was lower by 5.8% compared to last year.
At this point, I will turn the call over to Mike."
Mike Cockrell,0,"Thank you, Lampkin and good morning again. The 3.9% increase in net sales for the quarter to $845.2 million from $813.5 million last year was the result of higher selling prices partially offset by the decrease in pounds of poultry products sold. The $37.4 million increase in our COGS for the quarter ended April 30, 2019 as compared to the same three months last year was a result of both higher feed cost per pound and higher non-feed related cost of goods sold, offset by a decrease in poultry pounds sold of 6 million pounds or 0.6%. Non-feed related COGS during Q2 were almost $0.035 or 9.4% higher than last year’s second fiscal quarter.
Several things are going on in that number. First, the inefficiencies at Tyler contributed $0.014 to the increase and we will recapture most of that as Tyler moves to full production. Bird wages at our big bird plants were lower on average than our target, and that cost another third of $0.01 a pound. Waco and Kinston were both down 5 days during the quarter for equipment upgrades. Hammond was down a week to allow bird weights to return to our target. And Collins and Laurel were both down a day or two to install new deboning equipment. These down days cost us another third of a $0.01 a pound. Freight was higher about 38 points, but all of that increase is attributable to an accounting change. Without the reclassification, freight would have been lower compared to last year’s second fiscal quarter. Grower pay associated with the Hammond conversion was higher by half a $0.01 a pound and we’ll get that back now that Hammond has returned to target live weights.
The conversion of Hazlehurst and Hammond from big bird plants to tray packed feeder plants were completed last year during April and both plants have returned to big bird production with Hammond completing this conversion in April. Going forward, we are going to recapture the lost efficiencies caused by those conversions. The $153,000 increase in SG&A expense during the first half of the year reflects higher legal fees, attributable primarily to litigation start-up cost at Tyler and higher administrative salaries which increases were offset by lower advertising costs, lower amortization of performance equity comp grants, and a reduction in trainee cost. SG&A cost during the quarter came in essentially where we estimated on the last call and were $5.8 million below last year’s second fiscal quarter. We are being conservative in our estimate for the back half of the year, but we expect SG&A of $50 million in Q3 and $52 million in Q4. Based on where we are today, management does not believe it is probable the Company will meet the $11.73 per share earnings that are necessary to reach the threshold under our bonus award program. So those estimates include no accruals for bonuses. They also include no accrual for ESOP at this time.
The Company’s effective tax rate for the quarter was 24.7% and was 23.8% is for the six months ended April 30, 2019. And we are modeling a rate of 24.5% for the balance of the year. We now expect to spend about $255 million on capital projects during fiscal 2019. Of that total, we expect to expand $55.5 million in Tyler, $70.5 million on equipment upgrades and we’ve already spent $9.4 million as the final aircraft payment. The balance of $119.5 million is for regular maintenance. We intend to use cash on hand, cash flows from operations to fund our capital budget, but we do have room on our revolver as needed. Our depreciation and amortization during the first half of the fiscal year totaled $62.4 million and we expect $133 million for the full fiscal year. We ended the second quarter with $100 million drawn on our revolver and $97 million in cash. Our net debt to cap then was essentially zero and our total net debt to cap was 6.66%. Since the end of the quarter, we paid back $20 million, so our current outstanding debt is $80 million.
Finally, I want to mention that Sanderson Farms will once again host its annual investor conference in New Orleans this fall. The conference will open with dinner Thursday night October the 17th and the conference will start promptly at 8 o’clock Friday morning, October the 18th. The conference issue will be at the Ritz Carlton and dinner then on Thursday night will be at the same place as always. We hope many of you would join us in New Orleans for the conference. You’ll find information on the conference on our website and we will add registration and hotel information very soon. For now though, please save that date. Derrick, that completes our prepared remarks and you can open the call for questions."
Operator,1,[Operator Instructions] And we’ll first go to Ken Goldman with JPMorgan. Please go ahead.
Ken Goldman,1,"Joe, I won’t burden you with questions on ASF. I know there’s a limited visibility there, so I’ll focus instead if I can on the wages and the increased cost there. I didn’t think I heard and Mike maybe this is a better question for you. On a gross basis, before the offsets you’ve discussed, I’m curious do you have an estimate for the annual impact of those higher wages on the P&L?"
