speaker,q&a,content
Company Participants,0,"Shane Canestra - Vice President, Investor Relations
Tony Moraco - Chief Executive Officer
Nazzic Keene - Chief Executive Officer Elect
Charlie Mathis - Chief Financial Officer"
Conference Call Participants,0,"Gavin Parsons - Goldman Sachs
Matt Sharpe - Morgan Stanley
Greg Konrad - Jefferies
Edward Caso - Wells Fargo
Jon Raviv - Citi
Joseph Thompson - SunTrust 
Cai von Rumohr - Cowen and Company
Jon Ladewig - Stifel Financial
Josh Sullivan - Seaport Global"
Operator,0,"Good day. And welcome to the SAIC Fiscal Year 2020 First Quarter Earnings Call. Today's conference is being recorded.
At this time, I would like to turn the conference over to Shane Canestra, SAIC's Vice President of Investor Relations. Please go ahead, sir."
Shane Canestra,0,"Good morning. My name is Shane Canestra, SAIC's Vice President of Investor Relations, and thank you for joining our first quarter fiscal year 2020 earnings call. Joining me today to discuss our business and financial results are Tony Moraco, SAIC's Chief Executive Officer; Nazzic Keene, SAIC's Chief Executive Officer Elect; Charlie Mathis, our Chief Financial Officer, and other members of our management team.
This morning, we issued our earnings release, which can be found at investors.saic.com, where you'll also find a supplemental financial presentation slide to be utilized in conjunction with today's call. Both of these documents, in addition to our Form 10-Q, to be filed soon, should be utilized in evaluating our results and outlook along with information provided on today's call.
Please note that we may make forward-looking statements on today's call that are subject to known and unknown risks and uncertainties that could cause actual results to differ materially from statements made on this call. I refer you to our SEC filings for a discussion of these risks, including the Risk Factors section of our annual report on Form 10-K and quarterly reports on Form 10-Q.
In addition, the statements represent our views as of today, and subsequent events may cause our views to change. We may elect to update the forward-looking statements at some point in the future, but we specifically disclaim any obligation to do so.
In addition, we will discuss non-GAAP financial measures and other metrics, which we believe provide useful information for investors, and both our press release and supplemental financial presentation slides include reconciliations to the most comparable GAAP measures.
It is now my pleasure to introduce our CEO, Tony Moraco."
Tony Moraco,0,"Thank you, Shane, and good morning. SAIC had a good start to fiscal year 2020, a strong first quarter under Nazzic’s leadership keeping our attention on operational performance, while we continue to successfully integrate the Engility acquisition. As you’ll hear from Nazzic and Charlie, our first quarter results reflect increased strength in the portfolio, outstanding free cash flow generation, a strategy that is aligned with favorable market.
Nazzic and I have continued to work closely on a smooth CEO transition, providing stability, continuity of leadership, and continued focus on our strategic priorities. As I continue to transition my responsibilities, I wish to thank the countless people that have contributed to the success of SAIC. Thank you for your dedication and hard work that has made SAIC into the great company it is today.
Over to SAIC’s CEO Elect, Nazzic Keene."
Nazzic Keene,0,"Thank you, Tony. I want to thank you for your leadership, friendship, and trust over our years together. I echo your thoughts on the transition of CEO responsibilities and I am excited to be leading SAIC continuing a proud legacy of shareholder value creation. In my previous role of COO, I helped to define SAIC’s business strategies and anticipate the core elements of that strategy to remain intact.
If I look at that strategy through a new lens, priorities maybe adjusted in a few areas to accelerate sustained profitable revenue growth given our newly acquired capabilities, talent, and customer access. However, the goals of our strategy remain unchanged to be the federal government’s premier technology integrator, lead the markets we chose to serve and make a meaningful difference for all our stakeholders.
SAIC’s first quarter performance of fiscal year 2020 reflects continued strong operational performance, while making investments to accelerate sustained profitable growth. First quarter delivered revenues of $1.6 billion, ahead of our expectations and equating to 37% total revenue growth from the prior year quarter.
Strong adjusted EBITDA margins were 8.3% for the first quarter, up 180 basis points from last year. We have great confidence in the cash generation profile of the company and the first quarter cash flow performance demonstrates the basis of our confidence. Charlie will further discuss the financial results in a few minutes.
SAIC continues to operate in a favorable market environment in government fiscal year 2019. Our customers are operating with appropriated budgets and continue their investment decisions with confidence. In this favorable market environment, coupled with the additional capabilities and customers that Engility brings, I am confident that SAIC is positioned well to accelerate revenue growth.
As you know, the sales cycle in our market is fairly long, but we are making business development investments now that will provide for sustained profitable growth over the long term. There is a common concern that business development activities could slow down after a significant acquisition. I can tell you with confidence, that is not the case with our acquisition of Engility.
Momentum is building and our pipeline of qualified pursuits is expanding. With four months between announcement and close, we took the opportunity to plan for the combined company business development activity and began to execute on Day 1. We have kept pace with business development activities, and I am seeing early acceleration in our pipeline as we take advantage of our new capabilities and customer access.
Contract award activity in the first quarter was $1.9 billion, including about $300 million of single award IDIQ vehicles. Net bookings for the quarter was approximately $1.4 billion translating to a quarterly book-to-bill of 0.9. On a proforma basis, SAIC’s trailing 12-month book-to-bill is 1.1. Approximately 70% of the first quarter awards were for new business opportunities.
During the quarter, SAIC was awarded contracts and task orders valued at approximately $300 million by U.S. national security, space, and intelligence customers. Additionally, SAIC was awarded a recompete contract valued at $292 million from NASA to continue providing a variety of engineering and quality assurance services. Also, in the recompete category was a $58 million contract award from the U.S. Force to enhance airman combat survivability by enabling U.S. forces to counter optical hazards and threats.
Also awarded during the quarter, but not immediately contributing to bookings, was a new business opportunity of $535 million multiple award IDIQ vehicle to support The Defense Threat Reduction Agency. As one of only five awardees, SAIC will look to generate new business revenues by providing IT services across DTRA.
At the end of the first quarter, SAIC’s total contract backlog stood at approximately $13.6 billion with funded backlog of approximately $3 billion, up 8% from the fourth quarter. The estimated value of SAIC submitted proposals awaiting award is $13 billion, consistent with the end of the fourth quarter. I should note that of this amount, approximately 70% of submitted proposals are for new business, an indicator of a favorable market environment and the potential for SAIC to accelerate growth.
As I mentioned earlier, momentum is building, particularly in the area of business development. During the first quarter, SAIC submitted contract proposals valued at $3.7 billion and we expect to submit approximately $6 billion in the second quarter. Both of these quarterly submittal values contain a predominant amount of new business opportunities. 
Before turning the call over to Charlie, I’d like to give you an update on the integration of the Engility acquisition. Six months in, the acquisition has gone very well and the strategic and financial tenets of the acquisition are intact. During our March call, we reported that we had successfully achieved 85% of year one net cost synergies. I am pleased to report that we have now achieved a 100% of the year one net cost synergies of $38 million, realizing the benefits earlier in the year and contributing to our higher margins in the first quarter. 
Looking to year two, we continue to have confidence in another $38 million of net cost synergies with a significant amount of these coming from our next major milestone, the integration of several enterprise systems later this year. Executing the successful integration of Engility and the associated net cost synergies is forefront of mind for me and the leadership team. I am pleased with the progress to date and I’m excited by the opportunities ahead of us.
Charlie, over to you for our financial results."
Charlie Mathis,0,"Thank you, Nazzic. Our first quarter revenues of approximately $1.6 billion reflect total revenue growth of 37%, primarily due to revenues associated with the Engility acquisition. And as expected for the first quarter, after excluding the impact of the Engility acquisition, revenues contracted year-over-year by 2.8%. The prior year quarter included increased materials related to Puerto Rican humanitarian relief and the current quarter was impacted by expected revenue dis-synergies from the Engility acquisition.
As a reminder, we expect and have previously communicated an approximate $100 million of revenue dis-synergies for the full fiscal year. This is due to the elimination of prime sub-duplicate revenue, lower revenue on cost-plus contracts due to cost synergies achievement, and other factors. As Nazzic mentioned, revenue for the quarter was higher than expected. 
First quarter adjusted EBITDA was $134 million, a $58 million increase from the prior year. Adjusted EBITDA after excluding $8 million of integration related cost equated to a very strong 8.3% as a percentage of revenues. First quarter margin performance was due to strong program performance, the favorable effect of net cost synergies, and the blending of Engility's higher margin portfolio.
Net income for the first quarter was $55 million and diluted earnings per share was $0.92, inclusive of the $8 million of integration cost I just mentioned. Excluding integration cost, as well as amortization of intangibles, our adjusted diluted earnings per share was $1.36 for the first quarter, an increase of 11% from the first quarter of last year. The effective tax rate for the quarter was approximately 20% at the lower end of our previously communicated expected full-year rate of 20% to 25%.
First quarter operating cash flow and free cash flow were $178 million and $169 million respectively. I should note that the first quarter free cash flow generation is double the generation from the first quarter of last year. This includes the recovery of about $25 million from delayed customer payments, due to the partial government shutdown in the fourth quarter.
Collections were generally strong and we experienced no delays in the quarter from the Engility acquisition. Days sales outstanding at the end of the quarter were 58.5 days. The first quarter ended with a cash balance of $151 million. During the first quarter, we deployed $70 million of capital consisting of $44 million to repurchase 591,000 shares, $23 million in dividends and $3 million of mandatory debt repayment.
Our pace of share repurchases increased during the quarter after our late March Board meeting at which time the Board increased the share repurchase authorization. As noted in our release today, our Board of Directors has approved our next quarterly dividend of $0.37 per share and will be payable to shareholders on July 26.
Turning to the balance sheet. Net debt at the end of the first quarter was approximately $1.9 billion, and our leverage ratio remains consistent with our previously communicated plans. The acquisition of Engility has significantly improved the financial profile of the company with notable increases in EBITDA dollars, profitability margins, earnings per share growth, and cash flow generation, which provides greater resources and capabilities to investing growth, while allowing for meaningful capital return to shareholders.
Now, turning to our forward outlook. Our outlook for the full fiscal year 2020 is unchanged from our January Investor Day and as reaffirmed on our March call. Our free cash flow target remains at $425 million for the fiscal year. With our strong first quarter performance, we feel confident we can meet or exceed this goal for the year although fluctuations occur from quarter-to-quarter.
As a reminder, our second quarter is typically our lowest quarter of cash flow generation. We now expect our full-year tax rate to be 22% to 24% with a cash tax rate unchanged at 13% to 15% benefited by the tax assets acquired from Engility. And finally, I too want to thank Tony for his support over the years. The company is in a strong financial position and I wish you all the best in retirement. 
Nazzic, back to you for concluding comments."
Nazzic Keene,0,"Yesterday we conducted our annual meeting of stockholders. I am pleased to report that all the proposals put forth to include board appointments, and advisory vote on executive compensation, and ratifying the appointment of Ernst & Young as our independent auditors were passed. I'm very excited to be leading a stronger SAIC as we continue to build momentum in the marketplace.
The combination of our expanded market presence, increased capabilities, greater access to a skilled talented workforce, and a strengthened financial profile all provide a great opportunity for sustained profitable growth. Since the announcement of the CEO transition, I’ve had the opportunity to meet many current or perspective shareholders and listened intently. I will have many priorities on which to focus, but shareholder value creation will always be top of mind and will be a driving factor in decision-making.
Operator, we are now ready to take questions."
Operator,1,Thank you. [Operator Instructions] We will now take our first question from Gavin Parsons of Goldman Sachs. Please go ahead. Your line is open.
Gavin Parsons,1,"Hi, Good morning everyone."
