type,name
Executives,Anastasia Belyanina - Head of IR
Executives,Alexander Morozov - CFO and Deputy Chairman 
Executives,Lev Khasis - COO and First Deputy CEO
Executives,Alexander Vedyakhin - SVP and Chief Risk Officer
Analysts,Neri Tollardo - Morgan Stanley
Analysts,Olga Veselova - Bank of America
Analysts,Mikhail Shlemov - VTB Capital
Analysts,Gabor Kemeny - Autonomous Research
Analysts,Andrzej Nowaczek - HSBC
Analysts,Alan Webborn - Societe Generale
Analysts,Bob Kommers - UBS
Analysts,Can Demir - Wood & Company
Analysts,Andrew Pavlov-Rusinov - Goldman Sachs
Analysts,Maria Semikhatova - Citi
