speaker,q&a,content
Operator,0,"Good afternoon and welcome to Shoe Carnival's Third Quarter Fiscal 2018 Earnings Conference Call. Today's call is being recorded. It is also being broadcast via webcast. Any reproduction or rebroadcast of any portion of this call is expressly prohibited.
Management's remarks may contain forward-looking statements that involve a number of risk factors. These risk factors could cause the company's actual results to be materially different from those projected in such statements. Forward-looking statements should be considered in conjunction with discussion of risk factors, including in the company's SEC filings and today's earnings press release.
Investors are cautioned not to place undue reliance on those forward-looking statements, which speak only as of today's date. The company disclaims any obligation to update any of the risk factors or to publicly announce any revisions to the forward-looking statements discussed on today's conference call or contained in today's press release to reflect future events or developments.
I'll now turn the call over to Mr. Cliff Sifford, President and Chief Executive Officer of Shoe Carnival for opening remarks. Mr. Sifford, you may begin."
Clifton Sifford,0,"Thank you and welcome to Shoe Carnival's third quarter 2018 conference call. Joining me on the call today is Kerry Jackson, Senior Executive Vice President, Chief Operating and Financial Officer.
On today's call, I'll provide a brief overview of our third quarter operating highlights and sales results as well as review our updated fiscal 2018 outlook. Kerry will discuss financial results in more detail. Then we'll open up the call to take your questions.
First, please remember that this -- that the 53rd week in fiscal 2017 resulted in a one-week shift of our fiscal 2018 calendar. This year's third quarter started and ended one week later as compared to the third quarter last year. As a reminder, in fiscal 2018, all of our quarterly year-over-year sales comparisons may be impacted if there are seasonal influences near the respective quarter-end days. Comparable store sales for the third quarter are presented on a comparable 13-week basis.
Now, I'd like to review our operating performance. We are very pleased to report a 4.5% comparable store sales increase for the third quarter. Our results for the quarter reflect growth across all geographic regions and most major product categories.
I was especially pleased with the strong comp store gains in the non-athletic categories. This demonstrates the core strength of our business model, which allows us to flex and react to changing trends in athletic and non-athletic footwear categories.
As you know, August is a key month for the quarter due to the back-to-school selling period. I'm happy to report that August comparable store sales increased 6.5% on top of a 7% increase for the same month last year. In addition to the strong growth achieved in August, we also reported positive comparable store sales for both September and October.
Our team focus on strengthening margins and effectively managing inventory resulted in significant margin expansion. Merchandise margins improved 110 basis points, driven by customer preference for our high margin seasonal categories.
BD&O was up 70 basis points as a percentage of net sales and we deleveraged SG&A by 70 basis points due to the lower current year sales volume, which was the result of a calendar shift. These results drove a 10.4% decrease in operating income, which when combined with a 41% decrease in tax expense, produced EPS of $0.76 per diluted share, an increase of 15% compared to third quarter last year.
As we have stated on each conference call this year, due to last year's 53rd week, we have been -- there have been high volume weeks that have shifted from quarter-to-quarter. I believe the most accurate way to illustrate our robust results during the third quarter is to remind you of what our EPS is year-to-date as compared to last year.
Through the third quarter, operating income has increased 28.6%, and that income has increased 61.1%, which generated EPS of $2.36 per diluted share. This translates into a 71% increase in EPS over the first three quarters last year.
Traffic for the quarter was basically flat. However, our customer-centric focus drove our conversion rate up by 130 basis points. Average units per transaction were up low single-digits and average dollars per transaction was flat to last year.
We ended the quarter with inventory up 4.6% on a per-store basis due to the shift in calendar, which moved both the Veterans Day and Black Friday promotions earlier than fiscal November. We remain focused on effective inventory management and expect per-door inventories to be down low single-digits at year end.
Focusing on our third quarter comparable store sales by department, women's non-athletic increased mid-single-digits, driven by the boot and sandal categories. Customers responded to our women's boot assortment and marketing efforts throughout the quarter, producing a third quarter comparable store sales increase in the 20s.
The men's non-athletic department was up mid-single-digits on a comparable basis. We are pleased with the performance of our men's casual category and the double-digit comp increase in the men's boot category for the quarter. Children's shoes were also up mid-single-digits on a comparable basis.
Our sales for the quarter were driven by both the athletic and non-athletic categories. Boots and sandals drove double-digit comp increases for the quarter in non-athletic. And on the athletic side of the business, boys produced a mid-single-digit comp gain, while girl's was up double-digit.
Adult athletic was also up low single-digits on a comparable basis. Men's athletic was flat for the quarter, while women's athletic was up mid-single-digits. We continue to be happy with the performance of our running footwear category for both men and women.
Now, I'd like to spend a few minutes to update you on our key initiatives for 2018. We began fiscal 2018 with the possibility of closing 25 to 30 stores this year. Our teams in real estate, merchandising, operations, and marketing have done a terrific job of improving the metrics of many of those stores to where they are now more productive contributors to our store base.
With the improving metrics of those particular locations, we are now able to boost the number of projected store closures from the range of 25 to 30 to a total of 14. This includes nine that are already closed and five that are planned to close in the fourth quarter.
We opened three stores at the end of the third quarter. This past weekend, we had our official grand opening celebration in all three new stores and I am excited about the positive results we experienced at each of the openings. We ended the third quarter with 402 stores in 35 states in Puerto Rico.
Our real estate strategy remains conservative as we complete the implementation of our CRM initiative. I continue to be excited about our CRM strategy. We have already experienced some quick wins and I expect as we continue to roll this program out, it will be instrumental in driving comparable store sales results and allow us to, once again, grow our store base.
This multiyear holistic project will touch almost every aspect of our company. CRM is a key element in understanding who our customer is and creating a one-to-one relationship with them.
Although a large part of the customer data comes from our loyalty program, it's not just about loyalty. We believe this holistic approach to CRM will give us a clear runway for growing Shoe Carnival now and in the future.
I am very happy with the relaunch and upgrade to our Shoe Perks program, which was launched just prior to back-to-school. This new program offers our high-value customers a new tier of rewards that is designed to incentivize them to make Shoe Carnival their store of choice for all their family footwear purchases.
I'm thrilled with the way Shoe Perks members have responded to our new program, driving a double-digit increase in member sales for the quarter. This increase of member spending allowed us to welcome over 200,000 new members to Gold status within the quarter.
In order to stay relevant with the changing retail landscape and the ever-evolving consumer, we must continuously improve and innovate. The investments we're making in technology and customer engagement are incredibly important as we take Shoe Carnival to the next level of growth.
Finally, I'd like to give you an update on our financial expectations for fiscal 2018. I'm very happy with the performance of our seasonal categories throughout the third quarter. Our customers are excited by our selection of boots and booties and we continue to see positive results from our kids department in both the athletic and non-athletic categories.
The adult athletic categories that drove our athletic sales in the third quarter also continue to perform. We believe that the customer shops us at key time periods because they trust us to have the right styles and brands in depth at a compelling value.
Weather does become a factor of both positively as it creates a need for weatherproof boots and negatively, if a winter storm occurs during a high volume time period. Based on these factors, we expect comparable store sales for the fiscal year to increase approximately 3.5%.
In addition, we expect gross margin for the fiscal year to increase approximately 90 basis points on a GAAP basis versus fiscal year 2017. As a result of this sales and margin guidance, we are raising and tightening our previous earnings per share expectations from a range of $2.05 to $2.15 to a range of $2.36 to $2.38.
That concludes my overview. I would now like to turn the call over to Kerry."
Kerry Jackson,0,"Thanks Cliff. Our net sales for the third quarter ended November 3rd, 2018, decreased $18.3 million to $269.2 million compared to the third quarter ended August 28th, 2017. Comparable store sales for the 13-week period ended November 3rd, 2018, increased 4.5% compared to the 13-week period ended November 4th, 2017.
The decrease in net sales was primarily due to a decrease of $12 million for stores included in our comparable store sales base and a loss of $7.6 million in sales from the 26 stores closed since the beginning of the third quarter last year. These decreases were partially offset by an increase of $1.3 million for the 10 stores we have opened since the beginning of the third quarter of last year.
As we have previously discussed, due to last year -- fiscal year being a 53-week year, Q1, Q2, and Q3 this year are one week later than last year. The calendar shift moved an important week of back-to-school that was included in Q3 last year into Q2 this year.
The net effect of this week shift compared to last year decreased sales in our comparable stores in Q3 this year by $25.1 million. This shift accounts for the full decrease in net sales in Q3 this year compared to Q3 last year.
Our gross profit margin for the quarter was 30.2% compared to 29.8% in the third quarter last year. This increase was driven by a 110 basis point increase in our merchandise margin, partially offset by a 70 basis point increase in buying, distribution, and occupancy expenses as a percentage of sales.
SG&A expenses decreased $2.6 million in Q3 to $65.2 million. The decrease in expense was primarily due to $2.5 million decrease in advertising expense in existing stores, a $2.2 million decrease in expenses for closed stores, and a $911,000 net gain from insurance proceeds related to stores affected by recent hurricanes. These decreases were partially offset by a $4.1 million increase in incentive and equity compensation expense as a result of the improved financial performance of the company.
As a percentage of net sales, these expenses increased 0.7% to 24.3%. The deleveraging of SG&A expenses and the reduction in advertising expense in Q3 were both the result of the shift in sales into Q2. You may recall, we reported a $2.7 million increase in advertising expense in Q2 this year.
The effective income tax rate for the third quarter of fiscal 2018 was 25.9% compared to 40.0% for the same period last year. For the full fiscal year of 2018, we expect our tax rate to be approximately 24.2%. As a reminder, in December 2017, the U.S. Tax Cuts and Jobs Act was enacted, which reduced our corporate statutory tax rate from 35% to approximately 21%.
Net earnings for the third quarter of fiscal 2018 were $12 million or $0.76 per diluted share. For the third quarter of fiscal 2017, we reported net earnings of $10.7 million or $0.66 per diluted share.
Now, turning to information affecting cash flow. In Q3 this year, we repurchased, under our share repurchase program, approximately 519,000 shares of our common stock at a total cost of $20 million.
For the first three quarters this year, we repurchased 1.3 million shares at a total cost of $39 million. We have not projected in our updated our annual guidance any repurchases in Q4 and now expect our diluted weighted average shares outstanding for the fiscal year to be approximately 15.5 million shares. This is a decrease of about 200,000 shares from our previous guidance. We currently have $11 million available under our $50 million share repurchase authorization.
Depreciation expense in Q3 was $5.3 million. Depreciation expense is projected to be approximately $21 million for the full fiscal year. Capital expenditures for fiscal 2018, including actual expenditures during the third quarter are expected to be approximately $10 million with a little more than half to be used for new stores, relocations, and remodels. Lease incentives are anticipated to be approximately $900,000 for the year.
My final comment today will be on sales for the fourth quarter. Inclusive in our annual sales guidance is the expectation of our Q4 sales to range from $225 million to $227 million. This compares with Q4 sales last year at $243.2 million.
The expected decline of sales is due to a $15 million reduction due to one less week of sales in Q4 this year and an estimated $5.8 million reduction in sales from stores that have closed, partially offset by sales increases from an expected comparable store sales increase and sales from new stores.
This concludes our financial review. Now, I'd like to open up the call for questions."
Operator,1,"Thank you. [Operator Instructions]
The first question will come from Mitch Kummetz with Pivotal Research. Please go ahead with your question."
Mitch Kummetz,1,"Yes, thanks for taking my questions. Cliff, let me begin on boots. I was hoping you could just elaborate on the performance in the quarter. What was the overall boot comp in the quarter? Can you maybe say how sort of booties performed versus weather boots versus fur versus however else you kind of classify the various boot sub-segments? And then I'm also curious, kind of, how you have boots planned for the fourth quarter?"
Clifton Sifford,1,"Well, we plan boots for the season of mid-singles -- mid- to low high singles. But we had a double-digit growth in the 20s, increase in women's boots for the quarter. So, very pleased with that.
Mitch, to be honest with you, I really don't want to get down to the category. I can tell you that weather boots -- what we would classify as weather boots, snow kind of boots, they only sell that really only take off when you have inclement weather. So, it was more casual boots in nature and I'd really like to hold it at that."
Mitch Kummetz,1,"Got it. Fair enough. And then, Kerry, on the merch margin improvement, can you just -- how much of the 110 bps was a mix shift to boots, which is a high margin category for you guys versus just overall cleaner inventories? Is there any way you can kind of break out the 110 bps? And I'm curious what your -- what kind of merch margins baked into the guide for the fourth quarter."
Kerry Jackson,1,"We had planned on our merchandise margin being up for the quarter. Where we overachieved our expectations was in the boot margin itself. So that comp increase that we got in the boots that Cliff was just referring to, that was the primary driver of the gross profit improvement. You're selling boots in October; you're getting a much better price than if you sold him later in the fourth quarter."
Clifton Sifford,1,"I'll add to that, if I can, Mitch, that not only we have an increase in the 20s in women's boots, but we had double-digit increases in men's boots and in kid's boots. So, very high margin. So, that really helped drive the overall margin up."
Mitch Kummetz,1,"Got it. And then maybe a last question, also for Kerry. I think you said that, in the quarter, incentive comp was up $4.1 million year-over-year. Can you say, sort of, where incentive comp -- how much it will be, or how much you think it will be up for the year?
And I know it's a little early to talk about 2019, but is it sort of fair to assume, given how well you guys are sort of outperforming this year, that you would be planning incentive comp down year-over-year in 2019?"
