speaker,q&a,content
Company Participants,0,"Teri Miller - Vice President and Chief Accounting Officer
Michael Cote - President and Chief Executive Officer
Wayne Jackson - Chief Financial Officer"
Conference Call Participants,0,"Rob Owens - KeyBanc Capital Markets
Sterling Auty - JPMorgan
Fatima Boolani - UBS
Walter Pritchard - Citi
Melissa Franchi - Morgan Stanley
Gur Talpaz - Stifel
Howard Smith - First Analysis"
Operator,0,"Good morning and welcome to the SecureWorks First Quarter Fiscal 2020 Financial Results Conference Call. Following prepared remarks, we will conduct a question-and-answer session. [Operator Instructions] At this time, all participants are in a listen-only mode. We are webcasting this call live on the SecureWorks Investor Relations website. After the completion of the call, a recording of the call will be made available on the same site.
Now, I would like to turn the call over to Teri Miller, VP and Chief Accounting Officer. You may begin."
Teri Miller,0,"Good morning, everyone and thank you for joining us today to review SecureWorks financial results for the first quarter of fiscal 2020. This call is being recorded. This call is also being broadcast live over the Internet and can be accessed on the Investor Relations section of SecureWorks website at investors.secureworks.com. The webcast will be archived at the same location for 1 year. This morning, SecureWorks issued a press release announcing results for its first quarter ended May 3, 2019. You can access this press release on the Investor Relations section of the SecureWorks website.
During this call, management will make forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These forward-looking statements include, but are not limited to guidance with respect to GAAP and non-GAAP revenue and net loss per share as well as adjusted earnings before interest, taxes, depreciation and amortization. Our forward-looking statements involve risks and uncertainties that could cause actual results to differ materially from those anticipated by these statements. You can find a description of these risks and uncertainties in this morning’s earnings press release and in the company’s annual report on Form 10-K for the year ended February 1, 2019 which is available on our Investor Relations website and on the Securities and Exchange Commission’s website.
All forward-looking statements made on this call are based on assumptions that we believe to be reasonable as of this date, June 5, 2019. We undertake no obligation to update our forward-looking statements after this call as a result of new information or future events. Some of the financial measures we use on this call are expressed on a non-GAAP basis. These non-GAAP measures exclude stock-based compensation, the impact of purchase accounting, amortization of intangibles and the related tax effect of these items. We have provided reconciliations of the non-GAAP financial measures to GAAP financial measures in today’s earnings press release available on our website. Non-GAAP measures are not intended to be considered in isolation from, a substitute for, or superior to our GAAP results and we encourage you to consider all measures when analyzing SecureWorks performance. Also as a reminder, all financial information discussed is non-GAAP and growth rates are compared to the prior year periods unless otherwise stated.
With us on today’s call are Michael Cote, President and Chief Executive Officer of SecureWorks and Wayne Jackson, Chief Financial Officer. Following their prepared remarks, we will take your questions. We would appreciate you limiting your initial questions to two, so that we may allow as many of you to ask questions as possible in our allotted time. In the event, you have additional questions that are not covered by others, please feel free to re-queue and we will do our best to come back to you. Thank you for your cooperation on this.
Now, I would like to turn the call over to Mr. Cote."
Michael Cote,0,"Thank you, Teri and thank you everyone for joining us this morning for our first quarter fiscal 2020 earnings call. Our first quarter financial results were positive. Revenue was $133 million at the high-end of our expectations. The loss per share was $0.02 and EBITDA was positive $1 million both ahead of our expectations. We had a use of cash to $3 million, a significant improvement from the use of cash of $18 million a year ago. As discussed on prior calls, cash flow from operations is usually negative in the first quarter due to the payment of annual incentive compensation.
Also in the first quarter, SecureWorks was once again positioned in the Leaders quadrant in Gartner’s May 2019 Magic Quadrant for Managed Security Services, Worldwide, making this the 11th consecutive time we have been recognized as a leader in this report. We are pleased with our leadership position in this segment of the cybersecurity market we believe it is an important part of our business. However, as the market evolves from detection centric products and services to comprehensive solutions that solve investigation and response challenges we continue to bring innovative solutions to market like our detect and prevent and managed detection and response offerings. In addition, we have worked over the past 2 years to pivot our strategy to deliver our industry leading intelligence and security operations expertise in a different way through software-driven security solutions. A couple of launches this quarter highlighting the application of our intelligence through software include the launch of Dell Safeguard and Response, a portfolio of next generation endpoint security solutions, including our software analytics and intelligence sold by the global Dell salesforce. This offering is a prime example of the powerful solutions and go-to-market advances that we create through partnership, collaboration and coordination within the broader security community. In a very short period of time, we have seen encouraging momentum with a strong pipeline building. We are pleased to be working with our Dell Technologies family and leveraging their expertise and tremendous distribution capabilities.
Additionally, at the end of the first quarter, we launched Red Cloak Threat Detection and Response, or TDR, the first patent pending security analytics app on our application framework. The app allows security analysts to detect unknown and advanced threats, streamline and collaborate on investigations and automate the right actions. The software ingests and enriches data from a variety of endpoint, network, cloud and business systems. Our proprietary threat intelligence is embedded in this new SaaS offering, which also leverages advanced analytics like machine and deep learning. We have taken our 20 years of security operations experience, combined with significant technological advancements, and re-imagined how security should be done, making the complex simple. TDR is the first test suite of software products being developed to help organizations be more effective and efficient in their security operations with confidence and the benefit from the collective knowledge across the community or the network effect.
We have a technology incubation team of world class engineers, data scientists and threat researchers working on the development of next generation technology solutions to enable our customers to outpace the adversary and meet changing market needs. In developing TDR, this team iterated quickly, adjusted as needed and always kept the voice of the customer front and center. While we had positive financial results in the quarter, the annual contract value of sales contracts closed during the quarter or ACV was below our expectations. Based on the Q1 shortfall in ACV and a review of our pipeline, we are lowering our revenue outlook for the rest of the year. Wayne will provide more details on the impact to guidance. The sales execution challenges impacting our performance in Q1 included our pipeline conversion rate, which is the annual value of sales contracts closed in the quarter compared with the value of the beginning pipeline fell below our expectation in the low end of our historical ranges. Considering this lower conversion rate, we now believe the overall size and velocity in the current pipeline is insufficient to support growth at our original expectations and the majority of ACV closed in Q1 was with existing customers. We currently do not have the appropriate focus on the consistent development and acquisition of new customers.
I am disappointed with this level of performance and to address these challenges, we have made the following changes. We have established a new cadence for pipeline inspection and sales activity, metric review, designed the surface challenges early and allowed for more rapid course correction. We have introduced an account manager role focused on the development and continued expansion of existing customer relationships allowing sellers to focus more on new customer acquisition. We have created a team of sales engineers dedicated to our recently launched Red Cloak TDR software app to drive sales velocity and we have developed and have trained the sales team on solution bundles specific to each customer segment, which are aligned with our security maturity assessment framework. These sales plays which include our MDR and detect and prevent offerings as well as recently announced TDR software app are aimed at simplifying the sales process and increasing customer retention rates by packaging the best set of outcomes for our customers. The overall market remains strong and I am confident with these adjustments in our go-to-market model and new offerings we will successfully reaccelerate our growth.
I will now turn it over to Wayne to talk about our first quarter performance in more detail. Wayne?"
Wayne Jackson,0,"Thanks, Mike and good morning everyone. First, I echo Mike’s comments that our Q1 financial results were very solid. In the first quarter of FY ‘20, revenue was $132.8 million, a 5.3% increase over Q1 FY ‘19 and a 1.6% increase sequentially. First quarter revenue was the high-end of our guidance range. Higher gross margins and lower operating expenses allowed us to generate $800,000 of EBITDA, which was ahead of our expectations. We used $3 million of cash from operations, a significant improvement from last year’s use of $18.4 million on higher EBITDA and improved DSO. Our average annual subscription revenue per customer was $104,900 this quarter, growing 7.4% over last year. We closed 10 deals with total contract value greater than $1 million in the first quarter. A couple of notable examples of new large deals that we signed in the first quarter include a 3-year $4.2 million agreement with a U.S. based manufacturing company. Our comprehensive MDR solution, which provides a unified view of the customer’s environment, was the foundation of this deal, a 3-year $4.5 million agreement with a European-based manufacturing company. In this case, we converted an incident response engagement into a broader MSS win, combining our Advanced Remediation Management or ARM offering along with other Red Cloak threat analytics powered solutions.
We exited the quarter with monthly recurring revenue of $36.1 million and annual recurring revenue at quarter end was $433 million. Consulting revenue grew 22.9% year-over-year and comprised 25.4% of total revenue for the quarter. We anticipate our subscription to consulting revenue mix will continue around the 76% level for the next several quarters as incident response and other consulting services continue to be an important component of a comprehensive security solution for our customers. Revenue retention ending Q1 FY ‘20 was 99.1%. Finally, revenue outside the U.S. represented 24% of total revenue in the first quarter, up from 20% of total revenue in Q1 last year on consistently strong growth in the UK, Middle East and Japan. Gross margin totaled $73.7 million in the first quarter of FY ‘20 or 55.5% of revenue, a 60 basis point increase from the prior year. First quarter operating expenses totaled $76.3 million compared with $75.2 million last year, a 220 basis point decrease as a percentage of revenue.
Research and development expenses totaled 16.2% of revenue in the quarter compared with 16.9% for Q1 FY ‘19. Sales and marketing expenses were approximately 28.2% of revenue in the first quarter compared with 27.8% for prior year Q1. General and administrative expenses totaled 13.1% of revenue in the first quarter compared with 15% for the same quarter last year, a 190 basis point improvement as we realized operating leverage on our G&A. Adjusted EBITDA in Q1 was $800,000 compared with a $2.6 million loss last year. Non-GAAP net loss was $2.6 million compared with a net loss of $5.9 million in Q1 last year as the margin on higher revenue offset the increased sales cost in Q1 FY ‘20. Non-GAAP loss per share was $0.02.
Regarding cash flow and balance sheet items, as I mentioned cash flow from operating activities was $3 million in the first quarter compared with $18.4 million use of cash in Q1 of last year. DSO was 93 days at the end of Q1 down from 98 days at the end of Q4 last year and an improvement from 106 days at the end of Q1 last year. We finished the quarter with cash of $111.2 million and have an untapped $30 million credit facility. CapEx was $7 million in the first quarter.
Now for guidance, in the second quarter of FY ‘20, we expect both GAAP and non-GAAP revenue to be in the range of $132 million to $134 million and we expect non-GAAP net loss per share to be between $0.04 and $0.05. For FY ‘20, we now expect the following: GAAP and non-GAAP revenue to be in the range of $535 million to $545 million; adjusted EBITDA to be positive for the full year in the range of $2 million to $5 million; and non-GAAP net loss per share to be $0.10 to $0.13 per share, GAAP net loss per share to be in the range of $0.55 to $0.58. For modeling purposes, we estimate that the tax benefit rate will be approximately 24% for the remainder of the year. Cash provided by operations to be between $25 million and $35 million, CapEx to be in the range of $12 million to $14 million.
A few points about the revised guidance, the impact of lower Q1 ACV performance accounts for a significant portion of the revenue revision. The remainder of the revenue revision relates to the amount of time needed to increase the size and quality of the pipeline and fully ramp our new solutions. Lastly, we will continue to invest in the development of additional apps and software offerings throughout FY ‘20, but we will take a balanced approach as we continue our transition toward software-driven solutions that Mike alluded to earlier. We have a strong financial foundation with a company that will generate well over $500 million revenue and be cash flow positive for the year. And we have launched our new software offerings into a market as we transformed the business for long-term success. I believe the teams are very focused on the actions needed to drive the revenue growth and financial results we expect.
I will now return the call to Mike."
Michael Cote,0,"Thanks, Wayne. Before I turn it over to the operator for questions, I would first like to thank the SecureWorks team for their hard work and dedication on behalf of our customers. I am proud of our accomplishments working with our partners at Dell and for the successful launch of the SafeGuard and Response Solution and celebrating the launch of the Red Cloak TDR, our first software app. Our business is undergoing an important transition and there is no doubt we have work to do. I am excited about the opportunity in front of us and believe we have the right people, the right strategy and the right focus to succeed in this evolving and dynamic cybersecurity market. On behalf of the entire SecureWorks team, we appreciate your continued interest and support. Operator, if you would open the line?"
Teri Miller,0,"Operator, we are ready for the question and answer session."
Operator,1,I will now open the call for questions. [Operator Instructions] And our first question is from Rob Owens with KeyBanc Capital.
Rob Owens,1,"Great. Thanks for taking my question this morning. Mike wanted to drill down into these 10 deals that you talked about that expanded to over $1 million in ACV. I take it that the majority of that came from the installed base and if so kind of given the dynamics and the meaningful cuts around the annual expectation, are you running into some churn issues. I know you gave your net retention rate, but curious what churn looks like within that?"
