speaker,q&a,content
Company Participants,0,"David Pearce - Head, IR
Katrina Lake - CEO
Mike Smith - President & COO
Paul Yee - CFO"
Conference Call Participants,0,"Doug Anmuth - JPMorgan
Ross Sandler - Barclays
Mark Mahaney - RBC Capital Markets
Heath Terry - Goldman Sachs
Ralph Schackart - William Blair
Edward Yruma - KeyBanc Capital Markets
Eric Johnson - Piper Jaffray
Youssef Squali - SunTrust 
Ike Boruchow - Wells Fargo
Adrienne Yih - Wolfe Research
Janet Kloppenburg - JJK Research"
Operator,0,"Good day, everyone. Welcome to the Stitch Fix Third Quarter 2019 Earnings Call. Today's conference is being recorded.
At this time, I'd like to turn things over to David Pearce. Please go ahead sir."
David Pearce,0,"Thank you for joining us on the call today to discuss the results for our third quarter of fiscal 2019. Joining me on today's call are Katrina Lake, Founder and CEO of Stitch Fix; Mike Smith, President and COO; and Paul Yee, our CFO. We have posted complete Q2 financial results in our shareholder letter on the IR section of our website, investors.stitchfix.com. A link to the webcast of today's conference call can also be found on our site.
We would like to remind everyone that we will be making forward-looking statements on this call which involve risks and uncertainties. Actual results could differ materially from those contemplated by our forward-looking statements. Reported results should not be considered as an indication of future performance. Please review our filings with the SEC for a discussion of the factors that could cause our results to differ.
Also, note that the forward-looking statements on this call are based on the information available to us as of today's date. We disclaim any obligation to update any forward-looking statements, except as required by law.
During this call, we will discuss certain non-GAAP financial measures. Reconciliations to the most directly comparable GAAP financial measures are provided in the shareholder letter on our IR website. These non-GAAP measures are not intended to be a substitute for our GAAP result.
Finally, this call in its entirety is being webcast on our IR website and a replay of this call will be available on the website shortly.
I'd now like to turn the call over to Katrina."
Katrina Lake,0,"Thanks, David. And thank you for joining us. After the market closed today, we issued our quarterly shareholder letter with more details on our results, which I encourage you to read. I'm excited to share our third quarter results which demonstrate our commitment to delivering strong topline growth, while making measured, strategic investments for the long term. We're also raising our revenue guidance for the fourth quarter reflecting our expectations for continued momentum in our business as we close the year.
As I reflect on the third quarter, I remain very excited by our position within the retail ecosystem, as well as our resulting ability to capitalize on future opportunities. Personalization is at the very core of what we do at Stitch Fix, and we feel we are highly differentiated. In an environment where many retailers face growth challenges, we remain confident in our ability to deliver personalization at scale using our unique combination of human judgment and data science that continue delighting clients and growing our business.
Now, I'll discuss our Q3 results, provide an update on the continued momentum we're driving across our Women's and Men's categories, and share what this means for our newest categories over time.
In the third quarter, we generated net revenue of $409 million, exceeding our guidance and representing 29% year-over-year growth. We delivered $7 million in net income and negative $0.3 million in adjusted EBITDA. We grew our active client count to 3.1 million as of April 27, 2019, a 17% increase year-over-year. These results reflect our continued execution across three of our growth pillars; expanding relationships with existing clients, attracting new clients, and growing our market opportunities.
On the third pillar, I am pleased to announce we officially launched in the U.K. just last month and are excited to introduce our personalization capabilities to our newest client. Over the past several quarters, we've discussed the seeds we planted in newer markets such as Kids in the U.K., which we believe will contribute less from our revenue and client perspective near term, but represent nice longer-term levers for our business.
These categories are small today but have significant potential in the years ahead as we continue to drive strong topline growth and capture more and more share within our $430 billion market opportunity. While these new categories are exciting for us as we think about our multiyear outlook, our Women's category continues to have so much opportunity and we've been pleased with our recent results.
We shared in Q1 that we deliver the highest keep rate on record in Women's and in Q2 that we drove strong repeat client demand. This quarter, we continue to delight existing clients, but also demonstrate improvement in our ability to attract new high-quality clients who can serve well from the outset. Through predictive algorithms, we believe we are better able to reach clients who are a good fit for our service and who we are able to retain for a longer period.
One measure we look at is the number of clients who keep at least one item in their Fix and tell us that they are looking forward to their next Fix. This number grew 8% year-over-year in Women's in Q3, which is the fourth consecutive quarter of year-over-year growth. This is a sign that the client was satisfied in finding an item that they loved and also excited about the opportunity to build a long-term relationship with us.
Unsurprisingly, we found these positive first Fix experiences are often indicative of stronger client retention, stronger revenue per client, and higher engagement. As evidenced, Women's clients who joined us in fiscal 2019 year-to-date have demonstrated higher retention rates than the comparable 2018 cohort. We're excited to drive enhancements like this in Women's not only because it is our largest category, but also because these learnings can often be applied to our other offerings.
I'd now like to turn to Men's, which has graduated from the early seed stage of Kids in the U.K. today and is now at a point where it has scaled into a category we're excited to discuss in a more specific way. Men's, which we launched in September 2016, continues to benefit from strong product/market fit and increasing scale, both of which are factors in driving favorable business results.
In the last 12 months, we have significantly improved Men's gross margins, and we expect to drive further improvement as we continue to grow. Our improved Men's assortment reflects rich client feedback from our growing male client base. Most recently, we used this data to enhance our Activewear and Tailored assortment. In Activewear, we responded to style profile feedback by expanding our assortment versatility from workout attire to everyday use. In addition, we’ve incorporated affordable and accessible performance attributes, such as moisture wicking and UV protection.
Another opportunity we saw was in Men’s workwear and special occasion which we call our Tailored offering, where we've used client fit feedback to revise our exclusive brand fit blocks, which resulted in higher fit and style scores. Our ongoing improvements in Men’s have resulted in year-over-year increases in keep rate in every quarter going back to the launch of our Men's category in Q1’17.
The success of our exclusive brand offering, which now comprises more than a third of our Men's revenue also contributed to gross margin improvement in Q3. We’ve created multiple brands that look and feel like standalone brands, each with its own identity and strong point of view. Each brand was created to address specific gaps in the market, both in style and price, and we're thrilled at how successful these brands have become. Our exclusive brands have very high sell through which drives rapid inventory turn that contributes to its stronger gross margin profile.
In addition, we've expanded the number of U.S. warehouses that carry Men's merchandise from two to three improving shipping costs and benefiting gross margins as well. Our enhanced ability to attract and retain high quality clients and quickly scale categories gives us confidence as we execute on our newer opportunities like Kids and the U.K.
Before I hand it over to Paul, I'd like to spend a moment to provide an update on Style Pass. As you know, we are constantly looking for new ways to engage and delight our customers and Style Pass which just celebrated its first anniversary is a great example of that. Today, our one-year renewal rates have exceeded 70% across both Men's and Women's clients.
In addition, as of Q3 2019, Style Pass has continued to reduce friction from the client experience and delivered better client and business outcomes. Specifically, the program improved client retention and increased average revenue per client, and client satisfaction as compared to non-Style Pass clients. We will continue to rollout Style Pass to clients in a disciplined manner to ensure that the program benefits both our clients and our business.
I'll now turn the call over to Paul who will discuss our financial performance and outlook."
Paul Yee,0,"Thank you, Katrina. Our Q3 results reflect both strong execution by the team and continued commitment to our long-term growth strategy. We delivered net revenue above our guidance range, healthy gross margins and positive free cash flow. At the same time, as planned we made strategic investments that will fuel our future growth, including brand marketing capabilities, U.K. expansion, and talent. Looking ahead we see topline momentum continuing in Q4 leading us to raise our full year revenue guidance.
Our Q3 net revenue of $409 million represents 29% growth year-over-year, topping our guidance of 22% to 26% growth. We saw healthy growth in both Women's and Men's and continue to ramp our Kid's category. Active clients grew to 3.1 million or 17% year-over-year driven by our investments in performance marketing and in inventory, which enabled us to better serve new clients.
Net revenue per active client growth 8% year-over-year representing our fourth consecutive quarter of growth, even with the higher mix of Men's and Kid's clients. This growth is the result of our continued focus on attracting high quality clients, improving our personalization capabilities and driving stronger retention in our Women's category.
Q3 gross margin was 45.1% representing a 150 basis point improvement from 43.6% last year. This gain was driven by both lower clearance activity and lower shrink expense year-over-year. Our improved gross margin is net of the impact of our newer categories. As Katrina discussed, we've also seen gross margin improvement in our Men's category with this increasing scale, enhanced assortments and continued success with Exclusive Brands.
Advertising was 12.3% of net revenue. As we shared last quarter, we plan to invest more heavily in marketing in the second half of this year with a specific focus on brand advertising. Brand spend comprised $16 million in the quarter or 3.9% of net revenue. Other SG&A excluding advertising was 33.9% of net revenue in the quarter compared to 32.6% in last year's Q3. These results reflect the build out of U.K. capabilities as well as payroll and SBC investments to track and retain top talent. As a reminder, we include SBC in our EBITDA results. This expense totaled $9.1 million in the quarter. Our strong data science and engineering teams are key differentiators in our business and we believe SBC is an important lever as we invest in these teams. As a result we expect continued impact from SBC in the quarters ahead.
Q3 adjusted EBITDA was negative $0.3 million or negative 0.1% of net revenue. This was at the higher end of our guidance range of negative for the positive $1 million. Q3 net income was $7.0 million and diluted EPS was $0.07. These results reflect certain one-time tax benefits that we'll recognize in the third quarter. Year-to-date we have delivered free cash flow of $51 million compared to $49 million in the same period last year and ended Q3 with zero debt and $367 million in cash, cash equivalents, and highly rated securities. Quarter end inventory grew 34% year-over-year compared with 29% at the end of Q2, reflecting our planned second half investments to meet higher demand.
Moving on to our outlook. For Q4 2019 we are raising our net revenue guidance to $425 million $435 million, representing growth of 34% to 37% year-over-year. This compares to our prior range of 29% to 35% growth and is driven by expectations for continued momentum in net revenue per active client along with consistent active client growth. We also expect to return to positive EBITDA in Q4 and are projecting adjusted EBITDA in the range of $5 million to $10 million or an adjusted EBITDA margin of 1.2% to 2.3%.
For full year fiscal 2019 we're raising our net revenue range to $1.57 billion to $1.58 billion or growth of 28% to 29% year-over-year. This compares to our prior range of $1.53 billion to $1.56 billion or 25% to 27% growth. We are raising the lower end of our adjusted EBITDA range to $38 million to $43 million, reflecting an adjusted EBITDA margin of 2.4% to 2.7%. This compares to our prior range of $33 million to $43 million. As a reminder, 2019 is a 53-week fiscal year and Q4 2019 includes 14 weeks. Our full year and Q4 guidance reflects the impact of this additional week. This guidance also includes our continued investment in the U.K. which I noted last quarter as totaling approximately $12 million of SG&A expense in the second half of the year.
With that, we're ready to open up for questions. Operator, over to you."
Operator,1,Thank you. [Operator Instructions] We'll hear first today from Doug Anmuth with JPMorgan.
Doug Anmuth,1,"Great, thanks for taking the questions. First, I just wanted to ask about the brand marketing campaign, you talked about the $16 million of spending, it would be great to hear about how you are thinking about the results that you saw there early on and how we should think about that time [ph] to client growth in the quarter? And then, second, you highlighted the higher quality clients, especially Women's through predictive algorithms. I'm wondering if there is any more color you can give us there in terms of how you are identifying these clients and what is kind of really driving the difference in these higher quality clients and the better retention that you're seeing? Thanks."
Katrina Lake,1,"Great, absolutely. Brand marketing and so in the last quarter we spent $16 million in brand marketing and that's very different from our kind of normal bread and butter performance marketing, which is what we really look at in terms of driving client growth results within the quarter, and so in terms of the question around tying brand marketing to client growth, that's not the way that we think about that spend.
And the key metrics around what we're looking for in -- success metrics on the brand marketing are really around understanding of the brand, awareness of the brand, affinity to the brand, and those are metrics that are longer-term metrics that I think right now we're still too close to the campaign to be able to have a really accurate read.
But what I can say, I think is, overall we're really optimistic and excited about the opportunity to have brand marketing as a lever. It’s something that we see as an opportunity and certainly on the high level metrics we talked about also around reengagement and driving this longer term love for the brand, and so we're excited about what we're seeing so far and hopeful about kind of what results we'll see eventually.
On the Women's side, in terms of what [indiscernible] tactics that we're using around kind of acquiring customers and our performance marketing is really that we're able to better understand what is some attributes that are likely to lead to successful fixes. And so, what that means is that we're better able to identify clients that are likely to generate a lot of LTV for us over time, and so it gives us the [indiscernible] that we would be happy to pay $100 for because we are able to have a really great read that that client is going to deliver $500 plus in LTV. And so that type of nuance is helping us to be able to acquire better clients that are a better fit for the service, and that contributes to the great revenue per client numbers that we're seeing in this last quarter."
Doug Anmuth,1,"Great, thank you."
