speaker,q&a,content
Operator,0,"Good day, ladies and gentlemen. Welcome to the Shiloh Industries’ Second Quarter 2018 Results Conference Call. Today’s call is being recorded, and we will be conducting a question-and-answer session immediately following management’s prepared remarks. 
I’d now like to turn the call over to Mr. Gary DeThomas, Vice President, Corporate Controller of the Company. Please go ahead, sir. "
Gary DeThomas,0,"Good day. Thank you, operator and thank you all for participating in Shiloh Industries’ second quarter 2018 results conference call. I’m joined on today’s call by Ramzi Hermiz, our President and Chief Executive Officer; and Jay Potter, our Senior Vice President and Chief Financial Officer. I will begin by reviewing our legal disclosure regarding forward-looking statements. I would like to remind all participants that certain statements made during this conference call may constitute forward-looking statements. 
Although such statements reflect our current reasonable judgment regarding the direction of our business, actual results might differ materially from those in the forward-looking statements. You can find information concerning why the actual results might differ from statements made today and in our management discussion and analysis of financial condition, as well as results of operations in our Form 10-Q for the 3 and 6 months ended April 30, 2018 and other filings with the SEC.
Our earnings press release was issued today and has been posted to our website at shiloh.com on our Investor Relations page. The press release contains reconciliations of certain non-GAAP numbers presented on this call today, including adjusted EBITDA, adjusted EBITDA margin, and adjusted earnings per share. Our Form 10-Q will be filed later today with the SEC. A replay of today’s call will be available. Instructions for the replay are included in today’s press release.
I will now turn the call over to Ramzi Hermiz, our President and Chief Executive Officer. Ramzi?"
Ramzi Hermiz,0,"Thank you Gary, good morning. Today I would like to begin with some comments on the industry and the progress that Shiloh has made transforming the company to a leading technology provider. The direction of technology and speed of change continued to redefine the mobility industry. The need for lightweighting of the vehicle remains critical either as an enabler for emissions reduction of internal combustion engines or for range extension of battery electric propulsion systems. Furthermore, component lightweighting counteracts the added weight of sensors, electronics and computer systems added in autonomous vehicles.
In 2013, we embarked on a multi-year strategy to transform ourselves from a regional metal processing company into a leading global supplier of lightweight technology and services. I’d like to highlight some of our accomplishments. Over the past 5 years, we have doubled our revenue and grown our leading technologies in structural aluminum and magnesium products from zero to nearly 30% of revenue. Over the past 4 years, we have grown our revenue from outside North America from zero to nearly 30%. We are gaining traction in China, we began production of Shiloh core dash panels in late 2015, added structural magnesium cross car beams in 2017 and celebrated the grand opening of our aluminum product manufacturing facility in April of 2018. 5 years ago, over 50% of our revenue was from just 3 OEMs are all headquartered in North America. Today, 54% of our revenue comes from 6 OEMs spread across 3 major continents. Our strategy is producing the intended results with continued opportunity in front of us. 
With that as an introduction, let’s review the 4 main topics, which I believe makes Shiloh an attractive investment opportunity. Our continued operating performance, our recent acquisition, active product launches and company’s profitable growth path and related market trends. Global revenue grew nearly 9% year-over-year in the second quarter to over $297 million. This is a new company quarterly record. This result was driven by both organic and acquisitive growth. We remain focused on improving our product mix, continuing to launch new lightweight solutions and further aligning our technologies with customer trends. Our value-added product offering is unique and leverages our multi-material capabilities that expand across all vehicle segments in all forms of propulsion, from internal combustion engines to full battery electric vehicles. This product and technology mix continues to support our longer-term profit and growth strategies. 
During the quarter, we made meaningful progress by increasing our aluminum and magnesium manufacturing presence with the acquisition of two European facilities from Brabant Alucast. The acquisition closed in March and represents a highly strategic and capital efficient way to capture meaningful new revenue and add significant growth capacity. It also boosts our scale and market share in key products. We are now one of the leading global manufacturers of magnesium cross car beams and one of the largest automotive structural magnesium component suppliers worldwide. 
We are leveraging Shiloh’s technology and customer relationships with this new capacity to create a solid profitable growth platform for the future. Our acquisition strategy is straight forward. We identify targets that fulfill specific needs such as innovative technology, geographic expansion or customer diversification. 
We have significant experience identifying underperforming businesses and converting them into higher performing assets. This strategy has allowed Shiloh to complete acquisitions at attractive multiples while providing the opportunity to improve results and generate higher returns. Brabant is a great example of our acquisition strategy in action. We acquired the assets at basically fair value resulting in minimal goodwill while paying modest transaction fees of less than 5% of the acquisition price.
We have begun to implement action plans and capture synergy opportunities to improve the operating performance of these facilities which will be accretive in 2019.
During the quarter, the annual contract value of new business wins increased by nearly 15% year-over-year as we won new business across our brands in all regions, Asia, Europe and North America. Europe represented approximately 25% of our revenue during the second quarter and will continue to increase given the full contribution from the Brabant facilities. 
In China, we are experiencing high interest in our technology as our product portfolio is supporting the growing local EV market. During the recent Beijing auto show, there were well over 100 different electric vehicles announced that are targeted for launch over the next few years. This represents a large opportunity for Shiloh given the recognition of our EV technology capabilities. 
We continue to strengthen our technology portfolio and customer profile while pursuing increased content per vehicle. We have made excellent progress over the last few years increasing our CPV from a $180 per targeted platform in 2016 to $195 in 2017 with our current rate now above $200 per vehicle, out of the approximately $1,500 market potential for our products. This equates to a 7x opportunity for CPV growth. 
We had a very active quarter for product launches and are excited to see our innovative solutions move into production. These launches are important milestones that mark the beginning of a new revenue stream. However, they do include front-loaded expenses. Effectively, we are transitioning from the capital expenditure phase to the launch and operating expense phase which will move into production later this year. As is customary with our launches, we expect these programs to reach profitability targets as volume ramps up to full production in early 2019. 
In addition to new launches, Q2 was a very busy period with all of exciting developments, such as the acquisition in March and launch of our new plant in Nantong in April as well as in Clarksville, Tennessee. We expect similar level of activity with an accelerated ramp up in Clarksville and the opening of a new state-of-the-art engineering lab in Plymouth, Michigan.
As it relates to restructuring, we have discussed many actions we are taking to manage market uncertainties by consolidating manufacturing facilities, eliminating lower margin products, creating a leaner and more flexible structure that has the ability to make Shiloh even more scalable and global company. We believe these strategic moves will result in stronger capabilities and a more efficient and focused footprint allowing the company to perform better and operate with lower fixed costs. We’ve made progress in these initiatives in the first half of fiscal 2018 and these efforts will continue over the next 12 to 18 months. 
With that, I will turn it over to Jay."
Jay Potter,0,"Thank you, Ramzi. As a reminder, our results this quarter include 2 months of contribution from the Brabant acquisition. Revenue in the second quarter increased by nearly 9% to 297.3 million, compared to 273 million in the second quarter of 2017. This is comprised of 0.3% organic growth, compared to a flat market and an 8.6% contribution from Brabant. We are pleased that we grew faster than the market in our two largest regions. 
In Europe, on a currency adjusted basis, we realized 3% organic growth outpacing customer production levels, which declined by 1%. In North America, we outpaced flat customer production levels and grew organically nearly 4% when excluding our intentional sun setting for the lower margin products. Our growth was driven by the continued ramp up of new product launches that began in the second half of 2017. Gross profit was 31.5 million in the second quarter, compared to 33.5 million in the second quarter of 2017, representing the gross margin of 10.6%.
The first half of 2018 finished with 59.4 million of gross profit, compared to 57.6 million in the first half of 2017, an increase of nearly $2 million. Margin in the quarter was impacted by Brabant as margins are below Shiloh levels. We expect improvement as we continue the integration and execution of their turnaround. Second, we had numerous launches both in new plan activity and products, which resulted in elevated upfront expenses. This negatively impacted profitability in the quarter but will benefit future periods. 
We remain focused on our product strategy, while pursuing opportunities for operational improvements. Our restructuring activities remained on plan during the second quarter and we incurred approximately 1.5 million of costs. As outlined in previous quarters, the total charge over 24-month period is expected to be approximately $17 million of which we have incurred nearly 8 million. As a reminder, the benefits from this initiative are expected to generate annualize savings of $7 million to $10 million by 2020 with savings beginning in 2019 generating less than a 3-year payback on a cash basis. 
For the second quarter, net income of $4 million was consistent compared to 4.2 million in the prior year quarter. For the first half of the year, net income improved by more than 300% to 8.9 million, compared to $2.2 million in the first half of fiscal 2017. Adjusted earnings per diluted share was $0.24 compared to $0.36 in the year ago quarter. For the first half of the year, adjusted earnings per diluted share increased to $0.39, compared to $0.33 in the first half of fiscal 2017. A full reconciliation of these adjustments can be seen in our press release. 
For the second quarter, adjusted EBITDA was 20.3 million, compared to 24.5 million in the year ago quarter. Second quarter adjusted EBITDA margin was 6.8% versus 9% in Q2 of 2017. We incurred launch and acquisition related costs in the quarter, as well as additional investments in SG&A to support our growth in China and other locations that will benefit future periods. Adjusted EBITDA for the first half was 36.8 million compared to 38.9 million in the first half of 2017. During the second quarter, we generated operating cash flow of 8.4 million an improvement compared to 7.3 million in the year ago quarter and we invested $13.9 million in capital expenditures and $62.5 million in acquisitions net of cash required. Net borrowings under our revolving line of credit were $239.2 million, as a result of funding our acquisition, our leverage ratio increased to 3.25 times compared to 3.1 times in the year ago period. 
As we work to integrate the acquisition and improve results, we see leverage returning to the mid 2s over the next several quarters, a level we saw in Q1 prior to the acquisition.
With that, I'll now turn the call back to Ramzi for commentary on our outlook and some summary remarks."
Ramzi Hermiz,0,"Thank you, Jay. Turning to guidance. Our recent acquisition creates a significant strategic advantage structural aluminum capability in Europe and expanding our global magnesium capacity to meet growing customer and technology demands. We expect it will add annualized sales of more than $100 million with an additional capacity for growth. 
While we do not expect the acquisition to be additive to profitability in the current fiscal year, due to transaction expenses and ongoing investments made to integrate and improve the facilities, operational performance, we remain confident this transaction will be accretive in 2019. In the short-term the acquisition provides us with immediate capacity reducing the need for growth CapEx in other facilities. 
We are reaffirming our adjusted EBITDA guidance range for 2018 of $73 million to $76 million, which includes improved product mix and operating efficiencies in the base business, offsetting acquisition and integration costs as well as increasing raw material and launch costs. We anticipate an adjusted EBITDA margin range of 7% to 7.2% as a result of Brabant’s revenue and lower margin contribution and remain confident in our double-digit adjusted EBITDA margin target for 2020. 
Our strategy to transform Shiloh is delivering results. I am pleased with the accomplishments the team has made in; one, enhancing our product offering; two, strengthening our customer relationships; three, target and close on an excellent European acquisition opportunity; and four, launching Nantong and Clarksville.
We are demonstrating a consistent ability to deliver breakthrough technology and are well positioned to succeed in this dynamic market. 
Operator, we are ready to go to Q&A."
Operator,1,Thank you. We’ll now be conducting a question-and-answer session. [Operator Instructions]. The first question today comes from the line of John Murphy with Bank of America. Please proceed with your question. 
John Murphy,1,"Just a question on launch activity in the quarter. It sounded like it was a bit of a weight. I am just curious if that had to just do with what you have in your backlog that’s rolling on or was there some sort of disruption that went on to some of your customers as far as launches because it sounds like this is a heavy launch quarter for the industry at large and there were hiccups, not with you but the launches of the customers?"
Ramzi Hermiz,1,"From a standpoint, I would say it’s a combination of both when you look at the -- not only do we have launches, we basically launched not only product launches but launched two plants as well as started the integration of the Brabant acquisition. So, it was a heavy quarter with just activity going on. Some of our customers’ launches have been accelerated for various reasons, some have been slightly deferred where we’re already put the expense expecting to have shipped product. But because of other reasons they had to back off or they had to slow down. So, it was -- it's an active quarter especially when we look at year-over-year from a comparable. Nothing that I would say is a concern but definitely activity which is the positive -- a much of the business that we’ve won in the prior years are really starting to roll in, which we are much more excited about as we look going forward. So, the products in the Clarksville, products in Nantong, what we have going on in Europe, it is pretty exciting. "
John Murphy,1,"And that gets to the second question Ramzi. When we think about everything is going on, I mean you said, I think it was 15% growth in the backlog. The acquisition landscape looks like it’s open and there is deals to be done, it would be helpful. You’re talking about plan openings, expanding geographically. So, when you think about the capital requirements for the business, do you think, there is the need to potentially raise capital to take advantage of all this stuff, I mean particularly given the current leverage ratio or do you think the ongoing cash flow of the company will drive the funding of that growth?"
Ramzi Hermiz,1,"I would say that, we are looking at it and planning at a self-funded growth. One of the activities that really Brabant brought us, while, it was primarily and more of an asset transaction. What we got with them was significant available capacity for growth. So, what we have here is in Europe instead of needing to build another magnesium plant or to build an aluminum plant. This acquisition not only gave us revenue that we can improve their margins as we’ve demonstrated in the past that we can do in that spectrum, it also gives us available capability to nearly double that business or better said not spend capital elsewhere. So, we felt that this was, this acquisition and why we pursued it the way we did gave us that ability to self-fund some other activities. 
From an M&A standpoint, we’re always open to, and I’d say looking at activates. Obviously, the market knows we’re not afraid to do an acquisition when it makes sense, if it brings us technology, brings us a customer diversification geographic footprint. We’ll definitely pursue something like that. But like we did last year with the equity raise, it did provide us room to do something. We don’t see something in the immediate horizon, but we’re going to look at what landscape offers us and we will make sure that we do what’s best for long-term growth in the company."
