speaker,q&a,content
Operator,0,"Good afternoon. My name is Chris, and I will be your conference operator today. At this time, I would like to welcome everyone to Sonos' Fourth Quarter and Fiscal 2018 Earnings Call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session [Operator Instructions]. Thank you.
Mike Groeninger, you may begin your conference."
Mike Groeninger,0,"Thank you. Good afternoon, and welcome to Sonos' Fourth Quarter 2018 Earnings Conference Call. I'm Mike Groeninger, VP of Corporate Finance. And with me today are Sonos' CEO, Patrick Spence; and CFO, Mike Giannetto.
For those joining the call early, today's whole music was the Q4 playlist included in our shareholder letter. The all-female playlists was inspired by Sonos' participation in The Grace Hopper Celebration in October, which has become the world's largest gathering of women and technology.
Before I hand it over to Patrick, I would like to remind everyone that today's discussion will include forward-looking statements regarding future events and our future financial performance. These statements reflect our views as of today only and should not be considered as representing our views of any subsequent date. These statements are also subject to material risks and uncertainties that could cause actual results to differ materially from expectations reflected in the forward-looking statements. A discussion of these risk factors is fully detailed under the caption Risk Factors in our filings with the SEC.
During this call, we will also refer to non-GAAP financial measures, including adjusted EBITDA and adjusted EBITDA margin. For complete information regarding our non-GAAP financial information and a quantitative reconciliation of those measures, please refer to today's shareholder letter regarding our fourth quarter fiscal 2018 results posted to the Investor Relations portion of our website.
With that, I'll turn the call over to Patrick Spence."
Patrick Spence,0,"Thanks Mike and hello everyone. Thanks for joining us today. I hope you've had a chance to review the letter, our shareholder letter that Mike referenced. We'll continue to provide live color in our shareholder letters in advance of these calls, so you don't have to sit through the pain of Mike and I reading a set of lengthy prepared remarks and we can focus largely on your questions.
That said, I just want to highlight three things quickly. First, Q4 was a record breaking quarter and Rugged [ph] have a really strong fiscal 2018 for us. For the quarter, we achieved 27% year-over-year revenue growth and 343% year-over-year adjusted EBITDA growth.
As we've talked about extensively the rate we evaluate the progress in our business is on an annual basis as that really solves for some of that quarter-to-quarter variability that you see. So more importantly than one quarter's performance is really looking at 2018 overall and we made great progress.
We had 21% more new homes than in the year prior. We sold 29% more products than in the year prior and we grew our direct-to-consumer revenue by 26% year-over-year. That resulted in 15% year-over-year revenue growth and 24% year-over-year adjusted EBITDA growth. That's our fastest pace of annual revenue growth since fiscal 2014.
We had a record number of new homes and we had a record number of existing customers come back and add another Sonos product to their home. And again as we have talked about many times, I'm alike anyone else in our space does not replacing an existing product of ours, thus adding another Sonos product to their home.
As I often say, the lifetime value of a Sonos customer is only limited to the ideas we come up with over the long-term as our customers continue to show the propensity to add more and more Sonos to their home over time. Sonos isn't a product, it's a system.
Secondly, Beam has been our most successful product launch to-date. I'm so proud and thankful of the progress and learning the team is illustrating in making each new product and really each new launch better than the last. Beam has and continues to exceed our expectations. It just a few short months, Beam rocketed to the top of the charts, earning the number one position in dollar share in the U.S. soundbar category. That's unheard of for a $400 product.
This proves that our approach to building products that are meant to last, look and sound great and are easy to use continues to resonate with customers. Perhaps even more impressively, Playbar, a product we launched more than five years ago at this point, still holds the number three spot in terms of dollar share in the U.S. This was convincing evidence that our product portfolio holds its value over time, a fact that really set Sonos apart from other companies in this space.
And finally, I think all this momentum puts us in an excellent position for fiscal 2019, which will really be a year of both product and business innovation. Given our momentum coming out of fiscal 2018, the impressive start for Beam and the continued performance of our broader portfolio, we are well positioned. We have many promising initiatives in the pipeline that point to a Sonos future that we're all very excited about.
Our partnership with IKEA is a notable one. For the first time we'll deliver an amazing sound experience without producing a 100% of the hardware ourselves. It's a demonstration of the flexibility and potential of the Sonos platform and an opportunity to really re-imagine sound in the home with one of the world's leaders in décor and design. Another example is Google Assistant which will be welcoming to the Sonos platform alongside the Amazon Alexa in 2019. I actually have it running in my home and it's fantastic.
Our ambition is to be the world's leading sound experience company. While we'll continue to innovate great listening experiences for the home, we'll expand our focus beyond because half of the world's music listening takes place out of the home and will be unique opportunity to really bring the magical Sonos experiences to spaces and places that matter to listeners.
With that, I'd like to pass it to Mike for a few comments on our fiscal 2019 outlook."
Mike Giannetto,0,"Thanks, Patrick. Good afternoon, everyone. Before we open up the call for questions, I want to share our financial outlook for fiscal 2019 as described in our shareholder letter we issued earlier today. To provide better visibility for investors, we are providing full year 2019 guidance as well as the first quarter which ends in December. Our outlook highlights revenue and adjusted EBITDA growth ranges, as these are the metrics we focus on to deliver sustainable profitable growth. As a reminder, our long-term financial targets are to grow revenue by greater than 10% year-after-year, while growing adjusted EBITDA by at least 20%.
So for the full fiscal year ending September 28, 2019, we expect annual revenue in the range of $1.25 billion to $1.275 billion or 10% to 12% year-over-year growth. For the full fiscal year, we expect annual adjusted EBITDA in the range of $83 million to $88 million or 20% to 27% year-over-year growth.
In short-term for our Q1 which we're currently in, which ends December 29, we expect revenue in the range of $485 million to $495 million, 3% to 6% year-over-year growth. And for Q1, our expected - we expect adjusted EBITDA in the range of $66 million to $69 million or 1% to 6% growth year-over-year.
With that, we'll open it up for questions."
Operator,1,[Operator Instructions] Your first question is from Rod Hall with Goldman Sachs. Your line is open.
Rod Hall,1,"Hey guys. Thanks for the question and nice quarter here. So I wanted to start off I guess and ask a little bit about Beam linearity to the quarter. I'm assuming that you would expect most of the Beam demand to come right at the tail-end of December, but I just want to check that because we haven't had a lot of experience with your seasonal linearity yet? And then I also had a question on China and tariff. I know that you guys manufacturer a lot in China and I wonder if you could just comment on what if any tariff impact you have, have you contemplated moving out of China et cetera? Thanks."
Mike Giannetto,1,"Yeah. Rod, this is Mike. I'll take the first one on Beam in terms of how it flow through the quarter. We launched it mid-July. It started out quite strong and continued quite honestly throughout the quarter. August is generally a slower month for consumer electronics including ourselves, but it continue to sell well through August and we start pick up nicely in September. So we saw a strong sell-through to end consumers through the end of the quarter and continue to see re-orders from a selling perspective from our partners. So, pretty strong throughout the quarter."
Rod Hall,1,"And Mike, could you add - maybe - I'm sorry. I just wanted to say maybe follow up on that. Could you just say kind of what your visibility looks like this quarter? Do you think that - is your experience by now you've got pretty good predictive capability for the demand as we move through the last few weeks of the quarter here or just kind of give us some idea on that?"
Mike Giannetto,1,"Yeah. In terms of visibility, I mean we have visibility into usual metrics we look at, which is selling consumer and registrations. So we have good visibility through yesterday. We all know that the biggest part of the quarter, for this quarter's stats to really wrap up starting next week with Black Friday and for the rest of the - through December. So, we have good visibility. Things are looking good, which is reflected in our guidance. But still quite - the holiday spike is still to come."
Patrick Spence,1,"Yeah, Rod, it's Patrick. The one thing I would just add on to that is I think we did a good job as well of exiting the quarter in a healthy inventory position in terms of for a new product not ending with too much inventory in the channel. So a pretty healthy position to be. So Beam is in a good place from that. And that's what I mean about learnings from each launch because we executed on that better than we did with the one earlier in the year.
On tariffs, definitely something we've been thinking about. Our core products are not currently impacted by the existing tariffs that are in place, just everybody is on the same page. We have few accessories that have been impacted, but that impact is immaterial at this point. I would stress that we definitely do not believe that tariffs are a sound long-term economic policy and we've been active to try and make sure our views are well-known.
That said we've been evaluating ways to mitigate any short-term impacts to the tariffs. So, we've been thinking about whether we would do something on the price front if we had to. It's obviously an industry-wide issue, but I think given where we are positioned and our premium positioning, we're in a better spot to actually be able to weather anything like that.
And then on the supply side, Dave and the team have been working very closely with our manufacturing partners to look at options there and make sure that we can figure out a way to ultimately be able to mitigate those as best as possible. So we've got kind of efforts on both brands to make sure that these don't disrupts our long-term plans. And I'm very confident that even if they were to come in place, it might have a short-term impact, but won't knock us off our long-term trajectory."
Rod Hall,1,Great. Thanks a lot guys. I appreciate it.
Operator,1,Your next question is from Katy Huberty with Morgan Stanley. Your line is open.
Katy Huberty,1,"Thank you. And congrats on a really strong quarter. You addressed some of this in your shareholder letter, but can you just talk broadly how you're planning to approach the holiday season this year? Last year, competitors led with very low prices. I'm just wondering how you can differentiate in ways other than prices as we come up on the holiday season? Then I have a follow up."
Patrick Spence,1,"Yeah. Sure Katy, it's Patrick. I'll take that one. I think 2018, if you think about the balance of 2018 and where we landed, there's never been - obviously we executed very well on launching two new products. We have a strong portfolio, a strong brand, but also there's never been more activity and really attention in the space. And to your point, a lot of it's been sub-$100 price points. And we've obviously seen even in Q4, a lot of activity on that front.
And so, our performance and our ability to accelerate both new homes and the number of people that are coming back to buy another Sonos product in existing homes leads me to believe that our view that people will migrate upwards as they get a taste of smart speakers and like we can't kind of ride this wave that's happening now around streaming music and all the activity that's happening is working because we've just seen such a great acceleration. And I don't see anything right now from this quarter or from our experience in the previous quarter that lead me to believe that consumers aren't going to long-term look for a better experience or product that lasts.
And so, we're comfortable with where we are right now. You won't see us get overly aggressive. We do have some promotions focused on One and Beam primarily in the holidays that you will see and are actually public now. But for the most part, you know that's not something we rely on as much and I think the strength of the portfolio will see itself through. But you will see a little of that. You will see us more active in terms of marketing for sure, but we've learned a lot on that front and it will be effective digital marketing and you've also seen us drive leverage in that area and we're going to continue to."
Katy Huberty,1,"Okay. Thank you for that. And then you mentioned Sonos outside the home, how would you compare that addressable market to the Sonos home market? And is there anything baked into fiscal 2019 guidance around outside the home, I know you've talked about IKEA and some other product launches that may be baked into the numbers that is outside the home in there too? Thanks."
