speaker,q&a,content
Operator,0,"Ladies and gentlemen, welcome to the half year results 2018/'19 conference call and live webcast. I'm Sarah, the Chorus Call operator. [Operator Instructions]. The conference must not be recorded for publication or broadcast. 
At this time, it's my pleasure to hand over to Mr. Arnd Kaldowski, CEO. Please go ahead, sir."
Arnd Kaldowski,0,"Sarah, thank you very much. Good day, everyone, on the call. Thanks for making the time to listen in here on the first half year results 2018/'19. I'm together with Hartwig Grevener, our CFO, and Thomas Bernhardsgrütter, our Head of IR. We will go through our presentation as we voice over, and I trust that you all follow the webcast and will see where we are, to understand the disclaimer here, which I am aware everybody understands. 
Moving on to the agenda. We want to cover some of our group results of the first half year, then the hearing instruments and cochlear implant segment specifics we give. I will take care about the first three points, then Hartwig will come on and share financial information in more detail. And then I will come in on the outlook and open up for Q&A. We target to spend about 35 to 40 minutes on the presentation so that we have ample time on the Q&A side.
With that on the highest level, when we look at the first half year of this year, we look at it as a solid first half year on the top line, in line with the indicative top line guidance we gave. We don't normally give a guidance for the half year, but we gave you some heads-up that the first half will be somewhat slower and as you can see from the financials a good double-digit EPS growth. Most important to think at the second half of the year through and with the full year results, obviously, the launch of the Marvel product, which I will comment more in detail. One good news at the beginning here, we're launching the product this week to end customers, so a couple of weeks ahead of what we said in the May full year results.
Just a couple of comments pretty quickly with regard to our market and the strategic frame on Page 6. As the ones that had the chance to come to Capital Markets Day heard me say, no change in the principal strategy of Sonova. We like our vertically integrated business model. We like our strong position on the products hearing instruments as well as on the cochlear implant side, and we believe that's a great starting point for this industry. We then continue to broaden our consumer access ultimately, obviously, through a strong wholesale business but also an increasing retail footprint. 
From a market trends perspective, an attractive market, good demographics, with the aging population and now the baby boomers growing into the age where hearing help is relevant to them; continued bifurcation on our channels, which makes us serve the independents with the different product offering than the large retailers. And then particular with the emergence of the connectivity in the industry and the emergence of Made For All phone connectivity with the Marvel and opening window to leverage the Internet of Things more in our industry now and going forward.
A quick recap on the four growth drivers we shared at the strategy discussion. Clearly, leading innovation is critical in our industry. There are still many things we can make better on the hearing aids with regard to audiological performance but also the consumer experience, and that is at the center of our strategy. Secondarily, not just the expansion but also the optimization, and I will comment on some progress there as we go through the results of our audiological care network. And for the wholesale and the cochlear implant side, a continued expansion of our multichannel partnerships, one new one, as we have discussed, the managed care business in the U.S. as a new growth sector in that market but also driving for continued improvements of the commercial execution. And then as a last point, in participation and the significant investment into the high-growth developing markets.
Before we get later into the numbers, just a little bit our reporting as well as organizational structure, restructured in three businesses after sitting in two segments: on the hearing instruments segment, we have the hearing instruments business. Think about it when we talk of revenues as this being our wholesale business; the audiological care business, which is what we historically have called retail; and then the cochlear implant segment, all three driving the individual innovation elements, the hearing instruments business and the cochlear implant on the product side and the audiological care business on the service delivery.
An important one to think the year through is where we stand with regard to launches of innovative products, also obviously something to make sure we deliver on this part of the strategy. And as I said at the beginning of the call, we're proud and happy that we're in the position of launching the Marvel at this point of time and has been shipped to the selling units. And tomorrow, we will start shipping the product to end customers. 
What is the Marvel? For the ones who are closer to us, a recap; for the ones who are not that close, hopefully some news here. The Marvel is really combining what many of our customers would call all the features they are looking for in a hearing aid. And that means high audiological performance with the Marvel improvements on our algorithms to improve first time fit relative to the generation before; the strong lithium-ion rechargeability offering we have with incremental improvements relative to what we had launched two years ago; and then the Made For All phone connectivity, which is a unique differentiator for us still in the marketplace; and now enabling all of the different product call-ups you need to connect with the different devices, to enable Binaural VoiceStreaming and get to the best audiological performance.
We have launched the product with UHA. We had strong response from the audiologists there. We've seen an unprecedented high number of preorders with UHA. We also have seen in the following launch events in all the different countries we are selling in significantly more people coming then for the Belong platform, which is the last big platform launched two years ago and we see very positive reactions of the markets to the Marvel. 
For us, it's relevant obviously to get a step-up with regard to the growth in the hearing instrument business side. The Marvel comes with our first broader set of eSolutions launched to the marketplace, elements like remote fitting and a couple of other applications relevant for the audiologists; and to cater our independents in a cloud-based model, so that they're able to use those technologies relatively seamlessly. It also comes with a couple of consumer-centric applications like the speech-to-text translation, which we have integrated, so really an ability to improve the hearing of somebody with a more severe hearing loss while they get a telephone call. That's on the hearing instruments side. 
Another important one for the cochlear implant side, we have received FDA approval in September for the HiRes Ultra 3D implant and also the CE Mark now in October. The HiRes Ultra 3D implant allows people with an implanted -- with a cochlear implant to not worry about an MRI scan to be done. You don't know if you need an MRI scan down the road, so this is a real concern. Cochlear as well as we didn't have that functionality. But with this product launch, we have that capability and have adjusted the way our maintenance functions so that they don't -- they are not a pain, nor do you need to take any precautionary measures when you go through an MRI. So that late launch will obviously have an impact into how we think about the second half for the cochlear implant business.
Now moving on to the summary of the first half year, I'm sure most if you have already jumped to that page or read it before the call. I'll voice over some of the bullet points here. On the sales side, the 4% in Swiss franc, they are the benefit obviously from a currency perspective. We've seen a 2.1% in local currency; and organic, 2.6%, I'll get to which later to explain that a little bit more. On the EBITA side, 3.3% growth in local currency. 
Looking at the hearing instruments business, a strong performance from a growth perspective in the audiological care business. Last year, we were organically growing at 1%. This now stepped up to 5, a lot of improvement but clearly on a good path and good momentum; but on the other hand, a slower growth ahead of the Marvel launch, with the Belong platform being two years old, and some headwinds in significant markets from an ASP perspective, which ultimately had an impact also on the segment profitability here. 
Cochlear implants, a good half year, 6.7% in LC growth. If in both years you'll leave out the China tenders, which we always argue is a onetime and also a low gross margin, we actually look at a 10.4% growth in LC, which is clearly above market. And EBITA of CHF 7.7 million, after a slight loss last year, there is a Vendor B element in here but also very good organic step-up of the operating profit for this business. 
Going a little deeper on some developments by segments and by geography. Audiological care, strong double-digit growth in many of our major markets we are playing in, you can see here Germany, Canada, France, Brazil, New Zealand; but at the same time, also an improvement in the two great countries we've discussed in length, the U.S. and the Netherlands. We've completed our network restructurings in line with what we said earlier this year, and we've now seen in both markets low double-digit same-store growth, which was the litmus test we wanted to use to see if the restructuring was successful, and we're now getting back into a growth phase. So overall, pretty good showing here of our retail business. 
Looking at the HI side, a couple of positives and some negatives. A high single-digit volume growth, driven by Europe and Asia Pacific, and that puts us in unit volume at market slightly ahead of market actually. But then as you can see, we're spelling results here, mid-single-digit ASP declined, partially real price erosion, partially a mix effect, but people were buying, also on the back of the basic product introduction, lower-end product. The U.S. particularly challenged, we interpret this as a competitive environment. We interpret this as a market where innovation is important. We are also seeing in the VA us losing some share given the product launches we've seen in the VA from our competitors. 
CI, double-digit growth outside of North America. And then the product launches, as you are aware, the one I want to highlight, which I haven't spoken about yet, is the third bullet point here. And that will help us in the second half in North America. We do launch product in Costco later than in the independent channel. We hadn't launched a B-Direct version nor any rechargeability in Costco. Just wanted to be careful with regard to the momentum in the independents that had its impact on the top line, and so in the Q2 -- the second half of the Q2, we launched both functionalities and have seen a strong pickup of the Phonak product line in Costco clearly also helping us in the U.S. for the second half of the year.
On the key financials, I don't want to take all of the thunder from Hartwig. Just two comments from my side here. If you look at the sales, I watched that over. If you look at the gross profit, we were able to keep the gross profit margin stable despite of the ASP headwinds, which, in my eyes, indicates that we had good improvements on manufacturing productivity and in procurement but not enough to show an improvement on the gross profit relative to the ASP headwind we had on the HI side.
On Page 14, you can see the breakdown of the revenue. You can see that if you take the organic and the bolt-on, which is normally the growth rate we would have reported historically is operational because we didn't divest businesses, we were able to get to 3.8%. But you can see that we had a 1.6% headwind out of the divestments of our hearing plan business in the U.S. as well as the stores we sold or closed in U.S. on the retail side.
Getting to the geographical focus or the split here, quite different -- or different perspective by geo. If you look at EMEA, Americas and Asia Pacific, that's at market probably slightly ahead of market particular for EMEA as a growth rate. And then you see us with a significant decline in the U.S. Now that includes the investments which were all in the U.S. but still a negative development in the U.S. from a revenue perspective after the divestments. In EMEA, all of the three businesses have done well; as you can see, mid-single digits, high-single digit, double-digit on the CI side. If you look on APAC, Australia is a single large case where we had no operational issues, which we're in the process of fixing; but the rest of Asia Pacific, all double-digit growth. Then if you get to the U.S., you can see that we're still having some headwinds in the various businesses for different reasons. HI, the aging platform, including the VA being behind the competition with what we had available in the VA, did put some headwinds against us. On the retail side, really the divestments, as I said, low double-digit growth in same store, so I think we turned the corner there. And then on the CI side, with a low single-digit decline. But if you unpeel the onion between systems and upgrades, on the systems side, we've done well; the upgrades had a very strong year-on-year comp, north of 50% growth in upgrades last year in the U.S. based on product cycles there. So we weren't surprised because we knew that, last year, we had a very strong showing on the upgrades.
The growth rate by segments on Page 16. Not a lot I want to say to what I have already said. Probably the only one is if you add the 1.8% divestment effect back into the HI, that would be at 3.5%. And the total Sonova, as I said, is 3.8% operational.
Getting to the gross profit side. We reported gross profit margin flat year-over-year, but that's helped by the FX side. And if you look on the operational picture here in the middle, while we have seen some absolute organic improvement in gross profit, you can see that we lost 90 basis points, and that's really the balance between the productivity gains but also the ASP headwinds on the HI side.
From an EBITA perspective, reported EBITA margin improvement of 70 basis points contributed to the onetime cost, which we didn't have after last year that was related all to AudioNova. And then FX impact here, but on the operational side, pretty much 0.3% of an EBITA increase.
Now diving a little bit deeper on the hearing instruments side, now lots of the bullet points are kind of repetitive. Let me comment on the one here with regard to ASP and a little bit more detail on the EBITA. This is really half a mix issue, with us, on the one hand, selling more of the basic product which we have launched newly; but secondarily, also trend we tend to see when a product gets older in the product life cycle, where people go sometimes a level lower, and then your whole mix shifts. The other half is real price and where we had to give price no matter if it was in a large retail account or whether this was in an NHS or whether this was in an independent. 
From a new platform launch perspective, Marvel obviously important. Our expectation on the Marvel from a price perspective is a mid-double-digit price increase. And we have good positive feedback from our teams and the market on that, and that is relative to the runway we're coming in with from the first half year. And for the ones who are running the numbers in the back of their head, Marvel is about -- or the segment we're serving with Marvel is about 25% of our hearing instrument business. I talked about the Costco pickup as well as the availability of the Marvel. 
Just quickly on the next pages, a little bit more color, which we provide with regard to the growth pieces in the hearing instruments segment. The first page is the hearing instruments segment, so wholesale and retail together. You can see the composition of the 1.7% growth: 2.3% organic; 1.2% through acquisitions and retail; and 1.8% through disposals. If you go to the hearing instruments business, here you clearly see the impact of the lower volume and the price on the hearing instruments side, where we globally just had 0.5% of organic growth and a significant divestment impact from the hearing plan business. And then if you go to the retail, you can see the composition of the strong growth we had on the audiological care side, where we had 7% in total, 4.9% organic, 3.1% through new acquisitions over the last 12 months, and then minus 0.9% from the disposals of stores in the U.S.
And we move on to cochlear, many things said already, talked about the top line with the 10.4% if you correct the China central government tenders; strong systems sales growth, which I'll get to on the following chart. 
I spoke about the CHF 7.7 million EBITA, which is an EBITA margin of 7.1%. There is an impact of a Vendor B reserve which we took out or released. But if you take that, we have a year-over-year 430 basis points improvement, mainly driven by productivity improvements with regard to manufacturing, also purchasing and some restructuring we've done in order to streamline the organization, so a good first step towards the goal of getting this business to mid-teens profitability and then the launch here of the Ultra 3D.
I think the next page we can flip over. That's numbers we've shared already. A quick word on system sales versus upgrades and accessories on the cochlear side, 8.8% on the implants growth. If you again take out the China tenders in both years, we actually grew double digit in the systems side, which is a strong signal for the competitiveness of the offering and the execution of the sales team because that's really convincing new recipients to take our products. And on the back of that difficult time, we can capitalize with regard to the upgrades. And then as I said, the U.S. lower from a year-over-year performance on the growth in the upgrades, on the back of a very strong campaign but also a favorable position in the product life cycle of the upgrades.
With that, I want to hand over to Hartwig for financial comments."
Hartwig Grevener,0,"Thank you, Arnd, and good day, everybody. I'm on Page 29. And as usual, I will talk a little bit about the reported numbers on and below EBITA, balance sheet, and then give you also some more visibility on how the functional cost categories have developed. So you have seen that the reported EBITA in Swiss francs was up 7.6% and the reported margin up 70 basis points for the group. The earnings per share was up a good 10%, reflecting the EBITA growth and also helped by a little bit lower tax rate. I'll get back to that in a few moments. Very good and continuing high-level operating free cash flow 106 -- of CHF 166 million, up 8.3%. And the cash conversion, pretty much on prior year level, with 66%, based on operating free cash flow over EBITA. Balance sheet continued on a -- to be on a strong level, with a leverage ratio of 0.5.; a little decrease on the capital employed of 5% to now CHF 2.6 billion.
I am moving on to Page 30. You have seen most of those numbers. Return on capital employed is one that I haven't yet talked about, so it's up by 180 basis points, helped by the decrease also on the base here, which again is also a little bit helped by accounting. I'll come back to that in two more -- 3 or 4 more pages down the road. Let's move on to Page 31, about the functional costs buildup. The R&D costs, up 1.1% in local currencies, it's a lower growth rate than what we had in earlier semesters, but it is in the more normal fluctuations that you can have in regards to capitalization or the realization of third-party R&D support. 
Sales and marketing, up 3.4%. If you normalize that for the prior year onetime costs for AudioNova, a larger part of that is in here. That's actually 3.8%., and that's entirely related to the mix shift that we have from a higher growth rate of the audiological care business versus the hearing instruments wholesale business as the audiological care business has a higher sales and marketing -- or generally OpEx ratio. G&A, a pretty good picture, reported down 6.6% in local currencies; normalized for prior year onetime cost, a decrease of 3%. And that is a mix of through cost-containment efforts and a smaller -- to a smaller extent, lower bad debt cost. 
The other income and expenses, Arnd mentioned the cochlear implant product liability release of CHF 3.8 million this year. And that is kind of on the same level with a capital gain triggered other income expense that we had also in the prior half year, in the first half of '17/'18, that related to -- as I said, to a capital gain of the disposal of AudioNova Portugal to Amplifon at the time. 
So if you take -- if you kind of tally this all up and take out the impact of the onetime costs in the prior year, you're looking at a 2.1% OpEx increase. Moving on to Page 32, just to kind of quickly go through on what is from -- between EBIT -- reported EBITA and net profit. You see that the margin increase is around the 60 basis points and 70 basis points mark. There is a bit of rounding involved here. We rounded this on total -- on multiples of 10 basis points here. We have a small improvement on acquisition-related amortization given that some of the cochlear implant Advanced Bionics acquisition-related amortization has matured. Financial results, not moving the needle here; income taxes, at CHF 30 million. I said early on that we have a mild positive impact in terms of net profit from the income taxes coming down from the mid-14% to a mid-13%. That relates to the on-plan progress of the integration of the AudioNova businesses also tax-wise. And so we are, for now, settling into pre-acquisition levels here.
Moving on to Page 33, where we go through the operating free cash flow. I said early on, it's nothing unusual here, plus 8.3%, largely reflecting the reported net profit and EBITA flow. And you'll see the different elements here: profit before tax, obviously a strong driver here; and income tax paid, a little bit of a help here, we paid less, but that can fluctuate from year-to-year; and then a little bit more CapEx, which is also including capitalized R&D, but mainly this is coming from true CapEx including that we are putting up a new building in Switzerland in our wireless communication business in Northern and Western Switzerland, but this is in the realm of the normal fluctuations as well.
Let me flip forward to Page 34. You see here that we have made mild progress on trade working capital items, DSO and DIO, both trending favorably year-over-year. We're working on both of those, and we will hope to be able to sustain and further improve that. 
Capital employed, there is an accounting change also triggering the balance sheet here. We have, as just as our -- as many others, listed companies, you will have seen that implement IFRS 15. And that is giving us like a -- that level of magnitude of CHF 125 million, an improvement here on capital employed, which is pretty much explaining that variance here. Underlying it is a stable net debt decreasing, given our strong cash flow performance from CHF 490 million rounded to CHF 290 million, I should say, decreased but improved, and that's improved net debt balance. 
And that links me over to the share buyback and confirm on Page 35 that we are now progressing and have launched this, the share buyback is announced. So you will see that the net debt going up again. And the framing -- the frame of this share buyback, as you know, is 1.5 -- up to CHF 1.5 billion over three years, geared towards a 1x net debt-to-EBITDA leverage. 
I make the extension here on the current accounting because next year, we will have the adoption of IFRS 16 lease accounting standard. This will increase our reported net debt, but very much in line with adjustments that are already now being applied by debt analysts on our current pre-IFRS 16 net debt.
With that, I return back to Arnd. Thank you very much."
Arnd Kaldowski,0,"Thank you, Hartwig. Let me comment on the outlook and then we can open for questions and answers. As you've seen from our press release, we are leaving our guidance for the year unchanged. That's driven by the good momentum we have on the audiological care business as well as the good momentum on the cochlear implant business. And then the Marvel, which we're certain to release to customers tomorrow, in addition with the strong positive response we've gotten from many customers around the world on the product, and that should set us in a good position to achieve results for the full year in line with the guidance here.
If you go to Page 38, just a recap of the most important top line drivers. If you think from a first half to second half year sequential, the four months -- so a little bit more than four months contribution of the Marvel, then the benefit of the expanded product offering or the renewed product offering at Costco, which is an important channel for us which came in October and -- in August and September in two steps. The Marvel, as I said, we have a high expectation with regard to price, but not unusual relative to other platform launches we have done. We're comparing here mentally with the Belong launch two years ago. 
I think an important one to keep a little bit in the back of your mind is, if you think about our growth rate last year first half versus second, our first half was stronger. The second one has somewhat of an easing comp base. And then the last point, the launch of the Ultra 3D implant, important for the cochlear growth momentum.
With that, we're through with what we wanted to voice over here on the slide and would invite you to questions, which we will try to answer."
Operator,1,"[Operator Instructions]. The first question is from the line of Ian Douglas-Pennant, UBS."
Ian Douglas-Pennant,1,"It's Ian Douglas-Pennant at UBS. So the first is, I think as you anticipate on the guidance, I think you just helped us a bit understand how you get there on the revenues. But could you also talk about margins a bit and your expectations in the second half? It seems like with launch costs for Marvel's instruments, we should expect those to decrease, or does price offset that? And secondly, to go back on the revenue guidance, is the top end of the revenue guidance realistic at this point?"
Arnd Kaldowski,1,"Ian, thanks for the questions here. Let me first comment on the bottom line guidance here. I think if you think through the fall-through required out of the incremental volume from first half to second half, I think -- and on top, the price expectation I have shared, I think we have good line of sight for that profitability lift here from the first to the second half. And that's in line with our, let's say, normal fall-through ratios, which we've seen at this kind of volume lift. I think you need to assume something around the 60%, 65% fall-through, which I think is doable in our business. I think with regard to the guidance, we do not give guidance upper or lower end. I think you hear that we're confident about our Marvel as well as the 3D and the Costco product. I think you see a good performance here on the two businesses, audiological care and cochlear. So I think we're in a good position on the top line for the second half."
Ian Douglas-Pennant,1,"Okay. If I could just come back -- just quickly just come back on the margins. I mean, you're not expecting significant -- only if you say 60% to 65% fall-through rate is normal, I mean, should we not expect less than this in the second half given the investment cost? Or because the bar sort of lift is..."
Arnd Kaldowski,1,"No, I think -- if I think our investment cost through for the launch and the preparation of the launch, I would not see that having a significant impact here in the equation. I'm looking at Hartwig, he is nodding. Yes. No, no, it is -- there is a launch cost in the second half, but it's not -- it doesn't have a significant impact on the fall-through, given the generally high gross profit margins that we have here in the business."
Operator,1,The next question is from Daniel Buchta from Vontobel.
