type,name
Executives,Arnd Kaldowski - CEO & COO
Executives,Hartwig Grevener - CFO
Analysts,Ian Douglas-Pennant - UBS Investment Bank
Analysts,Daniel Jelovcan - Mirabaud Securities Limited
Analysts,Elisabeth Clive - Sanford C. Bernstein & Co.
Analysts,Yi-Dan Wang - Deutsche Bank
Analysts,Thomas Jones - Berenberg
Analysts,Veronika Dubajova - Goldman Sachs Group
Analysts,Christoph Gretler - Crédit Suisse
Analysts,Michael Jungling - Morgan Stanley
Analysts,Oliver Metzger - Commerzbank
Analysts,Maja Pataki - Kepler Cheuvreux
Analysts,Daniel Buchta - Bank Vontobel
