speaker,q&a,content
Operator,0,"Good morning. Welcome to SuperCom's Third Quarter 2018 Earnings Conference Call.
Joining us on today's call are SuperCom's President and Chief Executive Officer, Arie Trabelsi; and President of SuperCom Americas, Ordan Trabelsi. Following their remarks, we will open up the call for questions.
Before we start, I'd like to point out that this conference call may contain certain projections or other forward-looking statements regarding future events or future performance of the company. These statements are only predictions, and SuperCom cannot guarantee that they will, in fact, occur. SuperCom does not assume any obligation to update that information.
Actual events or results may differ materially from those projected, including as a result of changing market trends, reduced demand and the competitive nature of the security systems industry or due to risks identified in the documents filed by the company with the Securities and Exchange Commission.
In addition to disclosing financial results calculated in accordance with the United States Generally Accepted Accounting Principles, GAAP, this call also contains non-GAAP financial measures, which SuperCom believes are the principal indicators of the operating and financial performance of its business.
Management believes non-GAAP financial measures provided are useful to investors understanding an assessment of the company's ongoing core operation and prospects of the future, as the charges eliminated are not part of the day-to-day business or reflective of core operational activities of the company. However, such measures should not be considered in isolation or as a substitute for results prepared in accordance with GAAP. Reconciliations of the non-GAAP measures to the most comparable GAAP measures are provided in the schedules attached in earnings release.
At this time, I would like to turn the call over to Mr. Ordan Trabelsi. Sir, please proceed."
Ordan Trabelsi,0,"Thank you, Operator. Good morning, everyone, and thank you for joining us today. Remarks today will be short and focused. Earlier, we issued a press release of our financial results for the third quarter of 2018. A copy of which will be available in the Investor Relations section of our website. We estimate results for the third quarter '18, continuing sequential quarterly improvements in earnings this year reaching EBITDA of $1.8 million and non-GAAP EPS of $0.09 for the third quarter. And totaling EBITDA of $4.7 million and non-GAAP EPS of $0.23 for the nine months period ended September 30, 2018.
Furthermore, our steady-state recurring revenues have stayed strong and we have seen a continued shift to our customers and developed nations, representing about 70% on the revenues this quarter, a significant increase in our presentation from last year. Revenues are at $6.1 million this quarter, down year-over-year. But this is mainly attributed to minimal e-Gov project deployment revenues this quarter, which were meaningful in 2017, contributing about $8 million for 2017 annual revenues. e-Gov's project revenues can be lumpy. And over the past four years, have range between $3 million to close to $20 million annually based on the progress of the projects being deployed that year. Given our sound track record in this niche industry, successfully deploying large scale EIG projects the national governments around the world, our technology and our pipeline, we expect more wins and increases in e-Gov project revenues from 2018 levels.
We had a big focus this quarter and much as this year on the current revenue base deployments for customers and developed nations such as the U.S., Denmark, Sweden, the UK and Canada wwith 13 ongoing project deployments in IoT business segment and various new ones in our Cyber Security business segment.
In the recent past we’re expanding into new countries and governments faster than ever before with an exceptionally high run rate. This brings us to over 16 concurrent multiyear project deployments globally, which are expected to also generate long-term recurring revenues for years to come as well as additional business from customers references.
As the revenues from each of our business segments grow, we expect gross margins to grow as well, leveraging the fixed costs, which make us part of our cog such as 24/7 maintenance and tech support. Furthermore, our team of outstanding employees around the world, have been working exceptionally hard this year to tighten manage cost, unleash operational synergies and cutout redundancy. And this is a significantly improved operating structure we've reached in this quarter.
Non-GAAP gross margin was high as 59%, and sequential and year-over-year quarterly improvements to non-GAAP core operating expenses reaching a low of $2.5 million this quarter, a 41% improvement or $4.2 million in the previous year period. We are seeing sequential and year-over-year improvement to EBITDA margins as well reaching a highest 30% this quarter. We haven't seen this kind of numbers at SuperCom in years, they resemble, the lean operating structure of 2015 before acquiring five additional companies, most of which were out of bankruptcy.
Yesterday our business prospects are multiples greater with two additional business segments and growth engines, IoT and Cyber Security. Over 50% growth in our steady-state recurring revenue and major presence in developed markets with more predictable revenue and payments and significant enhancements to our technology portfolio backed by 190 impact.
Some additional update. We’ve also been successful in securing $20 million credit facility from funds managed by Fortress Investment Group, a largest investment management firm with about $40 billion under management as of June 30, 2018. This allows us to grow our working capital to properly deploy our numerous ongoing multiyear projects as well as signal to potential customers and partners that we have capacity to be earned more.
The term of the credit is four years at an interest rate of 7% to 8%, plus LIBOR, and the amount strong and outstanding. The 7% to 8% depends on the EBITDA levels. Our working capital at the end of the quarter reached $18.6 million, up from the third quarter of 2017, and the earlier quarters this year. Our cash and restricted cash total was $3.1 million at end of the quarter. Our trade receivables have reached $17.7 million. While this number continue high, it's important to note that we’re dealing with percentage of completion project and national government and developing regions such as Africa, collections have historically taken worst on it. This is not unusual. What gives us confidence here is our track record in collections and understanding that the systems we operate national biometric passports, ID cards, [indiscernible] to name a few, are critical with the cooperation to the government. So we have to leverage here.
Pay attention, once more. On $6.1 million in revenues this quarter, we generated non-GAAP EPS of $0.09 and EBITDA of $1.8 million resembling at 30% EBITDA margin. It was hard to reach this optimized cost structure. It’s a strong core. And with top line growth, we expect profitability margins to grow further. On top of that, we have a large pipeline of more project deployment opportunities in E-gov and IoT and Cyberspace. And while the timelines and wins for these project opportunities carry a level of uncertainty, our recent performance with increasing run rates gives us confidence that we’re on the right track.
In summary, we’re working diligently on building a strong cooperating structure, which is lean and effective. And in parallel, are setting the run rate for continued and more predictable growth in our steady state recurring revenues. These items are not an execution or performing according to our business plan.
At this time, I’ll move the call over to Arie."
Arie Trabelsi,0,"Thank you, Ordan. As you just heard, we had a good third quarter at SuperCom highlighted their superior financial performance. Moving forward, we remain focused on growing our margin within greater level by winning new business and continuing our base ongoing deployments into long-term steady state recurring revenue generator. We’re closely looking at our prospect for the current year and year-end. And with that, we’re ready to open the call for your questions. Operator, please provide appropriate instructions."
Operator,1,Thank you. We’ll now be conducting a question-and-answer session. [Operator Instructions] Our first question comes from Bill [indiscernible]. Private Investor. Please go ahead.
Unidentified Analyst,1,Yes. Do you’ve a breakdown of the $17.7 million in receivables between developed and federal countries or an approximation there?
Arie Trabelsi,1,Can you please repeat your question?
Unidentified Analyst,1,"Sure. The $17.7 million in receivables, do you have a breakdown between how much of that is from developed countries versus federal countries?"
Arie Trabelsi,1,Okay. I doubt we do not provide this time this number. But I would say that most of the numbers is from emerging countries.
Unidentified Analyst,1,"Okay. And then could you add anymore colors to why that’s increased from, it was $12.5 million at December '17, and now at the end of the third quarter, it’s $17.7 million?"
Arie Trabelsi,1,"Okay. As Ordan mentioned in discrete, there are two generators for this number: one is slow payment that is very common with emerging countries. But as we also mentioned, they always paid at the second time. So we’re confident with this payment. And the other element is revenue that are generated on this -- set of completion, which is not fully [inversed] but we have the revenue now. This is mainly the reason for the change. But we believe this number is running down as we already received a collected sum of the AL in first months of October. It’s really the first months of the fourth quarter."
