speaker,q&a,content
Andrew Barwicki,0,"Good morning, ladies and gentlemen. And welcome to the Third Quarter Fiscal Year 2018 Spine Injury Solutions’ Conference Call. My name is Andrew Barwicki, and I'll be your coordinator and moderator for today's call. As a reminder, this conference is being recorded for replay purposes. Thank you for joining us on Spine Injury Solutions conference call and webcast to discuss the financial results for the third quarter period ended September 30, 2018.
On the call with me today are Dr. William Donovan, Chairman and CEO and John Bergeron, Chief Financial Officer. Dr. Donovan will provide an update an update on the Company's highlights and key activities for the quarter, and Mr. Bergeron will then review the financial results. Following the prepared remarks, we will open the call to questions.
This call is being webcast on our Web site at www.spineinjurysolutions.com and will be available for replay. This morning, Spine Injury Solutions filed its report on Form 10-Q with the Securities and Exchange Commission and issued its earnings press release. All of our public filings can be viewed at the SEC Web site, which is at www.sec.gov or on the Spine Injury Solutions Web site again, which is www.spineinjurysolutions.com. 
During the course of this conference call, management may make projections or other forward-looking statements regarding future events or financial performance of the Company within the meaning of the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. These forward-looking statements are subject to numerous assumptions made by management regarding future circumstances over which the company may have little or no control that involve risks and uncertainties and other factors that may cause actual results to be materially different from any future results expressed or implied by such forward-looking statements. We refer you to the Company's Form 10-K and other recent filings with the Securities and Exchange Commission for the description of these and other risk factors.
And now, I would like to turn the call over to Dr. Donovan to begin the discussion."
William Donovan,0,"Thank you, Andrew. Good morning everyone [Technical Difficulty]"
Andrew Barwicki,0,We're currently having technical difficulties. I am sure Dr. Donovan will link back in.
William Donovan,0,"Thank you, Andrew. Good morning everyone. I lieu of all these technical difficulties, these were spread all over the country. I'm in Permian Basin this morning. I hope that by now everyone had an opportunity to review our 10-Q that was filed with the SEC and read the press release that we issued this morning. 
Today, I'll review our business operations and provide an update on key activities and developments in the quarter and for the first nine months of 2018. Following my comments, John, will briefly review our financial results after which, John and I will be available to answer any questions.
First, we are excited that the Company is continuing to make some progress on our business plan on a number of fronts. At the end of third quarter, we have five Quad Video HALO in operations; four which are being used by affiliates and one was previously sold; three new subscriptions, SaaS and Haas leases with the QVH start in the fourth quarter. We are recognizing the benefits of the new pricing model of SaaS and Haas we introduce for non-SPIN unaffiliated clinics, all of which is a free structure based on the clients' monthly patient volume. This new pricing model provides a comprehensive QVH managed solutions of hardware, software and pepper HIPAA compliant data management and support services for a per click pay in monthly fee. The integration of the QVH system was to support the services and HIPAA compliant video data management also enables clinical operations to have the benefit of the QVH system for video procedures without needing video technology resources and hubs. We believe this pricing model is prompting and supporting the active discussions we are encouraged and engaged in.
Secondly, our settlements have been slower in the third quarter but overall collections remain higher this year than last year. We have higher dollar cases that are taking longer to settle due to the size and severity of the case. We have also expanded our operations by providing technology for concussion testing for head and neck injuries. This is a process much like Quad Video HALO, it takes time, effort and money. We see this market as a unique opportunity for us and we'll continue to evaluate the possibilities for Spine Injury Solutions.
I'll now turn the call over to John who will discuss our financial results for the quarter and nine months."
John Bergeron,0,"Thank you, Bill, and good morning everyone. I will now review the results for the third quarter period ending September 30, 2018. Revenues for the quarter was $561,706, compared to $565,202 during the same period last year. The slight decrease in revenues was primarily attributable to lower revenue in two of our affiliates coupled with the sale of QVH in 2017 that was not repeated in 2018.
I would like to bring to your attention the percentage of third party cost of sales compared to the total cost. In the third quarter, 67% of the total costs were from third-party as compared to 14% last year. We implemented a diversification initiative but we are not so dependent on Dr. Donovan's medical practice as much moving forward. The main driver of this increase is the increased by the New Mexico, coupled with the sales mix of revenue.
The gross profit was $351,206, compared to $399,852 for the same period last year. The lower profit is due to paying higher funding costs to our affiliates this year coupled with lower revenue. We have $482,731 in collections during the quarter compared to $595,481 for the same period last year. This decrease is more of a timing difference as year-to-date collections remain higher in 2018 than 2017. We had more commercial cases that are taking longer to settle.
In summary, I would like to mention revenues for the nine months ended September 30th increased 20% to $1.8 million, gross profit increased 16% to $1.2 million and net income was $58,000. All of these improved for the first nine months of this year as compared to the prior year.
With that, I'll turn it back to Bill."
William Donovan,0,"Thank you, John. Before we turn the call over to questions and answers, I would like to discuss some very important assets of the business that we see internally and acknowledge when we talk to patients, partners and affiliates.
Our businesses and the different moving parts we have are progressing, at times numbers, sales, revenue, gross profit, net profit, don't truly reflect the positive impact we have, particularly on patients that are going through the medical process, especially the procedures and treatment. And it was an orthopedic surgeon. I've had pleasure seeing over 40 plus years, the changes in the orthopedic business evolve and expand, much like the Quad Video HALO here at Spine Injury Solutions. We introduced it and the progress we made is something I'm very proud of. I truly envision video recording medical procedures as being part of the future in many aspects of medicine and the entire healthcare sector.
As you know, PBS awarded us one of the innovations in medicine in 2018, and they feel the same way. When we look at settlement [Technical Difficulty], we know this model [Technical Difficulty] that model has been working for years and continues to work. Inside all of that, always [Technical Difficulty] and having access to capital was instrumental and necessary [Technical Difficulty]. I am pleased to say that numerous meetings with institutional investors. These are money, fund, portfolio, peers and traditional investment firms and hedge funds.
We also met with a number of investment banking firms, all of which allowed us to explain the intricacies of Spine Injury Solutions and explore possible financing for our growth. [Technical Difficulty] we received from Peter Dalrymple who is on our Board and the support from [Technical Difficulty] to assist in the growth [Technical Difficulty]. We believe we have an established foundation in the funding of settlements. We also believe the Quad Video HALO and providing technology for concussion testing for neck and head injuries are unique opportunities for Spine Injury Solutions, but these avenues [Technical Difficulty] this year the company did $1.8 million [Technical Difficulty]last year, which was 1.85. While these numbers on paper represent one fifth [Technical Difficulty]we arenot satisfied.
We believe that our business, the foundation we have in combination to all the moving parts, including but not limited to, the Quad Video HALO, represents significant growth opportunity. Having said that, in addition to running the Company, both John and I are spending more time on finding finance operations that will [Technical Difficulty] to grow the business, both top and bottom line and most importantly, the earnings per share.
While I cannot comment on anything specific, because nothing has yet to be finalized or executed, we’re cognizant of the need of capital to grow the business. As such, we are proactive in our meetings and conversations with institutional investment, investment banks and traditional banks. At this time, I want to thank you for your interest and time today.
Andrew, we’re now ready to begin the question-and-answer portion of the conference call."
Andrew Barwicki,1,"Thank you, Dr. Donovan. Thank you, John Bergeron, Chief Financial Officer. At this time, I’d like to remind everybody to feel free to submit your questions if you're online on the webinar, feel free to submit your questions. I have received a number of questions also that were emailed to me by some investors that cannot participate on the call today.
With that being said, I will start reading some of the questions and allow Dr. Bergeron -- Dr. Donovan and John Bergeron to answer those questions. First question, I see the sales for the first half of the year were great. What happened in the third quarter and can you talk about the fourth quarter and what we can expect?"
John Bergeron,1,"I agree with that thought but have a philosophy that we believe that serves the company better by considering long-term growth, not growth purely on a quarterly basis. Yes, the first half is very good while the third quarter was flat compared to last year. We don’t like to manage the company for short-term results. What I mean by that is although our third quarter results were flat when you compare them to last year's quarter we are very pleased with the overall numbers specifically the first nine months.
While I do appreciate the concern and need for short-term results, I too want positive results. We managed the Company for the long-term, and at this time, we may have a scenario like we just experienced in this last quarter, which was flat revenues. With respect to talking about the fourth quarter, we don't give guidance. We take pride being a fully reporting company and answering shareholders questions. But due to the collection and the settlement processes, combined with the fact that we have a sale or release with just one Quad Video HALO can have a material impact on the quarter, it would be unfair for me to give guidance.
As a follow-up part of revenues being flat, in the third quarter, it's partially contributed to having high dollar cases which take the longer to settle. We believe that these high dollar cases provides us with the revenues and profits over the long-term. Next question."
Andrew Barwicki,1,Thank you. Next question assuming that HALO is really as represented. How do you plan on building this into a business? Do you have the personnel or financial capability to properly explore it? 
William Donovan,1,"Andrew, let me answer that. We're very pleased with the progress we've made with the Quad Video HALO so far. It is to remember that it's still a relatively new technology that we are making a market in. There is a process that includes educating potential users and partners, explaining the benefits and to some extent, we are established in the policies and procedures in this space. I don't want to sit here today and say we are dictating how medical directors, treatment centers use the Quad Video HALO, but we do see the many benefits for all. I see it daily with patients who appreciate the video technology because the video tells everyone what might patients are going through with the procedure. Now we've made some personnel changes in the past [Technical Difficulty] Video HALO with the Hass and SaaS methods and so forth."
