speaker,q&a,content
Operator,0,"Good day ladies and gentlemen, and welcome to the Sappi Limited Second Quarter 2018 Results Conference Call. All participants will be in listen-only mode. There will be an opportunity to ask questions later during the conference. [Operator Instructions]
Please note that this call is being recorded. I would now like to turn the conference over to Steve Binnie. Please go ahead, sir."
Stephen Robert Binnie,0,"Thank you. Good day, everybody. Thank you for joining me on the call. I'm joined by a number of my colleagues and I'll be going through the presentation deck, the investor presentation deck and I'll refer to page numbers as I move through.
Starting on Page 4, highlights for the quarter, EBITDA, excluding special items of US$211 million, that's up from $208 in the prior year. And then bottom line profit $102 million compared to $88 last year. Earnings per share excluding special items, US$0.17 same as last year and then net debt was $1632 million up from $1329 million.
The main reasons for the jump obviously are the acquisition of comp which occurred during the year or quarter $132 million and then the stronger euro versus the dollar as we convert that had a significant impact and obviously the higher CapEx that has come through.
During the quarter we completed the acquisition of Cham speciality paper business and that's integrating nicely into Sappi.
Moving to Slide 5, the EBITDA and operating profit, you can see the impact over the last couple of years and the growth that has come through, some of the key metrics, net debt on the back of the number that I just explained to you is slightly higher at 2.2. Leverage, we continue to target lower than two times, and that remains in place and we will maintain that discipline. EBITDA margin percentage at 14.1 still healthy and then return on capital employed 16.8%.
Moving to the earnings page, on Page 6, pleasing to see sales volumes growing across the board in all regions and in all the segments, weather it is dissolving pulp packaging, graphic paper are all up so that was encouraging. Then we were able to realize higher selling prices, and again in all our businesses and clearly that had to be done and in graphic paper to offset the impact from higher raw material costs primarily pulp which you see in the red block under variable costs.
The exchange rates had a significant impact. The fact that we've got a stronger Rand now against the U.S. dollar the net impact of all of that was $10 million down on last year giving us a 211 you see us still achieving.
Across to Slide 7, the product contribution split, dissolving pulp was 45% of EBITDA, a little bit lower than the previous quarters or recent quarters, but that's because of the stronger Rand that I referred to, printing at 39% and packaging at 16% and that is rising and will continue to rise as we integrate Cham and complete the conversion projects.
Moving to Slide 8, the debt maturity profile and this paints a good picture, there's no short-term material debt. The next larger item would be the securitization in 2020 and you know we would expect to rollout although we don't anticipate any challenges. And then our bonds, our euro bonds have 22 and 23 so we have quite a bit of run rate there.
On Slide 9, the CapEx development, a little bit later in the presentation I'll be talking about all the projects that are underway, but obviously we've got the conversions from graphic paper to packaging that we have undertaken in the U.S. and in Europe and the expansion and debottlenecking projects for dissolving pulp and again I'll go into more detail, and that's why the number has written in 18 and in 19 relative to where we've come from and in recent years.
Turning to the divisions and on Slide 11 we talk about printing and writing, graphic paper, it's encouraging that operating rates have been healthy. All our machines are full in both the respective regions. We've clearly benefited from the fact that they were capacity closures and conversions in those regions and it's a lot to – or it's ensured that the supply-demand balance is more in line which has enabled us to put through the series of price increases which we had to do because of rising paper pulp prices.
We began, I think we began raising prices April last year, April '17 and we've seen a series of these since then each quarter and there's been a further one announced for the next quarter as well. There's always a lag effect, but you can see in our performance and our profitability we have been able to implement these selling price increases to offset much of the impact from pulp.
The conversions will reduce our exposure once they are completed to this market. We continue to make investments and focus on efficiencies, investments that we make will be to lower costs and a good example of that is the graph on PM9 and investment that we announced I think last quarter for $30 million, ongoing focus on costs and efficiencies.
Then moving to packaging and specialties on Page 12 there is always a global push now towards paper based packaging to replace plastics and that's creating further opportunities for us. We are very excited about the prospects. Most of the markets that we're in are growing between 1% and 5% and in fact we've been beyond this. We would expect more conversions across the board in a highly fragmented market.
We've recently announced price increases to offset the higher pulp costs. Cham, was completed at the end of February and I have a slide on that later and I'll go into more detail. The conversions that we've announced will boost our capacity and because we are limited by the capacity we have available currently, but obviously with Maastricht having recently being completed and the board space and Somerset in the process of being finalized that will give us opportunity to grow our packaging. And then the Cham and the Rockwell technologies will give us further scope for growth.
Then on dissolving pulp and I've moved to Slide 13, the demand continues to be strong. We've seen a lot of new viscose capacity coming onboard which has depressed viscose prices a little bit, but dissolving pulp because there has been strong demand continues to be stable and we would expect that to continue for the foreseeable future. As we look across the board there is a little bit of new capacity coming onboard in '19, but relative to the market demand growth we think the balance in the market is very favorable. The fact that paper pulp prices have been rising has helpful support the DWP pricing as well.
The pricing are being in steady over the course of the least couple of months and we would expect that to continue. We continue to look for opportunities to grow our capacity and obviously we've got the debottlenecking projects underway at the moment.
Moving to Slide 14 Sappi Europe and they've done a great job at putting through price increases to offset the higher raw material costs. We got – an example of the one product on the top right and you can see that that's been continuously rising over the last year. The markets have been relatively better and as I said earlier, our machines are all full. At the same time specialities and packaging is going extremely well. Volumes are 12%, that excludes the Cham and that will expand further as we move more of our Maastricht capacity into folding boxboard. The costs were up mainly as a result of pulp, but latex has also been an issue as well.
Then on to Sappi North America, similarly we've put through a series of price increases. The market dynamics in that market with some recent closures have been more favorable and again our machines are full and which has helped us to put through these price increases, at the same time dissolving pulp demand has grown and we swung a little bit more capacity to dissolving pulp at Cloquet during the quarter relative to last year. In addition to pulp costs, energy and chemicals have also risen, but you'll see from the performance that we were able to offset those.
Then on to South Africa, obviously we're up against the stronger Rand compared to a year ago, approximately 12 Rand to the dollar a year ago was 13, so that has a significant impact so obviously profits would be lower than last year. However, in spite of that the performance has been good and DWP volumes have been strong. At the same time, packaging has had an excellent start to this financial year and we've seen volume growth there which has more than offset the or demand growth which has more than offset any impact from the dark conditions in the Western Cape.
Then if we turn to the four pillars of our strategy and the first one is the cost advantages and focus on cost, on Page 18 we continue to do a lot of good work on our procurement side. We talked about this last quarter, the $60 million and we are still on track to achieve that in this financial year.
The focus on the continuous improvement across all the [indiscernible] has offset some of the impact from raw material costs and in Europe we continue to look for opportunities to debottleneck pulp capacity because Europe is only about 55% pulp integrated and clearly with in a cycle like this where raw material pulp prices have been rising that has put pressure on us. The Saiccor expansion, which we will grow into a little bit more detail later, will help lower variable costs and then we've got on PM9 paper upgrade which will deliver nice payback and lower costs.
Then rationalizing the current businesses, the two big conversion projects underway in Europe firstly at Lanaken we will progressively move out of lightweight coated as we complete at Lanaken, reduced exposure at Maastricht and Somerset as we finish that conversion.
On Page 20, maintaining of a healthy balance sheet, as I said earlier we are still committed to the two times net debt to EBITDA ratio and we'll use that as we move through this period of conversion and growth projects. The finance costs are approximately $60 million to $70 million per annum. And we renewed our RCF during the quarter, that's been unutilized, but it is always nice to see that we can achieve that and we did at a lower spread 165 bps versus the previous rate of 119 so that's encouraging.
Then on Slide 21, in terms of our growth into the higher margin areas, we have debottlenecking at our various DWP mills and the investments that we've made in terms of the Rockwell technology and the Cham acquisition, we think we can grow further at our South African packaging mills in Ngodwana and Tugela and we continue to look for opportunities for additional hardwood timber supply in South Africa.
And then last quarter we talked about it that we applied for the environment approval for the expansion of Saiccor by a further 110. We're hopeful that we'll get that soon in the environmental approval and then we can commence the whole construction which would be complete early in 2020.
On Slide 22, the Cham acquisition has gone very well. Integration is proceeding according to plan. There have been no surprises for us or no material supply surprises. We're very happy with the assets that we've acquired, the people are fitting in very well into Sappi and we continue to believe that there will be synergies of $10 million to be realized within the next two years which would give that business a $30 million EBITDA which is what we said at the time of the acquisition and just to remind it's the two mills which you see pictures of in Northern Italy.
Further opportunities as we accelerate growth. We were finally able to sign the Ngodwana Energy Biomass project with the Department of Energy. Construction begins in March 18, this Sappi has an equity share of 30%, so we equity counter, we don't consolidate this on to our balance sheet and it will deliver good returns and good economic empowerment benefits as well.
Moving to Slide 24, the speciality packaging expansion, and this is just a reminder of all the component parts of the conversions that are underway, but the primary one being the Maastricht conversion to folding boxboard. They will continue to make some coated wood free on the machine but that will ramp-up as we move ahead towards more and more folding boxboard. And then the other big one is at Lanaken and I talked about that already, but enabling us to make the coated wood-free on PM8 there.
The Somerset construction is in the - or is just being completed literally in the last couple of days. We are now in the process of testing all the products and there will be a ramp-up over the next couple of years and we've targeted an additional 350,000 tons of packaging and specialities on that machine.
In terms of DWP, just to remind you once again, we have the small project is five core which gives us 10,000 in the short-term, then in Ngodwana the additional 50,000 will be completed in September of this year and then Cloquet an additional 30,000 tons by next financial year. And top of all of that, there is Saiccor expansion that I referred to the 120,000 sorry 110,000 and then we continue to scan the external market for opportunities to boost our dissolving pulp capabilities further.
And that brings us to the outlook and on Page 27 just to summarize and recap, dissolving pulp demand remains good, prices are stable and we have a favorable outlook over the next couple of years. Q3 will be impacted. But we have shifted old free dissolving pulp mills during this quarter. In Europe operating rates are strong.
Paper prices have been rising and as you saw we had further price increase on Somerset conversion as we talk is in the process of being completed and again we've been able to put through selling price increases. Packaging continues to grow as customers switch to paper based solutions. So taking all that into account, obviously we're still up against the stronger rent, but markets across all our segments are in pretty good state. So taking all into account with the shots we say that the Q3 performance will be broadly in line with last year in terms of profitability.
So operator that's me going through the deck, I'll hand it back to you for questions."
Operator,1,"Thank you, sir. [Operator Instructions] Our first question is from James Timon [ph] of PCN Securities."
Unidentified Analyst,1,"Yes, thank you and I've got two questions, the first one is the last call you mentioned that there was capacity switching from dissolving pulp to paper pulp and I'm just wondering whether you've seen any more of that happening given that we're seeing paper pulp prices continuing to outpace dissolving wood pulp?
And then secondly in the U.S., I know that you are looking at a price increase for June or July for fine paper, I just wanted to know whether that feels like a realistic option for you?"
Stephen Robert Binnie,1,"Okay, in terms of the switching of capacity between dissolving and paper pulp, I don’t think there's been anything materially changed since our last earnings call. A lot of it has already shifted across to paper pulp. Mohammed, is there any other major changes you've seen in the last few weeks?"
Mohammed Valli Moosa,1,"Steve, no. Only just to add that the switch from dissolving pulp to paper pulp is not only going from dissolving to bleached paper pulp, but also from dissolving to unbleached Kraft pulp in China."
Unidentified Analyst,1,"Okay thanks, and then Mark, how confident are you on your price increase for July?"
Mark Gardner,1,Well we just announced the price increased on the upgrades on Friday and we expect that to go through. We generally see about 25% to 30% of price coming through and as we announced and then by the end of 90 days about 80% of that will be through.
Stephen Robert Binnie,1,Did you get that James?
Unidentified Analyst,1,"Not really, it’s promising it sounds like, is it?"
