speaker,q&a,content
Company Participants,0,"Rachel Schacter - ICR
Jon Barker - CEO
Robert Julian - CFO"
Conference Call Participants,0,"Peter Keith - Piper Jaffray
Daniel Hofkin - William Blair
Peter Benedict - Robert W. Baird
Ronald Bookbinder - IFS Securities"
Operator,0,"Greetings, and welcome to the Sportsman's Warehouse First Quarter 2019 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. 
It is now my pleasure to introduce your host, Ms. Rachel Schacter of ICR. Thank you, you may begin."
Rachel Schacter,0,"Thank you. Good morning, everyone. With me on the call is Jon Barker, Chief Executive Officer; and Robert Julian, Chief Financial Officer.
Before we get started, I would like to remind you of the Company's safe harbor language. The statements we make today will contain forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995, which includes statements regarding our expectations about our future results of operations, demand for our products and growth of our industry. Actual future results may differ materially from those suggested in such statements due to a number of risks and uncertainties, including those described under the caption, Risk Factors, in the Company's 10-K for the year ended February 2, 2019, and the Company's other filings made with the SEC.
We will also disclose non-GAAP financial measures during today's call. Definitions of such non-GAAP measures as well as reconciliations to the most directly comparable GAAP financial measures are provided as supplemental financial information in our press release included as Exhibit 99.1 to the Form 8-K we furnished to the SEC today, which is also available on the Investor Relations section of our website at investors.sportsmanswarehouse.com.
Now, I'd like to turn the call over to Jon Barker, Chief Executive Officer of Sportsman's Warehouse."
Jon Barker,0,"Thank you, Rachel. Good morning, everyone and thank you for joining us today.
I'll begin by reviewing the highlights of our first quarter performance and then discuss the progress on our strategic initiatives and thoughts on the coming fiscal year. Robert will then go over our financial results in more detail and review our outlook, after which we will open up the call to your questions.
Our first quarter results were in line with expectations on the top line and $0.01 below expectations on bottom line. For the quarter, net sales declined 3.4% to $174 million. Comparable sales decreased 5.7%, which was modestly below our outlook, driven by weaker than expected firearm and ammunition sales, primarily due to a difficult event-driven year ago comparison.
Gross margins were up 27 basis points for the quarter, due to favorable mix and rate variance, partially offset by higher transportation costs. Operating expenses increased $300,000 for the quarter, primarily driven by increased rent expense. We reported adjusted diluted loss per share of $0.12 for the quarter.
Drilling down on the composition of our first quarter comparable sales results, firearm units across the Company performed better than the adjusted mixed data nationwide and within our states. This is reflective of our continued market share gains, as we strengthen our dominant positioning within the industry given our breadth of firearm offerings combined with unique value-added services that are driving further customer engagement.
For the quarter, firearm units decreased 8.1% versus an 11% decline in the adjusted mixed data. Firearms and ammunition sales together decreased 14% in Q1 2019. This decline was primarily due to the difficult event-driven comparison for these categories in Q1 of last year.
For our non-hunting categories, as expected, weather had a negative impact on our fishing and camping categories, with both decreasing 2.5%. Our soft good categories performed well with an increase of 3.5% in apparel and an increase of 10.3% in footwear.
Shifting gears to our operational performance, I'm pleased to report we made progress on our strategic initiatives. Our strategic priorities are focused around leveraging our growing omni-channel capabilities to gain market share customer acquisition and engagement, a differentiated merchandising assortment.
Beginning with our omni-channel strategy, as planned, we are on track to open three standard format stores or 2.4% square footage growth this year. The reduced store opening pace allows us to focus on paying down debt while expanding our e-commerce capabilities. We're excited about the opening of our store in Lansing, Michigan, which will have its grand opening tomorrow and our Murfreesboro, Tennessee and Fort Wayne, Indiana stores which are scheduled to open this summer.
As previously discussed, in addition to the standard format stores, we are on schedule to test our first small format, concept shop in the fourth quarter, as we focus on capitalizing on the white space opportunity we see for Sportsman's Warehouse and the highly fragmented outdoor sporting goods industry.
As a reminder, this much smaller store format will focus on hunting and shooting sports, but will also showcase a curated localized assortment of outdoor gear. This test store reflects our commitment to these core categories, their importance to our customer and our focus on maximizing the lifetime value of a long term consumer relationship.
We look forward to generating learnings from this smaller format store and leveraging our expertise everyday low pricing and expansive assortment in unreserved markets that are more difficult for national players to profitably operate.
Turning to e-commerce. We are very pleased with the performance of our e-commerce platform. Our new website, sportsmans.com has now been up and running for five months and customers response has been very positive including strong reception to features such as real-time inventory visibility and buy online, pick up in store which is now available across all categories.
Buy online, pick up in store has driven thousands of customers into our store to fulfill their immediate need and at their convenient while providing Sportsman's Warehouse with additional opportunities to engage the customer across all categories and services.
For the first quarter, buy online, pick up in store orders increased approximately 75% versus the prior year. As we continue to invest in our e-commerce capabilities and drive higher e-commerce generated sales penetration, we will focus on improving the overall online shopping experience through database tools, user functionality enhancements, and digital marketing initiatives.
Looking at our strategies around customer acquisition and engagement, as we discussed on our Q4 call, we launched The Gunsmith center at Sportsman’s Warehouse providing nationwide repair and personalization services for firearms. On a limited scale, we are now buying, accepting trading and selling used firearms which are eligible for support from our existing services that provide peace of mind on firearm purchases.
Providing customers options like these is yet another valuable service. It provides us the opportunity to strengthen the relationship with our core customer drive engagement, loyalty and ultimately lifetime customer value.
As part of our increased focus on customer acquisition and nationwide expansion of our brand, we are excited to announce, that customers outside Sportsman's Warehouse geographical footprint are now able to shop and buy the largest assortment of firearms of any national retailer through sportsmans.com.
We are partnering with select, licensed firearm dealers across the nation to expand our reach, providing that to providing customers the option to take delivery of firearms purchased on sportsmans.com across the nation in a safe and compliant manner.
Value-added services such as these allow us to strengthen the relationship with our existing customers, while also drawing new customers to our brand. Our loyalty program continue to grow up continues to grow as well with over 1.9 million members driving 51.9% of our revenue during Q1.
We are excited to announce the next pillar in that program. As part of our focus on driving customer engagement, loyalty and strengthening our value proposition, we've identified a new partner Comenity Bank to launch an entirely new Sportsman’s Warehouse Visa credit card program, which provides in class benefits such as industry leading point accumulation better access to credit and a variety of financing offers. We believe this will ultimately drive customer retention and increase lifetime value. Pending FDIC approval, we plan to roll this program out in Q4 of 2019.
With regards to merchandising, we see opportunities to selectively expand our exclusive product offering in certain category as we look to provide a strong value proposition for our customers across categories and price point.
In the first quarter we expanded our exclusive product offering into kayaks, which has been performing above our expectations. We will continue to increase our exclusive product penetration into other categories as we move throughout the year including Optix packs and firearm categories.
We recently announced the addition of Scott Walker as our new Senior Vice President of Merchandising. Scott’s previous experience serving in various merchandising roles and outdoor retail, sporting retailer such as the Sports Authority and Bass Pro just to name a few compliment the talent of our existing team. His breadth of experience across multiple categories make him a great new addition.
We are very excited to have him on board and look forward to benefiting from his expertise. This announcement comes on the heels of Robert’s appointment as Chief Financial Officer. Both of these important additions position the business well for continued success.
In summary we are making good progress on our strategic priorities. As we look to the remainder of the year we will continue to invest in key areas across our omni channel business to strengthen our competitive positioning and fuel market share gains as we focus on deepening our relationship with existing consumers while attracting new consumers. In terms of our outlook Robert will discuss our updated guidance, but we have turned the high end of our sales outlook for the year and updated our EPS guidance.
Finally as it relates to the recent announcement around tariffs we are working with our vendor base to better understand the impact and identify the most effective ways to offset the tariffs where possible. These actions will include vendor negotiations, sourcing action and where necessary and appropriate pricing action ultimately an extended tariff period and expanded lift of product and increasing tariff levels will eventually impact all retail customers, including ours. Like other retailers, we are hopeful for a timely resolution that minimizes the impact on the end consumer.
Before turning the call over to Robert, I want to thank all of our team members for their tireless work and dedication to executing with discipline every single day. They are the reason our customers enjoy shopping in our stores and reward us with their loyalty.
With that, I'll turn the call over to Robert to discuss our financials."
Robert Julian,0,"Thank you John and good morning everyone.
Let me begin by saying how pleased I am to be on the call with you today. I'm very excited about joining the Sportsman's Warehouse organization. It's been a real pleasure getting to know the Sportsman’s team since coming on-board in mid-April from the corporate staff to our operations people to our retail sales associates. I look forward to working with John in the entire Sportsman's Warehouse team and contributing to our profitable growth and driving long-term shareholder value.
Now, turning to the numbers. I'll begin my remarks with the review of our first quarter results and then discuss our outlook for the second quarter and fiscal year 2019. Most of the financial figures discussed on today's call are reported on a U.S. GAAP basis. In the instances where we report non-GAAP financial measures, we have reconciled the non-GAAP measures to the corresponding GAAP measures in our earnings press release which was issued earlier today.
First quarter 2019 net sales came in at $174 million compared to $180 million in the first quarter of fiscal year 2018, a decline of $6 million or 3.4%. Same-store sales decreased 5.7% which was slightly under the low end of our expectations and guidance. The decline was primarily driven by weaker than expected firearm and ammunition sales due to difficult comparisons from event-driven actions taken by competitors in Q1 of last year.
However, we did see nice year-over-year in our footwear and clothing categories as well as continued improvement in our e-commerce driven sales. We ended the quarter with 92 stores operating in 23 states. Total square footage growth was 2.9% this year versus the first quarter of fiscal year 2018. Q1 2019 gross profit was $54.2 million compared to $55.6 million in the first quarter of fiscal year 2018, a decrease of $1.4 million or 2.5%.
Gross margin increased 27 basis points to 31.1% versus 30.9% in the prior year period. Product margins improved approximately 50 basis points as a result of positive rate variances and favorable mix due to lower firearms and ammunition sales. This was partially offset by higher transportation cost negatively impacting margins by approximately 20 basis points.
SG&A expense was $59.5 million for Q1, 2019 and an increase of $0.3 million or 0.5% compared to the first quarter of fiscal year 2018. Rent expense increased $1.2 million primarily due to a change in lease accounting practice and the addition of new stores. Other miscellaneous operating expenses increased $0.2 million. These cost increases were partially offset by lower payroll expense of $0.7 million and lower preopening expense of $0.4 million.
As a percentage of net sales, SG&A increased approximately 130 basis points from 32.9% to 34.2% primarily due to de-leveraging of fixed cost on a lower revenue. Excluding executive transition cost, SG&A expense would have been $59.2 million or 34.0% of net sales for the quarter.
Loss from operations in Q1 2019 was $5.4 million as compared to a loss of $3.7 million in the first quarter of fiscal year 2018. Again excluding the executive transition costs Q1 adjusted operating loss would have been $5.2 million for the quarter.
Our interest expense in Q1 2019 was $2.1 million compared to $3.6 million in Q1 of prior year a reduction of $1.5 million. This improvement as a result of our amended credit facility, the lower the interest rate on our term loan and also shifted a significant portion of the balance on the prior term loan to the new line of credit which bears a lower interest rate.
We recorded an income tax benefit of $2.0 million in Q1 2019, compared to $1.4 million last year. Net loss for the quarter was $5.5 million or $0.13 per diluted share based on a diluted weighted average share count of 43.0 million shares as compared to a net loss of $5.8 million or $0.14 per share based on a diluted weighted average share count of $42.7 million shares last year.
Adjusted net loss was $5.2 million or a loss of $0.12 per diluted share in the first quarter of 2019 compared to an adjusted net loss of $3.6 million or $0.08 per diluted share in the first quarter of last year. Adjusted EBITDA for the first quarter of 2019 was $0.4 million compared to $4.8 million in the prior year period.
Turning to the balance sheet. Q1 2019 ending inventory was $291 million as compared to $306 million at the end of first quarter of last year, a reduction of $15 million. On a per store basis, inventory was down 9% compared to last year.
This success as a result of investments in the team better analysis and visibility into the data and greater focused on inventory management by the entire organization. We had $3.4 million of capital expenditures during the first quarter of 2019 compared to $4.5 million in the prior year period.
Q1, 2019 operating cash flow was $3.4 million positive versus $9 million negative in Q1, 2018. The improvement is primarily due to the progress we have made in managing inventory. Our liquidity remained strong as we ended the quarter with $140 million - $142 million in outstanding borrowings and $39.3 million of availability on the revolving line of credit.
Turning to the outlook as you saw in our press release we are revising our full year guidance to reflect our Q1 topline results which came in at the low end of our guidance range as well as some margin headwinds and other economic uncertainties. Our current outlook includes the following items that were previously discussed on our last call. We continue to make key investments in our team for the long term success of the organization.
In addition to minimum wage increases we are investing increased resources in new hires and improved benefits for our team members. We continue to expect the combined investment in our team will be just under $5 million which we believe will make Sportsman's Warehouse a more competitive retailer as we continue to execute our growth plans.
We invested approximately $3 million in 2018 into our e-commerce platform. And we will continue to invest in the platform and the modernization of our systems this year. We expect this investment to be approximately $1 million in 2019. We expect to incur additional expenses related to being a public company of approximately $0.7 million including the additional costs associated with Section 404(b) compliance with Sarbanes-Oxley. As we prepare to exit the emerging growth company status at the end of the fiscal year.
Given the implementation of new lease accounting standards we no longer amortize the deferred gain from our 2012 sell leaseback transaction. We expect our occupancy expense to increase approximately$1.4 million for the year resulting in EPS reduction of approximately $0.2 per share for fiscal year 2019.
We continue to implement inventory initiatives this year that will allow us to improve the leverage of our working capital through increased inventory turnover. We continue to assume approximately $10 million of interest expense for 2019 as we realized the benefits of our new debt structure and our debt reduction strategies. We now expect net sales of $860 million to $884 million in fiscal year 2019 and same sale stores change in the range of down 1% to up 1.5% compared to fiscal year 2018.
We expect 2019 adjusted earnings per diluted share of $0.48 cents to $0.60 on approximately $43.2 million weighted average common shares outstanding. Our outlook for the second quarter is as follows; net sales in the range of $205 million and $211 million. Same-store sales change in the range of down 0.5% to up 1.5% compared to the second quarter of fiscal year 2018. Net income in the range of $4.5 million to $5.9 million. Projected diluted earnings per share of $0.10 to $0.14 on approximately $43.2 million weighted average common shares outstanding. We continue to expect net capital expenditures of approximately $16 million to $20 million in fiscal year 2019 with approximately $28 million to $33 million in total capital expenditures offset by $12 million to $13 million in landlord incentives and sale leaseback transactions.
With that, I will now turn the call back over to the operator for questions."
Operator,1,[Operator Instructions] Our first question comes from the line of Peter Keith with Piper Jaffray. Please proceed with your question.
Peter Keith,1,Just want to dig into the slightly revised down guidance outlook and just understand what's driving that? Is that basically baking in kind of what happened with Q1 and/or I guess is it factoring any current trends or any changed your outlook looking at the Q2 to Q4. And I was hoping you could address that both from a sales and an expense standpoint.
A – JonBarker,1,"Yes Peter, it does certainly bake in what happened in Q1. As we mentioned earlier, we missed our revenue by about $6 million on the top end of our previous guide. We hit exactly the low end of the guide in revenue. So we did bake in that on the top end, we lowered our guidance for full-year by that same amount. We did have some results that were less than expected even in terms of margin in SG&A as a percent of revenue on the lower revenue, and so that is reflected in the full-year guidance.
In terms of revenue, we did see a little bit of a slower start to the Q2 than we were hoping for, although it's picked up more recently. And so we have considered that as well in the Q2 guidance, and that just sort of rolls through the end of the year. Jon, I don't know if you want to add anything to that."
A – JonBarker,1,"I think that's accurate, Robert. On the EPS provision, Peter, we did lower that range, which reflects Q1 performance, but also some of the freight headwinds that we experienced in Q1 are likely to continue. We also are, like all retailers, very focused on this tariff uncertainty and how that may flow through. At this point, we don't have a clear understanding exactly what is going to happen with tariffs from a timing and the lift, working with our vendors, and we'll be negotiating to try to offset those increases. So there is some tariff uncertainty built into our EPS as part of this."
