speaker,q&a,content
Company Participants,0,"Gerardo Illanes – Chief Financial Officer
Ricardo Ramos – Chief Executive Officer"
Conference Call Participants,0,"Isabella Simonato – Bank of America
Cesar Perez-Novoa – BTG Pactual
Alex Falcao – HSBC
Joel Jackson – BMO Capital Markets
Ben Isaacson – Scotiabank"
Operator,0,"Good afternoon, and welcome to the SQM 2019 First Quarter Earnings Conference Call. All participants will be in listen-only mode. [Operator Instructions] Please note, this event is being recorded.
I would like to turn the conference over to Gerardo Illanes, CFO. Please go ahead."
Gerardo Illanes,0,"Thank you. Good morning, everyone, and welcome to SQM's First Quarter 2019 Earnings Conference Call. For your information, this conference call will be recorded and is being webcast live. You may access the webcast later on at our website www.sqm.com.
A presentation with a summary of the results have been uploaded at our website and is also available on our webcast. Joining me today, our speaker is Ricardo Ramos, Chief Executive Officer.
Before we begin, let me remind you that statements in this conference concerning the Company's business outlook, future economic performance, anticipated profitability, revenues, expenses or other financial items, anticipated cost synergies and product or service line growth, together with all other statements that are not historical facts, are forward-looking statements as that term is defined under federal securities law.
Any forward-looking statements are estimates reflecting the best judgment of SQM based on currently available information and involve a number of risks, uncertainties and other factors that could cause actual results to differ materially from those stated in such statements.
Risks, uncertainties and factors that could affect the accuracy of such forward-looking statements are identified in the public filings made with the Securities and Exchange Commission and forward-looking statements should be considered in light of those factors.
I will now leave you with our Chief Executive Officer, Ricardo Ramos, for brief comments before we move to Q&A."
Ricardo Ramos,0,"Good morning, and thank you for joining our first quarter 2019 earnings conference call. If you turn to page three of the webcast presentation you will see a summary of the results posted last night.
Our revenue for the three months ended March 31, 2019, our net income reached $80 million. We reported a lower adjusted EBITDA this year when compared to the first quarter last year reaching $169 million.
On page four, as you can see some highlights for the quarter. In general, we saw higher prices related to the iodine and potassium chloride business lines when compared to the same period last year. In fact, we reported the highest quarterly iodine revenue since 2013.
Sales volumes in the iodine, specialty plant nutrition and lithium business lines also increased. We believe our commercial lithium study was successful during the first quarter. As a result of our short-term contract on a spot sales approach, we saw average prices in the lithium business line of approximately $14,600 per ton.
As mentioned in the press release, we continue with our plans to increase our lithium carbonate capacity in Chile. We currently have a capacity of 70,000 metric tons. Flexibility is the key for our successful participation in a fast growing market such as lithium.
And so, we are working to ensure, we can meet the changing and more demanding requirements of our customers. Iodine sales volumes reached 3,500 metric tons highly compared to previous quarters, also iodine prices reached the highest levels reported since 2015 suppressing $27 per kilogram.
Turning to page five, as I mentioned earlier, our adjusted EBITDA and gross profit decreased in the first quarter 2019. And as you can see in the chart it was primarily our result of lower margins in the lithium business line. This was in line with expectations and was significantly impacted by higher lease payments to Corfo, which became effective on April 10, 2018.
During the first quarter this year, we paid approximately $30 million more in lease payments to Corfo when compared to the same period last year. We remind you that our variable payments to Corfo are a function of the price of lithium. They lowered the price, they lowered the effective lease payments rate.
Lower sales volumes of potassium chloride also impacted our gross profit and adjusted EBITDA. Sales volumes in the business line decreased approximately 24% in the first quarter 2019 compared to the same period last year.
Additionally, sales volumes in the industrial chemical business line decreased approximately 40% related to lower solar sales volumes. However, during 2019, we expect to report similar sales volumes for the industrial chemical business line as we reported last year. As mentioned on the previous slide, iodine prices are up significantly, which has positive impact in our gross profit and adjusted EBITDA.
When we look back to the first quarter, we continue to believe that demand in lithium market could reach close to one million tons by 2025. We feel that demand in 2019 will grow approximately 17%.
New supply will have an impact on pricing this year and our average price will fall and additionally 20% reaching approximately $11,000 to $12,000 per metric tons during the second half of this year. Our production for 2019 is expected to be above 60,000 metric tons, and our sales volumes are expected to reach between 45,000 to 50,000 metric tons previously estimated.
In 2020, we expect our sales volumes in the lithium business line are to grow approximately 30%. The vast majority of the growth that we are seeing in the market is related to electric vehicles with batteries coming from Japan both Korea and China. As anticipated we saw little, if any product in China during the early month of the year, it is probable that we will return to the sale in China in the coming quarters.
In the Iodine and potassium nitrate market growth is expected to be 3% and 6% respectively. Our sales volumes will likely grow with the market in both business lines. We hope to see the upward price trend in Iodine continue, but this of course will depend on the supply demand balance.
Turning to page six, as we mentioned in our press release last night. We believe that the operational flexibility is essential for the future success of SQM and this is a key component of our strategy. Both the lithium carbonate and lithium hydroxide markets are growing at a significant and unprecedented levels.
And therefore, we are currently working on our lithium carbonate expansion to produce 120,000 metric tons per year. We believe this expansion will be completed during the second half of 2021 with a CapEx of approximately $280 million. We're also expanding our lithium hydroxide capacity in Chile to reach 29,500 metric tons in 2021, with an expected CapEx of $100 million.
On a separate note, a few weeks ago, we successfully placed a 144A bond in international markets. We issued $450 million ten year bonds with a coupon rate of 4.25%. We're very pleased with the results and we believe this shows the market continue and strong interest in our company and the markets in which we participate. Before, I open line for questions, I would like to welcome the new board members who were elected last month.
With that I will end my prepared remarks and open the lines for questions."
Operator,1,We will now begin the question-and-answer session. [Operator Instructions]. The first question comes from Isabella Simonato with Bank of America. Please go ahead.
Isabella Simonato,1,"Thank you. Good afternoon, Ricardo and Gerardo. One question on lithium. Your guidance of pricing or the premium declining in the second half of the year. Can you elaborate the pricing dynamics you are seeing for both carbonate and hydroxide? We saw different outlooks from your competitors in the first quarter earnings. So, we wanted to understand your view on both the carbonate and hydroxide? Thank you."
Ricardo Ramos,1,"Hi, Isabella. First, the dynamics of the pricing in lithium carbonate and lithium hydroxide is really dynamic. We don't foresee now a clear path to differentiate both products. I think that is too early to know where they are going. If they are going to be close or not in the near future, what I want to say is, that when we put the pricing in the second half this year and expected average pricing.
We don't foresee for the moment a difference between carbonate and hydroxide different than the difference we had during the last quarter means for the moment being we don't foresee any big change in the difference between carbon and hydroxide in the short-term. But really something in the short-term probably will be some changes in the future.
We are very open to review the market conditions and that's why as I explained during the press release, we explained we want to have the flexibility in the future to adapt our production for both alternative."
Isabella Simonato,1,That's clear. Thank you.
Operator,1,The next question comes from Cesar Perez-Novoa with BTG Pactual. Please go ahead.
