type,name
Executives,Dave Hafner - Head of Investor Relations
Executives,Kevin Thompson - President and CEO
Executives,Bart Kalsu - Executive Vice President and CFO
Analysts,Heather Bellini - Goldman Sachs
Analysts,Sterling Auty - JPMorgan
Analysts,Brad Zelnick - Credit Suisse
Analysts,John DiFucci - Jefferies
Analysts,Matt Williams - Evercore ISI
Analysts,Walter Pritchard - Citi
Analysts,Sanjit Singh - Morgan Stanley
Analysts,Kash Rangan - Bank of America
Analysts,Terry Tillman - SunTrust
Analysts,Matt Hedberg - RBC Capitals
