speaker,q&a,content
Company Participants,0,"Katherine Chartrand - Senior Director, Corporate Communications
François Olivier - President, CEO & Director
Donald LeCavalier - CFO"
Conference Call Participants,0,"Adam Shine - National Bank Financial
Mark Neville - Scotiabank
David McFadgen - Cormark Securities
Drew McReynolds - RBC Capital Markets"
Operator,0,"Welcome to the TC Transcontinental Second Quarter 2019 Results Conference Call. [Operator Instructions]. As a reminder, this conference is being recorded today, June 6, 2019.
I would like to turn the conference over to Katherine Chartrand, Senior Director, Corporate Communications. Ms. Chartrand, please go ahead."
Katherine Chartrand,0,"All right. Thank you, Gabriel, and good afternoon. Welcome to TC Transcontinental's 2019 Second Quarter Results Conference Call. The press release and MD&A with complete financial statements and related notes were issued earlier today. For those of you who are not on our distribution list, the documents are posted on our website at tc.tc.
With us today are TC Transcontinental's President and Chief Executive Officer, François Olivier; and Chief Financial Officer, Donald LeCavalier. Before I turn the call over to management, I would like to specify that this conference call is intended for the financial community. Media are in a listen-only mode and should contact Nathalie St-Jean, Senior Advisor, Corporate Communications, for more information or interview request.
Please be reminded that some of the financial measures discussed over the course of this conference call are non-IFRS. Please refer to the MD&A for a complete definition and reconciliation of such measures to IFRS financial measures. In addition, this conference call might contain forward-looking statements. Such statements based on the current expectations of management and information available as of today inherently involve numerous risks and uncertainties, known and unknown.
The risks, uncertainties and other factors that could influence actual results are described in the 2018 annual MD&A and in the latest Annual Information Form.
I would now like to turn the call over to François Olivier."
François Olivier,0,"Thank you, Katherine, and good afternoon, everyone. In May, we marked the first year anniversary of the Coveris Americas acquisition, a strategic transaction that we are very satisfied with. It has been transformational for us in terms of revenue growth, scale, manufacturing capabilities, synergies, talent and innovation. There is much more potential to be leveraged as we are aggressively pursuing it.
We are pleased with the improvement in our Packaging margins in the quarter as we delivered on our plan to stabilize profitability of Coveris Americas. Overall, our results reflect many of the same dynamics we saw in the first quarter of the year. Let me highlight some of the key factors that contributed to our results. The Packaging sector accounted for 54% of our consolidated revenues in the quarter. Our acquisition of Coveris Americas was a significant contributor to our overall results. We continued to renew many contracts with major customers, giving our business long-term stability. The dairy market, in particular, demonstrated solid growth this quarter. In terms of organic sales growth, our packaging activities acquired prior to Coveris grew revenues by close to 4% for the quarter due to higher volumes in some of our plants.
Multifilm Packaging, which we acquired in March last year was also a good contributor to our performance. In terms of profitability, we are very pleased that our Coveris Americas acquisition continued to demonstrate the sequential increase in its adjusted EBITDA margin, moving from 12.2% in Q1 to 12.8% in this quarter. We expect further improvement as our cost synergies continue to ramp up throughout the year. For the pre-Coveris plants, the adjusted EBITDA margin was 11.5%, although below our objective, an improvement from the 10.1% in Q1.
To move closer to our margin target, we are in the process of addressing limited operational issues at 2 of our facilities. This should optimize the cost structure and we, therefore, expect margins continue to increase in the coming quarters. In addition, later this year, we will start to benefit from in-sourcing some of our films production as we will be starting up 2 new extrusion lines this fall. 
Overall, we feel confident about our investment thesis for the Packaging sector, which is a significant engine of future growth. On a combined basis, our guidance is for slight decrease in revenues for the second half of the year due to an anticipated reduction in volume for one of our verticals. We remain committed to gradually improving adjusted EBITDA margin and reaching our 13% objective. Turning to our Printing sector. The softer results we saw at the beginning of the year continued into Q2, essentially due to the same drivers, the negative impact from the sales of our newspaper printing activities in California, a decrease in printed flyers revenue from 2 major retail customers and the direct negative impact from the end of the transitional service payment received from Hearst last year as part of the disposal of the California operations.
However, recent data confirms that our retailer-related services offering remains a highly relevant and effective marketing tool for Canadian retailers. We have good visibility and insight that continues to demonstrate a positive direct correlation between the use of flyers and retailers' performance. In the quarter, revenues reflected a positive impact from higher paper price, which do not impact profitability as they are passed on to customers. We also saw good growth in our book printing business and our in-store marketing verticals, a space in which we continue to pursue additional sources of revenue.
Regarding our newspaper, magazine and commercial printing verticals, the decline in revenues followed the same trends as in previous quarters. To optimize our platform, we are reallocating 2 state-of-the-art presses from our former plant in Fremont, California to our Canadian retail platform. In order to maximize utilization of these newer equipment and to adjust to reduced volumes, we announced the gradual reduction of our printing activity at our Brampton facility starting in July, leading to the complete closure of the plant at the end of this year. Volumes will be transferred to other plants in our Canadian retail platform, including those receiving the state-of-the-art presses from California.
These measures will have a positive impact on our profitability in the sector, starting in the second half of this year with the full impact flowing into 2020. A note on our Newspaper business. We are pleased that Torstar had outsourced to us the printing of the Hamilton Spectator and other newspapers effective in the third quarter of this year. They also extended their long-term agreement for us to print the Toronto Star. This win is a testament of our solid position as Canada's largest printer and our ability to continue to have new volume to our platform.
Let me now say a few words about our sustainability initiatives. The flexible packaging we produce plays a key function. It contains, protects and facilitates the transport of products, it holds and helps extend product shelf life. The carbon footprint of food production is much higher than that of packaging itself. In most cases, packaging accounts for only about 10% of the total carbon footprint of a food product, while 90% is related to growing, farming, processing, transporting, storing and disposing of the food. Therefore, the optimal packaging design protects high-value product, making it one of the key solutions to reducing food waste, which is estimated at 30% worldwide every year.
We are working with partners throughout the packaging value chain to highlight these and other relative benefits of flexible packaging among customers and consumers. Although flexible plastics offer many advantages compared to other packaging materials, more work is needed to ensure that plastic packaging is effectively managed at its end of life. This is why we are putting innovation at the heart of our approach to sustainability. We constantly invest in R&D for flexible packaging and our eco-responsible solutions are being recognized by the industry.
This week, we won yet another sustainability recognition at the PAC Awards for our 100% recyclable pouch with barrier. In March, we became the first Canadian-based manufacturer to sign the Ellen MacArthur Foundation New Plastics Economy Global Commitment. We have pledged that 100% of our plastic packaging will be reusable, recyclable or compostable by 2025 and that we will achieve a 10% use of post-consumer recycled content across all plastic in our product basket. Much like we have done over the years in the creation of a circular economy for paper in Canada, we now intend to lead the way in the creation of a circular economy for plastic. Therefore, our goal is to ensure the transition into a model where plastic is better managed from sourcing to end of life.
To that effect, we recently presented a brief to the Montréal Metropolitan Community as part of a public consultation on residual materials management. We pledged to work in a concerted manner with players from the plastic value chain to channel investments that will enable better capture of plastic at sorting facilities and better uses of recycled material.
Furthermore, we intend to become a significant buyer of residual plastic to be reused in our flexible packaging production. As part of this consultation, we also presented how Publisac is a useful, responsible and legitimate service, which already aligns with the 3R-RD residual management principles. For reduction at the source, we have committed of decreasing the use of plastic by 30%, mainly by reducing the size of the Publisac bag. Our Packaging sector will produce this new bag to be launched in this fall. It will now be made of 100% recycled plastic as opposed to the current bag made of virgin resin. 
For recycling, the bag and its content are already 100% recyclable and our new bag will remain so. And now, a note on our Media activities. We're pleased with our results for the quarter, a combined business and education portfolio where we have leadership positions once again performed very well in Q2. In conclusion, in our Packaging sector, we will continue to execute on our 2019 operational plan. We will maintain a strong focus on manufacturing efficiency, improve the results at our two facilities facing operational issue and achieve our next synergies target and continue to gradually improve our margins.
On the Printing side, for the rest of the year, we should see a continuation of current trends, but to a lesser extent. As we did in the past, we will continue to proactively adjust our cost structure to the volume trends and increased automation. Furthermore, we will pursue new growth opportunities in certain regions and vertical, whether organically or through acquisitions. We expect our Printing sector to continue to generate significant cash flow.
For our Media sector, we expect continued good performance in the second half of 2019. Finally, in terms of capital allocation, our top priority is to use our strong free cash flow generation to continue to deleverage the company.
With that, I'll turn it over to Donald."
Donald LeCavalier,0,"Thank you, François, and good afternoon. As you saw, our second quarter results reflect many of the same dynamics we experienced in Q1. In the quarter, our adjusted operating earnings increased by 19%, mainly due to the Coveris acquisition. For our Packaging business, the combined adjusted EBITDA margin for the sector was 12.5% for the quarter, up from 11.7% in Q1. This is a solid improvement and on track with our plans. We benefited from synergy and from lower raw material price in the quarter. As François pointed out, margin were somewhat pressured by operational issues at 2 isolated plants in our pre-Coveris operation, which we are addressing. 
In terms of synergies, from the Coveris acquisition, we have completed the first phase and exceeded the expected USD 10 million on a run-rate basis at the end of Q2. These are mainly related to procurement, and we now move to the next phase, which consists of raw material in-sourcing and are on track to realize more than USD 20 million of cost saving by May of next year. Let me now go over some of the elements that affected our profitability in the Printing sector. First, the negative noncash impact related to the deferred revenues from the end of the printing of the San Francisco Chronicle, La Presse and The Globe and Mail in the Maritimes accounted for $4.5 million of the decrease in the quarter. You can find more information on this in Table 4 of our MD&A.
Second, the organic decline in our revenues had a direct impact of $13.8 million on our adjusted operating earnings. Since our platform structural costs were flat compared to last year, this came mainly from the lower revenue from 2 retail customers, and the negative impact of $3 million from the transitional service to Hearst which ended in Q4 of 2018. In addition, please note that we had a negative impact on our margin from higher paper costs in the quarter. This includes the impact from the paper that we now supply for certain customers. In terms of cash, we generated about $40 million of the free cash flow in the quarter, net of dividend, which we almost entirely allocated to pay down debt.
That being said, our net debt declined by only $23 million because of the effect of the U.S. exchange rate. Cash flow from operating activities was about $100 million, net of $21 million of tax payment. We also allocated $24 million to CapEx. We distributed $19 million in dividends and paid $14 million of interest expense.
Please note that our effective tax rate in the quarter was 22%, which is lower than the 27% rate last year. This is mainly due to the Coveris acquisition as we generated more pretax profit in the U.S. and other jurisdictions that had a lower tax rate than our Canadian operations. At the end of the quarter, our net debt ratio stood at 2.8x, down from 3x at the end of Q1. 
Now to our outlook for fiscal 2019. In our Packaging sector, as the Coveris acquisition has now reached the first year mark, it will be reflected as a part of organic growth for the rest of the year. We expect revenues will be slightly lower for the second half of the year due to a decrease in volume in one of our segments. We expect manufacturing efficiency and synergies to drive a gradual improvement in our profit margins over the coming quarters as planned.
In our Printing sector, we should see a continuation of current trends in most of our verticals, including retailer-related service, but to a lesser extent, for the rest of the year. That said, we anticipate continuous growth in our in-store marketing product and book printing vertical. We will continue to carefully monitor print volume, and we will adjust our cost base accordingly to protect our profitability. The operational efficiency initiative already in place should have a positive effect on our profit margin during the second half of this year, including $2 million contribution to EBIT from the Brampton closure.
Cost savings from this measure should total $12 million on an annual basis. In Q3 and Q4 of 2019, we also expect a negative impact on our revenues and profitability of about $3 million per quarter related to the transitional service provided last year as part of the Hearst transaction. In the Media sector, we expect continued good performance in terms of revenues and profitability in 2019. For the 2019 P&L, assuming the stock price at the end of the quarter, you should model for full year corporate costs at EBITDA level of about $25 million. As a reminder, a change of $1 in our stock price impacts our result by close to $1 million.
Our financial expense are expected to be between $65 million and $70 million by the year-end. Our effective tax rate is expected to be in the low to mid-20s range. In terms of use of cash for the year, you can assume CapEx slightly above $100 million. This includes operational CapEx of about $80 million and an additional $20 million in strategic CapEx projects for this year. As for cash tax for the year, you can assume $75 million. To conclude, our priority is to deliver profitable long-term growth and create value for stakeholders. We expect to continue to generate significant cash flows, which should enable us to allocate capital towards reducing our debt.
On that note, we will now proceed with the question period."
Operator,1,[Operator Instructions]. Your first question comes from Adam Shine of National Bank Financial.
Adam Shine,1,"Just going to the two plants in Packaging. I think, François, on the Q1 call, I thought the impression was that one of the plants was dealing with maybe a timing issue that would resolve itself in Q2 and the other plant was still an ongoing issue that obviously you guys were focusing on addressing. Can you just to speak to what might have transpired in Q2 in regards to how these issues are continuing?"
François Olivier,1,"About the timing, about some volume that was slower in Q1 and that was hopeful that, that volume was going to be kicking in Q2. It was unrelated to these 2 plants, it was in another vertical in the TC legacy plants. And that happened. This vertical kicked in big in Q2 and fueled our 3% organic growth. So that was the main reason. That came in actually better than we thought. As far as the operational issue in 2 of our locations, one of them is actually on track and improving every month and the plan is in place and in execution. As far as the other one, we're still putting the action in place to improve the factory, but this is actually going to be taken care of, and it's going to improve towards the back end of the year for these factories."
Adam Shine,1,"Okay. We're still seeing obviously the two retailers as you mentioned since January continuing to reduce volumes and obviously derivative of that, you're adjusting the cost base to improve margins in the back half. Has there been any follow-up discussions with these two clients because the impression, sort of, I had was that this might sort of evolve during the summer as a prelude to the back part of the year where things get a bit more important in terms of use of capacity in a seasonally stronger period, but you seemed to have moved a little bit earlier with regards to the Brampton facility partial closure or staggered closure. So maybe you can talk to that dynamic and whether or not the moves by these 2 particular retailers are causing any other two retailer customers to make any adjustments?"
