speaker,q&a,content
Company Participants,0,"Gillian Manning - Head, IR
Bharat Masrani - CEO
Riaz Ahmed - CFO
Ajai Bambawale - Chief Risk Officer
Teri Currie - Group Head, Canadian Personal Banking
Greg Braca - President and CEO, TD Bank, America's Most Convenient Bank
Bob Dorrance - Group Head, Wholesale Banking"
Conference Call Participants,0,"Sumit Malhotra - Scotia Capital
Meny Grauman - Cormark Securities
Ebrahim Poonawala - Bank of America
Robert Sedran - CIBC Capital Markets
Steve Theriault - Eight Capital
Doug Young - Desjardins Capital
Gabriel Dechaine - National Bank Financial
Nigel D'Souza - Veritas Investment Research
Darko Mihelic - RBC Capital Markets
Scott Chan - Canaccord Genuity
Sohrab Movahedi - BMO Capital Markets"
Operator,0,"Good afternoon, ladies and gentlemen. Welcome to the TD Bank Group's Q2 2019 Conference Call. Please note that this call is being recorded. [Operator Instructions]
I would now like to turn the meeting over to Ms. Gillian Manning, Head of Investor Relations. Please go ahead, Ms. Manning."
Gillian Manning,0,"Thank you, operator. Good afternoon and welcome to TD Bank Group's Second Quarter 2019 Investor Presentation. My name is Gillian Manning, and I am the Head of Investor Relations at the Bank. We will begin today's presentation with remarks from Bharat Masrani, the Bank's CEO; after which, Riaz Ahmed, the Bank's CFO, will present our second quarter operating results. Ajai Bambawale, Chief Risk Officer, will then offer comments on credit quality, after which we will invite questions from prequalified analysts and investors on the phone. Also present today to answer your questions are Teri Currie, Group Head, Canadian Personal Banking; Greg Braca, President and CEO, TD Bank, America’s Most Convenient Bank; and Bob Dorrance, Group Head, Wholesale Banking. 
Please turn to slide two.
At this time, I would like to caution our listeners that this presentation contains forward-looking statements that there are risks that actual results could differ materially from what is discussed and that certain material factors or assumptions were applied in making these forward-looking statements. Any forward-looking statements contained in this presentation represent the views of management and are presented for the purpose of assisting the Bank's shareholders and analysts in understanding the Bank's financial position, objectives and priorities and anticipated financial performance. Forward-looking statements may not be appropriate for other purposes.
I would also like to remind listeners that the Bank uses non-GAAP financial measures to arrive at adjusted results to assess each of its businesses and to measure overall bank performance. The Bank believes that adjusted results provide readers with a better understanding of how management views the Bank's performance. Bharat will be referring to adjusted results in his remarks. Additional information on items of note, the Bank's reported results and factors and assumptions related to forward-looking information are all available in our Q2 2019 report to shareholders.
With that, let me turn the presentation over to Bharat."
Bharat Masrani,0,"Thank you, Gillian, and thank you everyone for joining us today.
Q2 was a great quarter for TD. Earnings increased 7% to $3.3 billion and EPS rose 8% to $1.75, driven by record results in our retail businesses, and a rebound in wholesale. We had good revenue growth in the quarter. Credit quality remained sound and we continued to invest in building the bank of the future. Our CET1 ratio held steady at 12%, including 5.5 million common shares bought back during the quarter.
Given our robust capital base and consistent ability to generate organic capital, we announced our intention today to initiate a new NCIB for the repurchase of up to 20 million common shares for cancellation, subject to regulatory approval.
Overall, I'm pleased with our results this quarter. They reflect the benefits of our diversified business mix and North American scale, as well as our risk discipline. Our proven business model is a powerful enabler, allowing us to deliver on our purpose today as we reinvest in our competitive advantages to transform the Bank for the digital age.
This quarter, we took a decisive step forward with our enterprise cloud strategy as part of a broader effort to modernize our operations and put in place a state-of-the-art technology architecture, one that increases our agility and creates productivity savings we can reinvest in delivering better customer experiences.
We participated in the launch of Verified.Me, a blockchain-enabled digital ID service, designed to allow customers to verify their identity quickly and securely, using personal information they can send to share from their bank with service providers of their choice. Verified.Me is an exciting new application of an emerging technology developed through a collaborative market-led approach that is putting Canada at the forefront of the global move to a digital ID.
We also continue to support the development of Canada's AI ecosystem. On the heels of our acquisition of Layer 6 last year, we seeding the next round of innovation with our foundational investment in Radical Ventures, an AI-focused venture capital fund. Canada has become a magnet with top AI talent globally. And we are seeing the same phenomenon at TD where the Layer 6 team has doubled in size over the past year, accelerating our ability to drive better business decisions and enhance the customer experience.
These investments are at the heart of our forward focus strategy, and there are just a few examples of how we are continuously adapting and reinventing ourselves to deliver innovative experiences for our customers. We were delighted to be recognized for our efforts on that front this quarter with not one, not two, but three J.D. Power awards for customer service excellence.
In Canada TDCT won the award for highest customer satisfaction levels among the big five banks, ranking highest in overall satisfaction, convenience and channel activities. And TD Auto Finance Canada ranked highest in dealer satisfaction among non-captive retail lenders for the second year in a row. And in the U.S., TD Bank, America’s Most Convenient Bank, received highest customer satisfaction with retail banking in the Southeast.
As I’ve often said, we don't design our strategy to win awards, we win awards because of how we execute on that strategy. It's a testament to the value of our omni-channel approach and the power of the one TD model. And none of it would be possible without our people and their relentless focus on doing more for our customers every day, across the enterprise and in each of our businesses.
Let me turn to our business segments now. Canadian Retail delivered again in Q2 with $1.9 billion, up 2% as strong revenue growth was matched by continued high level of investment. In the personal and commercial bank, our J.D. Power wins are just one outcome of putting the customer at the center of everything we do. Another is the volume growth we continue to generate as customers respond to the investments we've made in our products, platforms and advice capabilities by entrusting us with more of their business.
We also saw strong net asset growth in our wealth business as we leverage our scale to create new sources of value for our customers from digital resources, like TD Direct Investing, new goal assist tool, which enables WebBroker clients to build personalized investment plans to the new mortgage and private debt funds we launch for our private wealth clients, offering access to TD Greystone expertise in alternative assets. We’re delighted with the progress of the Greystone integration, which is bringing together two first class investment teams with complementary capabilities and highly compatible cultures.
Turning to the U.S., our U.S. Retail Bank delivered impressive results this quarter as well, with earnings up 12% to $753 million. The strong performance was driven by good revenue growth, reflecting higher deposit margins and volume growth and positive operating leverage. And with the contribution from TD Ameritrade up 27%, segment earnings rose to US$948 million, up 15% or 20% in Canadian dollars.
We've laid a strong foundation for future growth in our U.S. business. Over the past 10 years, we've been rebuilding our core infrastructure and platforms, this quarter successfully converting our small business customers to our new digital, next generation platform. Our J.D. Power win is a strong endorsement of these continued investments, and of our commitment to create experiences that respond to our customers’ evolving needs.
Rounding out our businesses. Wholesale Banking bounced back from a tough first quarter. Earnings were $221 million, reflecting higher levels of M&A and underwriting activity, alongside continued investment in the global expansion of our U.S. dollar strategy.
TD Securities also won several signature mandates. We advised Goldcorp on their US$12.5 billion merger with Newmont to create the world's leading gold company. We advised Brookfield Business Partners and CDPQ on their acquisition of Power Solutions from Johnson Controls and co-led Brookfield’s dual-currency term loan B and high yield bond financings.
In our global markets business, we were awarded our first euro benchmark mandate by KFW, the biggest SSA issuer in the euro market. The €5 billion deal is TD Securities’ largest SSA bond underwriting to date and marks a major milestone in the growth of our euro franchise. And we led TD Bank’s highly successful €1.5 billion 5-year senior debt issue, the first benchmark senior offering in the euro market from a Canadian bank bail-inable securities.
As I reflect on the first half of the year, I’m pleased with our performance. It reflects continued momentum in our franchise businesses, good credit quality and better conditions this quarter for market based revenues.
Looking ahead, the macro environment remains fluid. Trade and geopolitical tensions are heating up, and economic conditions remain mixed with several output indicators still soft, while employment growth remains strong. As we move through the second half of the year, we will remain focused on our long-term strategy, which has delivered consistent earnings growth over time and provided us with the capacity to invest in our purpose to enrich the lives of our customers, colleagues and communities.
This month, we issued two reports, demonstrating our commitment to this purpose. Our environmental, social and governance report, which presents TD's ESG scorecard for 2018 and our report on the Ready Commitment, which outlines the impact about corporate citizenship strategy in our four priority areas of environmental stewardship, financial security, connected communities and better health. I encourage you to read these reports which provide a wealth of information on the purposeful investments our strategy is enabling.
I also want to take a moment to focus on the spring flooding in Eastern Canada. These events have impacted thousands of people in multiple communities. We've taken steps to provide support including financial contributions to the Red Cross and through our branch network, as well as through direct customer outreach to help those we serve, cope with the challenges. We're also closely monitoring the fires in Western Canada and are in touch with the Red Cross to determine how best to support those affected. In these moments, we want to be there for our customers, colleagues and communities.
To wrap up, we are delivering strong results today while laying a strong foundation for the future. That includes the new workspace we are creating at 160 Front Street West, a brand new office tower in the heart of downtown Torrent. Our vision for the future of our workplaces is built around the goal of bringing our people and teams together in ways that promote collaboration and improve workflow supported by investments in the right tools and resources. 160 Front Street is a key part of this initiative. It will be a powerful complement to our flagship TD Center and a best-in-class workplace for our people, our most important asset. I will close by thanking them, our more than 85,000 colleagues around the world who are living our shared commitments each day and devoting themselves to being ready for our customers.
With that I will turn things over to Riaz."
Riaz Ahmed,0,"Thank you, Bharat. Good afternoon, everyone, and please turn to slide seven.
This quarter, the Bank reported earnings of $3.2 billion and EPS of $1.70. Adjusted earnings were $3.3 billion and adjusted EPS was at $1.75. Revenue increased 8%, reflecting volume growth and higher margins in our businesses, as well as higher fee based revenues. Provisions for credit losses decreased 26% quarter-over-quarter, primarily reflecting seasonal trends in the U.S. credit card and auto portfolios. Expenses increased 8%, reflecting continued investments in employees supporting business growth and strategic initiatives.
Please turn to slide eight.
Canadian Retail net income was $1.8 billion, up 1% year-over-year, reflecting higher revenue, partially offset by charges related to the Greystone acquisition, as well as higher expenses, insurance claims and credit losses. Adjusted net income increased 2%. Revenue increased 8%, reflecting volume growth, margin expansion, higher insurance and fee revenue, and the acquisition of Greystone. Average loans increased 6% year-over-year and average deposits increased 3%, reflecting growth in both personal and business volumes.
Margin was 2.99%, up 5 basis points sequentially, reflecting a refinement in revenue recognition assumptions in the auto finance portfolio and an increase in the Prime BA spread. Total PCL decreased 10% quarter-over-quarter with reductions in both impaired and performing PCLs. Total PCL as an annualized percentage of credit volume was 27 basis points, down 2 basis points quarter-over-quarter. Expenses increased 11%, reflecting higher spend supporting business growth, including additional FTE and volume-related costs, charges related to Greystone and increased investment in strategic initiatives, including marketing and capability builds in data and digital technology.
Please turn to slide nine.
U.S. Retail segment net income was US$948 million, up 23% year-over-year on a reported basis and 15% on an adjusted basis. U.S. Retail Bank reported earnings rose 14% on strong revenue growth of 6%. Average loan volumes increased 5% year-over-year, reflecting growth in the personal and business customer segments. Deposit volumes, excluding the TD Ameritrade’s sweep deposits, were up 4%, including 5% growth in core consumer checking accounts.
Net interest margin was 3.38%, down 4 basis points sequentially, primarily due to seasonal increases in deposits. Net interest margin was up 15 basis points year-over-year, largely reflecting higher deposit margins.
Total PCL including only the Bank's contractual portion of credit losses in the strategic cards portfolio was $170 million, down 26% sequentially, reflecting lower provisions for the commercial portfolio and seasonal trends in the credit card and auto portfolios. The U.S. Retail net PCL ratio was 45 basis points, down 14 basis points from last quarter.
Expenses decreased 2% year-over-year, reflecting the elimination of the FDIC surcharge, recovery of a legal provision this quarter and charges associated with the Scottrade acquisition in the same quarter last year. The contribution from TD's investment in TD Ameritrade increased to US$195 million, and segment ROE increased to 13.2%.
Please turn to slide 10.
Net income for wholesale rebounded sequentially to $221 million, reflecting higher trading related revenue and advisory and underwriting fees as market conditions improved. Net income was down $46 million from the same quarter last year. Revenue is comparable with Q2 of last year, but reflecting higher advisory and underwriting fees, offset by lower trading related revenue. Noninterest expenses increased 16%, reflecting continued investments in the global expansion of our U.S. dollar strategy and the impact of FX translation.
Please turn to slide 11.
The Corporate segment reported a net loss of $161 million in the quarter compared to a net loss of $163 million in the same quarter last year. Net corporate expenses were lower year-over-year, largely reflecting lower net pension expenses in the current quarter.
Please turn to slide 12.
Our common equity tier 1 ratio was 12% at the end of the second quarter, consistent with the first quarter. We had strong organic capital generation this quarter which added 40 basis points to our capital position. And this was mostly offset by growth in RWA, reflecting volume growth as well as the transition of a Canadian credit card portfolio to AIRB, as well as the repurchase of common shares in the quarter. 
Our leverage ratio was 4.2% and our liquidity coverage ratio was 135%. We announced our intention to initiate a new NCIB for upto 20 million common shares, subject to regulatory approval.
I will now turn the call over to Ajai."
Ajai Bambawale,0,"Thank you, Riaz, and good afternoon, everyone. Please turn to slide 13.
Credit quality remained strong in the second quarter across all business segments as evidenced by reductions in gross impaired loan formations, gross impaired loans and credit losses. Gross impaired loan formations were $1.34 billion or 20 basis points, down 6 basis points quarter-over-quarter and up 2 basis points year-over-year. The quarter-over-quarter decrease in gross impaired loans formation reflects higher prior quarter formations in the U.S. commercial portfolio, primarily attributable to the power and utility sector, and seasonal trends in the U.S. credit card and auto portfolios. Consistent with recent quarters, there were no new formations in the wholesale segment.
Please turn to slide 14.
Gross impaired loans ended the quarter at $3.3 billion or 48 basis points, down 5 basis points quarter-over-quarter and stable year-over-year. The U.S. Retail segment was the primary contributor to the Bank's $238 million quarter-over-quarter decrease in gross impaired loans, reflecting a reclassification to performing for certain U.S. HELOC clients, current with their payments, and seasonal trends in the U.S. credit card portfolio. The wholesale segment maintained a zero impaired loan balance quarter-over-quarter.
Please turn to slide 15.
Recall that our presentation reports PCL ratios with gross and net of the partners' share of the U.S. strategic card credit losses. We remind you that credit losses recorded in the corporate segment are fully absorbed by our partners and do not impact the Bank's net income. The Bank's PCLs for the quarter were $636 million or 39 basis points, down 11 basis points quarter-over-quarter, and up 3 basis points year-over-year. The $219 million quarter-over-quarter PCL decrease was driven by typical seasonal trends in the U.S. credit card and auto portfolios and the Canadian consumer lending portfolios.
Please turn to slide 16.
Both in impaired and performing PCL decreased quarter-over-quarter, reflecting U.S. seasonal trends, as already mentioned, generally lower performing PCL across Canadian Retail, and higher prior quarter impaired PCL in the U.S. commercial portfolio, primarily attributable to the power and utility sector. In summary, credit quality was strong across the Bank's portfolios, and we remain well-positioned for continued growth.
With that, operator, we are now ready to begin the Q&A session."
Operator,1,Thank you. We will now take questions from the telephone lines. [Operator Instructions] The first question is from Sumit Malhotra from Scotia Capital. Please go ahead.
Sumit Malhotra,1,"First question is for Riaz on capital. Riaz, one of your counterparts this morning talked to us about IFRS 16 and the impact that would have in -- to start 2020. Just thinking about that for TD and especially with your larger branch footprint. Are you able to give us an idea what you're expecting from a capital impact for that implementation?"
Riaz Ahmed,1,"We're working our way through the standard, Sumit. And as you can appreciate, there are some interpretational items that we need to work our way through and some choices that need to be made. So, we're not prepared to quantify what the impact would be. However, as you well know, when the right of used asset gets capitalized at the beginning of the next fiscal year, it will be risk weighted and impact -- I assume -- I'm expecting that impact to be very manageable."
