speaker,q&a,content
Company Participants,0,"Ian Lee - Head, Investor Relations
Michael Cannon-Brookes - Co-Founder, Co-Chief Executive Officer and Director
Scott Farquhar - Co-Founder, Co-Chief Executive Officer and Director
James Beer - Chief Financial Officer
Jay Simons - President"
Conference Call Participants,0,"Gregg Moskowitz - Mizuho Securities USA Inc. 
Nikolay Beliov - Bank of America Merrill Lynch
Ittai Kidron - Oppenheimer & Co Inc.
Bhavan Suri - William Blair & Company, LLC
Heather Bellini - Goldman Sachs Group Inc.,
Michael Turits - Raymond James & Associates, Inc.
Derrick Wood - Cowen and Company
Keith Bachman - BMO Capital Markets
John DiFucci - Jefferies
Keith Weiss - Morgan Stanley & Co. LLC.
Gray Powell - Deutsche Bank
Rishi Jaluria - D.A. Davidson
Patrick Walravens - JMP Securities
Jonathan Kees - Summit Insights Group, L.L.C"
Operator,0,"Good afternoon, ladies and gentlemen. Thank you for joining Atlassian's Earnings Conference Call for the third quarter of fiscal 2019. As a reminder, this conference call is being recorded and will be available for replay from the Investor Relations section of Atlassian's website following this call.
I’ll now hand the call over to Ian Lee, Atlassian's Head of Investor Relations. Please go ahead."
Ian Lee,0,"Good afternoon, and welcome to Atlassian's third quarter fiscal 2019 earnings conference call. On the call today with us, Atlassian's Co-Founders and Co-CEOs, Scott Farquhar and Mike Cannon-Brookes; our Chief Financial Officer, James Beer; and our President, Jay Simons.
Earlier today, we issued a press release and a shareholder letter with our financial results and commentary for our third quarter of fiscal 2019. These items also posted on the Investor Relations section of Atlassian's website at investors.atlassian.com. On our website, there is also an accompanying presentation and data sheet available. We'll make some brief opening remarks and then spend the rest of the call on Q&A.
Statements made on this call include forward-looking statements. Forward-looking statements involve known and unknown risks, uncertainties and other factors that may cause our actual results, performance or achievements to be materially different from any future results, performance or achievements expressed or implied by the forward-looking statements. You should not rely upon forward-looking statements as predictions of future events.
Forward-looking statements represent our management's beliefs and assumptions only as of the date such statements are made. For further information on these and other factors that could affect the Company's financial results is included in filings we make with the Securities and Exchange Commission from time-to-time, including the section titled Risk Factors in the most recent Form 20-F and Quarterly Report on Form 6-K.
In addition, during today's call, we will discuss non-IFRS financial measures. These non-IFRS financial measures are in addition to and not a substitute for or superior to measures of financial performance prepared in accordance with IFRS. There are a number of limitations related to the use of these non-IFRS financial measures versus the nearest IFRS equivalents and they may be different from non-IFRS and non-GAAP measures used by other companies.
A reconciliation between IFRS and non-IFRS financial measures is available in our earnings release, our shareholder letter and then now in the updated Investor Data Sheet on our IR website.
I'll now turn the call over to Scott for his brief opening remarks before we move to Q&A."
Scott Farquhar,0,"Good day, everyone. Thanks for joining today. We had another great quarter. In Q3, we achieved $309 million in revenue, up 38% year-on-year and also generated more than $127 million of free cash flow. Last week, we got to share many of our written product innovations and announcement at one of our favorite events of year, Atlassian Summit, our flagship user conference. This was our 12th Summit and the first time we've held it in Las Vegas.
When Mike and I had our first Summit 10 years ago, we could barely attract few hundred people, so it's both tumbling and awesome to see almost 5,000 people joining this year. We shared some of the biggest products announcements in our shareholder letter. Now there is too many to list, but I'll just remind the few.
We've launched Premium versions of Jira Software and Confluence in the cloud. We shared a number of new cloud features such as the introduction of Encryption at Rest and the early access launch of support for 10,000 users. We welcomed AgileCraft, the newest member of the Atlassian family and rebranded as Jira Align.
And we showcased Jira Software 8 Server and Data Center and even faster and more powerful version of Jira for our on-premises customers. I particularly like to thank those of you who are able to attend our Investor session at Summit. It was great to see so many of you there in person and see your enthusiasm for Atlassian.
Both Mike and I and the team here appreciate your continued support, and we look forward to chatting again soon.
With that, I'll pass to the operator for Q&A."
Operator,1,We will now begin the question-and-answer session. [Operator Instructions] Our first question comes from Gregg Moskowitz with Mizuho. Please go ahead.
Gregg Moskowitz,1,"Okay. Thank you very much, and good afternoon, gentlemen. Maybe just to start off, I know that you don't guide to it, but your deferred revenue did come in a fair amount, lower than most people were expecting. So I'm just curious how you would frame the impact of prior pull forward activity on billings growth and revenue growth this quarter?"
James Beer,1,"Yes. This quarter, you're quite right, when you look at the sequence of deferred revenue, we did see a different pattern emerging and this is very much driven by what we talked about last quarter, where in Q2 we saw relatively robust deferred revenue as various customers stepped in front of the price increases that we had announced in the middle part of September last year and that drove an unusual level of activity in Q2.
And so, of course, that activity was drawing from quarters such as Q3 and the fact we think that we will also draw some activity from quarters into the future as well. So, it's very much driven by that moving forward of activity into Q2, driven by customers reacting to price increases that were about to come into play."
Gregg Moskowitz,1,"Okay. Thank you, James. And then just to clarify, are you seeing or have you seen any underlying changes to demand for any of your products or across any of your geos?"
James Beer,1,"Well, we've been pleased by the underlying strength. If you look at the subscription line for example, it reflects nice ongoing strength year-over-year, particularly right across our cloud products and, of course, the data center business has accounted for within that line as well and that continues to grow as well."
Gregg Moskowitz,1,"Okay. And then just one last quick one, if I may. Given that you closed the Opsgenie acquisition about six months ago and significantly lowered the price points almost immediately after, I'm just curious to get your thoughts on what you've seen around demand elasticity for that product so far? Thank you."
Scott Farquhar,1,"It's Scott here. I'll talk about that. Well, Gregg, yes, eventually we closed Opsgenie, that's in a space we're excited about the natural adjacency to the products that we have today. And we've had a history of pricing our products aggressively to make sure we capture that market share out there and we've done that from the various with Jira and Confluence, and we've done that with other products since, you continue to see us do that, we think it's a very nice end market and at this stage we're off to capturing market share versus maximizing any individual customer. We know that happens a lot wider as you get a larger customer base."
Gregg Moskowitz,1,"Okay, tariff. Thanks very much."
Operator,1,The next question comes from Nikolay Beliov of Bank of America Merrill Lynch. Please go ahead.
Nikolay Beliov,1,"Hey, guys. Thanks for taking my questions. Hey, gents, just to follow-up on your comment about the draw forward from 3Q and forward quarters. I would imagine the draw forward from quarters after 3Q will be significant less than the impact in 3Q, correct?"
James Beer,1,"Well, I would expect it to be a lower impact as each quarter goes by. Recall when we were doing the call 90 days ago, we noted the pull-forward activity included some multi-year renewal activity. In fact, you saw that quite clearly in the sequential trend of long-term deferred revenue. So there will be a tail to this feature, but I would expect that as each quarter goes by it, it naturally diminishes somewhat."
Nikolay Beliov,1,"Got it. And you will know the pricing of the Premium additions, Jira Software is 2x higher than the current additions more or less [indiscernible] Confluence. Can you describe the genesis of Premium and what do you think the addressable audience you've got before that as proportion of the business?"
Michael Cannon-Brookes,1,"Hi, Nikolay. Yes, sure. It's Mike here. I can talk to that. Look, as our cloud offering continues to grow, as we said, we now crossed the 100,000 cloud customers. We necessarily start getting more advanced customers with advance used cases that need more specific functionality to tailor to their use case and that's really the genesis of Premium.
We've always tried to be very customer labor in introducing new offerings or additions and Premium is no different as we get advanced Jira Software and Confluence customers in that 100,000 that continue to push the envelope of what they required. That's where the Premium comes from. You're right about the pricing. Obviously, we've only just opened the Early Access Program last week, so more to come about how that's going, very, very early days."
Nikolay Beliov,1,Thank you.
Operator,1,The next question comes from Ittai Kidron with Oppenheimer. Please go ahead.
Ittai Kidron,1,"Hi, guys. A couple of questions from me. First on the OpEx guidance, I guess the operating margin guidance for the next quarter, James, it implies a significant increase in OpEx now, maybe you can kind of dig into that, what's behind us. I'm looking – last couple of years, the implied increase here is more than double what it was in the two previous years, so any color you can give us on that?"
