speaker,q&a,content
Company Participants,0,"John Mills - ICR, Inc., IR
David Meyer - Chairman and CEO
Mark Kalvoda - Chief Financial Officer"
Conference Call Participants,0,"Steve Dyer - Craig-Hallum
Mig Dobre - Robert W. Baird
Rick Nelson - Stephens, Inc.
Larry De Maria - William Blair"
Operator,0,"Greetings. And welcome to the Titan Machinery First Quarter Fiscal 2020 Earnings Call. At this time all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. [Operator Instructions]
As a reminder, this conference is being recorded. I would now like to turn the conference over to your host, Mr. John Mills, with ICR. Thank you. You may begin."
John Mills,0,"Great. Thank you. Good morning, ladies and gentlemen. And welcome to the Titan Machinery first quarter fiscal 2020 earnings conference call. On the call today from the company are David Meyer, Chairman and Chief Executive Officer; and Mark Kalvoda, Chief Financial Officer.
By now, everyone should have access to the earnings release for the fiscal first quarter ended April 30, 2019, which went out this morning at approximately 6.45 a.m. Eastern Time. If you have not received the release, it is available on the Investor Relations page of Titan’s website at ir.titanmachinery.com. This call is being webcast and a replay will be available on the company’s website as well.
In addition, we are providing a presentation to accompany today’s prepared remarks. You may access the presentation now by going to Titan’s website at ir.titanmachinery.com. The presentation is available directly below the webcast information in the middle of the page.
You will see on the slide two of the presentation our Safe Harbor statement. We would like to remind everyone that the prepared remarks contain forward-looking statements and management may make additional forward-looking statements in response to your questions.
These statements do not guarantee future performance, and therefore, undue reliance should not be placed upon them. These forward-looking statements are based on current expectations of management and involve inherent risks and uncertainties, including those identified in the Risk Factors section of Titan’s most recently filed annual report on Form 10-K.
These risk factors contain a more detailed discussion of the factors that could cause actual results to differ materially from those projected in any forward-looking statements. Except as may be required by applicable law, Titan assumes no obligation to update any forward-looking statements that may be made in today’s release or call.
Please note that during today’s call, we will discuss non-GAAP financial measures, including results on an adjusted basis. We believe these adjusted financial measures can facilitate a more complete analysis and greater transparency into Titan’s ongoing financial performance, particularly when comparing underlying results from period-to-period. We have included reconciliation of these non-GAAP financial measures to their most directly comparable GAAP financial measures in today’s release.
The call will last approximately 45 minutes. At the conclusion of our prepared remarks, we will open the call to take your questions.
Now, I’d like to introduce the company’s Chairman and CEO, Mr. David Meyer. Go ahead, David."
David Meyer,0,"Thank you, John. Good morning, everyone. Welcome to our first quarter fiscal 2020 earnings conference call. On today’s call, I will provide a summary of results, then an overview for each of our business segments. Mark will then review financial results for the first quarter of fiscal 2020 and then conclude by reviewing our updated modeling assumptions for our fiscal 2020.
If you turn to slide three, you will see an overview of our first quarter financial results. Our first quarter revenue was $278 million, with adjusted pretax income of $600,000 and adjusted earnings per diluted share of $0.02.
We generated solid top and bottomline results during the first -- the fiscal first quarter by achieving healthy growth across all segments of our business, despite challenging industry conditions that continue to persist.
We are particularly pleased with strong increases in our higher margin parts and service businesses, which grew double digits in the quarter. The solid performance in this area, combined with higher equipment sales drove increased profitability across all our reporting segments versus the prior year period.
I will now provide additional detail for our three operating segments, consisting of our domestic agriculture and construction segments, and our international segment.
On slide four is an overview of our domestic agricultural segment. Across most of our ag footprint, our former customers are experiencing an abnormally late cold and wet spring. This has caused the delayed planting and this prolonged wet spell has the potential to impact yields, crop selection and in some cases fields will not be planted and growers will opt for the multi-peril crop insurance payment.
Farmers’ incomes continue to be negatively impacted by low commodity prices, which is partially attributable to retaliatory Chinese tariffs. In response, last week, the USDA announced the 2019 market facilitation program, which will provide $14.5 billion in direct payments to farmers.
According to a recent USDA press release, President Trump directed Secretary Perdue to craft a release strategy to support American agricultural producers, while the administration continues work on free, fair and reciprocal trade deals to open more markets in the long run to help American farmers compete globally.
While all the final details of this program are yet to be released, early indications point to a high percentage of the aid going to soybean and wheat producers. We continue to see our growers fleet duty cycle increasing as their current fleet is becoming more aged, along with incurring a higher number of our machine hours. This aged fleet along with the benefits of new technology is creating replacement demand for new equipment purchases.
Positive yield trends and carryover from last year’s excellent crop is supporting farmers’ ability to maintain current, productive and reliable equipment fleets. In addition, for the growers who are not updating their fleets, the aged and high yield equipment typically requires more parts and service repair, and our customers will be looking to us for aftermarket support, which is an important part of our business model and integral to our long-term strategy and focus.
Turning to slide five, you will see an overview of our domestic construction segment. The strong economy continues to positively impact the construction equipment industry. In addition, the higher oil prices we have been experiencing spurs demand for construction equipment for both oil production and related infrastructure.
While we are seeing stronger demand in the metro areas, the rural construction equipment markets continue to be negatively impacted by the depressed farm commodity prices. We continue to target our farmer customers as an outlet for used construction equipment.
Our rental utilization is trending positively due to the steady demand and our fleet rationalization efforts. The operational improvements we have been implementing in our construction equipment stores are producing results as evidenced by our year-over-year first quarter improvements to our top and bottomlines in our construction equipment segment.
In addition, with our strong first quarter and confidence in our construction equipment business for the balance of the year, we have raised our construction segment revenue modeling assumptions from up 0% to 5%, to up 5% to 10%.
On slide six, we have an overview of our international segment, including our markets within the countries of Bulgaria, Germany, Romania, Serbia and Ukraine. Crop development and growing conditions across much of our footprint is good to average.
We see overall stability in these regions, continued global investment and with the aged machine population a long runway of parts and service revenue growth as the machinery part increases along with the complexity and sophistication that comes with modern farming in these developing markets. Again, we experienced another quarter of solid performance and bottomline contribution from our international segment.
Before I turn the call over to Mark, I want to thank all our employees for their efforts in executing on a solid first quarter. As noted in our release, we paid off the remaining principal balance of our original $150 million senior convertible notes on May 1 in conjunction with the maturity of the security.
Again, I want to thank our team for their operational execution that allowed us to retire this debt in the face of some very challenging industry conditions. Our balance sheet remains strong and put us in a good position as acquisition opportunities arise.
Now, I’d like to turn the call over to Mark to review our financial results in more detail."
Mark Kalvoda,0,"Thanks, David. Turning to slide seven, we achieved total revenue of $278 million for the fiscal 2020 first quarter, an increase of 14.2% compared to last year. Our revenue increase was across all our business segments and across all revenue categories.
Equipment revenue was up 15.6%, parts and service was up 10.7% and 14%, respectively. All these of these revenue categories benefited from our AGRAM acquisition, which occurred in July of last year. Excluding this acquisition, our same-store sales were up 11.1%, compared to the first quarter last year that was down about 7%.
Our rental and other revenue increased 6.7% in the first quarter due to a higher level of inventory rentals. Our dollar utilization of our designated rental fleet in our construction segment improved to 20.5% for the current quarter, compared to 18.3% in the same period last year.
On slide eight, our gross profit of $54 million for the quarter was an increase of 13.2% compared to the same period last year, primarily driven by higher revenues. Gross margin decreased by 10 basis points to 19.4% versus the prior year due to slightly lower equipment margins and a shift in gross profit mix.
Our operating expenses increased by $5.9 million to $53 million for the first quarter of fiscal 2020. The increase was impacted by our AGRAM acquisition in the third quarter last year, costs associated with the transition of our ERP application, as well as higher variable expenses such as commissions on the increased revenues.
As we previously communicated, we are undergoing an ERP system implementation, which is expected to impact GAAP earnings this fiscal year by approximately $0.25 per share. We view these expenses as non-recurring in nature and for the first quarter these expenses were just over $1 million or $0.04 per share.
Despite these increases, we were able to achieve greater operating leverage during the quarter. As a percentage of revenue, operating expenses improved in the first quarter to 18.9%, compared to 19.2% in the same quarter last year.
Floorplan and other interest expense decreased 26.5% to $2.5 million in the first quarter of fiscal 2020, compared to $3.4 million in the same quarter last year. This reduction was primarily due to our lower level of interest bearing inventory and a decrease in interest expense on our lower principal balance of senior convertible notes.
In the first quarter of fiscal 2020, our adjusted net income was $500,000, compared to an adjusted loss of $1.6 million in the prior year. Our adjusted earnings per diluted share were $0.02, compared to an adjusted loss per diluted share of $0.07 in the first quarter of last year.
For the first quarter of fiscal 2020, adjusted EBITDA improved to $6.3 million, compared to $5.3 million in the first quarter of last year. You can find a reconciliation of adjusted net income, adjusted EPS and adjusted EBITDA to their most directly comparable GAAP amounts in the appendix to the slide presentation.
On slide nine, you will see an overview of our segment results for the first quarter of fiscal year 2020. Agriculture revenues were $154 million, an increase of 8.3%. We experienced a good start to the year, despite ongoing industry headwinds, with healthy increases in equipment, parts and service revenue compared to an ag segment that was down 12.5% in the first quarter last year. The increased revenue generated the improved adjusted pretax income of $1.9 million, compared to $1.3 million in the prior year period.
Turning to our construction segment. Revenue increased 15.9% to $71 million compared to the prior year period. The segments adjusted pretax loss improved by $800,000 to a first quarter loss of $2.1 million. The improvement in segment results was primarily the result of increased revenue. This marks the third consecutive quarter of increased quarter-over-quarter top and bottomline results in this segment as we continue to drive this segment to profitability.
In the first quarter of fiscal 2020, our international segment revenue was $54 million, an increase of 32.2% compared to the same quarter last year. The revenue increase was driven by contributions from our AGRAM acquisition, which was completed early in the third quarter of fiscal 2019, as well as revenue increases throughout the rest of our European footprint. Our international segment adjusted pretax income was $200,000, compared to an adjusted pretax loss of $100,000 in the same quarter last year.
On slide 10, we provide an overview of our balance sheet highlights at the end of the first quarter of fiscal 2020. We had cash of $63 million as of April 30, 2019. Our equipment inventory at the end of the first quarter was $490 million, an increase of $73 million from January 31, 2019, reflecting a $94 million increase in new equipment, partially offset by a $22 million decrease in used equipment.
The equipment inventory turns increased to 1.8 in the current year, compared to 1.7 in the prior year. I will provide a little more color on our inventory on the next slide.
Our rental fleet assets at the end of the first quarter increased to $114 million, compared to $111 million at the end of fiscal 2019. We continue to anticipate that our fleet size will be around the $110 million level by the end of fiscal 2020.
As of April 30, 2019, we had $374 million of outstanding floorplan payables on $640 million of total floorplan lines of credit. We continue to have ample capacity in our credit lines to handle our equipment financing needs.
Our total liabilities to tangible net worth ratio was a healthy 2.1. This ratio was impacted by the current quarter adoption of the new lease accounting standard, which require the recording of lease liabilities have an approximate impact of 0.4 on this metric. The ratio of 2.1 is well below the ratio of 3.5, which is the leverage covenant required of our larger bank facilities.
At the end of the first quarter, we had $46 million of outstanding senior convertible notes. On May 1, 2019, the maturity date of this security, we repaid the outstanding principal balance using cash on hand and our existing lines of credit.
Significant cash generation over the past few years allowed us to repay these notes in full without having to replace them with another long-term debt facility. With the retirement of this debt behind us and our expectation of another good year of generating cash from operations, we are in a solid liquidity position during a period of volatility and uncertainty, particularly within our ag segment.
Turning to slide 11, I would like to provide additional information on our equipment inventory. As I just mentioned a few minutes ago, in the current quarter we experienced seasonal stocking of new equipment inventory and saw a nice reduction in used inventory levels. These changes are reflected in the size of the red and blue bars in the current quarter on this slide.
We are maximizing our non-interest bearing terms from our manufacturers. The dollar amount of non-interest bearing inventory is reflected in the grey bars next to the inventory levels. As an example, in the current quarter, we had total equipment inventory of $490 million, of which $232 million or 47.4% was non-interest bearing. Since fiscal 2017, the chart clearly demonstrates increasing levels of non-interest bearing inventory on relatively flat total equipment inventory levels.
The primary driver of this improvement is the reduced aging of our inventory as a result of our ongoing life cycle management efforts, as more of our inventory remains under interest free terms with our manufacturers. This improvement has been the primary reason for the reduction in floorplan interest expense over the past few years.
We expect that equipment inventories will increase in the second quarter of fiscal 2020 and then reduce in the back half of the year. Non-interest bearing inventory levels will follow that seasonal trending as well.
Slide 12 provides an overview of our cash flows from operating activities for the first three months of fiscal 2020. The GAAP reported cash flow provided by operating activities for the period was $3 million.
As part of our adjusted cash flow used for operating activities, we include all equipment inventory financing, including non-manufacturer floorplan activity, our adjustments for non-manufacturer floorplan payables was $13 million for the first three months of fiscal 2020.
We also adjust our cash flow to reflect the constant equity in our equipment inventory, which enables us to evaluate operating cash flows, exclusive of changes in our equipment inventory financing decisions.
The equity and our equipment inventory decreased 10.8 points to 23.6% during the three months period ended April 30, 2019 and the adjustment for constant equity in equipment inventory represents a $53 million use of cash. The decrease in equipment -- or the decrease in equity in our inventory is primarily due to the seasonal stocking of new equipment inventories in the current quarter and the higher level of floorplan financing available on such inventories, as well as borrowing more on our floorplan lines in preparation for the repayment of the outstanding balance of our convertible notes, which occurred on May 1, 2019.
After all the adjustments, our adjusted cash flow used for operating activities was $37 million for the three months period ended April 30, 2019, compared to $26 million for the same period last year.
Slide 13 shows our updated fiscal 2020 annual modeling assumptions. We are increasing our revenue modeling assumptions for construction to reflect the relative strength we had -- we experienced during the first quarter and our expectations for the balance of fiscal 2020. Our updated construction segment assumption is a growth of 5% to 10% versus flat to up 5% previously.
We are maintaining the assumptions for agriculture at flat and international add up 10% to 15%. Recall that our range for international includes the revenue contribution from the AGRAM acquisition, which closed in July 2018.
Despite the solid first quarter performance, we remain cautious due to the uncertainty in the ag industry. Therefore, we are maintaining our expectation for adjusted diluted earnings per share in the range of $0.75 to $0.95 for fiscal 2020.
Operator, we are now ready for the question-and-answer session of our call."
Operator,1,Thank you. [Operator Instructions] Our first question comes from the line of Steve Dyer with Craig-Hallum. Please proceed with your question.
Steve Dyer,1,"Thank you. Good morning. A question on ag in the quarter, obviously, a really strong resilient quarter, given a pretty tough backdrop for your footprint. What do you sort of attribute that to, is that just upgrade cycle or maybe a little bit more color as to what drove that strength?"
David Meyer,1,"Steve, good morning. This is Dave. I think there -- if you look at last year, I think, there was some carryover there, we had actually use pretty much across our whole footprint and some of that typically carries over into the following year.
Definitely a replacement demand is real out there in the age and the hours on the equipment started increasing. And another -- at the end of the year last year, the soybean growers from this 2018 markets facilitation program pickup another $1.65 for our report of the soybeans they had.
If you look at the last year -- this time of year last year, a lot of the growers they were able to contract soybeans up over that $10 level. I think there were some pretty good corn contracts at times. So with that good year last year, with some pretty good contracting, the $1.65 market facilitation shot in the arm, put while our growers and some pretty good position here to really take care of their equipment needs as they go into this year’s planting season. So that’s what we attribute that to."
Steve Dyer,1,"Great. Got it. Helpful. And then, corn, which you guys have always been fairly correlated to despite nicely north of $4 a bushel here in the last few weeks, I guess, one, do you have any view on the sustainability of that? And then, two, is that something that can change sentiment in your view, and if so, sort of that need to stay that way before farmers start sort of viewing things differently? Thank you."
