type,name
Executives,Debra McConnell - Senior Vice President and Global Communications
Executives,Ernie Herrman - President and Chief Executive Officer
Executives,Scott Goldenberg - Senior Executive Vice President and Chief Financial Officer
Analysts,Matthew Boss - J.P. Morgan
Analysts,Alexandra Walvis - Goldman Sachs
Analysts,Michael Binetti - Credit Suisse
Analysts,Paul Lejuez - Citigroup
Analysts,Kimberly Greenberger - Morgan Stanley
Analysts,Omar Saad - Evercore ISI
Analysts,Lorraine Hutchinson - Bank of America Merrill Lynch
Analysts,Roxanne Meyer - MKM Partners
Analysts,Ike Boruchow - Wells Fargo Securities
Analysts,Simeon Siegel - Nomura Instinet
Analysts,Marni Shapiro - The Retail Tracker
