speaker,q&a,content
Company Participants,0,"Gar Jackson - IR, Global IR Group
Ed Thomas - President and Chief Executive Officer
Michael Henry - Chief Financial Officer"
Conference Call Participants,0,"Dave King - ROTH Capital Partners
Jeff Van Sinderen - B. Riley FBR
Janet Kloppenburg - JJK Research
Mitch Kummetz - Pivotal Research
David Buckley - Bank of America Merrill Lynch
Sharon Zackfia - William Blair and Company"
Operator,0,"Ladies and gentlemen, greetings and welcome to Tilly's, Inc. First Quarter 2019 Earnings Results Conference Call. [Operator Instructions] As a reminder, this program is being recorded.
It is now my pleasure to introduce your host, Gar Jackson of Investor Relations. Thank you. You may begin."
Gar Jackson,0,"Good afternoon, everyone, and welcome to the Tilly's fiscal 2019 first quarter earnings call. Ed Thomas, President and CEO; and Michael Henry, CFO will discuss the company's results and then host the Q&A session.
For a copy of Tilly's earnings press release, please visit the Investor Relations section of the company's website at tillys.com. From the same section, shortly after the conclusion of the call, you will also be able to find a recorded replay of this call for the next 30 days.
Certain forward-looking statements will be made during this call that reflect Tilly's judgment and analysis only as of today, May 29, 2019, and actual results may differ materially from current expectations based on a number of factors affecting Tilly's business. Accordingly, you should not place undue reliance on these forward-looking statements. For a more thorough discussion of the risks and uncertainties associated with any forward-looking statements, please see the disclaimer regarding forward looking statements that is included in our fiscal 2019 first quarter earnings release, which was furnished to the SEC today on Form 8-K, as well as our other filings with the SEC referenced in that disclaimer.
Today's call will be limited to one hour and will include a Q&A session after our prepared remarks.
I will now turn the call over to Ed."
Ed Thomas,0,"Good afternoon, everyone and thank you for joining us today. Both our top line and bottom line results for the first quarter of fiscal 2019 were on the higher side of our outlook ranges. After a slow start to the quarter due to unseasonably poor weather and the late Easter shift this year, our business rebounded during April to produce a positive 2.4% total comp in earnings per share of $0.02 for the quarter.
Footwear was again our strongest performer with a low double-digit percentage comp sales increase over last year. Men's accessories and Boys were all up low single digits. Girl's and Women's were down mid to high single digits with weakness in fashion tops and dresses. Fashion bottoms and swim were also weak within Women's.
Turning to real estate, we opened one new full-size store in Chico, California and closed our original RSQ pop-up store in Dallas upon lease expiration during the first quarter. In the second quarter, we will open one new full-size store at Natick, Massachusetts in mid-June and have just closed our Cerritos, California RSQ pop-up store due to landlord recapture.
We currently expect to open up five new full-size stores during the third quarter and up to six during the fourth quarter, bringing the total number of new store openings for the year up to 13. 5 of these 13 new stores have fully executed leases as of today. Given that, we expect to open full-size stores in both King of Prussia and Del Amo later this year. Our remaining two RSQ stores will close upon the opening of the new full-size stores in those properties.
We've also completed negotiations for just over a quarter of the nearly 80 lease action decisions to be made this year, which we anticipate will continue to improve our occupancy cost structure going forward. At this time, we have no additional known store closures although a few may still occur as we finalize negotiations on our various lease actions.
Despite the expected closure of our initial four RSQ pop-ups, we've learned a lot from them and are actively working on establishing RSQ as a permanent concept. We do not have any signed leases as of today, but we have received meaningful interest from certain members of the retail landlord community about adding RSQ stores to their properties. We believe that this can be a growth vehicle for us to complement our traditional full-size stores, while also strengthening our proprietary brand recognition.
Next, I'd like to discuss our continued focus on customer engagement, brand awareness and driving store traffic. We formally announced our new partnership with the High School Esports league in mid-April. This league is the largest Esports league at the high school level in the country, encompassing approximately 1,500 schools nationwide.
We're excited about the opportunities this partnership may provide to bring step -- to bring new eyes to Tilly's and inspire creative fun experience for our customers to help drive in-store traffic. Additionally, we're working on several other promising efforts to improve brand awareness and customer engagement for the remainder of the year. While we are not ready to go into detail on any of these items at this time, all are aimed at continuing to improve customer engagement and brand awareness for our company.
Turning to technology, we expect to launch an expanded loyalty program and enhanced mobile app during the second quarter. We also expect to be able to go live with a buy now pay later program during the second half of the year, likely, in between back-to-school and holiday season, holiday shopping seasons. We remain committed to investing and our customer facing technologies to further strengthen customer engagement and provide convenience to drive sales.
Turning to the second quarter, we are off to a slow start across almost all geographies and all spring summer products. Total comp sales were down 6.6% through Memorial Day weekend, consistent with store traffic thus far. We believe this deceleration is mostly weather-related given the cool and wet weather patterns we've experienced across much of the country, particularly, here in California where 95 of our 228 stores reside.
It is essentially the same assortment that produced a positive 2.4% comp in the first quarter that have suddenly decelerated in May. In Florida, and in the Northeast where weather turned quite warm last week, we posted positive comps. This gives us some confidence that our results will improve from where they are currently. By the time, the quarter is complete assuming more normal weather patterns occur from here.
Michael will now provide details of our first quarter operating performance and introduce our second quarter earnings outlook. Mike?"
Michael Henry,0,"Thanks, Ed. Good afternoon, everyone. Our fiscal 2019 first quarter operating results compared to last year's first quarter were as follows: total net sales of $130.3 million increased by $6.7 million or 5.4% from $123.6 million last year.
Total comparable store net sales including e-commerce increased 2.4% on top of last year's 0.1% total comp sales increase. E-comm net sales increased 29.6% and represented approximately 15.1% of our total net sales this year compared to a decrease of 7.2% and a 12.2% share of our total net sales last year.
Store comps decreased 1.4% and represented approximately 84.9% of our total net sales this year compared to an increase of 1.2% and 87.8% share of our total net sales last year. We ended the first quarter with 229 total stores compared to 222 total stores last year both inclusive of three RSQ branded pop-up stores.
Gross profit, including buying, distribution and occupancy expenses was $35.7 million or 27.4% of net sales compared to $35.0 million or 28.3% of net sales last year. The 90 basis point decline in gross margin was primarily attributable to an 80 basis point increase in e-comm shipping costs associated with e-comm net sales growth and the 70 basis point decline in product margins primarily due to higher markdowns.
These variances were partially offset by 60 basis points of improved leverage of occupancy and buying costs as a percentage of net sales.
Regarding the legal settlement coupons, we issued last September less than 2% have been redeemed to date resulting in no material impact on our business. All such coupons will expire on September 4 of this year. While it can be no guarantee that redemptions will remain immaterial during the upcoming back-to-school season we're not expecting any meaningful impacts on our business during the final three months of the redemption period based on the redemption results thus far.
Total SG&A expenses were $35.5 million or 27.3% of net sales compared to $33.6 million or 27.2% of net sales last year. SG&A increased by approximately $1.9 million primarily due to higher store payroll costs of approximately $1 million arising from minimum wage and annual merit increases together with higher e-comm marketing and fulfillment expenses of approximately $0.8 million associated with e-comm net sales growth.
Operating income was $0.1 million or 0.1% of net sales, compared to $1.3 million or 1.1% of net sales last year. This decline in operating results was largely attributable to the increased costs associated with e-comm net sales growth and the minimum wage impact on store payroll noted earlier, partially offset by the positive impact of improved comp sales results.
Other income increased to $0.8 million from $0.4 million last year, primarily due to higher interest rates on our cash and marketable securities investment portfolio compared to last year. Income tax expense was $0.3 million or 30.6% of pre-tax income compared to $0.5 million or 28.6% of pre-tax income last year.
This year's income tax rate includes approximately $39,000 of discrete items relating to employee stock-based compensation. We continue to expect our effective income tax rate to be approximately 27% on a quarterly basis for the remainder of fiscal 2019, absent discrete items.
Net income was $0.7 million or $0.02 per diluted share compared to $1.2 million or $0.04 per diluted share last year. Weighted average diluted shares for the quarter were 29.8 million versus 29.4 million last year.
Turning to our balance sheet, we ended the first quarter with cash and marketable securities totaling $109.8 million and no debt compared to $105 million and no debt last year. In February 2019, we paid a special dividend to stockholders for the third consecutive year. This year's special dividend totaled approximately $29.5 million in aggregate or $1 per share. We ended the quarter with inventories up 1.8% below our comp sales increase of 2.4% and with a more current inventory aging compared to last year. Total capital expenditures were $3.1 million compared to $2.9 million last year.
Now turning to our outlook for the second quarter of fiscal 2019. As Ed noted earlier, the second quarter is off to a slow start with total comps down 6.6% through Memorial Day weekend. However, we believe our results will improve over the remainder of the quarter assuming more normal weather patterns occur. Accordingly, based on current and historical trends, we expect total net sales to range from approximately $154 million to approximately $159 million based on a decrease of 1% to 4% incompatible store net sales for the quarter.
Operating income to range from approximately $6.5 million to approximately $8.5 million and earnings per diluted share to range from $0.17 to $0.23. This outlook assumes no non-cash store asset impairment charges and effective income tax rate of approximately 27% and weighted average diluted shares of approximately 30 million. We expect inventories per square foot to remain consistent with our comp sales performance.
Operator, we will now go to Q&A."
Operator,1,"Thank you. Ladies and gentlemen, we will now be conducting our Q&A session. [Operator Instructions] Our first question comes from the line of Dave King with ROTH Capital. You are now live."
Dave King,1,"Thanks. Good afternoon, guys."
Ed Thomas,1,Hi.
Dave King,1,"I guess first on the quarter to date performance in Q2, how did e-commerce perform versus the down 6.6% and more importantly what’s embedded in your guidance for the full quarter?"
