type,name
Executives,"Brennen Arndt - Senior Vice President, Investor Relations"
Executives,Jeff Quinn - President and Chief Executive Officer
Executives,John Romano - Chief Commercial Officer
Executives,Jean-François Turgeon - Chief Operating Officer
Executives,Tim Carlson - Chief Financial Officer
Analysts,John McNulty - BMO Capital Markets
Analysts,Frank Mitsch - Wells Fargo
Analysts,Hassan Ahmed - Alembic Global
Analysts,Duffy Fischer - Barclays
Analysts,Matthew DeYoe - Vertical Research
Analysts,John Roberts - UBS
Analysts,Brian Lalli - Barclays
Analysts,Wayne Cooperman - Cobalt Capital
Analysts,James Hayter - Rossport
