speaker,q&a,content
Operator,0,"Excuse me, everyone we now have our parties in conference. And I would like to now turn the conference over to Eric Lundberg. Sir, please begin."
Eric Lundberg,0,"Good morning and thank you. Thank you for joining us to discuss TheStreet's Financial and Operating Results for the Third Quarter of 2018. Joining me on the call today is David Callaway, TheStreet's President and Chief Executive Officer.
I am in New York City headquarters, while Dave is out of the office traveling on a family matter. Before we begin, I'd like to remind you that management will make forward looking statements during the course of this call and our actual results could differ materially. Some of the risks and uncertainties that could impact our business are included in our 10-K. In addition, our presentation will include non-GAAP financial measures and we have provided reconciliations to the most comparable GAAP measures in our earnings press release, which is available on our website.
First I'd like to remind you that due to the sale of our RateWatch business on June 20th of this year, the year-to-date 2018 operating results and Q3 results, exclude RateWatch, as it's now reflected as discontinued operations. Secondly, last quarter, I started off by saying that despite the lack of revenue reported, the underlying metrics and trends we saw from our consumer business supported a positive outlook. I am happy to report that as promised, we had our first year-over-year earned subscription revenue growth in over three years in the final month of the third quarter.
Along with our strong B2B business, which continues to impress, we expect to generate a steady flow of revenue, both deferred and earned, going forward, and Dave and I looking forward to provide you with more detail and color on both our consumer and institutional businesses. Total revenues for Q3 were $13 million, down $300,000 or 2% from Q3 of last year. Net loss from continuing operations was $1.1 million for Q3 compared to a net loss of $700,000 from the prior year. Adjusted EBITDA for the third quarter of this year was $100,000 compared to $1.1 million from the prior year period. I know I've stated this each quarter, but the reported declines are the result of $670,000 decline in our advertising revenue due to the strategic shift we made to focus more on our subscription-based consumer business model and less focus on marginally profitable advertising.
I am pleased to report that as a result of our efforts the total company deferred revenue grew to $22.6 million for the third quarter, up $2.4 million or 12% compared to Q3 last year and up $3 million or 15% from December 2017. The $2.4 million increase quarter-over-quarter is essentially half B2B and half B2C. Business-to-Consumer revenue totaled $6.7 million for the third quarter of this year, down $650,000 or 9% compared to the third quarter of last year due to the decline in advertising revenue, as I mentioned, which was down $670,000. B2C subscription revenue for the third quarter of this year was $4.9 million, which was flat with the third quarter of last year. B2C premium deferred subscription revenue grew almost $1.2 million or 12% as compared to Q3 last year. That's now year-over-year increases for three consecutive quarters and we have begun to see that translate into earned revenue in our financials as September was the first month with earned year-over-year subscription revenue increase in more than three years. As I just mentioned, deferred subscription revenue is up $1.2 million or 12%, September '18 versus September '17. Looking back further and comparing September '17 to December '16, deferred revenue was down $900,000, that's a swing of more than $2 million in deferred revenue over the last two years.
As we told you last quarter, we have significantly upgraded our technology capabilities, which has, among other things, improved our sales and marketing efforts and we have already seen the positive results. For example, new total orders and bookings from marketing are up 55% year-over-year due to these new technologies, which are helping us to be smarter, more targeted and more dynamic. If we take a look even closer, we see new orders from our website are up 34% year-over-year and website conversion rate is up 179%. New orders from the e-mail channel are up almost 100% year-over-year and new orders from external channel are up 19%.
Total paid count is up year-over-year for the first time since 2015, and it's the seventh consecutive month of month-over-month growth in total paid amount in our premium business. Both total gross orders and bookings, new and renewals, for Q3 of this year versus Q3 of last year are up 8%. And despite a 14% decrease in the renewal pool, total gross renewal orders are up 7% year-over-year. Conversion rates are now over 60% compared to 45% in the prior year and renewal rates are over 70% through September compared to mid-60s last year. Along with the increase in average revenue recognized per sub, average churn improved to 3.94% for the third quarter of this year from 4.2% for the third quarter of last year.
The result of this strong performance of these underlying metrics is why the deferred revenue, as I mentioned earlier, is up, and I'm happy to say that were just beginning to see the deferred revenue becoming earned revenue. That is not just a turnaround, but the way a successful subscription business works.
On the event side of our consumer business, we generated $125,000 in the quarter, up $113,000 from 2017. We already have substantial revenue committed for consumer events in Q4, proving once again that this is a reliable and growing source of revenue for us going forward. B2C advertising revenue continues to decline, down $700,000 to $1.5 million for the quarter, but this is not the primary driver of our business anymore and the success of our more stable subscription business model is proving it's worth the effort for the long term.
Turning to our B2B business. B2B revenue, which include subscription, information services and events for our B2B products totaled $6.3 million for the third quarter, up $300,000 or 5% as compared to the third quarter of last year. Year-to-date GAAP revenue is up 8.3%. B2B deferred revenue at the end of the third quarter of this year increased $1.2 million or 12% in the third quarter of last year.
Looking at the products individually. BoardEx, in Q3 BoardEx had overall revenue growth of 10% with subscriptions growing almost 11% year-over-year. Renewal rates continue to impress at approximately 96% through September. The success of BoardEx has allowed us to invest in technology and bring on key employees like our new Head of Sales, Mark Hevey, who came to us from Thompson Dow Jones. And we continue to sign up major financial and legal institutions. In fact, new subscription sales are expected to surpass prior year levels.
The Deal. The Deal continues to show a positive trajectory with Q3 revenue up 1%. Just like BoardEx, customers are sticking around as the Deal's net renewal rate was approximately 96% also through September. We want to reward our customers for their loyalty and provide them with the tools and analysis they need to improve their business. For example, we recently relaunched and expanded our private equity coverage, which so far has been very well received. The Deal continues to put on must attend events, this time expanding geographically to Chicago, where we held our first ever Deal Economy event other than in New York in this third quarter. We had a packed house and we're able to generate almost $150,000 in revenue from this inaugural event. Just a few weeks prior to that, we held our first ever Deal Awards event in London, and we also have our Deal Economy event coming up later this year in New York City. These events have generated revenues of approximately $400,000 to date as we continue to establish, grow and provide relevant and engaging premier events for the financial community.
Turning to operating expenses for Q3, operating expenses for the quarter were $14.9 million as compared to $13.8 million for the third quarter of last year, an increase of $1.1 million between the 2 periods. $400,000 of the increase was a noncash comp due to the issuance of RSUs for key employee retention efforts. The remaining operating expense increase for the quarter was the result of an increase in bonus and commissions from stronger performance over the prior year as well as annual merit increases. Remember, we are almost 82% subscription revenue and deferred subscription revenue is up 12% at the end of Q3. We pay commissions based off sales, not earned revenue. 
In addition, higher year-over-year costs were incurred related to increased sales and marketing efforts, which as I mentioned earlier, has paid off with increased new orders from many of our channels. The company also incurred higher year-over-year professional advisory fees related to it strategic planning efforts as we continue to focus on increasing shareholder value. These increased costs were partially offset by planned reductions in traffic acquisition costs related to our advertising, lower freelance costs and favorable exchange rates.
Turning to the balance sheet. The company ended the third quarter of this year with cash and cash equivalents, restricted cash and marketable securities of $43.2 million, up $29.3 million as compared to $13.9 million at year-end 2017. While the lion's share of this increase was the $28.2 million in net proceeds from the sale of RateWatch, we also continued to generate cash from our operations, which equal 5.1 million year-to-date. As I mentioned last quarter, we are in an extraordinary position of flexibility as our board considers all strategic initiatives for appropriate allocation of resources to drive our growth strategy and provide increased value to our shareholders.
With that, I'd like to turn the call over to our CEO, Dave Callaway."
David Callaway,0,"Thank you, Eric, and good morning, folks. On the last quarter's conference call, we provided a rare bit of guidance. We said that after more than three years of declining subscribers in our premium consumer business, we expected subscriber trends to turn positive by the last month of the third quarter. Indeed, as Eric mentioned, they have and then some.
Thanks to the remarkable work of our marketing, editorial, tech and sales teams, under Consumer President, Margaret de Luna, we've booked year-over-year subscription revenue growth for the first time in more than 3 years. Quarterly churn on subscriptions is under 4% for the first time since I've been here at the company, and deferred revenue growth of 12% from the consumer is on pace with that of our healthy institutional business.
New subscription product like our retirement column, better performance by our newsroom in driving readers from headlines to our products like Jim Cramer's Action Alerts PLUS and new external marketing features around social videos on Facebook have all helped widen our funnel and improve the number of leads, trials and new orders.
Also moving RealMoney and RealMoney Pro to a new content management system, has dramatically improved our look and feel as well as speed of delivery, and the implementation of Salesforce, late in the quarter and new credit card processing procedures through Zuora subscription service have played a critical role in reducing churn. These gains do not come without pain, as you can see in the results, our strategic shift to focus on subscription revenue of our programmatic advertising continues to dog us in the short term, but as I said, after the second quarter, the decline in advertising has leveled off to a rate from which we can rebuild through new revenue streams tied to events, for example.
Last month, we held our second investing boot camp this year for subscribers. An all-day event featuring stock tips from Jim Cramer, panels on tech stocks, and cannabis stocks and keynote interviews. More than 200 paying customers packed a midtown events room here in Manhattan on a Saturday morning to hear our experts. We had a group of sponsors new to TheStreet and at least one big one has followed up with an advertising campaign, which has been great. We sold our first sponsor partnership on voice content, our analysis on products like Alexa, and we've seen early success on our content on Apple news' stock app, with traffic more than doubling last month and more than tripling since launch in June. That traffic continues to grow. There's still much to do, but Q4 is typically stronger than Q3 on advertising for us and we believe we bottomed out as far as the levels of declines are concerned.
Turning to institutional, I'm happy to report that due great editorial performance and a mix of new business and new events, The Deal had a positive quarter, including year-over-year subscription revenue growth for the first time since early 2016. Remember, when we announced our strategic shift at the beginning of the year, our two primary goals were to turn the premium subscription business and The Deal into positive contributors on the consumer and institutional side, we have now done that. Those are two major milestones in our turnaround in 2018.
The new event Deal Economy in Chicago, which Eric mentioned, contributed to the quarter, combined with the awards breakfast in New York in June and an awards breakfast in London just last week, will push almost $400,000 to our top line for The Deal this year. In two weeks, we have our signature Deal Economy New York event, which is as big as all three combined. A healthy Deal business with subscription revenues pacing above 96% up from 93% and 92% over the last few years makes our BoardEx business even better, and that operation continued its strong growth last year. It is also pacing above 96% in annuals, and as of this week, new subscription sales have surpassed all of last year's levels. This was the first quarter for us without RateWatch, and we miss our former colleagues, but hear they're doing great at S&P Global. Still we had to book some costs related to that transaction, as Eric mentioned, which added up along with costs from annual raises and bonus and costs related to the payout tied to the BoardEx acquisition years ago. So costs are higher, but we continue to grow cash with more than $43 million in the bank. Our board is actively discussing how best to make use of this windfall, and I can promise you, once we decide, you'll be the first to know.
Now I'd like to open up the discussion to analyst questions."
Operator,1,Thank you. At this time we’ll open the floor for questions. [Operator Instructions] Our first question comes from Kara Anderson of B. Riley FBR.
Kara Anderson,1,"I'm sorry, but I missed it, could you talk about subscription at The Deal. I think you commented that it was up? If possible, could you provide a little bit more color how that relates to the overall, I think, 1% increase that we saw?"
Eric Lundberg,1,Sure.
David Callaway,1,"Yes, Eric, you would -- you got the numbers there?"
Eric Lundberg,1,"We had experienced in the last several years was the declining Deal subscription revenue before Jeff Davis got here. The business wasn't focused on new orders and new sales. And it was really focused on renewals only, and through a lot of hard work and dedication on the editorial side and refocus on bankruptcy and activism and private equity, we have seen new sales grow and we've even seen our retention renewal rates climb from, as Dave said, 92%, 93% to 96%, matching the renewal rate at BoardEx. As a result, the earned revenue now is growing."
David Callaway,1,"This is one thing that I'm really proud of because we've had -- that we had -- over the last few years, every quarter BoardEx had great numbers, and The Deal was always just under breakeven in terms of total productivity. And to get into this that we're actually contributing, growing and it's on the back of new subscribers and new business even as we add events with extra revenue like we did this year. Really shows that the entire institutional business is now running great."
Eric Lundberg,1,"And Kara, the deferred revenue for The Deal, last quarter was the first time in years where the deferred revenue grew year-over-year. Now at Q3, the deferred revenue for The Deal is up about $250,000. When I resay that only as it relates to subscription revenue not the events revenue."
