speaker,q&a,content
Operator,0,"Good evening and welcome to the Texas Roadhouse Third Quarter Earnings Conference Call. Today's call is being recorded. [Operator Instructions]
I would now like to introduce Scott Colosi, President of Texas Roadhouse. You may begin your conference."
Scott Colosi,0,"Thank you very much, Rob, and good evening, everybody. By now you should have access to our earnings release for the third quarter ended September 25, 2018. It can also be found on our website at TexasRoadhouse.com in the investor section.
Before we begin our formal remarks, I need to remind everyone that part of our discussion today will include forward-looking statements. These statements are not guarantees of future performance and therefore undue reliance should not be placed upon them. We refer all of you to our earnings release and our recent filings with the SEC for a more detailed discussion of the relevant factors that could cause actual results to differ materially from those forward-looking statements. In addition, we may refer to non-GAAP measures if applicable reconciliations of the non-GAAP measures to the GAAP information can be found in our earnings release.
On the call with me today is Kent Taylor, our Founder and CEO, and Tonya Robinson, our CFO. Following our remarks, we will open the call for questions.
Now I’d like to turn the call over to Kent."
Wayne Kent Taylor,0,"Thanks Scott.
We are pleased to report another quarter of double-digit revenue growth driven by increasing guest counts and operating lead growth. Comps in the third quarter were up 5.5% including traffic growth of 4%. Even with the earnings decline this quarter, diluted earnings per share are up 23.5% on a year-to-year basis.
Our sales momentum has continued in the fourth quarter with comps increasing approximately 4% in October despite 70 basis points of negative impact primarily from overlapping last year's post-hurricane sales lift. The fourth quarter will also see us opening as many as 11 company restaurants. That will bring our full-year 2018 count up to 27 or 28 new restaurants.
Looking ahead to 2019, we are targeting 25 to 30 company restaurant openings which includes four Bubba's 33 restaurants. We expect mid-single digit labor inflation to continue into 2019 with unemployment rates at historically low levels along with the continuation of our hiring initiatives. This includes adding more managers and hourly employees as we position ourselves for our target of $6 million in per unit sales. We view this as short-term pain in return for long-term sales gain.
Additionally, we believe our commodity basket will experience approximately 1% to 2% inflation in 2019 with the expectation of higher beef cost. We expect that the remainder of our basket will be impacted by modest inflationary pressure as well as higher freight cost.
In response to these expectations and the margin declines we have already experienced, we will roll out a menu price increase of approximately 1.7% in mid-November. Depending on how much inflation we experience going forward, you may see us take additional pricing during the first half of 2019.
Finally, I want to thank our operators, most of whom I saw over the last several weeks in our annual fall tour. It’s always energizing to see their excitement and passion for the business as we discuss our current results, future plans and most importantly, listen to their feedback.
Now, Tonya will walk you through the financial update."
Tonya Robinson,0,"Thanks Kent, and good evening, everyone.
For the third quarter of 2018, revenue grew 10% driven by 5.6% store wheat growth and a 4.8% increase in average unit volume. Restaurant margin dollars grew 0.3% to $95.8 million and net income decreased 6.1% to $29.1 million or $0.40 per diluted share as the strong top line growth was more than offset by the expected continuation of commodity and labor inflation, as well as the impact of several adjustments in both this quarter and the prior-year period. I will provide more detail on these items below.
For the quarter, comparable restaurant sales increased 5.5% comprised of 4% traffic growth and a 1.5% increase in average check. By month, comparable sales increased 4.7%, 5.3% and 6.2% for our July, August and September periods respectively.
As Kent mentioned, comparable sales increased 4% for our October period, including approximately 70 basis points of negative impact primarily from overlapping the post-hurricane sales increase from last year.
At the beginning of 2018, we implemented the new revenue recognition accounting guidance which resulted in a reclassification of certain expenses and credits. The reclassifications had no impact on net income and the comparative financial information has not been restated. As a result of the reclassifications, we reduced sales by $1.2 million for gift card fees, net of gift card breakage income, and increased other revenue $0.6 million for franchise related items.
Additionally, cost of sales decreased $1.3 million or 15 basis points, other operating costs decreased $1.5 million or 22 basis points and G&A increased $2.2 million or 38 basis points. No direct reclassifications were made in labor, however, the change in sales resulted in an increase of 7 basis points to labor as a percentage of restaurant sales. We currently expect the Q4 2018 impact of the reclassifications related to the implementation to be similar as a percentage of total sales or as a percentage of total revenue to those just quantified.
For the quarter, restaurant margin decreased 157 basis points to 16.2% as a percentage of total sales compared to the prior-year period. Cost of sales as a percentage of total sales decreased 35 basis points compared to the prior year period. The impact of approximately 0.75% commodity inflation was more than offset by the benefit of average check and the impact of certain reclassifications. We continue to expect approximately 1% commodity inflation in 2018, which implies approximately 1.5% inflation in the fourth quarter.
Labor as a percentage of total sales increased 194 basis points to 33.5%, and labor dollars per store week were up 10.5% compared to the prior-year period. The main drivers were wage and other inflation of approximately 5.3% including the impact of increasing managing partner base pay and growth in hours of approximately 2.8%.
The additional 2.4% of labor growth was driven by reserve adjustments associated with our group insurance claims development history and our workers’ compensation claims experience.
In total, insurance costs were negatively impacted by $1.8 million of additional expense this quarter along with the overlap of $2.5 million of credits from the prior-year quarter. Overall, total wage inflation and growth in hours this quarter were in line with what we experienced in the first half of the year. We continue to expect labor dollars per store week growth in Q4 2018 to be in the mid-single digit range, excluding the impact of higher guest counts.
Lastly, other operating costs as a percentage of total sales were essentially flat compared to the prior-year period. The benefit of an approximately $0.5 million credit related to our quarterly actual reserve analysis for general liability insurance and the impact of certain reclassifications mentioned earlier more than offset higher costs associated with to-go supplies, repairs and maintenance expense and gift card production.
Moving below restaurant margin, G&A costs increased $8.9 million to 5.9% as a percentage of revenue, which was a 106 basis point increase. Along with the $2.2 million impact of reclassifications mentioned earlier, the increase included $1.4 million of additional incentive and equity compensation costs related to 2018 bonus targets, $0.9 million of additional legal settlement expense and $0.3 million related to higher group health insurance reserve adjustments. These items, along with the reclassification impact, accounted for 83 basis points of the increase this quarter.
In addition, higher share based compensation costs due to increased share price as well as the timing of certain training and development meetings during the quarter more than offset the benefit of average unit volume growth. Depreciation expense increased $2.3 million year-over-year to $25.8 million or 4.3% as a percentage of revenue which was a 1 basis point decline.
Preopening costs decreased by $0.2 million year-over-year driven by the timing of openings. As Kent mentioned, we plan to open as many as 11 company restaurants in the fourth quarter, so we currently expect fourth quarter preopening costs to be higher compared to last year when we had seven openings.
Finally, our tax rate for the quarter came in at 15.1% compared to the 28.8% rate in the prior-year period. Our full-year income tax rate guidance of 14% to 15% remains unchanged.
Our balance sheet remains strong as we ended the quarter with $151 million in cash. During the quarter, we generated $60 million in cash flow from operations, incurred capital expenditures of $44 million and paid dividends of $18 million. We now project 2018 capital expenditures of approximately $160 million to $165 million.
As we near the end of 2018, I want to point out that we expect Christmas Eve and Christmas Day to have a positive comparable sales impact for approximately 1% on the month of December with the holiday shifting from Sunday/Monday to Monday/Tuesday. And looking ahead to 2019, our overall expectations include positive comparable sales growth in 25 to 30 new store openings including four Bubba’s 33 restaurants.
We currently expect approximately 1% to 2% commodity inflation with fixed prices on approximately 40% of our commodity basket at this time. Our mid-single digit labor inflation expectation includes an estimate of increases due to mandated state wage rates, ongoing market pressure and growth in labor hours due to the hiring initiatives Kent mentioned. Our expectations also include an income tax rate of 14% to 15% and capital expenditures of approximately $165 million to $175 million.
Finally, as a reminder, 2019 will be a 53-week year for us. As such, the fourth quarter of 2019 will have 14 weeks versus our normal 13 weeks. We estimate that the additional week could benefit full-year earnings per share growth by approximately 3.5%.
Now, I’ll turn the call over to Scott for final comments."
Scott Colosi,0,"Thank you, Tonya.
Well, we’re very proud of the sales momentum we have in our business. We have now achieved 35 consecutive quarters or almost nine years of comparable restaurant sales growth. It certainly would not have been possible without the passion, dedication and ownership mentality of our managing partners.
We just spent three weeks meeting with our managing partners and asking for their feedback. Many of them commented on how the competition for employees and wage rate pressure is more intense than they can remember and it seep seems likely to continue in 2019.
The 1.7% menu pricing we are taking later this quarter would help to offset some of this pressure, and as Kent mentioned earlier, we will continue to evaluate additional menu price increases as we see how 2019 plays out. We also continue to build our pipeline of new restaurants for the coming years. Sales at our newer stores are strong, and we are generating good returns as we have not seen a meaningful increase in our construction costs.
Heading into 2019, we will remain focused on making the right decisions for the long-term success of Texas Roadhouse. In many ways, this is a continuation of our philosophy of never taking the next day sales for granted as we know we have to earn our guest’s repeat visits each and every day.
We will continue to strive to find the appropriate balance between menu pricing and inflationary pressures, staff for continued sales growth, open new restaurants at a pace that works for us and deploy capital in a disciplined manner.
That concludes our prepared remarks. So, Rob, please open the line for questions."
Operator,1,[Operator Instructions] And your first question comes from the line of Jeffrey Bernstein from Barclays. Your line is open.
Jeffrey Bernstein,1,"Two questions. Just one on the pricing topic with the November increase, I think you said 1.7%. I mean, having just spent three weeks with your managing partners, I’m just wondering what the feedback has been because it feels like, historically, managing partners and yourselves have been hesitant despite the labor headwinds to raise the price because you feel like maybe that would have a negative impact on traffic.
So I’m just wondering if you can kind of give any feedback hearing from the operators and what it would take, I guess, to potentially increase pricing further in early 2019. Are there specific indicators you’re looking for, or what would be the driver to lead you to take that increase again in early 2019?"
Wayne Kent Taylor,1,"This is Kent. Yes, I met individually with 60 market partners we have, plus additionally I met with managing partners in all of these various states, and I would say the 1.7% is not unilateral. We have taken over 2% in some of the higher wage states where they have increased wages quite a bit. So in some states, it might be as little as 1%. So it’s kind of a broad spectrum on the pricing and not just a 1.7% across the board."
Scott Colosi,1,"Jeff, on the second part of your question for 2019, it’s really going to depend on a number of factors. One is what kind of continued inflation are we seeing across the board. That would be one. What is the status of the economy, what is the competition doing. It’s really the typical things that we would look for in any type of price increase. But we’re only going to go so far so fast in any event in how much pricing we’re willing to take regardless of how much minimum wage goes up or doesn’t go up or how much wage pressure there is or isn’t.
So we just kind of take it step by step, and we’ll see as we get into 2019 just kind of what the whole world looks like for us."
Jeffrey Bernstein,1,"And my other question was just on the unit openings. Just wondering what you’re seeing from a real estate variability perspective. It would seem like your retail brethren, clothing stores I would think, maybe you’re getting better terms and perhaps being able to lower your investment costs. I’m just wondering what the learnings have been as you’re pursuing incremental real estate for 2019 and beyond."
