type,name
Executives,Scott Colosi - President
Executives,Wayne Kent Taylor - Founder and CEO
Executives,Tonya Robinson - CFO
Analysts,Jeffrey Bernstein - Barclays
Analysts,David Tarantino - Baird
Analysts,Will Slabaugh - Stephens Inc.
Analysts,Brian Bittner - Oppenheimer and Company
Analysts,Chris O'Cull - Stifel
Analysts,Nick Setyan - Wedbush Securities
Analysts,Stephen Anderson - Maxim Group
Analysts,Andrew Strelzik - BMO Capital Markets
Analysts,Karen Holthouse - Goldman Sachs
Analysts,John Ivankoe - JPMorgan
