speaker,q&a,content
Operator,0,"Dear ladies and gentlemen, welcome to the Conference Call on the Fiscal Year 2017/2018. As a reminder, all participants will be in a listen-only mode. After the presentation, there will be an opportunity to ask questions via the telephone lines. [Operator Instructions]
May I now hand you over to Claus Ehrenbeck, who will lead you through this conference. Please go ahead."
Claus Ehrenbeck,0,"Yes, thank you very much, operator. Yes, hello and good afternoon to everybody out there. This is Claus Ehrenbeck speaking. Also on behalf of the entire time, I would like to welcome to – you to our today’s conference call. As always, all the relevant documents for this call have been published already this morning at 7:00 AM and can be found on the IR section of our websites. Before we start with the presentation by Guido Kerkhoff, our CEO, I would like to ask you that later in the Q&A session, please limit the questions you ask to three. So that many people have the opportunity to ask their questions in the call. Thank you very much for this.
And now, I would like to hand over to Guido."
Guido Kerkhoff,0,"Thanks a lot, Claus, and a warm welcome from my side. The last fiscal year and especially the last month were quite turbulent. After signing the Steel JV with Tata Steel Europe in June, Heinrich Hiesinger offered his resignation, shortly afterwards Chairman, Lehner stepped down.
As said last time, in this tough situation for the company and me, it’s now about staying on course and that’s what we did. In August, we released free cash flow targets for our businesses and the group until 2021. For the first time also with a clear timeline, reflecting strong management commitments that needed step change in performance.
However, we also needed a clear decision and direction on the future of thyssenkrupp and Lehner at the top on how to move the company forward. This clarity has been achieved since September with the unanimous support of the Supervisory Board, we initiated the biggest transformation in the company’s history announcing the separation of the company into two more focused entities, tk Materials and tk Industrials.
The first steps to drive the organizational change going forward are the decisions on new PA leadership teams and setting up an ambitious execution timeline with separation readiness as of October 1, 2019. More information to come on this call later.
Talking about personnel. I’m happy to announce that with Martina Merz takes one of the three seats on our Supervisory Board, and so we will have one of the places therefore filled again pretty soon with an expert who knows and understands our industry.
With respect to the Steel Joint Venture, the ball is now in the corner of the European Commission and further jurisdictions. As of now, we already obtained amongst others unconditional approval from the US on November 7. Moreover, we will announce the joint leadership team for the JV shortly.
Despite this progress, we did not live up to our performance expectations in the past year. Even though, order intake matched the higher prior year level, adjusted EBIT was significantly down year-on-year due to significant headwinds from FX and material costs, as well as one-time of more than €350 million on the back of additional project expenses at Industrial Solutions, risk provisions due to quality issues at Components and production restrictions of Steel Europe due to low water levels of Rhine and the introduction of WLTP in the automotive industry.
Net income was also down year-on-year, mainly reflecting the development of adjusted EBIT and a provision for risk from a cartel case, as well as one-time non-cash impairment effects on tax issues. Despite a strongly positive free cash before M&A in the fourth quarter, free cash flow before M&A remained negative over the full-year, mainly due to low order intake and high expenditures on projects from orders on hand at Industrial Solutions.
But please keep in mind that our free cash figure always includes pension amortizations of around €150 million per year, as well as payout for the restructuring. Nevertheless, in light of the strategic progress that we have achieved this year, we consider it appropriate to pay a dividend of €0.15 unchanged from last year.
This also takes into account the further expected improvement, while relevant financial indicators through our continued operations, particularly the clear increase in EBIT-adjusted, correspondingly clearly positive earnings net after-tax, as well as a significant improvement of free cash before M&A. And please always keep in mind the free cash before M&A always includes pension amortizations, as well as payout for restructuring. If you take these out, we’re round and close to break-even.
The order intake matching the higher prior year level, the profit remains highly encouraging despite heterogeneity of business area level. Orders at Components Tech are despite significant Forex headwinds, up year-on-year by 2% to €7.9 billion, marking for the second consecutive time a new record. Generally robust growth in demand for car components in Western Europe offset declining demand in the U.S, while the climate in China became softer towards the end of the fiscal year.
Market environment for heavy truck components of forged crankshaft and for construction machinery remained positive, thanks mainly to the good situation in the U.S. However, demand for industrial components in the wind energy sector remained weak.
Orders at Elevator Technology are despite adverse Forex effects on the high prior year level at €7.9 billion. On a comparable basis, order intake increased by 5%. Overall, growth was driven by installations mainly from the Americas, supported by some major projects in the U.S., as well as in Canada in Q4.
Europe and South Korea was slightly lower in full-year. New installations in units in China were steady year-on-year, in value lower, but already high in Q4, showing effects from pricing increases, as well as positive mix effects. Overall, the profile remains encouraging, with a book-to-bill of 1 and order backlog about €5 billion, excluding service and thus higher than the year before.
At Industrial Solutions, the weak market environment and associated absence of major orders had a negative impact. The order intake being clearly down year-on-year. Especially Marine Systems, which profited from two major orders in the prior year, booked only smaller and medium-sized orders. At the same time, the market for cement plants slowed due to build up of capacities in recent years.
While demand for mining equipment continued to pick up, chemical plant engineering orders were high year-on-year due to major contract for a chemical complex in Hungary and a medium-sized refinery contract in Germany. However, situation for major projects remains difficult. Nevertheless, we see a big opportunity for a fertilizer plant from a U.S. customer, who is about to get the financing for the deal.
At System Engineering, order intake reached a new high, reflecting continuing high demand for production systems in the automotive industry. Order intake at our Materials businesses were high year-on-year, mainly due to continuing stable and high prices on the material markets.
EBIT-adjusted for the group was significantly down year-on-year, mainly due to recognition of around €200 million of additional expenses at Industrial Solutions identified through a comprehensive project analysis and plant construction shipbuilding in Q3, as well as risk provisions of more than €100 million due to quality issues at Components Technology in Q4. Overall, earnings at Components Technology were significantly down year-on-year.
Next to the aforementioned risk provisions, lower demand with strong price competition for wind turbine components, weaker productivity in Springs & Stabilizers and a flatter start-up curve for the new plants due to factors on the customer side direct on earnings. In addition, significant currency effects and raw material cost pressures together amounting to well above €100 million dragged on the results not only at Components Technology, but also an Elevator.
Despite the consequent execution of performance measures and G&A cost reduction programs at Elevator Technology, measures could not compensate for the significant adverse currency effect and higher material cost, particularly in China. Nevertheless, margin development in comparison to peers who face the same challenges as we do was quite robust.
Industrial Solutions was down sharply year-on-year besides the high expenses after a major project review and revaluation. Earnings were additionally impacted by lower sales, weaker margin mix on build projects and partial underutilization. EBIT-adjusted and Material Services came in ahead to the already strong prior year figure, supported by positive price and volume trend and continued earnings securing measures and a high contribution from AST.
Earnings of Steel Europe was significantly above strong prior year. However, production restrictions also due to the low water levels on the Rhine and reduced shipments following the introduction of the new emission standard WLTP in the auto industry, together amounting to about a bit less than €100 million weighted on earnings in the fourth quarter.
Corporate costs improved significantly year-on-year. Next to lower expenditures for our group transformation initiative faster than planned reductions and G&A costs, we’re a big contributor for sustainable cost reductions going forward. The group’s EBIT was again, impacted by special items, amongst others, Steel Europe recognized the provision for risk from a cartel case in the first quarter.
For fiscal 2018/2019, we strive to increase sales of our continued operations in the low single-digit percentage range. EBIT-adjusted of the continued operations is expected to be above €1 billion, driven by the progressive recovery in operating performance, but also the emission of project expenses at Industrial Solutions and Marine, and expenses for quality-related risk provisions at Components Technology.
In addition, we will continue to systematically drive our restructuring initiatives across all business areas and capitalize on our growth opportunities. The forecasts are predicated amongst others on the assumption that there will be no significant effect from exchange rate changes and only moderate macro slowdowns.
Components Technology assuming a largely stable order market will see sales growth in line with the mid-term targets, while EBIT-adjusted will significantly recover following the omission of additional expense for quality-related risk provisions, and the further ramp up of the new plant.
However, first quarter will be impacted by the continued inefficiencies at Springs & Stabilizers. Sales of Elevator are expected to be up low single-digit, while EBIT-adjusted margins will expand, supported by efficiency and restructuring measures. But also depending on effects of material prices, especially in China, in addition to tariffs on imports of materials to the U.S. That will have adverse effects on the margin development, which we expect to be reflected in the Q1 results for the weaker margin year-on-year.
At Industrial Solutions, we expect a minimal new order intake, a significant recovery in sales in the almost double-digit percentage range, supported by extensive transformation and restructuring measures. And without the additional expenses incurred in Q3 2017/2018, we expect a significant improvement in adjusted EBIT towards break-even in earnings with gradual progress over the course of the year.
However, the first quarter will suffer from partial underutilization and restructuring measures. At Marine Systems, we expect a significant recovery in order intake, supported by an extensive performance program. And without the cost of the project analysis and reassessment, we anticipate a clear improvement towards break-even adjusted EBIT. And I’m happy to say that we are in advanced talks with Egypt to supply frigates.
As always, the visibility for our Materials business is low, despite the currently favorable trading conditions. However, with signs of slowing economy, we expect adjusted EBIT at Material Services to be slightly lower year-over-year.
Corporate costs are expected to be roughly on level with the prior year, where they benefited from some positive non-recurring items. In line with a positive EBIT-adjusted development, income net of tax of the continued operations would see a significant improvement and end up in positive territory, despite continuing restructuring charges.
While free cash before M&A for the continued operations are expected to significantly improve, however, remain negative, also depending on order intake and payment profiles for individual major orders in particular Marine Systems.
Next we already mentioned positive income net of tax for the contributed group, our discontinued steel activities will contribute positively to group’s earning. On top of closing of this Steel JV and the initial recognition of our share in the joint venture, we will realize a significant positive effect on the net income for the full group and correspondingly positive effect on total equity of, at least, €2 billion.
At the same time, our discontinued operations will have a negative impact on free cash in the mid to high three digit range, also due to the typical seasonal increase on net working capital. Free cash flow may potentially be further impacted by the outcome of the Federal Cartel Office’s investigation into alleged cartel agreements at tk’s Steel Europe AG relating to the product groups’ heavy plate and flat carbon steel.
Despite the fact that the aforementioned effects will result in a sharp increase of the group’s net financial debt, the transfer of pension liabilities of roughly €3.7 billion to the Steel JV will relieve pension payouts and thus cash flow by more than €200 million per year.
The separation of the group will eventually result in a significant book uplift in fiscal 2019/2020, the cost of the creation of the transaction structures will significantly burn net income and free cash in the current fiscal. Based on current preliminary calculations, we expect an impact in the high three digit €1 million range for taxes and other costs.
All of these costs may become effective in 2018/2019, and we will do everything we can to diligently structure the implementation in the cost and tax efficient way. But what’s most important is the fact that we ultimately create value. As already said in the beginning, the first steps towards the separation have already been accomplished with the announcement of the new leadership team.
For me, it’s really important to enable the operating segments, the greatest possible entrepreneurial freedom. I’m convinced that most decisions are better may be decentralized, meaning faster and closer to customers, as well as employees. The precondition for this is common and shared understanding of what we want to achieve. Two things are not negotiable, an open culture to deal with mistakes and a commitment to our performance targets.
At Elevator Technology, we want to have a fresh start with a new CEO. The decision on the success of Andreas Schierenbeck is in final stages and will be announced soon. At Material Services, Klaus Keysberg will inherit the role of Joachim Limberg as the new CEO. While we nominated Ilse Henne, the former CEO at tk Schulte as the COO.
At Industrial Solutions, the new management team with Marcel Fasswald and Oliver Tietze is already in place since October. After having conducted the first assessment of the current situation at Industrial Solutions, they already tackled the first topic. One of the major topics pertains to the reduction in the organizational complexity. This includes amongst others, the reduction from four to three executives, responsibilities, which were already accomplished by Marcel moving from CEO to COO, while his old role won’t be replaced.
Moreover, the current business unit Fertilizer & Syngas, Electrolysis & Polymers and Industrial Specialties will be merged into Chemical Technologies. While the general matrix organization will be simplified by reintegrating the network of excellence into the business area and business units and right-sizing of regional organization. All the complexity reducing measures will also improve our SG&A cost base, which is as of now, not competitive.
In addition, new leadership teams were introduced in three business units to drive the restructuring and transformation process. With the separation of Marine Systems and the prospective regrouping of System Engineering, the new management team can now completely focus on the planned engineering business, meaning a higher involvement in the operating business and closer proximity to customers. The fourth quarter was already a promising start with order intake being highest in the last six years.
Now let’s come back to the rationale for our separation plans and our priorities besides operational improvements. The separation into two separate companies provides strategic clarity with our best option combining the rationale of the Capital Markets with industrial logic, let me start with the latter one.
Firstly, the capital goods businesses that set themselves apart with their engineering and service capabilities operate globally and have attractive growth prospects from secular trends. And secondly, the materials businesses in which we have a strong materials and processing expertise and are able to leverage consolidation opportunities from a position of strength. Both organizations will be leaner and more agile. But replacing the matrix organization structures will be less complex, specifically decision-making processes will be simplified, and operational decisions will be decentralized and made in proximity to customs in markets.
At the same time, we’ll ensure that both headquarters will be designed for leaner overhead, meaning that especially the management models for the two new companies will be critically reviewed. Admin expenses must satisfy the Formula one plus one is less than two.
The move also makes a lot of sense from a Capital Markets perspective. By being listed separately on the Stock Exchange, the company will have a more focused investment case and therefore, better meet the different investor requirements. At the same time, the separate listing reduces complexity beyond thyssenkrupp shares, enhances transparency and ultimately helps to attain a fair stock market valuation for both companies.
Moreover, the split up will have a positive impact on the balance sheet due to reveal of hidden reserves, as already mentioned. Liabilities and pension obligations will be fairly allocated between the two.
In the case of tk Industrials, the capital base would provide for investment-grade rating significantly better than thyssenkrupp’s rating today. For tk Materials, a stable sub-investment-grade rating is targeted. At the same time the retained shareholding in tk Industrials will represent the valuable investments for tk Materials and likewise ensure it a strong capital base. But let me emphasize, this cross-shareholding is only temporary, and the share will be kept as small as possible.
Our priorities for the upcoming months are clear. Alongside the merger controlled procedures, we’re working hard to setup our steel business as an independent entity in preparation for the Steel JV, whereas a joint leadership team will be announced shortly. The aim is to ensure operational independence from the first day after closing. At the same time, we work stringently towards improvements of our performance in every BA with the ultimate goal of above €1 billion free cash before M&A in fiscal 2021.
However, the biggest construction side is the group separation into tk Industrials and tk Materials. As I said at the beginning, we’re setting up an ambitious execution timeline with separation readiness as of October 1, 2019. One of the first steps was the decision on business area leadership team that I just talked about. By the time of the Q1 release in February, we aim for a definition of leadership model for both companies. This will be followed by the announcement of the designated management board, as well as further details on the strategic rationale positioning.
Separation readiness and the operating start of the newly created company is expected to be October 1, 2019. Equity stories and spin-off documents will be published next year November, followed by Capital Market Day and a comprehensive IR program.
Once these details are finalized, we will be able to put our proposal to a vote of the Annual General Meeting at the beginning of 2020. That is where the final resolution on the separation of the group will be made. Till then, we will continue to update you on our progress."
Claus Ehrenbeck,0,"Thank you very much, Guido, for the presentations. With that, I would – we would like to ask the operator to take over for the Q&A session."
Operator,1,"Thank you very much. And we will now begin our question-and-answer session. [Operator Instructions] We’ve received the first question, it comes from Ingo Schachel of Commerzbank. Please go ahead. Your line is now open."
Ingo-Martin Schachel,1,"Yes, thank you. I would have three questions. The first one would be on Elevator Technology and what you refer to as a fresh start with a new CEO. Can you tell us a bit what your expectation would be for the new leadership team? I mean, would you expect them to run a complete review of margin targets, M&A, R&D priorities, or would you rather expect continuity and the new team delivering on sort of the targets and also a strategic framework that the previous team had developed?
Second one would be on Industrial Solutions, where also the guidance for next year is still implying a negative EBIT number. I think you would have some of the ingredients that you typically need for improvement, due to restructuring order intake has improved. Can you shed a bit more light on why that we’re not yet be visible in a more quicker profit development? Is it still that you see weaker gross margins in some of the old legacy projects, or is it still high gross margin pressure and the new order intake that you’re currently taking on?
And the last one would be just very quick on Components Technology, because it was obviously hard for us to judge the outlook with regards to those quality issues. I would be interested to know whether you would say that with the €100 million provision, you already have an advanced dialogue with the clients and a good understanding of the root causes that you can firmly say that the provision you took in Q4 is enough as far as tangible risk that it could become more in the next quarters?"
Guido Kerkhoff,1,"Yes. Thanks, Ingo. On Elevator, the new team, I think what you can see already in Q4, as well as the margin development compared to competition is not really improving. So there would be no new targets, but I would like to see a more stringent implementation of the measurements behind that. So that was one of the reasons why we want to go for a new head at Elevator, so that we have a really stringent delivery on the targets that we want to see. So we’re falling behind a little bit in the last quarters.
On the Industrial Solutions, it’s a little bit, yes, coming from old contracts and some new restructurings and measurements, they will put in place and the reduction of – further reduction on G&A and other stuff they want to do now with a new set up. This will not be implemented in the first-half already, it always takes sometime to get it all implemented and set up.
So therefore, we will have some drag, and that’s why we gave out the guidance that we expected for the first-half to be still burdened by that and it will come in play step by step and some older contracts, yes, they are still dragging a bit down. So that’s why it’s going to – I mean, Industrial Solutions is a longer-term contract.
So, the measurements are taking – take sometime to get through, that’s why we wanted to be fair, open and transparent, say, we do improvement, but we won’t make it to break-even and not raise expectations too high. I think, they’re on a very good track in the way they approach it and you can clearly see that myself comes from the industry and no such talk to the people, they deeply understand and clearly understand what he’s doing and what he’s going for.
On Components, on the quality issues, I mean, we clearly know them and it’s our internal team that really found them out and was driving them to fix them. They were all fixed to make that very clear. So all the stuff we’re delivering to our customers right now are in right shape, so it’s taking care of some deliveries we had in the past, where we found out about the problems. We fix them, that’s done. So it’s not something that is lasting and increasing and we are in good talks with our customers on that front to fix them.
So therefore, we will see them, but the issues are fixed and in some cases, they will not just our issues, there were issues with sub suppliers from our side. So that’s what I can say about that."
Ingo-Martin Schachel,1,"Okay, that’s good. Just quickly follow-up on the Elevator. I mean, you spoke about the more stringent execution and delivery on improvement measures. But I guess, we can also understand that it is not meaning that you would expect one big step change announcement in one of our production footprint, withdrawing from certain countries, but it’s all more about the continuous improvement and then the sort of gradual sharpening of the edges we’ve seen last year already?"
Guido Kerkhoff,1,"Yes, that’s true. I mean, what we have clearly highlighted is, I mean, and again for Q1, our guidance is not that strong for Elevator. What we see is that we need to address a bit more stringent issues, especially in Germany and Europe on the SG&A quota on the production facilities, for example, in Hamburg. And this is what we are addressing right now and this is what will come and with a new leadership team, we’ll be stringently working on it."
Ingo-Martin Schachel,1,Okay. Thank you.
