type,name
Executives,Claus Ehrenbeck - Head of Investor Relations
Executives,Guido Kerkhoff - Chief Executive Officer
Analysts,Ingo-Martin Schachel - Commerzbank
Analysts,Seth Rosenfeld - Jefferies
Analysts,Bastian Synagowitz - Deutsche Bank
Analysts,Sylvain Brunet - Exane BNP Paribas
Analysts,Cedar Ekblom - Bank of America Merrill Lynch
Analysts,Alain Gabriel - Morgan Stanley
Analysts,Carsten Riek - UBS
Analysts,Luke Nelson - JPMorgan Cazenovec
Analysts,Rochus Brauneiser - Kepler Cheuvreux
Analysts,Marc Gabriel - Bankhaus Lampe
