type,name
Executives,Oona McCullough - Director of Investor Relations
Executives,Frank Conforti - Chief Financial Officer
Executives,Sheila Harrington - Free People Brand President 
Executives,Richard Hayne - Chief Executive Officer 
Executives,"Andrew Carnie - President, Home, Garden and International, Anthropologie Group"
Analysts,Kimberly Greenberger - Morgan Stanley
Analysts,Matthew Boss - JPMorgan
Analysts,Adrienne Yih - Wolfe Research
Analysts,Brian Tunick - RBC Capital Markets
Analysts,Lauren Hutchinson - Bank of America
Analysts,Paul Lejuez - Citi
Analysts,Janet Kloppenburg - JJK Research
Analysts,Simeon Siegel - Nomura Instinet
Analysts,Mark Altschwager - Robert W. Baird
Analysts,Dana Telsey - Telsey Advisory Group
Analysts,Janine Stichter - Jefferies
Analysts,Ike Boruchow - Wells Fargo
Analysts,Susan Anderson - B. Riley FBR
Analysts,Loral Shantai - Luke Capital
Analysts,Edward Yruma - KeyBanc Capital Markets
