speaker,q&a,content
Company Participants,0,"Rick Lund - Investor Relations Director
Peter Gassner - Chief Executive Officer
Tim Cabral - Chief Financial Officer
Matt Wallach - President
Paul Shawah - Vice President, Commercial Cloud Strategy"
Conference Call Participants,0,"Tom Roderick - Stifel, Nicolaus & Co., Inc.
Kenneth Wong - Guggenheim Partners
Bhavan Suri - William Blair & Company
Jackson Ader - J.P. Morgan
Scott Berg - Needham & Company
Stan Zlotsky - Morgan Stanley
James Rutherford - Stephens, Inc.
Brent Bracelin - KeyBanc Capital Markets
Brian Peterson - Raymond James Financial Services, Inc.
Rishi Jaluria - D.A. Davidson & Co.
Kirk Materne - Evercore ISI Research"
Operator,0,"Good afternoon. My name is Chantelle and I will be your conference operator today. At this time, I would like to welcome everyone to the Veeva's fiscal 2020 first quarter results conference call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session. [Operator Instructions]. Thank you.
Rick Lund, Head of Investor Relations, you may begin your conference."
Rick Lund,0,"Good afternoon. And welcome to Veeva's fiscal 2020 first quarter earnings call for the quarter ended April 30th, 2019.
With me on today's call are Peter Gassner, our Chief Executive Officer; Matt Wallach, our President; Paul Shawah, SVP of Commercial Cloud; and Tim Cabral, our Chief Financial Officer.
During the course of this conference call, we will make forward-looking statements regarding trends, our strategies and the anticipated performance of the business. These forward-looking statements will be based on management's current views and expectations and are subject to various risks and uncertainties. Actual results may differ materially.
Please refer to the risks listed in our earnings release and the risk factors included in our most recent filing on Form 10-K, which is available on the company's website at www.vivo.com under the Investors section and on the SEC's website at www.sec.gov. 
Forward-looking statements made during the call are being made as of today, May 29 2019. If this call is replayed or viewed after today, the information presented during the call may not contain current or accurate information. Veeva disclaims any obligation to update or revise any forward-looking statements.
We will provide guidance on today's call, but will not provide any further guidance or updates on our performance during the quarter unless we do so in a public forum.
On the call, we will also discuss certain non-GAAP metrics that we believe aid in the understanding of our financial results. A reconciliation to comparable GAAP metrics can be found in today's earnings release, which is available on our website and as an exhibit to the Form 8-K filed with the SEC just before this call.
With that, thank you for joining us and I will turn it over to Peter."
Peter Gassner ,0,"Thank you, Rick. And thanks to everyone for joining us today.
I'm pleased to report another great quarter with results ahead of our guidance. Total revenue for the quarter was $245 million, up 25% year-over-year. Subscription revenue grew 27% year-over-year and our non-GAAP operating margin was 38%.
It was an outstanding start to the year. Congratulations to the Veeva team and thank you to our customers for your continued partnership.
I'll share some Q1 highlights starting on the commercial side of the business where we had another excellent quarter. We continue to extend our market leadership in core CRM. We added many new Veeva CRM customers on the SMB side in both the US and Europe. Many of these customers also purchased Veeva OpenData at the same time.
We also made good progress with global CRM rollouts in existing enterprise customers. 
CRM add-ons also saw further adoption. Events management, Align, and Engage continued to do well. For example, a top 20 pharma added more than 700 Engage users in Europe after their success with initial pilots last year.
We hosted our Commercial Summit a few weeks ago in Philadelphia. With more than 1,600 attendees, it was our biggest event to date and is the largest of its kind in the industry.
The feeling and sense of community was great. It's one of the highlights of our year. We and our customers always get a lot of ideas and energy from Summit.
The major Summit themes were customer success and the emerging use of AI in multiple areas of our commercial cloud. In CRM, for instance, we announced Veeva CRM Approved Notes, which will use AI to reduce the compliance risk of taking free text notes, providing field reps a better way to manage relationships with doctors.
Approved Notes will be part of our core CRM subscription and is planned for release early next year. Customers are excited about Approved Notes and our continued investment and innovation in CRM overall.
In Commercial, there is a strong desire to do more with AI and advanced analytics. At last year's Summit, we announced we would build our first AI application, Veeva Andi. Veeva Andi is an artificial intelligence application designed to provide customer insights and next best action recommendations right in Veeva CRM.
I'm happy to announce that Andi is now available. We had a lot of great discussions about Andi at Summit and are developing a pipeline of early adopter candidates.
Overall, it was another great Commercial Summit.
Turning to Veeva Vault. In Q1, we added almost 50 new Vault customers, which was a quarterly record. We saw strength across each Vault application area, including early success with new products and continued momentum with more established products.
We won our first top 20 enterprise deal for CDMS. This is a big milestone for the product and for Veeva. The customer was looking for a cloud EDC solution on a proven platform. 
The existing enterprise EDC offerings are older systems and are not true cloud applications. The customer also liked some of the innovative ways our system handles data entry, data review, and protocol amendments, as well as our vision for comprehensive data cleaning and reporting with Data Workbench.
The customer had trust in Veeva because our teams have delivered success for them in multiple areas over the past eight years, both in R&D and commercial. They completed some pilot studies with CDMS in the last nine months and that went well. So, last quarter, they decided to move forward with a multiyear enterprise deal for CDMS.
This was a great win for Veeva. One of our top company priorities is to ensure the success of this project and to use it to drive innovation in CDMS.
We also signed a multi-product deal with a top 20 pharma in Europe for Vault in the clinical and regulatory areas. This customer just went live with Vault QualityDocs for over 50,000 users around the world.
After working with our product and services teams on the QualityDocs implementation, they decided to go forward with eTMF submissions and submissions archive. This is a great example of customer success leading the way to future business.
We have also signed our first four early adopters for Vault Safety, our newest product line in development cloud. It's still early days for Safety and these were small deals with small companies, but I'm pleased with our overall progress. Product is maturing every day and we have a growing pipeline of early adopter candidates.
Safety is a mission-critical application for life sciences. It's complex and will have many integration points with our other Vault applications, so having a modern solution on a single platform is a great thing for the industry.
Turning to our business outside of life sciences where we are concentrating on consumer goods, chemicals, and cosmetics. We recently announced a new application, Vault Claims.
Claims will help manage the product claims lifecycle, from creation to approval to marketing usage. When speaking with early QualityOne customers, we saw a real need for a claims management application.
We have already started a Claims project at a new top 20 CPG customer and have early discussions underway with others.
Progress with QualityOne continues as well, both expansions in existing customers and bringing on new customers. For example, this quarter, we closed an initial QualityOne deal with another major cosmetics company. While still early, we're finding that companies are responding to our product offerings in consumer goods, chemicals, and cosmetics.
In closing, we had another great quarter. We executed well across all areas, focused on customer success and product excellence, and had exceptional traction in new markets. 
With that, I'll turn it over to Tim to review our financial results in more detail."
Tim Cabral ,0,"Thanks, Peter. Q1 was another quarter of consistent execution across the company. Total revenue was nearly $245 million, up from over $195 million one year ago, a 25% increase. Vault represented nearly 50% of total revenue, up from 44% in Q1 of last year. 
Subscription revenue grew 27% to $198 million, from $156 million last year. Outperformance in this metric was driven by a very strong bookings quarter, favorable linearity of those bookings, and a tailwind of a couple million dollars more from 606 as compared to Q1 of last year.
Services revenue was almost $47 million, up 18% from roughly $40 million one year ago. Strength in services revenue continues to come primarily from R&D Vault projects. I expect Q2 services revenues to be roughly flat with Q1.
Our non-GAAP operating income came in over $93 million, a 38% operating margin, which was above the high end of our guide. This was driven primarily by outperformance on the top line.
Across the company, we added 92 people net in the quarter, finishing at 2,645, up from 2,243 one year ago.
Turning to the balance sheet, deferred revenue was $364 million compared to $356 million at the end of Q4. Calculated billings for the first quarter came in at $247 million, which was ahead of our guidance of $235 million. This result was primarily driven by strong bookings and outperformance in services revenue.
The year-over-year growth rate of calculated billings was 16% in the first quarter. When considering that growth rate, please remember that calculated billings in Q1 of last year included an $18 million renewal of a large customer that subsequently shifted its renewal date to Q4. Adjusting for this, year-over-year calculated billings growth for the quarter would have been 26%.
Please remember that there are numerous factors that make year-over-year comparisons of this metric highly variable on a quarterly basis. Therefore, we do not believe it is a good indicator of the underlying momentum of our business and we do not manage to it internally. Our subscription revenue guidance and calculated billings guidance for the full fiscal year are the best indicators of our momentum.
Looking ahead, we expect calculated billings of roughly $220 million in Q2 and a range of $1.115 billion to $1.120 billion for the full year, which is an increase from the $1.100 billion guidance provided last quarter.
We continue to expect about 41% to 42% of our billings for the year to come in Q4. 
Elsewhere on the balance sheet, we exited Q1 with over $1.3 billion in cash and short-term investments, up from almost $1.1 billion at the end of Q4. This increase was driven by our performance in cash from operations, which came in at $236 million and included $14 million in excess tax benefit related to equity compensation.
For the full year, we now expect cash from operations to be $330 million to $335 million excluding this excess tax benefit. This is an increase from our previous expectations for slightly more than $320 million, excluding the excess tax benefit.
Let me wrap up by sharing the rest of our outlook for next quarter and for fiscal 2020. For the second quarter, we expect revenue between $259 million and $260 million, non-GAAP operating income of $94 million to $95 million, and non-GAAP net income per share of $0.48 to $0.49 based on a fully diluted share count of approximately 158.5 million.
For the year, we expect revenue in the range of $1.045 billion to $1.050 billion, representing a $20 million increase from our previous guidance.
We expect subscription revenue to grow roughly 24%. And within that, we expect Commercial Cloud subscription revenue growth of at least 11%, and Vault subscription revenue growth of roughly 40%.
For fiscal 2020, we anticipate non-GAAP operating income of $385 million to $390 million, a margin of about 37%. This is an increase in both dollars and margin from our previous guidance of $365 million to $370 million and a margin of almost 36%.
As you consider this margin guidance, note that we have an aggressive hiring plan for the rest of the year and we are expecting increasing litigation fees as we move into the next phase of our cases.
We are now targeting non-GAAP net income per share of between $2.01 and $2.03 based on a fully diluted share count of approximately 159 million.
To conclude, it was a great start to the year. Our product teams continue to lead the industry forward with innovation and our field teams continue to deliver customer success.
Given this consistent execution, we remain confident in our ability to deliver at least 20% subscription revenue growth through calendar 2020.
As always, thank you for joining the call and I will now turn it back to the operator for questions."
Operator,1,[Operator Instructions]. Your first question comes from Tom Roderick with Stifel. Your line is open.
Tom Roderick,1,"Hi, guys. Good afternoon. Thanks for taking my questions. So, I wanted to ask the first question here just on the clinical side. It looks like a tremendous Vault quarter again. And pretty exciting to see CDMS get -- land your first top 20 enterprise deal. I was hoping you could talk about that a little bit more.
Two parts to that question, first, of course, being sort of the competitive dynamics. As you went in there, I gather you've probably been with this customer for a while. Can you talk about what they were looking to sort of to fix or to change or what the competitive dynamics were that got you over the top on that product?
And then, sort of secondarily, as you think about the opportunity set of the wallet share within CDMS, how did those deals compare at a top 20 compared to, say, CTMS? Are those larger as you get into CDMS enterprise-wide?"
Peter Gassner,1,"Thanks, Tom. This is Peter. As far as the competitive landscape for the deal, we're certainly competitive. This is a longstanding customer of Veeva's that had one of the large enterprise players for CDMS and had that for many years. So, there was no formal RFP process, but there was certainly a selection process.
And in terms of what they were looking for, the CDMS is really – it's a very critical process for pharmaceutical companies. They're trying to collect clinical data from these research sites. The faster and more accurate they can do it, the better chance they have of completing their clinical trials and completing them quickly. So, it's a really, really mission-critical application.
And they just needed a true-cloud system that had better data collection and workflow. Just really a better system overall and a chance to be great. I think that's what they were looking for, is a chance to be great. So, it's competitive and we won.
In terms of the size of the deal or you mentioned the wallet share, CTMS is a bigger, larger application than – sorry, CDMS is a bigger and larger application than CTMS. So, to give you an idea, this deal, it's a multi-year deal. It will roll out over time; and at the full rollout, it will be an eight-figure per year deal. So, it's certainly a significant application area for us. It's our largest single Vault application."
Tom Roderick,1,"Fantastic. That's great. And maybe just a quick follow-on in thinking about that opportunity, I know that CTMS has worked really nicely in conjunction with eTMF, given that you have a lot of sort of similar decision makers. This seems to be a little bit of a separate category and you've worked hard to integrate the workflows. But from a resource standpoint, do you need separate independent sales reps and a different go-to-market strategy as you start to land these top 20s or does this go right in the existing bag of the same clinical sales rep that's been selling there already on the other products?"
