speaker,q&a,content
Operator,0,"Good morning, ladies and gentlemen and welcome to VEON’s first quarter 2018 results conference call. Today, I'm pleased to be joined on this call by Ursula Burns, VEON’s Executive Chairman; Trond Westlie, VEON’s Chief Financial Officer and Kjell Johnsen, VEON’s Interim Chief Operating Officer and Head of Major Markets.
The presentation will start with opening remarks from Ursula followed by Trond walking us through the group results. Then handing over to Kjell for the country review and finally finishing with Trond who will reconfirm our 2018 outlook. At the end of the presentation, we’ll open the line for a Q&A session.
Before getting started, I'd like to remind you that we may make forward-looking statements during today's presentation, which involves certain risks and uncertainties. These statements relate in part to the company's anticipated performance and guidance for 2018, future market developments and trends, operational and network development and network investment and the company's ability to realize its target and strategic initiatives.
Certain factors may cause actual results to differ materially from those in the forward-looking statements, including the risks detailed in the company's annual report on Form 20-F and other recent public filings made by the company with the SEC. The earnings release and earnings presentation, each of which include reconciliations of non-IFRS financial measures presented today can be downloaded from our website.
I'd now like to hand over to Ursula for opening remarks. Ursula?"
Ursula Burns,0,"Thank you, Richard. Thank you for taking the time to join us for the quarter one results call. My name is Ursula Burns and I am the Executive Chairman of VEON. As you may know, I took over as Executive Chair at the request of the board in March following the departure of Jean-Yves Charlier. The VEON that Jean-Yves left is much better than the joined. The company has made good progress in the past years. The board has begun the search for a new CEO and we will let you know as soon as an appointment has been made. Meanwhile, we have a strong and talented management team in place. Our VEON regional CEOs are well -- all experienced leaders in their markets and leadership team has a wealth of knowledge of telecoms generally and VEON specifically. Joining me on the call are two members of that team: Kjell-Morten Johnsen, our Interim Chief Operating Officer, responsible for the market’s operations and Trond Westlie, Chief Financial Officer who many of you already know. They will update you on what we consider to be a good start to the year and take your questions on our financial and operational performance.
I took the role as Chairman of VEON because I saw an exciting company with strong prospects and real upside potential. With nearly 0.25 billion customers, VEON operates in some of the world's highest growth telecom markets and -- with great untapped demand for digital services. I look forward to bringing my experience to the role. Having served as the CEO and Chairman of a major global technology firm as well as my knowledge and experience gained serving on major corporate boards. The telecom industry is going through fundamental change. When I was at Xerox, we experienced a similar time of transition and I clearly see how some aspects of our successful approach at Xerox can be effectively deployed here at VEON. 
We need to focus on the future, embrace the digital reality, bring our people with us and stay ahead of the curve. This means continuing to develop a digitally centered business model by investing in new technology, digitizing the core and developing truly innovative services. The board and the management team remain committed to the strategy, but clearly in this industry, the strategy must evolve in response to market development and customer needs. It is in pursuing this course that we will meet the expectations of the market and our shareholders. Some good progress has already been made here, although there is of course more work to be done. 
One of my first priority is to look at the role of headquarters and to build a simpler, smoother and more operationally effective business that is really focused on delivering sustainable value for customers and investors. We have a business model that is targeting circa USD1 billion of equity free cash flow on an annualized basis from revenues of about USD9 billion. This is an impressive financial performance and shows that we are successfully doing what public company should do returning cash to shareholders. I should say that I'm very happy to have the opportunity to talk to you today on this call, but this will not be the norm. As a general rule, you should expect Kjell and Trond to lead on these calls, pending the announcement of a new CEO.
I’ll now hand over to Trond and Kjell who will run you through the group highlights and financial results for the first quarter. Trond?"
Trond Westlie,0,"Very well. Thank you, Ursula. In Good morning, everybody. Going then to the slide deck that you hopefully have downloaded or see in the screen, I’m going to page 3. The key developments for VEON in the first quarter, we see good organic growth, both in revenue and EBITDA as well as good cash conversion and have an equity free cash flow of 334 million, excluding licenses. And in addition, we all are also confirming the guidance that we gave in February for 2018.
Just short on operation, Kjell will come back with more on that later. Russia returning to trend and saw a normalization in the EBITDA. And we have continued strong performance in our strongholds in Pakistan, Ukraine and Uzbekistan. The operational turnaround is in progress in Algeria and Bangladesh, but top line as well as EBITDA remain under pressure year-on-year and Kjell will come back to more on that as well.
Pressure on the revenue element in our Italian JV, but synergies is on track offsetting the top line impact on the EBITDA. In the first quarter, we also acquired Spectrum in Ukraine and Bangladesh and we have now launched 4G/LTE in all our operating countries. In Russia, the Euroset integration and the rebranding into Beeline monobrand stores is on track and while we’re at Russia, we are giving now our current best estimate of total Yarovaya expenditures. We see that the total expenditure over a five year period, we estimate to be around RUB45 billion, of which approximately RUB6 billion will be spent in 2018. In first quarter, we also withdrew the mandatory tender offer on GTH and the reason for that is the lapse of time and absence of approval from the regulators in Egypt. And the last point on the slide I probably won’t have to tell you since Ursula has given you an introduction on her own.
Going then to the financial numbers for the quarter, the quarter -- on page 4, the total revenue is 2.3 billion in the quarter and it's really driven by Russia, Pakistan and Ukraine, giving us an organic growth of 3.2%. On the reported element, we are showing 1.4% decline and that is driven by the devaluation of the Uzbekistan Som, that is the overriding element of the ForEx change year-over-year in this report.
Mobile data revenue is increasing, a good increase during the quarter of 23% organically and just short of 16% in reported numbers and that leaves us to an EBITDA of 854 million and the organic part is here as well, driven by Russia, Pakistan and Ukraine with the decline in Bangladesh and Algeria. Also here, on the reported element is the Uzbekistan Som that is really the major impact on the difference between organic and reported. But we’re also delivering a very good margin this quarter of 38%.
CapEx is 355, slightly or up from last year. It’s due to two elements. We have focused on the quarterly distribution, or focusing on having heavier CapEx spending in the beginning of the year to even it more out throughout the year. That is one of the reasons and that leaves us to an CapEx revenue ratio of 16.4 on the last 12 month average. Having said that, here, we do expect to be around the same level or around the 15% level for the year. On the equity free cash flow, it’s 334 and I'll allude more to the details of the evolvement and comparables later in the presentation. So overall, a good first quarter for VEON.
Going then to page five on the bridge for the revenue development from first quarter ’17, on the top of the slide, you see that we show an organic growth of 3.2% and that is driven by the growth in data and MFS. Voice is coming down year-over-year with 56 and that leaves us to an increase to organically revenue of short of 2.4 billion. If we go on the bottom of the slide, you see the country development and it's really trend -- a good trend line on all or most of our markets, led by Russia and Uzbekistan, with an increase of $31 million each and then you also see the trend line of Algeria, Bangladesh trending downwards year-over-year.
Coming to the ForEx, it really is for the 107, Uzbekistan negative effect on the ForEx is 108 in this quarter. And Russia has a positive element of 38 and the rest have a negative element of 39. So it really is the Uzbek currency that drives the ForEx development in the quarter.
Going then to the EBITDA development on page 6. Good traction here as well, 6.3% organic development and that is driven by the increase in service revenue and only moderate increase of 61 – I’m sorry, and only moderate increase of costs, leading us to an organic EBITDA development of 915, and here, you have the ForEx and other, ForEx in the 60s, it’s 51 and that leads to the 854 in EBITDA.
Here is also Uzbekistan that is the overall element with 48 million of negative development year-over-year. On the bottom of the slide, you see the country evolvement and here it is driven by Russia and Pakistan with respectively $29 million and $31 million increase and you also see the trend line on Bangladesh and Algeria with 21 and 20 negative development. And that leads us to the 854, which is slightly decline in reporting EBITDA.
Moving to corporate costs in slide 7. As we stated in February, in our Q4 presentation, we are very focused on reducing corporate costs and we do expect to realize savings around 20% year-over-year from 2017 level of 430 million. In Q1, corporate costs were $80 million, it’s slightly up from last year. That is driven -- that increase is driven mostly due to severance costs, which is partially offset by a release of provision for long-term management incentive plans.
So all the initiatives to address corporate cost are progressing and in line with expectations. So with that part of my introduction, I am leaving the word to Kjell."
Kjell-Morten Johnsen,0,"Thank you, Trond and good morning, everyone. I'll try to take you through the operations of VEON, starting off with Russia wherein I’m happy to say that we have reported good results in Russia, with EBITDA returning to the trend after Q4, which was impacted by non-recurring costs. However, we expect the macroeconomic and market conditions to remain challenging as the result of the recent weakening of the ruble.
Total revenue increased by 2.9%, driven by 3.7% growth in mobile service revenue and growth in sales and equipment and accessories, partly attributable to the additional monobrand stores following the Euroset integration. We continue to see good growth in mobile data revenue of 8% year-on-year without the value added and mobile financial services offsetting the decrease in voice revenue. 
As a result, we’ve seen a year-on-year growth in ARPU of 4.4%, supported by successful upselling activities and continued efforts to simplify tariff plans, also supported by increased penetration of bundled propositions across the customer base. Fixed line service revenues decreased by 8%, which is an improvement in the declining trend compared to previous quarters. This decline was mainly due to a decrease of foreign revenue in legacy contracts and a decrease of transit traffic revenue, which were partly centralized at VEON wholesale services, a group division centrally managing the arrangements of VEON group companies with international carriers.
We continue the turnaround of our fixed line services via the modernization and expansion of the fixed line network, improving service quality, reducing connection times and offering superior propositions, such as FMC offering. And the FMC customer base continues to grow, now at 925,000 customers at the end of Q1, 2018. EBITDA increased 4.7% year-over-year and normalized at a margin of 38%, which is an improvement of 2.3 percentage points quarter-over-quarter and 0.7 of a percentage point year-over-year.
The Euroset integration is on track and we completed the integration of around 800 stores by the end of April 2018. The Euroset integration costs were approximately RUB600 million during the quarter, as we closed the transaction at the end of February 2018 and we continue to expect approximately RUB3 billion of negative EBITDA impact for the full year of 2018.
We therefore of course continue to expect negative impact on the EBITDA and EBITDA margin, driven by integration costs and the change in revenue respectively. We did not advice to extrapolate the year-over-year growth in EBITDA that we saw in the first quarter to repeat for all quarters of the year. As Trond talked about, we have now more clarity on the Yarovaya and the key numbers are total expenditure of around 45 billion, CapEx and approximately 6 of that coming in 2018. So again, we will learn how to store voice and SMS from the 1st of July this year and data communications for six months as of the 1 of October of this year.
Moving then to Pakistan, and Pakistan continues to show the growth, both in terms of revenue and customers, despite competitive market conditions. Total revenue grew by 5.7% year-over-year, driven by mobile data revenue growth of 34%, supported by growth in data customers as a result of higher bundle penetration and continued data network expansion.
After the completion of the network integration with [indiscernible] in Q4, 2017, Jazz is now able to offer 4G to all of its customers. EBITDA increased by 20.1% year-over-year, driven by revenue growth, OpEx synergies and the phasing out of merger/integration costs, leading to a strong EBITDA margin of 47.5%, which is up 5.7 percentage points year-over-year and 1.8 percentage points compared to Q4 2017. CapEx doubled year-over-year during the quarter, mainly due to the 4G network expansion.
Now, moving over to Algeria, where the operational turnaround of Djezzy continued in Q1, 2018. Despite a challenging macro, regulatory and competitive environment, which remains tighter by inflationary pressure, import restrictions, new taxes and strong competition. And the telecom share of wallet overall is under significant pressure in Algeria. The result is that revenue is still under pressure, decreasing by 9.3% year-over-year with the customer base reduced by 4.5%.
However, we do see positive development as initiatives start to pay off. We do see good uptake of the new price offers. We do see an increase in the quarter-over-quarter customer base and we do see strong growth in data revenue, 80% year-over-year, driven by new commercial offers and leveraging on the 4Q network leadership. EBITDA decreased 17.3% year-over-year, however, we have seen quarter-over-quarter EBITDA margin improvement.
So in summary, for Algeria, we are confident that we're in the right path. We had the strongest network performance. We have coupled that with improved distribution, leading to a good relative performance versus peers, but there's still work to be done and we expect the result of the turnaround to become visible at some point in the second half of this year.
And then moving over to Bangladesh. The market is still pressurized by intense price competition and we continue to see pressure on revenue, which is down 10.6% year-over-year. However, Banglalink is much better equipped for a turnaround after the Spectrum option in Q1 2018. 4G was launched in February with rollout getting paced and now covering 12% of the population.
Customers grew 5.6% year-over-year, supported by improved distribution in the form of 11,000 new outlets. Data revenue grew 8% year-over-year with the acceleration of data customer growth at 21% and double data usage. EBITDA decreased by almost 30% year-over-year, due to the decline in revenue, customers -- increasing customer acquisition costs and OpEx related network expansion.
The increase in CapEx was driven by investments to improve network resilience and the 4Q launch and rollout. So I would say, my final comments on Algeria applies to Bangladesh. We are making good progress, having fixed a structural disadvantaged and purchase new spectrum. We have also improved our distribution. We're confident that we're on the right track, but we don't expect results of this turnaround to be visible before at some point in the second half of this year.
Then moving on to Ukraine, and I'm happy to say that Kyivstar continued to deliver robust results during the quarter. We secured a 4G license both in the 2.6 and 1800 bandwidth and launched 4G in April 2018. Ukraine was behind peer countries with respect to the launch of 4G, which they also were on the 3G launch and we expect a strong uptake of these services. Kyivstar is well positioned to benefit from this.
Total revenue continued its double digit growth, up 10.1% year-over-year, driven by continued strong growth of mobile data revenue, which grew 59% as a result of growing data consumers and successful marketing activities, stimulated by the continued rollout of the 3G network and data centric tariffs. As a result, data consumption per user more than doubled in Q1, 2018 compared with the same quarter in the previous year.
The customer base grew by 1.9% year-over-year, driven by improved churn. EBITDA grew 16.4% year-over-year, driven by higher revenues, leading to a high EBITDA margin of 56.6%. And then to coverage, 3G population coverage is at 74.5%, up from 65% in Q1 2017. Strong quarter for Ukraine.
In Uzbekistan, we also see another quarter of strong revenue performance, despite the liberalization of the Uzbek Som on the 5th of September, 2017. Total revenues grew 20.1% year-over-year. The company’s tariffs, which were previously related to the US dollar were fixed at the pre-liberalization FX rate of UZS4210 to the dollar, which is the higher level compared to the prior year.
Mobile data traffic more than doubled, driving mobile data revenue growth of 38.9% year-over-year. We see strong uptake in 4Q as we expand outside of the main cities. We expect to end this year with 25% to 30% 4G population coverage, which currently stands at 23%, up from 8% in Q1, 2017. EBITDA increased 4.5% in the quarter, driven by revenue growth that’s partially offset by mainly non-controllable costs like the customer tax increase. 
Customer tax doubled year-over-year, impacting the EBITDA margin by 8.5% year-over-year. And we repatriated approximately $40 million for Uzbekistan in two tranches in March and April 2018. This was executed at market rates and we aim to repatriate excess cash in the remainder of 2018. The Spectrum was reallocated among all operators from April 2018 and we expect now material impact.
And then turning over last but definitely not least to Italy, where the management already have disclosed the results, so we will just do a summary. There is no doubt that the competitive environment in Italy is very tough, also ahead of Iliad’s market entry. This is reflected in the results, although this has been mitigated by the delivery of merger synergies. 
Looking at the numbers, the revenue for Q1 2018 decreased by 8.9%, driven by a 7.8% decline in mobile service revenue due to continued aggressive competition and to recap with the launch of the MVNO obtained last year, which drove a customer base decline of 5.5% and pressure on the ARPU, which was down 1.8% year-over-year.
Fixed line service revenue decreased by 4.2%, mainly due to an ARPU reduction of 3.9%. The good news is that EBITDA increased 5.8% year-over-year. 4.1% of this is driven by accounting due to the application of IFRS15, but it is a fact that we are realizing incremental synergies in Q1 this year of EUR37 million and of course we are starting to see lower integration costs compared to last year.
Let me add a few words on the new entrant. The impact of Iliad will be mitigated by the rolling agreement they have with Wind Tre, which is a company specific benefit that other competitors cannot benefit from. On a network, the modernization is progressing and will enhance user experience and strengthen the market position of Wind Tre. At the end of April, approximately 6500 sites were modernized in five key cities, including Milan recomplete. And finally, the leverage ratio at the end of Q1 was 4.4 times EBITDA and the contribution to be on P&L, minus $130 million.
And then over to you Trond for summarizing."
Trond Westlie,0,"Yes and thank you again. And then we're on slide 16 on the Q1 income statement. And I will not allude to the numbers that I already commented earlier, but starting on the EBITDA of 854, slightly down from our reported numbers from last year and an operating profit of 362, slightly up from last year. The net financial income and expenses is the interest expense and the increase of debt was offset by lower interest rate and therefore, it's on the same level as last year.
Next number I’ll comment is the share or loss from joint venture of 130, coming from Italy. You see an increase of loss of 30. The underlying elements coming from Russia is though positive, because the number coming from Italy in 2018 were 102 and then we have an accounting adjustment of 27 that leads us to a loss of 130. Last year, the loss from Italy was 271 and the purchase price allocation adjustment accounting was a positive 182. So the underlying development of Italy is improving, even though, the number is slightly increasing in our P&L.
That leaves us with a profit before tax of 37 and taxes of 119, a decline from last year. Two elements driving that, less tax in high taxable countries as well as the devaluation of Uzbekistan that drives also this number down. And that is loss from continuing operation of 82 and attributable to VEON shareholder loss of 109 nine in the quarter.
Going then to cash flow statement on page 17. A good progress in cash flow in Q1, starting on the EBITDA of 854. You see a positive development if you compare quarter one ’17 to quarter one ’18, both in provision net interest paid and income tax paid and that leaves us with the cash flow from operating activities of 702, short of -- 120 million better than last year. CapEx is higher, as I've been talking about due to the quarterly distribution mostly and then the effect of the working capital related to CapEx not changing too much in the first quarter and therefore an improvement from last year and that leaves us at equity free cash flow before spectrum and license acquisition of 334. 
I like to point out that please do not use the first quarter cash flow as a proxy for the next three quarters because it has been a good efficiency when it comes to provision and working capital in the first quarter and as a result of that, we are guiding on a lower number than the -- using this as a proxy."
"Going then to the net debt development on page 18, I think I explained most of the details on previous slides. So I'm not going to go into details, so that the net debt increases by 225, leaving us at a net debt of 9 billion at year end. That is up from 8.740 billion, leaving us at a leverage ratio of -- last twelve months of 2.5. I think it's important to say in this – on this slide that this is of course increase due to the fact that we have paid licenses, so more than 300 million and paid just short of 300 million out in dividend and so that we see this as the peak of this year and we are likely to come downwards on the net debt side going forward.",0,"We do not see any new spectrum of license payments the rest of the year, even though there will be some smaller additional payments on the existing purchases in the next three quarters. So all in all, trending in the expected development and seeing this as the peak of the year.
Going then to our targets for 2018. We had a good start to the year, particularly in our largest markets and I'm pleased to reaffirm our guidance for the year for flat to low single digit organic growth in total revenue and EBITDA. We are also reaffirming our expectation for the equity free cash flow calculated on 2018 target rates, which we set out with our full year results back in February.
Today, we also gave you guidance on expected investment for Yarovaya, even though that the big number is over a period of five years, the RUB6 billion will come in to 2018 and will put extra challenge to our target for equity free cash flow, which we are confirming the full year 2018 to still be around the $1 billion, even though it puts some pressure on the downward element of the around level.
So with that, I’ll open up for questions."
Operator,1,[Operator Instructions] We will that take our first question from Irina Idrissova from RBC Capital Markets.
Irina Idrissova,1,"So on Bangladesh, another two rolling out 4G and have better spectrum position. How long do you think it would take for you to catch up on network quality to the largest player in the market and following that, how much longer do you think will take to improve network quality perception to be on par with the market leader?
And then in Russia, it looks like your mobile net adds deteriorated compared to last year, but ARPU growth has accelerated. How long do you think you can afford to kind of hold off on promotions, perhaps sacrifice on the customer base and also if you could give some color of the net losses in the quarter, how much of that was perhaps from the second since that are being used a lot?"
Kjell-Morten Johnsen,1,"Well, on Bangladesh, very important change for us, now that we have a spectrum situation that allows us to compete in a good way in the market and we are rolling out 4G network. So I think we’re already seeing a completely different customer experience. And I think you know as well as me that the real experience comes first and then of course the perception takes a bit more time to change. But if you look at the verdict of consumers in Bangladesh, we do see a strong relative performance versus [indiscernible] for the first time in a long, long time. So, early signals are very encouraging. But I'd like to underline that this is not something that is turning around in one quarter or one specific event. We need to keep this movement going for quite some time, before we declare victory. But early signs very encouraging.
When it comes to your question on Russia, I think the Russian market is fundamentally going through a change, going away from focusing on customer numbers to focusing on value, ARPU and profitability. We also see that distribution is changing a lot and we took leadership on that by phasing out the Euroset operation and moved towards more monobrand. So I expect that the overall market in Russia will see production of overall sales in the area of 20%, 25% this year for all players, but I don't think the customer base of each individual top three operators will change dramatically. We believe that this is the right course of action and we also think it's right to move away from the alternative distributions that has been such a big part of the Russian market to lower sales, more stable customer bases and driving more ARPU and value in the market."
Operator,1,We will take our next question from Olga Bystrova from Credit Suisse.
