speaker,q&a,content
Arnaud de Puyfontaine,0,"Welcome everyone, and thank you for your pronunciation. Thank you for joining us today. And I would like to start by briefly reviewing some key achievements of Q3. I will then hand over to, Hervé Philippe, to comment on our financial results.
I am happy to say that Vivendi delivered a strong performance for the third quarter and over the first nine months of 2018. On a like-for-like basis, Vivendi’s revenues increased by 5.6% compared to the third quarter of 2017 and by 4.6% compared to the first nine months of 2017. These good results were fueled by our three main businesses. In Music, Universal Music Group maintained strong momentum, thanks to increased subscription and streaming revenues. Last week UMG announced an agreement with Boomplay, the most popular music streaming service in Africa. Universal is the first major to license its content to this service.
At the same time, UMG artists keep topping the charts. For the last week of September, UMG had nine out of 10 top ten albums on the Billboard 200 chart in the U.S. This is the first time in nearly five years that the music group has achieved this performance since 2013 when it was achieved by UMG.
On the TV side, we have had a lot of very positive news over the last few weeks. Canal Plus Group won the exclusive rights to broadcast the English Premier League for the 2019, 2023 period in France and Poland. It also announced the renewal of its agreements with French Cinema Authorities. The movie Sink or Swim or Le Grand Bain in French and the series Le Bureau des Legendes are performing very well and are highly acclaimed by critics. While recovering steadily in France, Canal+ Group has pursued its dynamic international growth with an outstanding increase in the individual subscriber base of plus 726,000 year-on-year.
In Communications, Havas significantly improved its organic growth in Q3 compared to the first half of the year. This upturn is illustrated by the win of prestigious accounts, both on the local and global level. Moreover, the creativity of some Havas Group agencies such as BETC or Rosapark was rewarded at major international festivals during the third quarter of 2018. One year after joining forces, the integration of Havas into Vivendi has proven very successful and has translated into many joint projects with the Group's entities. Q3 has also confirmed that the process for opening up UMG's share capital is on track.
As announced in July, Vivendi has now pre-selected over 15 banks to help identify one of several strategic partners for UMG. We will hold working session with all of them before the end of the year and we will retain six or seven banks that will be charged with finding the most suitable partners for UMG. UMG's 2018 annual results which will be published in February 2019 would serve as the basis for the discussions with potential partners.
The cash from this sale could be used for significant share repurchase program and for potential acquisitions. I am glad to announce that we signed today a share purchase agreement with Grupo Planeta for the acquisition of Editis. Earlier this month, the project obtained favorable opinion for work councils and we are now waiting for green light from the French Competition Authority. We expect to close by the end of this year or early 2019.
As you know, this operation would represent another important milestone in Vivendi's strategy to build an integrated Media, Content and Communications Group. It makes complete sense to gain a foothold in a market complementing our existing businesses and to enrich our content value chain with publishing IPs. Last but not least, Vivendi has continued to create value through some dynamic portfolio management. As planned, the sale process of our interest in Ubisoft is under way and will be completed by March 2019. You may think I'm ignoring the Italian situation. I do feel however that enough has been said and written about Telecom Italia and the current very serious issues and this is not the appropriate forum.
To sum up, the first nine months of 2018 have confirmed Vivendi's positive momentum. They are testament to the fact that we are on the right path and moving in the right direction. Thank you for listening and I will now hand over to my friend, Herve. Herve, over to you."
Herve Philippe,0,"Thank you very much, Arnaud, and good evening, good afternoon or good morning to everybody. Let me just begin with Slide number 7 with the main changes in the scope of consolidation and currencies. The main change in the scope of consolidation was obviously is a consideration of Havas, since early July 2017. On the challenging currencies, as you can see, the euro continued to strengthen against the main currencies compared to the first nine months of 2017. The impact of these currency fluctuations are primarily conversion-related mainly at the level of revenues.
Before going through revenues, let me remind you that we applied IFRS 15 starting January 1, 2018. The change had no material impact on Vivendi's financial statements. The Group's nine months 2017 and full year 2017 revenues were restated in the net amounts of EUR48 million and EUR57 million, respectively. These restatements are essentially gross-up adjustments with no material impact on the net margins and related to Gameloft, certain Canal+ Group contracts and Havas.
You will find some details on the restatements in the appendix at the end of the slides. The application of IFRS 15 had no impact on Universal Music Group because its revenue recognition was already compliant with the new standard. In accordance with IFRS 15, Vivendi has restated the 2017 figures, therefore the data presented in the following slides related to nine months of Q3 2017 and 2018 is comparable.
Let's move to Slide 8, with the revenues by business unit. For the first nine months of 2018, the Group's revenues reached EUR9847 million, up 4.6% organically, mainly due to the solid growth at Universal Music, plus 9.1%. Canal+ Group revenues amounted to EUR3,822 million, that is 0.8% growth. Havas contributed EUR1,587 million to the Group's revenues in the first nine months of 2018.
Revenues from the other businesses amounted to EUR315 million. They include Gameloft, Vivendi Village and the new initiatives as well as intercompany elimination. Combined revenue grew 2.4% organically. Exchange rate fluctuations negatively impacted revenues by EUR330 million in the first nine months of 2018.
Going to Slide 9, on the sequential changes in the organic revenue growth rate of our main businesses between H1 and Q3 2018. UMG growth accelerated in Q3 to plus 13.5% from 6.8% in H1, fueled by the development of streaming platforms and the increase in our market share, notably in the United States.
In Q3, Canal+ Group activity was impacted by the seasonality of Studiocanal new movie release schedule and the stabilization of the French Pay-TV recruitments of Havas experienced a positive turnaround compared to H1. Organic net revenue growth, excluding Arnold, turned positive in Q3 at plus 2.5%, fueled by a good momentum in North America and growth in Europe, notably due to better performances in France and United Kingdom.
I'll now comment on businesses performances beginning with Universal Music Group. Slide 12 illustrates the music industry's rapid shift to subscription and streaming models. On the left hand side of the slide, you can see that for the nine months 2018, streaming and subscription revenues represented 56% of recorded music revenues compared to 17% in 2014, demonstrating the rapid shift of the industry. This strong increase is accelerated by the decline in physicals sales, minus 16.3% year-on-year; and in download and other digital sales, minus 24.5% year-on-year.
In nine months 2018, streaming and subscription increased 35.8% year-on-year with a continuous acceleration since the beginning of the year; plus 31.5% in Q1, plus 37% in Q2, and now 38.6% in Q3. This strong growth is driven by the increased penetration of streaming and subscription in major markets, and the increase in Universal Music market share on streaming platforms, particularly in the US. UMG songs occupied the number 1 spot of the Spotify Global Chart for 37 out of the first 39 weeks of 2018.
Physical sales, as you see on the right of the Slide, which still represent 17% of recorded music revenues, are down 10.1% in Q3 year-on-year. While they were quite stable in 2017, physical sales are expected to continue their downward trend, but may experience ups and downs from one quarter to the next.
Going to Slide 13, Universal Music Group revenues for the first nine months. Total revenues were up 9.1% organically. Universal Music Group's revenues for the first nine months of 2018 exceeded EUR4 billion standing at EUR4,123 million. This result was achieved, thanks to the strong growth in recorded music, plus 10.2%; and in music publishing, plus 10.6%.
On recorded music revenues, as seen earlier, is a sound growth, which continued to accelerate in Q3, was driven by continued growth in subscription and streaming, coupled with the strong performance of UMG's artist. For the first nine months of 2018, best sellers were led by Drake with his latest release Scorpion, Post Malone and Kendrick Lamar.
Music Publishing revenues were up 10.6% and benefited from the positive momentum of music consumption from subscription and streaming and from improved revenues from live events and synchronization. Merchandising and other revenues, which make up a small portion of Universal Music's total revenues, declined by 13.4% compared to nine months 2017, due to lower touring activities and retail income.
The next Slide 14 illustrates the positive momentum of Universal Music's activities over the first three quarters of 2018. We can clearly see the acceleration of the streaming and subscription growth year-on-year, plus 31.5% in Q1, plus 37% in Q2, and plus 38.6% in Q3. There is also a deceleration or a downward trend of physical sales, minus 26.2% in Q1, minus 12.8% in Q2, and 10.1% in Q3. Some important releases such as Paul McCartney's latest album and the Mamma Mia soundtrack has stabilize the decrease in the physical sales. In Q4, the Star Is Born original soundtrack, as well as the reissue of the Beatles White album should also help to maintain the level of physical sales, but we will have a tough comparison basis in Q4 this year due to a very high level of physical sales in Q4 2017.
The organic growth rate of recorded music has been increasing significantly since the beginning of the year. It doubled between Q2 and Q3 reaching plus 16.2% in Q3, 2018. The growth in Universal Music total revenues continued to accelerate with a 13.5% year-on-year increase in Q3, after 9% in Q2, and 4.5% in Q1.
Moving to Canal+ Group on Slide 16; as shown in this chart, total subscribers to Canal+ offers grew by 600,000 over the last 12 months, reaching 15.4 million, benefiting from the strong momentum of international operations from the stabilization of the subscriber base in France. Let's look in more detail at the subscriber base evolution for the international operation on Slide 17. As shown in this chart, total subscribers to Canal+ offers outside of Mainland France grew by 726,000 over the last 12 months, reaching almost 7 million. This growth was achieved thanks to the positive, yet temporary impact of the 2018 FIFA World Cup in Africa and good progression of overseas and Asian operations with the launch of the activity in Myanmar in the first quarter of 2018.
Moving to the Canal+ subscriber base in Mainland France on Slide 18. Excluding Canal+ SVoD service, the subscriber base in Mainland France was down minus 99,000 over the last 12 months and stood at 7,708,000 subscribers to Canal offer. In Q3 2018, new subscribers are 20% more than in Q3 2016, and sees the best third quarter since 2011, except in 2017 with the arrivals of Mbappe, and Neymar at Paris Saint-Germain which boosted subscription exceptionally.
It is also worth mentioning the good traction of the Canal+ channel, while the number of subscribers increased by 227,000 between the end of September 2017 and the end of September 2018. As for the retail subscriber base, the commercial trend is still satisfactory with the churn rate continuing to decrease standing at 13.4% at the end of September 2018, representing a decrease of 4 points compared to the end of September 2017. This is a record low since the third quarter of 2012.
Turning to Canal+ first nine months figures on Slide 19. As mentioned before, total revenues were up in nine months 2018 plus 0.8% organically. Regarding the TV operation in Mainland France, revenues were down 3.3% year-over-year. As seen earlier Pay-TV in Mainland France activity is stabilizing and continues to benefit from good commercial and retention performances, as well as revenues from wholesale agreements signed with three out of the four French telcos.
International TV revenues increased by 7.8%. This robust growth derived from our strategy of providing the best content to our subscribers. Studiocanal's revenue grew by 10.3% organically, mainly due to a larger number of theatrical releases and very strong video sales, particularly of Paddington 2. Yet revenues in Q3 were impacted by the seasonality of Studiocanal movie releases minus 4.6% at constant currency and perimeter.
This seasonality is expected to be unfavorable, again in Q4, given that in Q4, 2017, figures were very favorably impacted by the release of Paddington 2. Nonetheless, I note that Le Grand Bain, Sink or Swim in English, which was released on October 24 in France reached the streaming on ticket sold milestone three weeks after its release.
Going to Slide 21 on to Havas net revenues. As a reminder, Havas has been fully consolidated since July 3, 2017. The data provided on this slide corresponds to the organic growth of net revenues, excluding Arnold. We had previously announced in the H1 results presentation that we expected better organic growth in the second half of 2018 and these figures confirm this expectation. Havas organic net revenues growth in Q3 was plus 2.5% compared to minus 1.4% in H1 2018. This growth rate confirms a positive breakthrough in Q3.
Including Arnold, Havas' organic net revenue grew -- growth in Q3 was plus 0.3% and amounted to 0.5% in North America. This positive trend is also supported by our track record of accounts win that you can see in the Slide 22 showing the main wins in Q3. For example, we won Barnes & Noble, Leclerc and Ferrero on the Creative side; on Carrefour, China Telecom, Blizzard Entertainment, De Beers and Papa John's Pizza on the Media side. In the healthcare segment, we won new deals at Novartis and Pfizer among others. And lastly, in October we won notably Puma at a global level on the media side and all the customer relationship management program of Henkel in France.
Moving to the Slide 23 on organic growth per region. As already mentioned, excluding the impact of Arnold, Havas' organic growth was plus 2.5% in the third quarter of 2018. Havas performance in North America is excellent, plus 7.3%, thanks to continuing strong performances from Havas Health, Havas Edge, Havas Chicago, and Abernathy as well as from the media business with the contribution of the win of Sanofi account in 2017.
Activities in Europe have also strongly improved compared to H1 2018. The organic growth rate in Q3 turned positive, plus 0.6% and there has been noticeably good momentum especially in France and the UK with a 10.5% organic growth rate for the UK.
On Slide 24, let me give you an update of the successful integration of Havas within Vivendi. Synergy initiatives within the group have multiplied and are being implemented through country based committees established now in 10 countries and big global brand committees. The organization is very fluid and allows the increase of collaborative wins. For example collaborative projects involve brands like Hyundai with Universal Music and the Group Maroon 5 for ads in new cars; Tracfone with Gameloft with four intelligent ads and games; Carrefour with UMG in Spain with local younger artists and also in France the National Rugby League with both UMG and Canal+.
Regarding the Annex agency, it continues its development with the creation of a subsidiary with Capitol Music Group, CMG, a level of Universal Music Group that signed artists such as Paul McCartney, Sam Smith, Katy Perry among many others. Located in Hollywood's iconic Capitol Records Tower, this agency Annex is the first alliance between an American agency and a record label. It will allow collaboration between brands and artist. This innovative partnership between two Vivendi entities will offer new revenue opportunities.
To conclude, on Slide 26, Vivendi achieved very solid performances in the first nine months of 2018. For full year 2018, Canal+ Group is close to achieving the objectives set the division activities will achieve their goals. Canal+ Group is close to achieving the objectives set. Television activities will achieve their goals. Studiocanals may end the year slightly behind despite the success of Le Grand Bain.
And as previously announced, Havas expects better organic net revenue growth versus second half of 2018, thanks to major account wins in the first half of the year.
Thank you for your attention and we're now ready to answer your questions."
Operator,1,"Thank you [Operator Instructions]. We'll take our first question from Charles Bedouelle, Exane."
Charles Bedouelle,1,"A few questions I suppose. The first one is on Havas, you've been reporting Havas excluding Arnold for a few quarters now. Should we understand that Arnold is for sale or could be for sale? That's the first question. The second question is on Editis. Can you explain us a little bit how do you think about the price paid and the return on investment, I mean, to be frank, 16 times EBIT seems like a -- a relatively high multiple, and so maybe 17 is not right earning base we should think of or maybe there are other synergies that would be very helpful. And the last one is on Music and they're in the business, but you said you're in line with your objectives, Canal could be slightly below, are you talking about the profit or the revenue objectives or both? And if it's the case, can you maybe share with us what's your objectives were for Music, notably for the year? That'd be helpful. Thank you."
Herve Philippe,1,"To answer the question -- the first question on Arnold, Arnold is not for sale. In fact, Arnold -- which is very independent agency in fact, which is not included in the Havas Worldwide Network, and this is the reason why we consider that it is logical to disclose figures without Arnold. But in fact this agency has lost some of its key accounts at the end of 2017 and at the end of -- in the beginning of 2018, meaning that this agency has completely change in 2018.
And we have now a new CEO in Arnold which is Kiran Smith which arrived at the end of June. But we have also a new CFO and a new Chief Strategy Officer. So we have to wait for some time to see this new team benefiting of the launching of Arnold which is still a very great name and very good agency in the US. So frankly, Arnold is not for sale today. And to answer the question on the targets, in fact we haven't given specific targets on Universal Music. We see -- as you see that the fourth quarter is always very important in this music and we have good trend, but I have also said that the part of the physical sales which is always very important for Q4 was specifically very high in Q4, 2017.
That being said, for Canal+, we have given some targets since the beginning of this year for a level of EUR450 million of EBITDA before restructuring and this is about -- this targets that we have given some comments saying that we were in line for the television activities but we are probably a little bit behind for the Studiocanal part."
Charles Bedouelle,1,"Thank you very much. And maybe a very quick follow-up if I may, on the UMG process, you've been very clear about the proceeds in your press release. So, that's very helpful. I was just wondering does that exclude any part of the proceed being paid in shares by some of the buyers, because that would be more difficult to do a tender offer with -- if you have a share payment, that will not exclude anything? Thank you."
Arnaud de Puyfontaine,1,"I think that you move into the second question a little bit faster than expected, and I thought that you wanted to get some clarification about the Editis transaction? Am I right?"
Charles Bedouelle,1,"Yes, as well."
Arnaud de Puyfontaine,1,"So I'm going to give you a few tips as we got to the Editis transaction. As we got to reach price paid, I mean, time will tell, and let's set up a round in three years' time and then we'll see if the price was paid a rich price or a good price. What I can tell you is a few things from where we do stand is that, it's a scale asset which is providing regular and steady results, with a caveat -- with a prerequisite which is to compare like-for-like numbers and as we said on 30th of July, this is an industry which is highly connected in terms of cycles by the -- cycles on education program.
And if you take the numbers 2016 of Editis, which was a year of renewal of those education programs, which are important for Editis because we've got two quite a high expose brand in the business, Nathan and Bordas. You would have a multiple of 9.6 times EBIT. So the point I want to make is, it's a good business, it's absolutely fit for purpose, as regard to our strategic agenda, it's a stable business. But obviously 2018 numbers are in the kind of a low-end of the cycle. It is expected to have new education program in 2019 and 2020, and we're expecting to be able to create the momentum in the results and financial KPIs of the asset, which is going to make this transaction a very good transaction.
So not yet done, as I said, we are expecting to get final approval from the Competition Authority and very much looking forward to be able to share with you the progress we will make as soon as Editis is joining Vivendi. Now, as regards to your question in -- as regard to Universal Music Group, we don't expect to get any share transaction in these potential transactions, it's going to be on a cash-only basis."
Operator,1,"Our next question will come from Adrien de Saint Hilaire, Bank of America."
