type,name
Executives,James Arestia – Investor Relations
Executives,Yaki Faitelson – Chief Executive Officer
Executives,Guy Melamed – Chief Financial Officer and Chief Operating Officer
Analysts,Saket Kalia – Barclays
Analysts,Matt Hedberg – RBC
Analysts,Alex Henderson – Needham & Company
Analysts,Gur Talpaz – Stifel
Analysts,John DiFucci – Jefferies
Analysts,Melissa Franchi – Morgan Stanley
Analysts,Shaul Eyal – Oppenheimer
Analysts,Chad Bennett – Craig-Hallum
Analysts,Daniel Ives – Wedbush Securities
Analysts,Erik Suppiger – JMP Securities
Analysts,Mark Schappel – The Benchmark Company
Analysts,Rishi Jaluria – D. A. Davidson
