speaker,q&a,content
Company Participants,0,"Alan Roden - SVP of Corporate Development
Dan Bodner - CEO
Doug Robinson - CFO"
Conference Call Participants,0,"Shaul Eyal - Oppenheimer
Daniel Ives - Wedbush
Samad Samana - Jefferies
Daniel Bergstrom - RBC Capital Markets
Jeffrey Kessler - Imperial Capital"
Operator,0,"Good day, ladies and gentlemen and welcome to the Verint Systems’ Inc. Q1 Earnings Conference Call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session and instructions for how to participate will follow at that time. [Operator Instructions] As a reminder, this conference call is being recorded.
I would now like to introduce your host for today's conference, Mr. Alan Roden, Senior Vice President of Corporate Development. Sir, you may begin."
Alan Roden,0,"Thank you, operator. Good afternoon and thank you for joining our conference call today. I am here with Dan Bodner, Verint’s CEO and Doug Robinson, Verint’s CFO. Before getting started, I’d like to mention that accompanying our call today is a WebEx with slides. If you’d like to view these slides in real-time during the call, please visit the IR section of our website at verint.com, click on the Investor Relations tab, click on the Webcast link and select today’s conference call.
I’d like to draw your attention to the fact that certain matters discussed on this call may contain forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995, and other provisions of the Federal Securities Laws. These forward-looking statements are based on management’s current expectations, and are not guarantees of future performance. Actual results could differ materially from those expressed in or implied by the forward-looking statements. The forward-looking statements were made as the date of this call and except as required by law Verint assumes no obligation to update or revise them. Investors are cautioned not to place undue reliance on these forward looking statements.
For more detailed discussion, of how these and other risk and uncertainties could cause Verint’s actual results to differ materially from those indicated in forward looking statements, please see our Form 10-K for the fiscal year ended January 31st 2019 and other filings we make with the SEC.
The financial measures discussed today include non-GAAP measures, as we believe investors focus on those measures in comparing results between periods and among our peer companies. Our financial outlook and target provide only on a non-GAAP basis. Please see today’s WebEx slides or earnings release in the Investor Relations section of our website at verint.com for reconciliation of non-GAAP financial measures to GAAP measures.
Non-GAAP financial information should not be considered in isolation from or as substitute for, or superior to GAAP financial information, but included because management believes it provides meaningful supplemental information regarding our operating results when assessing our business and is useful to investors for informational and comparative purposes. The non-GAAP financial measures the Company uses have limitations and may differ from those used by other companies.
Now, I’d like to turn the call over to Dan. Dan?"
Dan Bodner,0,"Thank you, Alan. Good afternoon everyone, and thank you for joining us to review our first quarter results, outlook and three-year targets. We are pleased to have started the year strong. Our first quarter results were ahead of our guidance for both revenue and EPS and we're well positioned for a year of double-digit revenue and EPS growth on a non-GAAP basis.
We believe our strong results reflect the execution of our strategy which we began two years ago to accelerate innovation in areas of automation and cloud. We believed this strategy would enable us to sustain growth over the long run and today we're pleased to introduce three-year targets.
First, I would like to review our very strong Q1 results. Year-over-year revenue increased 9% on a GAAP basis, 11% on a non-GAAP basis and 13% on a non-GAAP constant currency basis. Year-over-year operating margins increased 190 basis points on a GAAP basis and 340 basis points on a non-GAAP basis reflecting the significant operating leverage in our financial model.
EPS came in at $0.02 on a GAAP basis and $0.73 on a non-GAAP basis a 38% increase year-over-year. And cash from operations came in at $93 million a 55% increase year-over-year reflecting the underlying strength in our business. Overall our results were strong across practically every key metric. I'm very pleased with our Q1 performance which makes the year more linear and gives us confidence to raise our annual guidance again.
Now I would like to provide some Q1 highlights by business segments starting with Customer Engagement. In Customer Engagement Q1 non-GAAP revenue increased 14% on a reported basis and 16% on a constant currency basis. We're pleased with our results and are guiding to 11% non-GAAP revenue growth for the full year.
Last week we had opportunity to showcase our latest Customer Engagement innovations at our annual user event in Orlando, Florida. Attendance was up 20% year-over-year and we were pleased to have some of world's greatest brands presenting at our conference, including Uber, Verizon, AARP, and MasterCard. We received very positive feedback on our latest solution including our voice of the customer platform which we announced during the events and which I will discuss in more detail later. Overall, the energy generated by our customers, partners and employees was incredibly high.
During the quarter we continued to win new customers, displace competitors, and expand with existing customers, including an order for more than $10 million from a leading telecommunications company. And this customer is standardizing on Verint's Customer Engagement platform and we are displacing multiple point solutions from other vendors. This eight figure deal will be deployed on premise due to the customer's preference for an on premise solution.
In the area of cloud, we are seeing growing adoption and during the quarter we received many large cloud orders including a $9 million order from a technology company, a $3 million order from a bank and a $2 million from a healthcare company with various components of our portfolio deployed in the cloud. While cutting across customers from many industries, the common thread is the desire to work with a vendor that can help them migrate to the cloud seamlessly.
Turning to Cyber Intelligence, Q1 revenue increased 5% year-over-year on a reported basis and 7% year-over-year on a constant currency basis. This compared to a very strong first quarter last year in which revenue increased 13% year-over-year. Regarding margins we are pleased with our year-over-year improvement as we continue to make progress with the softer model transition. During Q1 we received many large orders including orders for approximately $25 million, $15 million, $10 million and $5 million reflecting the strength of our portfolio. Demand for our solutions remained strong and we are guiding to 10% non-GAAP Cyber Intelligence revenue growth for the year.
Earlier in the quarter we had opportunity to showcase our latest Cyber Intelligence innovations at our annual security user event in Italy. Attendance at this year event was up 20% year-over-year and we were pleased to have customers attending from 70 countries. The theme of the event was the art of intelligence and included hands on demos, actual case studies and opportunity for customers to learn from peers' experiences. Customers commented on our strong pace of innovation and the many innovative capabilities we demonstrated at the event.
Turning to guidance, today we are raising fiscal 2020 non-GAAP guidance for revenue by $5 million and for EPS by $0.05. This is the third time we have raised guidance since providing our initial annual guidance in early December. We first raised revenue guidance by $20 million on December 17. The second time we raised guidance by $25 million on March 27, and the third time is today by $5 million. In total we have raised our top line guidance by $50 million to date of which $30 million is from the ForeSee acquisition.
With regard to EPS, our strategy is to expand margins while accelerating the top line and we are pleased with our margin expansion in Q1. Our new non-GAAP EPS guidance of $3.65 reflects continued margin expansion and 14% year-over-year growth.
I would now like to discuss our three-year targets. Last year we discussed our goal for long-term double-digit growth. Today we are providing three-year targets for Verint overall as well as some more details on our two segments. Overall we are targeting the following for fiscal 2022 on a non-GAAP basis. For revenue we are targeting $1.65 billion reflecting a 10% CAGR. For EPS we are targeting $4.70 reflecting 14% CAGR.
Now let's take a closer look at our Customer Engagement three-year targets. Last week during our analyst event, to help investors understand our cloud transition we introduced three-year targets for revenue, cloud revenue, recurring revenue and adjusted EBITDA margins. For non-GAAP customer engagement revenue we're targeting 10% CAGR which would take our Customer Engagement revenue to $1.08 billion in three years. Our revenue target assumes a few points of contribution from maintenance conversion uplift that Doug will discuss later, but does not assume any future acquisitions.
Assuming increasing market demand for cloud we expect our recurring revenue to be about 70% of our customer engagement revenue by fiscal 2022. With respect to margins while we have already achieved best-in-class margins, we expect our adjusted EBITDA margins to continue to expand to around 30% driven by cloud growth and greater scale. Overall we believe we can continue to execute our cloud transition creating benefit for both our customers and Verint.
As we have discussed in prior calls, we believe that behind our leadership and strong momentum is our strategic decision to accelerate our investment in automation and cloud. More than ever before our customers are focused on elevating the customer experience and at the same time reducing operating costs. Automation is critical to achieving our customers' objective and consequently a core strategic initiative to Verint.
Based on input from our customers and our intimate knowledge of the industry we have created a portfolio that infuses automation throughout the customer engagement process. With respect to cloud we believe we are at the inflection point and more and more customers are moving from just talking about loud to embracing it. The trend manifests itself in two ways, new cloud deployments and immigration from on premise deployments to the Verint cloud.
We've been preparing for cloud adoption to accelerate and we are differentiated across three layers. First, our cloud applications offer customers very right functionality with feature quality between on-premise and cloud which customers really like because it makes their transition to the cloud seamless. This is something that most of our competitors do not offer. Second, we have flexible go to market approach that allows customers to operate some Verint solutions on-premise and some in the Verint cloud and to migrate to the cloud at their own pace. And third, we invested in very strong cloud operations that are global, scalable, secure, and efficient. In fact, our recent SaaS deployments target best-in-class 80% gross margins.
As we have discussed over the last two years, we have been investing to accelerate innovations. Our financial targets with this strategy work to drive sustainable growth from mid single digits two years ago to double-digit growth over the next three years while at the same time expanding margins and more than doubling our cloud revenue. We have invested in organic R&D and also carefully analyze buy versus build decisions resulting in several tuck-in technology acquisitions intended to accelerate innovation.
Our customer engagement R&D operation is very efficient running at a level of 13% of revenue. This level is best-in-class compared to our peers with a very healthy ratio of 5.3 gross margin dollars for every R&D dollar invested. Our estimated non-GAAP customer engagement operating margins of approximately 26% last year are also best-in-class due to strong comparative differentiation across our portfolio.
Our approach to acquisitions has been focused on adding technology to expand our portfolio strategically and shorten time to market. Over the last two years, our acquisitions have largely consisted of small companies without profits and our strategy has been to integrate technology quickly and to drive incremental revenue and earnings from our overall portfolio.
And now I'd like to provide an example of buy versus build process using our recent ForeSee acquisition. Most of the customers have been an integral part of our Customer Engagement portfolio and with the market moving away from point solutions to VoC platforms we decided to accelerate our investment both organically and inorganically to accelerate our time to market. We evaluated more than five different VoC assets before selecting ForeSee for its superior digital customer experience technology, employee talent, and domain expertise.
As part of our diligence, we've evaluated not only ForeSee technology and people, but also its operational strength and weaknesses, customer base and financials. We learned that ForeSee revenues were rapidly declining since the parent company bankruptcy and they had significant losses including a $12 million loss in 2017 and a $15 million loss in 2018. We also learned that their customer renewal rates were declining and was at low 60s in Q4 last year, suggesting that the revenue decline might accelerate into the current year.
While ForeSee's historical financial profile presented obvious challenges, we decided to acquire ForeSee for $65 million based on their superior technology, people, domain expertise and the following integration plan. First, our plan was focused on strategic target of integrating the ForeSee technology with the Verint VoC platform. We quickly began the technology integration including merging the R&D and product management organizations.
Second, we increased the level of engagement with ForeSee's customers to reduce attrition and retain them based on our clear roadmap to our broader VoC platform consistent with the market shift to platform. And third, given their significant historically losses we sacrificed revenue profitability this year and completed swift operational integration coupled with right sizing the organizations.
While renewal rates continued to decline to the low 50s in Q1, we believe we are taking the right steps toward achieving the strategic and financial objective that we targeted. Currently we estimate that ForeSee's revenues for the year will be between $30 million to $40 million based on the progress we have been making so far with integration. As discussed before, we raised guidance three times since the acquisition of ForeSee and our current guidance assumes the low end of the estimated range or $30 million of ForeSee revenue in our $900 million Customer Engagement revenue guidance.
We generally measure the success of a tuck-in acquisition across two metrics, strategic and financial. In the case of ForeSee on the strategic side, we measure success based on sustainable growth of our customer engagement portfolio and accelerating time to market. On the financial side, we achieve profitability on day one and now expect to achieve a revenue level this year that translates to a purchase price of 2x revenue or less.
I am pleased to report just last week during our annual customer conference we launched a new version of our VoC platform including the ForeSee technology and other innovations. We had more than 100 ForeSee customers at the event and we received very positive feedback from both Verint customers and ForeSee legacy customers.
In summary, ForeSee is a good example of our thoughtful approach to buy versus build decision making. And now we leverage both internal R&D and technology acquisitions to accelerate our innovations.
Before turning to Cyber Intelligence, let me summarize Customer Engagement as follows. We believe the investments we have made over the last two years combined with market readiness, will accelerate our transition to the cloud and we expect the conversion of our maintenance stream to contribute a few points towards our 10% CAGR revenue target. While we will continue to evaluate tuck-in acquisitions using our buy versus build decision making process, our targets do not assume any future acquisitions.
And finally, we expect our Customer Engagement margins to continue to expand driven by our growing scale and our shift to the cloud.
Turning to Cyber Intelligence, as we have discussed on prior calls, we expect non-GAAP revenue to growth at 10% CAGR over the next three years which will take us to $575 million of revenue in fiscal 2022. At this scale and with a transition to a softer model we expect our adjusted EBITDA margin to exceed 20% an improvement of over 450 bps over the next three years on a non-GAAP basis. In addition to margin improvement, there are significant benefits to customers and to Verint from moving to a softer model that I will discuss shortly.
Behind our double-digit revenue growth is demand for data mining software as an effective tool to address security threats that are becoming more pervasive and complex. Data volumes are growing quickly requiring legacy data mining tools to get refreshed at a rapid pace. As a result, security organizations are seeing innovative data mining software to better detect, investigate and neutralize threats.
As part of our innovation, we focus on automation to help customers shorten the investigative process and reduce dependency on large numbers of intelligence analysts and data scientists. With respect to moving to a software model, we believe there are significant benefits to our customers from productization of our solution, making our software easier to implement and easier to refresh, which is critical in a rapidly evolving technology landscape.
More and more customers have realized that the integrator model is limited in terms of system openness and their ability to quickly deploy software enhancements. The investments we've made in the software model creates even more competitive differentiation.
Now I would like to discuss R&D and Cyber Intelligence. Our R&D investment has been around 20% of revenue in recent periods in line with security peers and that's been focused on automation, unbundling the software and minimizing hardware customization and integration services by Verint.
With respect to buy versus build in Cyber Intelligence, technology acquisitions have not been required for our transition to a software model and the transition has been driven primarily by organic R&D investments. We are very happy with the margin expansion we've achieved to date including in Q1. Overall over the last two years, we achieved 300 basis points of EBITDA margin improvement and over the next three years, we are targeting an additional 450 basis points of expansion on a non-GAAP basis.
In summary, we believe the combination of our leadership position and market demand for advanced data mining software will enable us to continue to grow our Cyber Intelligence revenue at the 10% CAGR over the next three years. At the same time, we're making progress with transitioning the business to a software model, which will drive strategic and financial benefits to Verint.
Before handing the call over to Doug, I would like to highlight four elements of our growth strategy. First, as we discussed today, our goal is to grow revenue at 10% CAGR over the next three years, with margin expansion driving EPS CAGR of 14%.
Second, we plan to pursue acquisitions opportunistically to drive additional shareholder value and put Verint in an even stronger competitive position. Our long-term targets, do not assume any future acquisitions. Third, we expect strong cash generation and our primary cash usage will be for M&A; however, if we cannot find desirable deals we will consider using any excess cash to repurchase shares.
And finally, our Board is committed to continued refreshments, ensuring we have the skills to drive shareholder value. Over the last three years, we added three new Directors and we plan to bring on another Independent Director during the current fiscal year.
I would also like to say that given the success of our growth strategy, our strong performance and the value we're creating for our shareholders, we believe the proxy contest is entirely unwarranted. As the strategy has unfolded, we have provided new disclosure to help investors better understand the changes in our business. And as our track record clearly shows, we have an ongoing practice of board refreshment.
I would like to thank our shareholders for the support we are receiving from them and we encourage our shareholders to vote for all Verint nominees on the white proxy card. That is all we will have to say on the proxy side on today's call, including during the Q&A portion of the call and we want to focus on our very strong performance.
Now let me turn the call over to Doug."
Doug Robinson,0,"Yes. Thanks, Dan and good afternoon everyone. Our discussion today will include non-GAAP financial measures. A reconciliation between our GAAP and non-GAAP financial measures is available as Alan mentioned in our earnings release and in the IR section of our website. Differences between our GAAP and non-GAAP financial measures include adjustments related to acquisitions, including fair value revenue adjustments, amortization of acquisition related intangibles, certain other acquisition-related expenses, stock-based compensation, as well as certain other items that can vary significantly in amount of frequency. For certain metrics it also includes adjustments related to foreign exchange rates.
I'd like to start by looking at our Q1 performance. Our first quarter results were strong across practically every key metric. Q1 non-GAAP revenue came in at $324 million and 11% year-over-year increase as reported and a 13% on a constant currency basis. Our Q1 non-GAAP gross margins were approximately 67%, up 350 bps from Q1 last year with both segments showing year-over-year improvement. We were particularly pleased with the improvement in our Cyber Intelligence segment's gross margins, which I'll discuss in a minute.
Our non-GAAP operating income came in at $62.3 million, up a very strong 35% year-over-year. Our growth in operating income to non-GAAP operating margins to 19.2%, a 340 bps increase from Q1 of last year. Our adjusted EBITDA for the quarter came in at $70.1 million, a 29.1% year-over-year increase. These strong results drove diluted non-GAAP EPS of $0.73 for the quarter, up 38% from the $0.53 EPS in Q1 of last year. We are also very pleased to have increased our GAAP cash from operations year-over-year by 55% to $93 million in Q1.
I would also like to mention that Q1 is the first quarter that we have had a year-over-year comparison on the same basis under ASC 606, the new accounting standard the company has adopted last year. As you can see our year-over-year performance in Q1 was very strong and is reported on the same 606 basis as Q1 in the prior year. I mentioned this, because last year we were required to report results under both 605 and 606, which created some confusion on the trends in our business.
As we had discussed throughout last year we prepared for ASC 606 during fiscal '18 and therefore at the beginning of last year fiscal '19, we changed certain business practices and built our budget to align with 606 accounting. As a result, the disclosure in our 10-K and 10-Q showing our fiscal '19 results under 605 was not a meaningful comparison, because the results under 605 no longer accurately reflected our business performance once we implemented the business practice changes I mentioned.
We believe our results last year under 606 reflect our true performance, which is also demonstrated by our strong 22% increase in cash from operations last year, as well as our strong earnings and operating cash flow performance in Q1 of this year on the same 606 basis.
Our guidance for fiscal '20, which we've now raised several times also reflects the same steady state 606 compare. In other words, as we said previously, we believe our results last year would have been similar to what we reported, absent the 606 transition.
Now I'd like to review our Q1 results by segment. Turning to Customer Engagement, non-GAAP revenue increased 14% from last year as reported and 16% on a constant currency basis. Today, we are reporting additional revenue metrics for our Customer Engagement segment including recurring revenue, non-recurring revenue.
Before reviewing these metrics for Q1, I'd like to start with some definitions. Recurring revenue includes cloud and maintenance and non-recurring revenue includes on-premise solutions and professional services. We are also breaking down cloud into SaaS and optional managed services.
In Q1, non-GAAP recurring revenue increased 23% and non-GAAP non-recurring revenue increased 6.5% year-over-year. Non-GAAP cloud revenue came in at $56 million, an increase over 58% year-over-year.
In Q1, our SaaS and managed services mix was about 75-25. On a fully allocated basis, our Customer Engagement non-GAAP gross margins were 68.4% and our non-GAAP operating margins were 23.3%. Overall we are pleased with our strong Customer Engagement revenue growth and continued margin expansion in Q1.
Turning to Cyber Intelligence Q1 revenue increased 5% year-over-year on a reported basis and 7% year-over-year on a constant currency basis. This compares to a very strong first quarter in the prior year and which revenue increased 13% year-over-year.
On a fully allocated basis, Cyber Intelligence, non-GAAP gross margins increased 710 bps year-over-year to 65%. While our margins continue to benefit from our transition to a software model, in Q1, we also had a very favorable mix. The improvement in gross margins took our non-GAAP fully allocated operating margins to 11.1% in Q1. In summary, we are targeting another year of 10% non-GAAP annual revenue growth with expanding margins.
I'd now like to take you through our updated fiscal 2020 guidance. As Dan mentioned earlier, today we are raising our non-GAAP guidance for the third time since our early December call. We now expect total revenue of $1.375 billion with a range of plus or minus 2% reflecting just over 10% growth for the year. By segment, we expect 10% growth in Cyber Intelligence and 11% growth in Customer Engagement.
As Dan mentioned, our guidance assumes about $30 million of revenue from ForeSee. Overall, our 10% outlook for customer engagement reflects mid to high single-digit revenue growth excluding our recent acquisitions.
From an operating margin perspective, we expect operating margins in fiscal '20 of approximately 22%. We expect our non-GAAP quarterly interest and other expense excluding the potential impact of foreign exchange to be approximately $5.75 million. Given volatility in foreign exchange rates that could be future gains or losses related to balance sheet translations in our future results, which are not included in our guidance.
We expect our non-GAAP tax rate to be approximately 10.5% for the year, reflecting the amount of cash taxes we expect to pay this year. Based on these assumptions and assuming approximately 67.5 million average diluted shares outstanding for the year, we are expecting non-GAAP diluted EPS at the midpoint of our revenue guidance to be approximately $3.65, a $0.05 increase from our prior guidance and $0.15 increase from the initial guidance in December. Our new EPS guidance reflects another year of 14% EPS growth.
In addition to our annual guidance, we'd like to provide some color on the progression of the year for modeling purposes. For non-GAAP revenue in Q2, we expect revenue to increase approximately $10 million sequentially with an EPS of around $0.80. We expect another sequential increase in Q3 followed by our usual seasonally strong Q4.
I would like to discuss now our three-year targets in more detail. As Dan mentioned earlier, today we are introducing three-year non-GAAP targets for total revenue of $1.65 billion and earnings per share of $4.70. Driving these targets is Verint's core competency and Actionable Intelligence. These targets assume no adverse change in the economy, although we believe we can perform relatively well in an economic downturn based on historical experience.
I'll spend the next few minutes taking a closer look at our three-year targets for each segment. Starting with customer engagement, given the faster adoption of cloud that we have been seeing and the shift away from on-premise solutions, we expect non-GAAP non-recurring revenue to be relatively flat over the next three years with non-GAAP recurring revenue increasing at a 15% CAGR to $750 million. This should drive recurring revenue to around 70% of our total customer engagement revenue compared to 59% last year.
Within cloud, we expect SaaS to grow faster than optional managed services and to represent 85% of our cloud revenue in three years. Within SaaS revenue, we have bundled SaaS and unbundled SaaS. Our SaaS revenue is substantially generated from bundled SaaS, which provides access to our software with standard managed services, which is what our customers prefer.
However, occasionally, some customers and partners want license rights to our software separate for unbundled from managed services, which for accounting purposes are considered term licenses. The unbundled SaaS can be deployed in the cloud, either by Verint or a cloud partner and renew like SaaS, so is included in our recurring revenue.
I would like to give you a few examples of the unbundled SaaS. One example is when a cloud partner that hosts our software in their cloud without purchasing any of our standard managed services. Another example is customer that refers to purchase both components from Verint, software and managed services, but separately due to the customers desire to have software deployment flexibility. Since unbundled SaaS is a small portion of our total cloud revenue, and the mix of bundled and unbundled SaaS is expected to be similar in fiscal '19 and in fiscal '20 the impact is not material.
Now let's discuss how the transition to more recurring revenue will positively affect our margins. Despite already having a very healthy 26% fully allocated non-GAAP operating margins and 28.3% adjusted EBITDA margins in our customer engagement business, looking forward, we see two factors we believe will have a positive impact on our margins.
First, our margins will benefit as recurring revenue becomes a larger percentage of our revenue. This is because gross margins in our recurring revenue are in the mid to high '70s, while gross margins that are non-recurring revenue are in the mid '50s. As our recurring revenue grows at a 15% CAGR and becomes a greater part of our revenue, our gross margins should improve due to the more favorable mix.
Second, we expect to maintain our R&D expense at around 13% of Customer Engagement revenue. At the same time, we expect some operating leverage from SG&A, as we continue to scale the business. The combination of gross margin expansion and operating leverage is expected to drive our Customer Engagement non-GAAP operating income margins to approximately 27.5%, with adjusted EBITDA margins of around 30% in three years.
Before concluding, I'd like to spend a few minutes discussing the dynamics between maintenance and cloud revenue. As we discussed on prior calls, we currently generate more than $300 million of maintenance revenue that we expect will move to the cloud gradually over time. The conversion of maintenance to cloud, could result in a significant revenue uplift for Verint as the dollar of maintenance revenue can convert to cloud revenue at a 2x rate or higher.
Today, we have a cloud first strategy, which we believe will facilitate this transition. Because of this conversion, we expect maintenance revenue to be flat to modestly declining over the next three years. This trend reflects growth in maintenance from new on-premise deployments, offset by some maintenance revenue converting to cloud revenue. As we make this transition, we expect our non-GAAP estimated gross margins on recurring revenue to remain in the mid to high '70s due to the mix shift discussed earlier between SaaS, maintenance and managed services revenue.
Overall, the transition from on-premise to cloud is expected to contribute to our revenue growth by a few points and to help our margin expansion over the next three years. If the transition occurs at a rate faster than we're expecting our cloud rate could accelerate.
Before concluding, since we provided three-year targets today, we thought it'd be helpful to also discuss our long-term capital allocation plans. Verint ended last year with $468 million of cash, and we expect to generate around $800 million of cash over the next three years. After deducting CapEx, we expect to have more than $1.1 billion of cash available for working capital and technology acquisitions or potentially a larger transaction. However, if we cannot find desirable deals we would consider using excess cash to repurchase stock.
Regarding our debt, we have $400 million of convertible debt due in June, 2021 and $425 million of term loans due in June 2024. We do not plan to settle the convertible debt in shares and plan to refinance as we get closer to maturity likely with another convertible note or additional term loan.
While we spent time today discussing our long-term targets, I'd like to end the call where we started with our strong Q1 results. We are very pleased to have started the year strong and look forward to another successful year.
This concludes my prepared remarks. So with that operator, can we please open up the lines for questions?"
Operator,1,Certainly. [Operator Instructions] Our first question comes from Shaul Eyal with Oppenheimer. Your line is now open.
Shaul Eyal,1,"Thank you, good afternoon. Congrats on the quarter and improved outlook as well as the increased transparency. Dan, I want to start by asking with respect to your organic growth this year, can you help us reconcile with organic growth with your 10% organic target for the next two years in other words, what's driving this organic growth right now?"
Dan Bodner,1,"Okay. Sure. That's a good question. So let me start with this year, and I'll break it down, and then we'll go into the next two years. So we gave guidance this year for $1.375 billion for both Cyber Intelligence and Customer Engagement. So let's start with the Cyber Intelligence. Our guidance for this year is $475 million. That represents 10% growth. And now, we look at the organic, inorganic, we did one deal last year in November, we bought a company called Nowforce. We paid $4 million for this company at closing and this company did $2 million of revenue last year. So pretty much our guidance for this year is organic and also our guidance for the next three-year CAGR of 10% is organic.
Now let's move to Customer Engagement, where we did more acquisitions. Our guidance for this year for Customer Engagements is $900 million and that represents 11% growth. Over the last 12 months we acquired three companies. We acquired ForeSee for $65 million in December, plus we acquired two other small companies, one focused on WFM technology that we acquired mid last year for $27 million and one focused on the SMB technology that we acquired in February this year for $20 million.
So as I said before and Doug explained in our guidance, ForeSee represents $30 million of inorganic revenue out of the $900 million guidance. And if you take all these three companies, ForeSee and the other two combined they represent a little over $40 million of inorganic revenue in our $900 million guidance, but they also contributed a little bit more than $10 million last year.
So you can do the math and 11% guidance this year is actually consistent with our target for mid to high single digit organic growth for this year and this 11% growth is about two thirds organic and one third inorganic for this year. Now taking this and moving into the next two years fiscal '21 and '22, we are targeting 10% organic growth, but that's inclusive also of the maintenance conversion and we discussed that maintenance convert to cloud, we're going to have some uplift, so that's going to start to contribute also a few points to our revenue growth in those years.
So now you can see the bridge, if we're achieving mid to high single-digit organic growth and this year and also we don't need to expand our portfolio and achieve the same level in the next few years, plus this few points of maintenance conversion, this is how we got to set the target to 10% CAGR over the next two years. And of course if the maintenance conversion will accelerate this could be an upside."
Shaul Eyal,1,"Got it. Thank you for that elaborated answer. And maybe moving – given you've brought up ForeSee, so it would appear - now it is part of a broader voice of the customer strategy, what's the long-term thinking from that perspective down the road on voice of the customer business?"
