speaker,q&a,content
Company Participants,0,"Mark Dankberg – Chairman and Chief Executive Officer
Robert Blair – General Counsel
Shawn Duffy – Chief Financial Officer
Rick Baldridge – President and Chief Operating Officer"
Conference Call Participants,0,"Rich Valera – Needham & Co.
Ric Prentiss – Raymond James
Simon Flannery – Morgan Stanley
Philip Cusick – JPMorgan
Chris Quilty – Quilty Analytics"
Operator,0,"Welcome to ViaSat Fiscal Year 2019 Fourth Quarter Earnings Conference Call. Your host for today’s call is Mark Dankberg, Chairman and CEO. You may proceed, Mr. Dankberg."
Mark Dankberg,0,"Okay, thanks. Good afternoon, everybody, and welcome to ViaSat’s earnings call for our fourth fiscal quarter of 2019. I’m Mark Dankberg, Chairman and CEO. And I’ve got with me, Rick Baldridge, our President and Chief Operating Officer; Shawn Duffy, our CFO; Robert Blair, our General Counsel; Bruce Dirks, our Treasurer; and Paul Froelich in Corporate Development.
Before we start, Robert will provide our Safe Harbor disclosure."
Robert Blair,0,"Thanks, Mark. As you know, this discussion will contain forward-looking statements. This is a reminder that factors could cause actual results to differ materially. Additional information concerning these factors is contained in our SEC filings, including our most recent reports on Form 10-K and Form 10-Q. Copies are available from the SEC or from our website. That said back to you, Mark."
Mark Dankberg,0,"Okay, thanks, Robert. So we’ll be referring to slides that are available over the web. I’ll start with a summary of financial highlights and an overview and then Shawn will discuss the consolidated and segment level financial results, I’ll provide some additional color on the businesses and then we’ll review our outlook and take questions.
So, financial results for the quarter and full fiscal year were exceptional. Fourth quarter revenues were up 27% from last year to a record $557 million and revenues for the full year were up 30% to a record $2.1 billion. All operating segments achieved double-digit top-line growth in both the quarterly and full year periods. Fiscal 2019 contract awards were $2.4 billion, up 42%. And that excludes about $1 billion in recent multi-year defense, Indefinite Delivery Indefinite Quantity or IDIQ contracts and our AMSS contract options that aren’t counted in backlog. Those IDIQ and contract options are not definitive orders but have often led to firm orders and are indicative of demand.
Top-line growth enabled even stronger adjusted EBITDA growth. Our fourth quarter adjusted EBITDA was up 95% year-over-year to $108 million, while fiscal 2019 full year adjusted EBITDA was up 44% year-over-year. So we’ve increased revenues at a 14% compounded annual growth rate for the last 15 years. This year at 30% is the fastest growth rate in that entire period, next closest was the year we introduced ViaSat-1 and that year was highly driven by residential broadband. This year was way more diverse and we believe more robust including additional satellite services and associated equipment plus other defense and commercial products, all in attractive growth markets where we hold strong competitive positions. Over the same 15 years, we’ve grown adjusted EBITDA at 16% compounded annual growth rate and this is the second best year in that time period.
The results show that our strategy of designing and building the most innovative and cost effective satellite systems is working. We feel we’re just getting started and that we’ve got good momentum for the long term. With the ViaSat-3 series and the enhancements that can follow, we can create even greater competitive separation, but we’re not just about the bandwidth supply side. We’ve invested to build distribution, operations and end to end support for the most promising vertical markets with the greatest growth potential.
We’ve formed strong partnerships with other satellite operators in key geographies. Our integrated technology and business strategy is bold and unique. Since fiscal 2013 when ViaSat-1 went into service, we’ve generated over $10 billion in revenue and about $2 billion in adjusted EBITDA. We’re not building new satellites on speculation. They’re uniquely capable of serving the most challenging customer demands in markets we understand in great depth and serve well. The ViaSat-1 system has been in service for about seven years so far and has enabled about $1 billion in adjusted EBITDA on a $500 million capital investment. And unlike small satellite constellations costing 10x that or more with typical design lives of only five to seven years, the ViaSat-1 asset still has over 10 years of expected remaining service life.
It’s exciting to see these results. We’re not only the fastest growing satellite data networks operator. On the March quarter basis, we’re the largest in terms of revenue. That’s due to having the most bandwidth despite having the smallest satellite fleet, and the ability to deliver and leverage that volume of bandwidth to the most valuable geographic markets with great efficiency is the core of our strategy. So, as we said a year ago, at the start of fiscal 2019, our focus for the year was to execute on the potential we had created. In order of priority and revenue contributions, we had a big order book of in-flight connectivity deliveries, a strong backlog of products and services in defense, and new ViaSat-2 bandwidth to apply to our fixed U.S. broadband business.
Our to do list also included adapting to the ViaSat-2 on-orbit antenna performance, resolving the associated insurance claim, beginning to scale community WiFi and enterprise services, lighting up and entering new geographic markets, and continuing production of ViaSat-3. We executed well. Fiscal 2019 was a really successful year. We capitalized on the opportunities we anticipated and set the stage for attractive growth in fiscal 2020 and beyond.
We’ll go into more depth on the key points later in the call, but I wanted to point out a few business highlights here that we anticipate will drive fiscal 2020’s growth. We achieved over 100% increase in the number of commercial aircraft in-service with our in-flight connectivity during fiscal 2019 and we also increased the scope of our service offerings while in-flight connectivity equipment sales are expected to decrease following the rapid ramp up of installs with American Airlines, the strong growth in tail count implies corresponding year-over-year growth in in-flight connectivity services revenue.
And our impressive in-flight connectivity and market share gains this past year along with regional geographic expansion, the approach of ViaSat-3 global coverage and the availability of our Ku-Ka dual band systems creates exciting opportunities to add new planes from our existing customer base as well as new global airlines during fiscal 2020. Our exceptionally strong order book for government products and services is indicative of sustained steady growth opportunities in that segment resulting directly from R&D investments we have made.
U.S. fixed broadband subscribers increased modestly, but fiscal 2019 ending ARPU is up 15% year-over-year and climbing, providing a solid foundation for comparable revenue gains in fiscal 2020 and optimizing cash flow in the time leading to ViaSat-3 while also delivering more bandwidth to individual subscribers. We also see opportunities to continue to grow new vertical markets and anticipate total satellite services revenues will continue to diversify. Given the size of the U.S. fixed services market that business can generate substantial absolute revenue growth again. As we’ve seen historically, we tend to gain operating leverage as we scale satellite services including adjusted EBITDA margin expansion.
We were also working steadily on the three ViaSat-3 satellites in the global ground infrastructure. It’s a bold and ambitious technical approach, highly differentiated from any satellite communications system we’re aware of. There have been and will be challenges along the way, but we’re making steady progress on this ViaSat-3 generation and ways to leverage that architecture to sustain and grow competitive advantage with even more productive versions for years to come.
So with that as backdrop, I’ll turn it over to Shawn."
Shawn Duffy,0,"Thanks, Mark. As Mark just summarized, our financial results were very strong for the quarter and full fiscal year as we executed well on multiple fronts. We also crossed over a new annual revenue threshold, reaching $2.1 billion for fiscal 2019 comprised of solid growth for other businesses. For the quarter revenues increased between 21% and 31% across each of our three main segments with record revenues in satellite services and government systems. And we’re seeing the bandwidth economics we’ve invested in covered into growth with year-over-year adjusted EBITDA gains surpassing top-line performance for both the quarter and the annual periods.
So starting with the quarterly results, our satellite service segments saw the highest percentage growth for the quarter of 31% year-over-year reaching a record of $190 million with sequential quarter revenues increasing 7%. This strong year-over-year performance was due to higher ARPUs, up 15% year-over-year and 5% sequentially. As we execute on our premium service strategy across our residential and our enterprise markets. We’re seeing higher customer satisfaction and lower churn rate and improved operating efficiencies, which contributed to the Q4 adjusted EBITDA gains I mentioned earlier.
And IFC, we saw another quarter of strong revenue increases with an in-service fleet double the size we have last year, even with the approximately 40 737 MAX planes that have been grounded. Our services on board continue to broaden as our airline partners find ways to monetize the platform to differentiate themselves with unique offers like Apple music on American Airlines, Integrated IFE solutions and other entertainment offerings. Overall, our satellite service segment revenues continue to diversify with revenues other than U.S. fixed broadband businesses, now having grown to approximately 24% for the current quarter.
On the international front, the fourth quarter of fiscal 2019 presented opportunities for expansion, coupled with elevated investments in both fixed and mobile broadband spanning across Latin America, Europe and into the Asia Pac regions. Despite these investments and activities, the satellite service segment continue to generate strong sequential revenue, quarterly revenue conversion into adjusted EBITDA of 69% bringing Q4 adjusted EBITDA improvements of 117% year-over-year and up 15% sequentially from Q3. The adjusted EBITDA margin for the quarter was just over 34% compared to 21% a year earlier, up over 200 basis points sequentially from Q3. And these significant margin improvements demonstrates the operating leverage inherit in our fixed and mobile broadband service businesses.
In commercial networks, quarterly revenues grew 21% year-over-year from a combination of increased revenues in our antenna systems division, higher IFC terminal sales and ramping service revenues from IFC equipment maintenance agreements. Adjusted EBITDA was down slightly as higher SG&A expense associated with the company’s accelerated antenna system contract wins offset the reduced R&D investment over the same period. On a sequential basis, recall that last quarter, we had higher than expected IFC terminal deliveries due to accelerated customer install demands. That pull forward moved approximately $4 million of EBITDA from Q4 to Q3. That’s exaggerating the anticipated quarter-over-quarter ramp down effects. Segment awards also reflected strong growth totaling $96 million, a 45% increase year-over-year again dominated by another quarter of strong IFC activities plus high levels of antenna system contract wins.
Moving into government systems, this quarter marked another outstanding quarter with many new quarterly and fiscal year segment highs. Fourth quarter revenues hit a record of $275 million, or a 26% increase year-over-year with most of this growth spread across the segments’ product lines. In services, strong gains were also seen with increases of 15% as our unique high capacity secure mobile broadband capabilities widened operational capabilities across more geographies and platforms. Segment adjusted EBITDA was up reflecting the flow through of the top-line performance while lower G&A and R&D as a percentage of revenue also helps to deliver a 140 basis point improvement in overall adjusted EBITDA margins.
On Slide 6, we see revenue and adjusted EBITDA performance for the full fiscal 2019 compared to fiscal 2018. On a consolidated basis, revenues were up 30% with adjusted EBITDA again growing at a significantly higher rate, improving by 44% or more than a $100 million from the prior year. Satellite service revenues were up $95 million for the year or about 16% compared to last year led by growth and fixed consumer broadband business as well as increasingly strong contributions from our leading IFC business.
Well ViaSat-2 full-in service launch delays compressed our surface ramp earlier this year. We continue to make strong gains in the back half bringing our fiscal 2019 consumer broadband revenues to record levels as our focus on premium service offerings grew blended ARPU by 12%. On the IFC front, most of the revenue increase was driven by having about 60% more tails in service on average as well as higher ARPA due to the expanding onboard services I mentioned earlier. Adjusted EBITDA for the segment was up $2 million compared to last year despite the high fixed operational expenses associated with full-scale service launch on ViaSat-2 plus 50% year-over-year growth in new product marketing and advertising expenses as well as costs we incurred earlier this year associated with ramping our IFC activities.
However, as I talked about in our quarterly results, adjusted EBITDA grew steadily on a sequential basis throughout the year as our revenue scaled on both our fixed and our mobile broadband businesses. In commercial networks, full year revenues were up 84% to $428 million compared to last year. The bulk of this increase was due to sales of commercial mobility terminals as we executed on our American Airlines contract and expanded tail counts across other airline customers. We also saw strong revenue growth from our antenna ground systems product and payload technology development programs and long-term IFC equipment maintenance agreements, which were partially offset by lower sales of fixed consumer terminals to third parties.
Fiscal 2019 was a very high volume delivery year for IFC products with terminal shipments stretching over 700 units. Now that we’ve successfully executed on this large demand influx, we’re migrating down to a more normalized delivery volumes into next year, which we anticipate will keep our segment revenues at a follow level but somewhat decreased year-over-year. For adjusted EBITDA, the segment loss narrowed sharply by about $57 million due to a significant decrease in segment R&D plus the flow through of higher revenues to gross margin partially offsets by higher SG&A for the period.
We expect total R&D levels to grow somewhat next year as we complete development on the ViaSat-3 ground network and make some other opportunistic vestments in mobility and emerging market applications, all which we believe will extend our market reach and our long-term growth. Segment awards for the quarter were $441 million, up 76% from last year and commercial networks ended the year with $354 million in backlog, which represents just over a one to one book-to-bill ratio.
Within government systems revenues increased 24%, reaching a new record of nearly $1 billion plus the segment achieved its first ever $1 billion contract win year with new orders growing 50% year-over-year to $1.2 billion, bringing the fiscal 2019 book-to-bill ratio to a very strong 1.3 to 1. Product revenues were up 27% while service revenues also increased up 50%. Full year revenues reflected the same trends we saw in Q4 with solid growth across our multiple product lines and record full year service revenues. Company-wide, we achieved record awards of $2.4 billion and ended the year with a backlog position of $1.9 billion, which alongside our growing service base puts us in a solid position for strong growth as we look into next year.
Slide 7 summarizes income and cash flows for the year and debt and leverage trends for the last few years. During Q4, we have positive GAAP income as a result of improved income from operations and a $5 million net tax benefit, partially offset by increased interest expense. And for the full year, our loss was essentially flat as our strong adjusted EBITDA growth overcame the additional $109 million of depreciation, amortization and interest expense now flowing to our P&L, each associated with ViaSat-2’s full-service launch earlier this year.
Turning into cash flows, we generated $320 million of cash flow from operations compared to $359 million last year. Taking into account, the $85 million prepayment we received last year by exploring that for ViaSat-2 satellite services in Canada and the $46 million of additional interest expense now flowing through the income statement versus being capitalized during the ViaSat-2 build, our operating cash flow generation actually improved year-over-year by approximately $100 million. In CapEx, our investments were lower compared to last year. This is net of the $186 million of insurance proceeds received for ViaSat-2. So backing us out, overall capital expenditures increased by $88 million year-over-year with increased investments on the ViaSat-3 program and higher CPE investments partially offset by lower expenditures on the ViaSat-2 satellite and ground network.
So before I move on to our Q4 leverage trends, I wanted to remind everyone that in fiscal Q1 2020, we will implement ASC 842 related to accounting releases. Consistent with our comments last quarter, based on our implementation work thus for, we expect the standard adoption to have minimal impact to our various reported income related measures and no anticipated impact our leverage ratios and other covenant metrics. The primary impact we expect is a growth up to the balance sheet with our right-to-use assets offset by a corresponding lease liability in the same amount.
So moving to the chart in the lower right. Our net leverage continued to improve as anticipated. We ended the quarter at 3.5x net leverage nearly entirely as a result of our strong growth and adjusted EBITDA. Looking forward, we expect net leverage to hover between 3.5 to 4 as expected adjusted EBITDA growth in the coming year should offset continuing investments in the ViaSat-3 global network and other emerging market opportunities. It’s subject to some of the seasonality we typically experience.
Before I turn it back to Mark, I want to provide a brief summary of our recent secure bond offering. During the quarter, we issued $600 million of senior secured notes apart with a 5.625% coupon and an eight year maturity. We’ll use the proceeds of the notes to term out our borrowings under the revolver and for general corporate purposes. We were originally targeting a $500 million raise but decided to upsize. The issue due to very strong demand and favorable pricing.
As part of the upsizing, we also reduced our revolver facility from $800 million down to $700 million. Collectively, this brought our Q4 liquidity to a strong $942 million, which represents the $262 million of cash on the balance sheet and the $700 million undrawn revolver plus our outstanding letters of credit.
So now, I’ll turn it back over to you, Mark."
Mark Dankberg,0,"Thanks, Shawn. So I’ll start my product list satellite services highlights. We grew quarterly satellite services revenues and adjusted EBITDA sequentially and year-over-year on a broadening vertical market space. U.S. fixed broadband subscribers grew slightly consistent with our strategic focus on higher value plans and in-flight connectivity tails in service continue to increase significantly more than doubling from the prior year period. We’ve also continued to grow Community WiFi sites and revenue in Mexico as well as internet connectivity to schools and other government sites in Brazil with our partner Telebras. We’re surfacing and overcoming operational and logistics challenges and believe underlying demand for affordable connectivity is strong.
The chart in the lower left corner is derived from total satellite services revenue ending U.S. fixed subscribers for the period and ARPU. It makes several important points. You can see total satellite services revenue for fiscal 2019 is that a record high as is U.S. fixed broadband. Other satellite services led by IFC are also at record levels and continue to grow even faster and made up 22% of total satellite services revenue for the fiscal year according to this measure that was sequentially higher quarter-over-quarter and showed substantial growth year-over-year.
We’re working to continue all these trends in fiscal 2020 and beyond. That is continued total revenue growth and continued U.S. fixed broadband revenue growth while building a more diversified and robust portfolio. We make new investments when we enter new vertical or geographic markets or support new platforms, but you can see we achieve robust adjusted EBITDA growth nonetheless.
We aim to continue investing to expand our target markets in fiscal 2020 while also achieving attractive adjusted EBITDA growth. So on to in-flight connectivity highlights, we’re really pleased with our rapid growth in IFC and impressive market share gains in North America. We’re focused on helping our airline partners to achieve competitive advantage through new and creative business models unique to their own brand that leverage low cost and abundant bandwidth on all other flights. We ended the fourth quarter with 1,312 tails in service up by 189 sequentially and more than double the year ago number.
We expect to install IFC equipment on approximately 490 additional commercial aircraft under existing contracts, which means we’re getting closer to the 2,000 mark of in-service aircraft. Looking ahead, we liked the momentum and opportunity we see an IFC. We see promising opportunities to add new aircraft with existing customers as well as to serve new airlines and have a good shot at passing that 2,000 milestone in the not-too-distant future depending on the timing of the individual airlines involved.
Our success in North America is helping us engage with airlines on a global basis. The approach of ViaSat-3 helps a bunch. Our target launch dates for the Americas and EMEA satellites now line up well with new wide body deliveries from many international and global airlines with Asia Pacific not far behind. Our partnerships and important regional markets can help accelerate international narrow-body and wide-body growth and our commercial version of the very successful U.S. government dual band Ku/Ka-band terminal is an attractive solution for intercontinental routes.
We’re already [indiscernible] international 787s and see good opportunities with the 777x as well as Airbus and wide-body’s. The investments we made in Supplemental Type Certificates, geographic expansion to Europe and Australia and end-to-end operational support in prior years for stressful at the time, but they clearly catalyzed our success and our rapid growth.
Now in fiscal 2020, we’re in a position to make new success based investments in new terminals, new platform integrations, and very attractive geographic expansions. Given our rapid revenue and adjusted EBITDA growth, we’ve got a lot more maneuvering room in fiscal 2020, but investors should understand that these new and very promising incremental investments means the full benefits of our rapid growth will be a little bit understated in future financial results.
So I’ll switch to government systems. That segment continues to shine with record results across the board. Q4 revenues grew 26% year-over-year to $275 million on surging product sales and steady growth in services. Fiscal 2019 revenues of $956 million or up 24% compared to fiscal 2018. We’ve continued to invest in future growth and that yielded record new orders of $1.2 billion. We always caution that quarterly results in the government segment can be lumpy, but the chart in the lower left shows the long-term trend of growing new contract awards and backlog over the last five years.
We’ve had a good track record of converting orders to revenue. So the growing backlog in fiscal 2019 book-to-bill ratio built confidence in sustained growth in fiscal 2020. We’ve had good success in filling the white spaces between what the military’s operational units need and the government’s procurement regulations can deliver. That’s been true for information and cybersecurity appliances, satellite products and systems and tactical data links. We’re also working to expand our addressable market by leveraging success with early adopter organizations into the larger forces.
Two good examples are shown in the lower right hand part of the chart. Our STTs and BATS-D Link 16 tactical data links products are seeing rapid adoption with both having now reached over a 1,000 shipments and having potential for far greater unit volumes than the traditional MIDS LVT and MIDS-JTRS terminals.
And then this week, we’ve announced two events that we believe further enhance our government growth prospects. We received a $450 million IDIQ contract from the General Services Administration that enables special forces and general operating of forces to acquire our new advanced products and services coupled with last fall’s $560 million AMSS, VIP fleet contract extension options. That’s around a $1 billion a multiyear contract value in addition to the $1.2 billion we’ve reported as firm orders. We don’t consider IDIQ award values or option values as contractual backlog until firm orders are placed.
Historically, we’ve got a good track record in converting them into revenue over the life of the contracts and they’re indicative of demand. We also received a contract from the Air Force Research Laboratory Space Vehicles Directorate to develop a prototype of a small satellite to extend the range of a terrestrial link 16 networks. This leverages our proven track record in advance payload integration and the integration we’ve achieved in handheld Link 16 data links.
There’s a sharp focus in the defense department to preserve and extend U.S. competitive advantage in space and earth observation, situational awareness and communications through a variety of systems, orbits, platforms and payloads. We believe our success in disruptive commercial payload architectures, components, modules and associated ground networks coupled with our deep expertise in tactical networks, cybersecurity and end-user applications makes us well qualified to contribute materially to rapidly improving critical U.S. space capabilities. We believe we can compete very effectively in designing and building small satellites for those applications where they’re appropriate.
Okay, so we’ll conclude our prepared remarks with an overview of our fiscal 2020 outlook and the key drivers. We believe we’ve got significant growth momentum for both revenue and adjusted EBITDA as we look at the full year. In satellite services, our year ending record ARPU coupled with not a subscriber growth means we enter fiscal 2020 with a fixed broadband revenue run rate over 15% higher than when we entered in fiscal 2019.
While we still have ARPU growth opportunities in fiscal 2020, we wouldn’t expect the same year-over-year percentage growth. We see opportunities for some subscriber gains, so that depends on choices we make to optimize overall network bandwidth resources, the bandwidth value delivered to individual customers and the profitability across all services.
Our IFC tails and service over a 100% higher than they were a year ago and the scope of delivered services continues to expand, increasing total service revenue per aircraft. IFC is still the largest contributor to those other satellite services which have grown steadily over the last several years and reached about 22% of total satellite services in fiscal 2019 as a whole.
Finally, our emerging market Community WiFi and geographic expansion though still quite small, have good growth prospects. In aggregate, we expect the satellite services portfolio to continue to diversify. In commercial networks, we do not expect to sustain the same rate of in-flight connectivity equipment sales in fiscal 2020 that we had in 2019, but we are seeing growth in other parts of the communications network business especially for antenna products and space and that will help mitigate the effect of lower terminal revenue.
Government segment is poised for sustained steady growth. Q4 of fiscal 2019 was exceptionally strong as we work hard to fulfill heavy near term demand for government products. Q1 is typically a seasonally low period for our defense business and the strength of Q4 might increase that in effect but strong government backlog of 1.3 to 1 fiscal 2019 book to bill, plus the IDIQ contracts and contract options all are indicative of long-term growth in defense quarterly lumpiness not withstanding.
So we see tremendous opportunities throughout the business to build on our momentum in fiscal 2020. When we think about the business trajectory during the year though there was a couple of factors to keep in mind. Relative to the first quarter, I have noted the usual seasonality in our government business.
Additionally, the grounding of the 737 MAX aircraft will be a growth drag for us in the first half of the year with the first quarter now already impacted by loss at service revenue and aircraft delivery delays.
In satellite services, we’ve had a good opportunities for long-term margin expansion as we scale and we demonstrated that in fiscal 2019. While we’ll continue to drive scale benefits from our existing services. We’ll also be investing in opportunities that will temper our satellite services margin expansion this year. And those include the build-out of ViaSat-2 enabled services in Mexico and Central America. Expansion of services in Brazil with our partnership with Telebras support for our China opportunity and our Ku/Ka system’s capabilities that’ll drive new opportunities on long-haul fleets to existing customers and potential new airline customers.
Overall, as a result of these and other factors we discussed today, we anticipate our fiscal 2020 growth to be weighted toward the second half of the fiscal year, similar to what we saw in fiscal 2019.
So wrapping up the term inflection points often overused, but we think it’s a fitting description for our fiscal 2019. We’ve got strong competitive positions and attractive growing markets. We’ve got unique skills on both the bandwidths supply and then user application delivery sites. And we’ve shown we can execute to capitalize investments when the products of those investments reached the market.
Our fourth quarter revenue exceeded that of all our satellite data network operator, peers on a more diversified base with every one of our segments achieving double digit growth. We think we’ve got the assets, the technology, the employee talent and the end–to-end distribution expertise in the best growth markets to extend our lead even further. So we’re enthusiastic about the opportunities before us and we’re looking forward to an exciting fiscal 2020.
So with that, we’ll take – we will open it up for questions."
Operator,1,Thank you. [Operator Instructions] Our first question comes from Rich Valera with Needham & Co.
Rich Valera,1,"Thank you. Good evening. Mark, I was hoping you could start off with, you’re talking about the Telebras partnership. You’ve put some numbers in the press releases. I think, there’s around 4,500 points sort of lit up at this point and with a target of I think 15,000 by the end of the year. Can you give us any sense of the economics of that business? Perhaps maybe comparing it to the village Wifi business that you’re doing in Mexico? Just to give us a sense of the other revenue opportunity there?"
