speaker,q&a,content
Operator,0,"Welcome to the Where Food Comes From First Quarter Earnings Call. [Operator Instructions]. As a reminder, this conference is being recorded. I would now like to turn the conference over to Jay Pfeiffer, Investor Relations. Thank you. You may now begin."
Jay Pfeiffer,0,"Good morning and welcome to the Where Food Comes From 2018 first quarter earnings call. During the course of the call, we’ll be making forward-looking statements based on current expectations, estimates and projections that are subject to risk. Statements about future revenue, expenses, profitability, cash, growth strategy, new customer wins, business opportunities, market acceptance of our products and services, and potential acquisitions are forward-looking statements.
Listeners should not place undue reliance on these statements as there are many factors that could cause actual results to differ materially from our forward-looking statements. We encourage you to review our publicly filed documents as well as our news releases and website for more information about the company.
Today we'll also be discussing EBITDA and adjusted EBITDA, which are non-GAAP financial measures provided as a complement to the results provided in accordance with Generally Accepted Accounting Principles. We use and we believe investors benefit from presentation of EBITDA and adjusted EBITDA in evaluating our operating performance because it provides us and our investors with an additional tool to compare our operating performance on a consisting basis by removing the impact of certain items that management believes do not directly reflect our core operations. It is the Company’s policy not to provide specific guidance with respect to future revenue and earnings expectation for new customer wins.
I’ll now turn the call over to John Saunders, Chairman and Chief Executive Officer. John?"
John Saunders,0,"Good morning. Thanks for joining today. Our first quarter of 2018 saw a continuation of the steady growth momentum we built through 2017. Total revenue in the first quarter increased 18% year-over-year to 3.6 million from 3.1 million. That included a nice balance of growth between our core verification and certification business and our relatively new software based business. As a reminder Where Food Comes From is becoming an increasingly diversified company. So we now report four separate revenue segments to give our investors a better understanding of the progress for making with the various components of our mix.
In the first quarter all four segments generated solid year over year revenue growth. Verification and certification revenue which is our legacy business and the largest of our segments grew by approximately $242,000 or 9% to $6.8 million. This growth is based primarily on a combination of new customer wins continued strong demand through non-GMO project in organic audits and the impact of China reopening its markets USP [ph]. Product sales which increased in proportion to the deep verification approved [ph] approximately $111,000 or 45% to $354,000. Product sales represent RFID tags used by our [indiscernible] processing. This is a good margin revenue stream for us and we expect it to grow steadily as more producers take advance of the premium's available with exported beef.
You may recall that the United States is the only developed country and the only major beef producer that does not mandate source named verifications for cattle ranchers. It is strictly voluntary and our customers for this service are those ranchers who want to qualify their been for higher value export market such as the European Union and China. If Source and Age ever does become mandatory, our IMI Global unit which dominates cattle industry verifications in the United States will be in a prime position to benefit because we currently own a small fraction of domestic cattle are Source and Age verified. Our third and fourth revenue segments are comprised of software related revenue generating by relatively new SureHarvest subsidiary whose core business is based on a software as service or SaS model that helps tie value to crop growers and wanting growers implement and track sustainable growing programs. Software license, maintenance and support service revenue increase approximately $180,000 or 168% in the first quarter of $287,000. This category represents a combination of annual software license revenue combined with ongoing software enhancements and upgrades as well as a range of professional services that generate incremental revenue.
The solid year over year increase in revenue in this segment was due to a general increase in customer activity. And finally software related consulting services revenue comprised of customer education and training services increased 9% to 183% in the first quarter. All four revenue segments generated a gross profit in the quarter. Net income attributed to Where Food Comes From for the quarter totaled approximately $35,000 down a $115,000 in the same quarter last year. About $57,000 of that decline is attributable to the write-off of a balance beneficial lease agreement related to our 2012 acquisition of ICS and that is embedded in depreciation and amortization this quarter, another $66,000 of the decline is due to cost of complying with ASC606. Adjusted EBITDA in the first quarter was $355,000 down from $437,000 a year ago with most of the decline being attributable to last year's first quarter having $63,000 acquisition costs and higher stock based compensation costs.
We generated $1.3 million in net next cash from operations in the quarter which was up 65% year over year from $795,000. Our cash, cash equivalents and short term investments increased 32% to $4.6 million from $3.4 million at year-end, working capital was $3.8 million up slightly from year-end. Where Food Comes From has the most diversified and complete solutions offering in the industry. We now audit to approximately 40 different standards. We view our diversity as a key strengths in a differential competitive advantage and that we almost certainly pop up on the radar of any producer and any food group looking for an independent third party verifier. As I've said many times our ability to bundle multiple services gives us an advantage in pricing and convenience and represents a great value for our customers. Our broad solutions offering and the ability of our field team is to form long term sticky customer relationships and executed a very high level at the year after year is unquestionably the strength of our business. This is still very much a boots on the ground relationship business but there's another aspect to our business that is absolutely essential to taking Where Food Comes From to the next level and that's technology. In order to support the kind of growth we anticipate in coming years we recognize we must commit to building out of technology platform that is capable of handling much heavier transaction traffic in a way that preserves our lean operating philosophy and offers our customers more convenience and lower cost of compliance.
The first major step in this process was our acquisition of SureHarvest which added a SaS Component to our existing proprietary verification software capabilities. Over the past few year we layered on our sales force initiatives which is strengthen our sales and marketing capabilities and dramatically improve internal communications and transparency between our various operating subsidiaries and our corporate office. Our goal is to enhance our systems and processes to optimize operations and logistics in a focused effort to create a platform that can support a much larger organization. We expect to continue enhancing our systems and intellectual property portfolio through internal development as well as selected M&A activity.
Before I open the call to questions I want to address the topic that I'm sure is on your mind and that's the potential for [indiscernible] on U.S. beef imports to China. We are cautiously optimistic that the back and forth between Beijing and the Trump administration is political posturing that will be resolved without any negative ramifications for U.S. beef producers. To be clear as of today no final decisions have been made on tariffs and we continue to add new Source and Age customers. At the same time we don't have a crystal ball and have no idea where all this will end up. I will remind you however that we were growing in a good clip prior to China reopening their markets and we expect to continue growing whether or not tariffs are imposed.
So with that I'm now happy to take some questions. Operator?"
Operator,1,"[Operator Instructions]. Our first question comes from the line of Terry Thompson, Private Investor. Please go ahead."
Terry Thompson,1,"What is probably an enduring question for most of the other investors but since I'm fairly new, I'm just curious if you have any idea what's caused the stock to fall to around $2 from $3.50 just a few months ago. I'm curious if you have any ideas on what generated that?"
Jay Pfeiffer,1,"Yes, Terry back to John's crystal ball room ultimately nobody has any idea for sure why stocks go up and down but I will tell you that we have had a lot of or several regional investors who were involved in the private placement 10 or 12 years ago who we are where they have sold stock recently and we had some maybe getting too little deep in the weeds here but we've had some investors who have passed away and the stock went on to their errors and their errors were not upto speed on what it was etcetera so. I just think just some general selling that was not met by volume."
Terry Thompson,1,"Yes, obviously I did at least know when the market -- that price dropped means there are more people selling than buying, I just was curious for an expert view on what might have caused that. I appreciate your time and I will see you this week John and Leann and I'm on my way to Denver now. Thank you very much."
John Saunders,1,"Thank you, Terry."
Operator,1,[Operator Instructions]. Our next question comes from the line of [indiscernible]. Please go ahead.
Unidentified Analyst,1,"Sort of new to this story as well but I was wondering if you could comment on I guess your incremental EBITDA margins, it looks like you had an increase in SG&A that was pretty big and so I'm curious whether at some point that flows down or stops and you know more of the revenue growth posted offline, maybe not this year but what do you think your long term incremental EBITDA margins are?"
