speaker,q&a,content
Company Participants,0,"Steve Stuber - Director of Financial Planning, Analysis & IR
Michael Happe - President & CEO
Bryan Hughes - VP & CFO"
Conference Call Participants,0,"Craig Kennison - Robert W. Baird
Scott Stember - CL King
Tristan Thomas - BMO Capital Markets
Lucas De Servera - SunTrust
Steve O'Hara - Sidoti & Company
Bret Jordan - Jefferies
Brandon Rolle - Northcoast Research
David Whiston - Morningstar"
Operator,0,"Good day, ladies and gentlemen, and welcome to the Winnebago Third Quarter 2019 Earnings Conference Call. At this time all participants are in a listen-only-mode. Later, we will conduct a question-and-answer session and instructions will follow at that time. [Operator Instructions] As a reminder this conference call is being recorded.
I would now like to introduce your host for today's conference, Mr. Steve Stuber, Director of Financial Planning and Analysis and Investor Relations. Sir, you may begin."
Steve Stuber,0,"Good morning, everyone, and thank you for joining us today to discuss our third quarter earnings results. I'm joined on the call today by Michael Happe, President and Chief Executive Officer and Bryan Hughes, Vice President and Chief Financial Officer. This call is being broadcast live on our website at investor.wgo.net and a replay of the call will be available on our website later today. The news release with our third quarter results was issued and posted to our website earlier this morning.
Before we start, I'd like to remind you that certain statements made during today's conference call regarding Winnebago Industries and its operations may be considered forward-looking statements under securities laws. The company cautions you that forward-looking statements involve a number of risks and are inherently uncertain, and a number of factors, many of which are beyond the Company's control, could cause actual results to differ materially from these statements. These factors are identified in our SEC filings, which I encourage you to read.
With that, I would now like to turn the call over to our President and CEO, Michael Happe. Mike?"
Michael Happe,0,"Thank you, Steve, and good morning to those of you listening in on our call. We sincerely appreciate your interest in Winnebago Industries. I would like to begin this morning with an overview of our fiscal year 2019 third quarter results and some important context as to the drivers behind those outcomes. I will then turn the call over to our Chief Financial Officer, Bryan Hughes, who will provide more detail on the related financial numbers. We will then offer some closing comments before concluding the call with some Q&A from select participants.
Our third quarter performance, specifically in terms of profitability and retail share reflects our continued progress towards building a stronger, more diversified, outdoor lifestyle company. Beginning in early 2016, we set out on a journey that progresses still today, a concurrent mission to develop a more robust full line recreational vehicle business using some of the best brands in the North American industry, and to initiate or acquire new revenue streams in other adjacent outdoor market spaces that result in an increasingly more balanced portfolio.
As we've mentioned repeatedly, we are committed to becoming a more profitable and efficiently run organization, consistently gaining share in the industries we serve pursuing smart, new growth opportunities that strengthen our brands and lengthens our runway for future success. By staying focused on a truly distinct foundation of quality, innovation, and service in all we do, we have made significant strides towards our goal of transforming Winnebago Industries into a company that you, as investors, can begin to count on for stronger returns.
This quarter is a true example of how our new enterprise approach can provide strong consolidated results, even when we incur unexpected external challenges in one of our core businesses. While we are not immune from the North American RV industry headwinds that have persisted during our fiscal year, our consolidated, competitive position and the strength of our diverse set of product lines have enabled us to, once again, outpace the industry.
Our continued strength in our Towable segment led by our Grand Design RV product line has once again grown revenues year-over-year and sustained share gains over 100 basis points.
More recently, our Motorhome segment has grown real retail market share, driven by impressive Class B momentum and signs of stability within our Class C gas category. On a consolidated level, third quarter revenues were down 5.9% for the quarter, driven by continued destocking efforts by dealers and a significant and unexpected chassis supply disruption related to our Class B van production. I will expand on this development in a moment.
Despite a slight decline in revenues, we made further positive progress expanding our margins. Consolidated gross profit margin increased 120 basis points in the quarter, driven by revenue mix and expanding margins in our Towable segment, driven by price increases and the continued success of our cost mitigation efforts to offset rising input costs.
Throughout the year, we have been working deliberately to maintain a disciplined approach to production levels staying focused on product quality and working to ensure our retail value propositions in the market are not inordinately stretched. As a result, not only are we expanding margins, but our year-to-date cash flow is up 36% over the prior year.
Now, turning to the segments in more detail. Unit shipments in our Towable segment were up 6.5% for the quarter. Despite efforts by dealers to lower inventories on most competitive Towables product lines leading to industry wholesale market declines of 24% calendar year-to-date, the strength of our company's dual-branded Towables products led to the continuation of gaining retail market share and dealer lot space.
For the quarter, Towable revenues increased 10.8% from the fiscal 2018 period. Adjusted EBITDA margins increased by 200 basis points, largely reflecting the timing of price increases and effectively managing input cost pressures. Towables backlog for the quarter did decrease 24.2% in dollars over the prior year, reflecting the positive impact of utilizing additional capacity added during calendar year 2018, and dealers shifting more of their order behavior to adjust a shorter order to delivery lead times available from OEMs, including us.
Given our retail pace within the Towable segment, we are confident that our net dealer order activity, stocking and retail replenishment, and thus future shipment potential is likely greater than most of our competitors relative to share.
Turning now to Motorized. Invigorating this business remains a key priority for us and the launch of new products and designs continues to provide customers with an enhanced lineup of high quality innovative motorized products. However, revenues for this segment were down 34.6% versus the prior year largely due to continued industry headwinds in Class A and Class C products.
Unfortunately, and as mentioned earlier, Class B van sales were also down due to a temporary and material disruption in chassis supplied by one of our strategic suppliers, which had a significant impact on us shipping two of our most popular Class B units.
We have been working closely with this strategic supplier to enable them to remedy their situation, and we feel confident in the partnership with them and their ability to address this important supply issue. My own estimate of the impact of this supply disruption on our Motorized segment during the quarter was multiple eight figures on the top line and multiple seven figures of adjusted EBITDA on the bottom.
We are beginning to see the situation improve a bit as we progress through the first month of our fourth quarter and expect to return to normalized supply of this Class B chassis within the fourth fiscal quarter period. We saw our Motorized segment adjusted EBITDA margins decrease 460 basis points in the quarter versus last year, driven by deleverage related to the sales decline, a mixed impact related to the decline in sales of our most profitable Class B products, and continued competitive discounting in a challenging market.
As we address the previously mentioned specific supplier issue combined with a continued focus on managing costs and implementing operational improvements to improve overall manufacturing efficiency, we are confident the Motorized segment will revert to delivering improved levels of profitability in the fourth quarter.
We are dedicating a considerable amount of energy and resources to positioning this segment for a sustained retail growth and improved profitability, long-term. In March, we successfully launched several new products at the RVX show in Salt Lake City. Additionally, we are successfully executing against our recent decision to shift our Winnebago-branded Class A diesel motorized manufacturing from our Junction City, Oregon plant to our manufacturing campus in Forest City, Iowa.
Motorized backlog decreased 5.6% in dollars, which reflects the ongoing efforts of dealers to right size their inventory levels. Partially offsetting the declines is an increase in several Class B product orders delayed from being delivered as real shipments, again, due to the chassis supply issue mentioned, that affected our Q3.
Our luxury boat business, Chris-Craft, celebrated its one year anniversary as part of the Winnebago Industries portfolio in early June, and delivered another strong quarter of organic sales growth during the fiscal third quarter period. We continue to see strong traffic and demand for our products. New products launched during the first half of 2019 will provide additional momentum forward, as we head into our fourth quarter.
While consumer demand within the overall boating market has been a bit inconsistent as of late, interest in the Chris-Craft brand remains strong and we are outpacing our own expectations for this business.
With that overview, I will now turn the call over to Bryan Hughes, our Chief Financial Officer to review our fiscal 2019 third quarter financials in more detail. Bryan?"
Bryan Hughes,0,"Thanks, Mike, and good morning everyone. Third quarter consolidated revenues were $528.9 million, a decrease of 5.9% compared to $562.3 million for the fiscal 2018 period, driven by a decline in Motorized segment revenues, partially offset by the growth in Towable segment revenues and the addition of Chris-Craft.
Gross profit was $86.6 million, an increase of 1.3% compared to $85.5 million for the fiscal 2018 period. Gross profit margin increased 120 basis points in the quarter, driven primarily by favorable business mix and pricing in our Towable segment.
Third quarter operating income was $49 million, an increase of 1.4% compared to $48.3 million in the third quarter of last year. Our results include restructuring charges related to our previously announced move of our diesel production from Junction City, Oregon to Northern Iowa, in the amount of $1.1 million or $0.03 diluted earnings per share.
We expect additional charges related to this production move in fourth quarter in the range of $0.01 to $0.02. Net income was $36.2 million, an increase of 11.2% compared to $32.5 million last year. And earnings per diluted share were $1.14, an increase of 11.8% over the same period last year.
Both net income and earnings per share were favorably impacted by an improved tax rate, resulting from the Tax Cuts and Jobs Act, totaling $1.7 million or $0.06 diluted earnings per share, and a change in estimate related to R&D tax credits of $1.4 million, or $0.04 diluted earnings per share.
The effective tax rate for the quarter was 19.4%. We currently expect our full year tax rate to approximate 20% and we expect our tax rate in our forthcoming fiscal 2020 to approximate 23% to 24% before consideration of any discrete tax items.
We have provided non-GAAP, EBITDA and adjusted EBITDA performance measures in our press release as a comparable measure to help clearly illustrate our performance. The schedules accompanying the press release show a reconciliation between net income and adjusted EBITDA. Consolidated adjusted EBITDA was $55.9 million for the quarter compared to $53.4 million last year for an increase of 4.7%.
The biggest reconciling item to arrive at our adjusted EBITDA number in the third quarter was related to charges attributable to the previously announced restructuring of our diesel production. To reiterate, these charges amounted to $1.1 million in the third quarter and are $1.3 million on a year-to-date basis.
Now, turning to the individual segments; starting with the Towable segment, revenues for the third quarter were $346.8 million, up 10.8% year-over-year. The increase was driven by increased unit sales and pricing actions in the Grand Design RV business.
Segment adjusted EBITDA for the third quarter was $57.2 million, up 26% from the prior year and adjusted EBITDA margins increased 200 basis points, primarily reflecting pricing actions taken over the past 12-months, but also helped by operational efficiencies and good cost management.
Turning now to the Motorized segment; Motorized revenues were $160.2 million for the quarter, down 34.6% versus last year. The revenue decline was due to a decrease in Class B and Class A unit sales, driven by industry-wide dealer destocking efforts and a temporary supplier disruption in our Class B chassis, as Mike discussed earlier in his comments. Partially offset by pricing actions taken over the past 12-months.
As it relates to the Class C chassis supply disruption issue, we believe the impact in our third quarter was in the range of 10 percentage points to 15 percentage points of revenue growth to our Motorhome segment in the quarter versus the same period last year. We believe we will return normalized levels of production and sales by the end of our current fourth quarter, as we are already seeing an improvement in flow of supply as of today in the fourth week of the quarter.
It is our current expectation that we will recapture the foregone sales from third quarter, and any additional impact we see in fourth quarter during our fiscal 2020, since we have the production capacity to do so. Segment adjusted EBITDA was $0.4 million for the third quarter, down 96.7% year-over-year.
Adjusted EBITDA margin decreased by 460 basis points, primarily driven by deleverage from the sales reduction, unfavorable business mix within the Motorhome segment, and continued discounting that has been necessary to keep pace in a very competitive landscape.
Turning to our balance sheet, as of the end of the third quarter, the Company had outstanding debt of $259.6 million, net of debt issuance cost of $6 million. Working capital was $186.2 million. Our current net debt to adjusted EBITDA ratio is 1.4 times, back within our targeted leverage ratio range of 0.9 times to 1.5 times.
Cash flow from operations was $82.8 million for the year-to-date period, up $21.8 million or approximately 36% in the same period last year. The effective income tax rate for the third quarter was 19.4% compared to 26.4% for the same period in fiscal 2018. The drivers of the decrease in the effective tax rate were the year-over-year impact of the reduction in the federal corporate income tax rate associated with the Tax Cuts and Jobs Act or TCJA; and a change in estimates related to R&D tax credits.
The impact from the TCJA was $0.06 to diluted earnings per share. The impact of the change in estimate related to R&D tax credits totaled $1.4 million or $0.04 to diluted earnings per share. Considering our year-to-date tax provision, including all favorable discrete items and change in estimates, as well as our current ongoing tax rate assumptions for the remainder of the year, we expect our full-year fiscal 2019 tax rate to be approximately 20% before consideration of any discrete tax items in the fourth quarter.
Under the current tax code, we expect our ongoing tax rate in fiscal 2020 and beyond to be in the range of 23% to 24%, again, before consideration of any discrete tax items. Finally, our Board of Directors approved the quarterly cash dividend of $0.11 per share, payable on July 3rd, 2019 to common stockholders of record at the close of business on June 19th, 2019.
That concludes my review of our quarterly financials. And with that, I will now turn the call back to Mike to provide some closing comments. Mike?"
Michael Happe,0,"Thanks, Bryan. As you've heard us mentioned this morning, our third quarter results demonstrate that we have continued to build on the momentum we established in the first half of fiscal year 2019. While the broader RV industry wholesale shipments have declined due to dealers reducing their levels of inventory and macroeconomic noise weighs on consumers, especially as it pertains to consumer discretionary products. We've further demonstrated that our Company's brands can not only endure these challenges, but that we can succeed in growing share and profits at this time.
Across our organization, our employees are dedicated to producing high quality, innovative and profitable products, and we will continue to execute on our initiatives to improve the efficiency and consistency, in which we deliver these products to our value channel partners. The benefits of our internal portfolio transformation efforts are evident, as they have made our Company more resilient and able to navigate the headwinds affecting the RV industry, while strengthening our competitive position.
This resiliency is due in large part to the nature of our expanded business platform, which is more diversified than ever, with active full line RV, select Marine, and Specialty Vehicle operations. We remain confident that there will be significant opportunities for share expansion in each of those global markets over the next five to 10 years. We will look to grow both organically and inorganically in each of those industry arenas.
In fact, I am pleased to announce that we have enough confidence in our future business prospects to announce two important capacity expansion efforts today. First, we will be adding to our manufacturing footprint within our Grand Design RV campus in Middlebury, Indiana, with a new assembly building which is expected to be completed in the middle of our fiscal year 2020.
In addition to the two recent expansions in calendar 2018 at Grand Design RV, this new 175,000 square foot facility is validation of the fast growth this brand is experiencing. As mentioned previously, our Chris-Craft business continues to perform well also. I am pleased to announce that we have initiated proceedings to add a new multi-million dollar manufacturing complex, which will add 80,000 square feet of additional capacity on the Sarasota campus.
This is an exciting time for the Chris-Craft team in Florida, as we look to build on the success of their brand in the marketplace and launching several new products into the market in the years to come.
Next, I'd like to share with you my thoughts on some of the market challenges facing both the RV wholesale industry and the retail environment for the remainder of 2019. While consumer sentiment in the broader RV market is yet to recover from the bearish trajectory we have witnessed over the last year, we remain confident in the long-term retail prospects for the RV industry.
Stock market volatility and political uncertainty are certainly weighing on consumers, combined with the potential impact of price increases and rate increases related to some of the new tariffs and/or policies. And while we will not use weather as an overt singular excuse, it is no secret that the spring conditions of 2019 to kick-off our selling season, especially in the northern half of the country, were some of the most challenging in recent memory.
However, potential easing of interest rate hikes and the prospects of growth in wages and levels of employment are tailwinds that we believe will keep consumer sentiment levels stable. That said, it appears RV industry retail sales for calendar year 2019 will be down versus last year in the mid-single-digit range and this will elongate the recovery period for the industry.
While we are still seeing consumer confidence at stable levels, our RV and voting customers continue to exercise increased discipline as they invest their valuable discretionary resources on large ticket items. More and more consumers in 2019 are focused on value and products that also leverage the latest technology to ensure a seamless outdoor experience with their family and friends.
There are signs that the destocking we are seeing, will continue to improve during the back half of calendar year 2019. Next, the RV industry association is forecasting calendar industry wholesale shipments to be down 14% versus last year, with a range or book-ins of down 11% to down 18%. We are generally aligned to their point of view.
The industry is also dealing with the looming threat of increased tariffs. While the threat of additional tariffs related to products imported from Mexico has passed, a trade war with China appears to be more lasting. List III of 301 tariffs and pending list for tariffs will combined to have a material dollar impact on our cost inputs.
While the impact to our fiscal 2019 results is minimized by timing, the impact of fiscal 2020 could be in the range of double-digits of millions of dollars or more than that of the previous tariffs combined. Similar to how we successfully addressed tariff impacts during the back half of fiscal '18 and fiscal '19, our teams are working diligently now to prepare for our potential plans for fiscal 2020.
For the remainder of fiscal 2019 and into fiscal year 2020, we are poised to continue to outpace the RV industry, as it relates to top line sales percentage growth, profitability and share gains. Although, we have made great progress thus far against our strategic priorities, we understand that there is more work to be done.
Our management team and employees are working relentlessly to make Winnebago Industries a high quality company that investors can place their trust in. We also continue to be extremely active in terms of adding more talent to the team, improving channel relationships and networks across our businesses, and vigorously scanning our industries for possible new acquisition candidates to complement our existing Group of brands.
The strategic and financial benefits of having an expanded, more diversified product portfolio are beginning to translate to more consistent results, and driving incremental growth. We are committed to delivering on our promises and maximizing value for our shareholders and customers in the years to come.
With that, I'll begin to wrap up my comments for today. As always, I would like to end by thanking all our Winnebago Industries' employees for their hard work and flexibility during the quarter, as we navigate ever changing RV and Marine industries, and for helping to transform our company.
I had the privilege of spending the last two business days, Monday and Tuesday of this week at four of our campuses within the Motorhome business in North Iowa. Unfortunately, none of you on this call can see what I saw these last two days. And that's why I've never been more bullish on what we're building here long term.
I am optimistic about our future because our teams are sincerely thinking about customer's problems or unmet needs and truly working on differentiated next-generation solutions in the form of new products, many of which are already in the pipeline for the next several years.
I am optimistic, because our employee safety initiatives are taking hold and our workplaces are quickly becoming some of the safest in our industries, improving morale and driving productivity. I am optimistic because of our absolute commitment to product quality and taking care of customers after the sale, if we do get it wrong. Both are true tiebreakers for us.
I am optimistic because of the literally thousands of quick wins or continuous improvement ideas, which are being generated by our teammates at all levels of the organization, and are being executed for the benefit of our business.
I am optimistic because of the increased commitment here in our company to give back to the communities in which our employees live, work and plan, and the many photos of employees, families and friends I've seen participating in those events. These and many other business improvement efforts are what will continue to make Winnebago Industries and our brands stronger.
Thanks very much for your time today. I will now turn the line back to the operator for the Q&A session."
Operator,1,Thank you. [Operator Instructions] Our first question comes from Craig Kennison with Baird. Your line is now open.
Craig Kennison,1,"Good morning, and thanks for taking my questions. A lot of good detail on the call. Wanted to dig into the retail commentary since that's an issue everyone's focused on. I know weather has been a factor, there's no doubt about that, but what can you tell us about May and June so far in, especially these northern markets that might shed more light on that dynamic?"
Michael Happe,1,"Yeah, good morning, Craig. This is Mike. Certainly, I think summer has begun in several parts of -- the northern parts of the country. There has been quite a bit of rain and moisture in certain places, but I think we generally feel better about the summer selling season here in the last several weeks. The variability of retail is probably the best way I would describe it, the variability of the retail has settled down, and it has been performing on a more consistent basis going forward.
As you know, we represent only today about 9% to 10% of the total industry. So, like many of you in the industry, we don't get to see some of the formal data as well for a while. But the spring was particularly tough. We don't use that as an excuse. We didn't even attempt to quantify it on this morning's call. But if you talk to dealers and even, again, homeowners or end customers, they -- all of them will generally say that in most parts of the country, it wasn't the greatest of springs and summer got off to a little bit later start.
So, as you know, we're a very seasonally retail driven business. It's important that we see good retail here over the next several months, so that the dealers as they go into the open house event in the RV industry in September are in a good position to consider a good reorder position at that particular event."
