speaker,q&a,content
Company Participants,0,"Aparna Iyer - Vice President and Corporate Treasurer
Abidali Neemuchwala - Chief Executive Officer
Jatin Dalal - Senior Vice President and Chief Financial Officer
Rajan Kohli - President of Wipro Digital
Saurabh Govil - President and Chief Human Resources Officer
Bhanumurthy B.M. - Chief Executive of Application Services and Strategic Alliances
Milan Rao - President
Bill Smith - President & COO"
Conference Call Participants,0,"Sandeep Agarwal - Edelweiss
Sandeep Shah - CGS-CIMB
Vimal Goyal - Union Mutual Fund
Sudheer Guntupalli - Ambit Capital
Dipesh Mehta - SBICAP Securities
Viju George - JPMorgan
Sumeet Jain - Goldman Sachs
Brian Krebs - KrebsonSecurity
Ankur Rudra - CLSA
Ashish Chopra - Motilal Oswal Securities
Ravi Menon - Elara Capital"
Operator,0,"Ladies and gentlemen, good day and welcome to the Wipro Limited Q4 FY19 Results Conference Call. As a reminder, all participant lines will be in the listen only mode. There will be an opportunity for you to ask questions after the presentation concludes. [Operation Instructions] Please note that this conference is being recorded.
I now hand the conference over to Aparna Iyer, Vice President and Corporate Treasurer, Wipro Limited. Thank you, and over to you, Ma'am."
Aparna Iyer,0,"Thank you, Zaid. A very warm welcome to our Q4 earnings call. We will begin the call with the business highlights and overview by Abid, our Chief Executive Officer and Executive Director followed by financial overview by our CFO, Jatin Dalal. Afterwards, the operator will open the bridge for Q&A with our management team.
Before Abid starts, let me draw your attention to the fact that during the call, we may make certain forward-looking statements within the meaning of the Private Securities Litigation Reform Act 1995. These statements are based on management's current expectations and are associated with uncertainties and risks, which may cause the actual results to differ materially from those expected.
The uncertainties and risk factors are explained in our detailed filings with the SEC. Wipro does not undertake any obligation to update the forward-looking statements to reflect events and circumstances after the date of filing. The conference call will be archived and a transcript will be made available on the website.
Over to you, Abid."
Abidali Neemuchwala,0,"Thank you, Aparna. Good evening and good morning, ladies and gentlemen. I am joined here by my leadership team and it's a pleasure to speak with you all and share the results of the fourth quarter and the full year performance of FY 2019.
Let me first quickly provide you an update on Q4. Our revenues grew by 1.4% in reported terms and 1% in constant currency terms, which is the midpoint of our guidance range. On a full year basis, we grew 5.4% in constant currency terms. Through the year, we have built on the momentum with the year-on-year growth improving consistently each quarter. We are also pleased with the recurring execution and focus on improved quality of revenues, which I have talked about earlier, which have resulted in operating margin expansion of 1.8% for the full year.
Our operating metrics have shown consistent improvement across the board including the utilization, high off-shoring, higher percentage of work done by bots and moderation in our attrition rates. On our outlook, Q1 is a seasonally weak quarter for us, which is reflected in the guidance. The outlook also factors completion of certain large programs and in some spaces that we've seen some delayed startup fresh projects in spite of having a very strong order book coming out of Q4.
That said, we are confident that our growth trajectory will improve from Q2 on the back of the strong order book as well as the healthy pipeline that we have. We see continued momentum in banking and financial services and insurance, in the consumer business unit, in the energy and utilities unit on a year-on-year basis in FY '20.
We will see an uptick in growth rates and communications and tech BU this year, while health and manufacturing are likely to remain a bit choppy especially in the first half of the year. The demand environment in the global market is stable and we see abundant opportunities in newer areas of digital and cloud and all the big bet areas that we talked about, and we are willing our fair share of the business.
Now let me quickly update you on the strategic teams that I do on a quarterly basis. Our digital revenue growth continues to be strong. It grew 6.4% sequentially and now about 35% of our overall revenue. During the year, digital grew by 32.2% year-on-year. Wipro Digital has helped clients redesign their business to be future ready and move beyond implementing agile into truly achieving enterprise agility.
We are helping our clients fundamentally to transform their IT operating model across the different dimensions of digital which is team, talent, method engineering and architecture. As an example, a large global oil and gas company has chosen Wipro as a partner in an engagement that will be executed in a no-shore delivery model. Wipro Digital will help setup a high performance software engineering center that will transform the client applications design, built and delivery which will bring about greater agility, reduced cost of ownership and enhanced quality for the oil and gas major.
On mining, in Q4 our top 10 customers continued to post a strong performance and we added three new customers in the $75 million bucket in Q4. On a full-year basis, our top 10 clients grew by 9.6% in reported terms on a year-on-year. Our NPS continues to improve and this year our NPS was 510 basis points higher compared to last year, and we continue to win both business and renewals from our customers as well as participate in their digital transformation and enterprise modernization.
We continue to focus on automation and Wipro HOLMES is now deployed in over 350 clients. The work done by bots, which was 6.7% last quarter of our fixed price project, is now 11.3% in Q4. And our fixed price mix has improved to 60%. In a multiyear contract from a consumer goods company to automate and manage their cloud and datacenter landscape, we've been able to win the engagement on back of Wipro HOLMES to be able to enable faster turnaround times and lower operating cost for the clients.
On localization, we continue to significantly invest in localization across all our major markets. In U.S., we reached 64% localization and we have now a very well established campus hiring program from the universities across U.S. and some of the key markets in which we have taken our talent development program that we perfected in India. We continue to do well in innovation ecosystem. In Q4, we completed a new investment in B-capital, an enterprise focused VC fund based out of Los Angeles, taking the total number of our investments to 18.
One of our portfolio companies Demisto was acquired at 5.5x the investment value making it the first exit for Wipro ventures. The reason I mentioned this is that this is a testament to our selection process and investment framework, which has been working out well for us, and we have now over 90 production deployments of the startup technologies and the companies that we’ve invested through Wipro Ventures in our customer engagements.
Through the Horizon Program, we've invested in 16 themes through FY '19 in areas such as software-defined infrastructures, analytics, cloud security, integrated threat management, open banking, additive manufacturing, autonomous vehicle et cetera. Topcoder continues to see strong traction which we believe is the way of working of the future. Our global medical devices company has chosen Topcoder to develop real-time analytics capabilities and sentiment analysis, which will enhance its customer service experience.
Our internal cloud sourcing platform Top Gear has on-boarded 7,600 employees this quarter, taking the total number of Wiproites being prepared for the ways of working of the future to 98,000. This quarter 3,053 project challenges were executed successfully, taking the total amount of -- total number of projects to 7,800 in this financial year that were delivered on the Topcoder platform.
In conclusion, I would say that we've built a strong foundation for growth and believe that the growth in revenues this year will be better than the last year. I will now request Jatin to give highlights on the financials."
Jatin Dalal,0,"Thank you, Abid. I think one of the most fundamental things about this year was the margin expansion of 1.8% that almost entirely converted itself in the EPS growth, which was 18.6% for this fiscal. Finally that also converted completely in cash because our net income to free cash flow was 100%. We have given that back or we're going to give that back in form of the share buyback of 10,500 crores at the share price of 325. These are the key highlights.
We have had a very stable ETR. Our hedge has remained almost at the same level, 2.65 billion as in Q4 and as in Q3, and our exchange rate has slightly come down from 71.66 to 70.28 in quarter four and that has given us minus 0.4% in operating margin. I also want to bring to your notice that there is a line called other operating income which is a gain on sale of our Workday business which is sitting in the P&L. And then, there is another hit that we've taken on amortization, acceleration of our platform in HPS business which is of INR148 crores, which is sitting in cost of goods sold.
These were my opening remarks and we'll be very happy to take questions from here."
Operator,1,"Thank you, very much sir. Ladies and gentlemen, we will now begin with the question-and-answer session. [Operator Instructions] The next question comes from the line of Sandeep Agarwal from Edelweiss. Please go ahead."
Sandeep Agarwal,1,"Couple of questions for me, Abid. One, you have been mentioning that we have been gaining lot of momentum in last few quarters in terms of deal signing and our pipeline and all. And I understand the fact that we have a little weak first quarter seasonally, but even keeping that in mind, doesn’t the guidance look very weak and it kinds of reflect more pessimism than seasonality alone would have? Point one. Point two, on the digit front, what is your sense, means. Are we seeing the same phenomenal growth which our competition is seeing? Or are we doing something differently there or our client sets are different? Means because we are not able to get that sense you know digital is able to compensate our losses from other piece of business."
Abidali Neemuchwala,1,"So, I'll let Rajan answer the second part of your question, but let me address the first one. So, we do see a strong momentum as you know that we've been restructuring and transforming our business. And there is the part of the business that we are divesting out of, but that has had slightly larger impact on the legacy deterioration for us. And if you look at on a net basis, the guidance does look slower. But if you look at the digital and cloud and our big bet areas, we are seeing quite good growth, we are willing our fair share of deals in this area, and we do think that we have a superior offering in that space. I'll let Rajan elaborate on your question on digital."
Rajan Kohli,1,"Thanks Abid. Sandeep, thanks for your question. If you see this financial year, we've had very strong growth in our digital business. We've grown 32.8% year-on-year. Of course, we cannot guide for future growth, but I can tell you that we continue to have strong momentum. We're seeing two types of deals. We are seeing a lot of what we call outside in innovation deals which are largely designed led with rapid prototyping and we make those programs successful and then we scale those.
We are also seeing over the last 18 months, a lot of inside out renovation deals. Deals include modernization, cloud, agile. And when we put both the inside out and the outside in together, we are able to take our enterprises and clients to what we call enterprise agility, which is beyond agile. So, I continue to see momentum and we feel that with Wipro we have a very strong digital capability. So, I don’t see a reason for us to be very out for digital growth."
