speaker,q&a,content
Operator,0,"Good morning, ladies and gentlemen, and welcome to Advanced Drainage Systems' Fourth Quarter and Fiscal 2018 Results Conference Call. My name is Jack and I am your operator for today’s call. At this time, all participants are in a listen-only mode. Later we will conduct a question and answer session. [Operator Instructions]. Thank you. 
I would now like to turn the presentation over to your host for today’s call, Mr. Mike Higgins, Director of Investor Relations and Business Strategy. Sir, you may begin."
Mike Higgins,0,"Thank you, and good morning. With me today I have Scott Barbour, our President and CEO, and Scott Cottrill, our CFO. I would also like to remind you that we will discuss forward-looking statements as defined under the Private Securities Litigation Reform Act of 1995. Actual results may differ materially from those forward-looking statements because of various factors, including those discussed in our press release and the risk factors identified in our Form 10-K filed with the SEC.
While we may update forward-looking statements in the future, we disclaim any obligation to do so. You should not place undue reliance on these forward-looking statements, all of which speak only as of today.
Lastly, the press release we issued earlier this morning is posted on the Investor Relations section of our website. A copy of the release has also been included in an 8-K we submitted to the SEC. We will make a replay of this conference call available via webcast on the Company website.
With that, I'll turn the call over to Scott Barbour."
Scott Barbour,0,"Thanks, Mike, and good morning, everyone. We finished the year with a strong fourth quarter. Revenue grew 2% driven by growth in both the domestic and international markets. Our core domestic construction market sales increased 4% with favorable pricing in the quarter and international sales were up 15%, driven by sales in the Canadian construction market. 
We also delivered significant improvement in profitability with adjusted EBITDA increasing to $27 million and adjusted EBITDA margin increasing 570 basis points to 10.8%. 
On Slide 5, we present our full year results as compared to our guidance. We had a strong finish to the year, achieving our financial goals through disciplined execution of our fundamentals. Fiscal 2018 was another successful year of converting traditional materials to our plastic pipe products and the 8% increase in allied product sales gives us confidence in our complete water management solutions strategies. 
From a top-line perspective, we once again achieved above market growth with sales in our core domestic construction markets growing 500 basis points faster than the market. We focused on improving profitability through sharper operating execution and achieving better returns on our capital, two critical areas of focus since I came on board last September.
I am pleased to say that our focus and efforts on our second half results paid off which enabled us to compensate for our slower start to the year. 
Recall, through the first six months of the year, our sales were up 6%, but adjusted EBITDA was down 7%. Our results improved significantly in the second half of the year as we executed on the profitability roadmap laid out on our second quarter earnings call including the following actions. 
First, our sales team aggressively pursued favorable pricing in the marketplace to catch-up on resin cost inflation for the full year. Next, we delivered 8% sales growth in our core domestic construction markets for the year with growth coming from both pipes and allied products. Third, we achieved favorable performance from our international businesses in the second half of the year, with net sales growth of 11% and $10 million of adjusted EBITDA, as compared to $2 million in the prior period. 
Lastly, we realized savings from restructuring actions to realign our cost structure and contain expenses. We also improved the execution in our sales and operations planning which resulted in better loading at our factories and delivery to our customers. We expect the transportation and logistics improvements we drove in the second half of the year to continue into fiscal 2019. 
Disciplined execution on these key priorities resulted in a 40% increase in our second half adjusted EBITDA to $83 million, which was key to achieving our financial goals this year. I am very proud of our team for working hard to get us back on track. 
On Slide 6, we compare our domestic end-market sales to the overall market which measures our market conversion for fiscal 2018. In the non-residential market, we generated 8% sales growth outpacing the market by 500 basis points. This growth was driven by our full set of water management solutions including high-single-digit growth in both pipe and allied products.
In the residential markets, sales grew 11% as compared to market growth of 4% and within residential sales, new residential construction sales increased 18% and retail increased 5%. The infrastructure market faced headwinds this year resulting in a flat market overall. We were able to increase infrastructure sales by 4% due to the strong growth of our HP product line which continues to drive market conversion. 
Finally, the agriculture pipe market declined 7% after another challenging year. We saw the return of a more normal winter this year as compared to the last two, which impacted both the fall and early spring selling seasons. 
In addition, estimated cash receipts for crops were down over 2% in 2017 and overcapacity in the pipe market kept prices low. In spite of these headwinds, ADS maintained its market share in fiscal 2018. Overall, we are pleased to deliver another successful year of material conversion in ADS, which gives us confidence in our ability to drive above average market growth going forward.
We will continue to enhance profitability and improve our operating performance by executing on the fundamentals, which is already favorably impacting our results. Longer-term, the measures we already have in place coupled with our superior performance plan initiatives are expected to drive margin improvement and offset inflationary headwinds that we see in transportation and labor. 
Additionally, in fiscal 2019, we will continue to emphasize our working capital program improvements to drive down inventory by increasing our turns and improving inventory quality while we will also work to make improvements in our receivables and payables. 
And with that, I’ll turn it over to Scott Cottrill. "
Scott Cottrill,0,"Thanks, Scott. Moving to Slide 7, I’ll keep my comments here brief as Scott already discussed our domestic performance by end-markets. 
Our full year revenue increased 6% to $1.33 billion coming in slightly above the top-end of our guidance. On domestic net sales growth of 7% was driven by growth in both pipe and allied products. Our HP products posted double-digit growth again this year and we saw strong growth from our key allied products including our StormTech retention and detention systems and our Nyloplast catch basins. 
International net sales ended the year slightly up with 1% growth driven by solid performance in the Canadian construction market, which help drive 11% growth in the back half of the year. 
Adjusted EBITDA increased 9% to $210 million and our adjusted EBITDA margin improved 40 basis points to 15.8%. The full year increase in adjusted EBITDA was primarily driven by volume growth in both pipes and allied products.
Additionally, in the second half of the year, we successfully managed favorable pricing in the market, while controlling our costs. We realized approximately $7 million from the restructuring actions we previously announced, which help to offset the inflationary headwinds Scott mentioned in transportation and labor. 
As we move into fiscal 2019, we expect these inflationary pressures to remain, but we are confident we will continue to expand our margins through pricing, our SPP program and incremental benefits from our ops excellence initiatives and plant closures in 2018. 
I will provide additional color on the latter two in a moment, but with respect to pricing, we will continue to offset resin cost increases with favorable pricing. Going forward, we will also ensure our pricing reflects the valuable service we provide our customers in terms of transportation and distribution. 
Moving to Slide 8, in fiscal 2018, we generated $137 million of cash flow from operations and spent $42 million on capital expenditures resulting in $95 million of free cash flow. This $38 million increase compared to fiscal 2017 was primarily due to stronger sales and earnings, as well as working capital improvements. In fiscal 2019, we have initiatives in place to reduce our cash conversion cycle.
As Scott mentioned, we will increase inventory turns, as well as work to better align our customer and supplier terms. We also expect to accelerate our capital expenditures in fiscal 2019 to between $60 million and $70 million. These investments will be focused primarily on growth and productivity initiatives to support our SPP efforts. 
For example, we are investing in cost improvement projects to reduce our conversion cost and increase our capacity. Additionally, we are investing in our network capacity including plant improvements, new lines and tooling to support high growth products in high demand regions. This will reduce our manufacturing conversion, freight and material costs and allow us to service our customers more efficiently. 
We are also investing in our Green Line Polymers facilities, where we sell processed recycled plastics. In a given year, we recycle over 400 million pounds of plastics. We are going to increase that capacity to capture additional cost benefits from using recycled material. These improvements will also reduce the cost of converting the recycled plastic into usable material and improve our production efficiency. 
And finally, we are investing in IT systems and infrastructure to better support our growing business. Our SPP initiatives, in combination with prior year plant closures will result in cost out of $10 million to $15 million in fiscal 2019. As we have discussed in the past, our SPP and organic investments remain our top priority for capital deployment followed by bolt-on M&A.
We will continue to look for M&A opportunities that fit our strategic, qualitative, and financial lens. After M&A, we will look to dividends and share repurchases to effectively return cash to shareholders. We believe these capital deployment priorities will drive profitable growth, margin expansion, free cash flow generation and shareholder value over the long-term. 
On Slide 9, we provide our financial targets for fiscal 2019. Based on our order backlog and current market trends, we expect net sales to be in the range of $1.375 billion to $1.425 billion representing year-over-year growth of 3% to 7%. We expect adjusted EBITDA to grow between 5% and 14% and to be in the range of $220 million to $240 million. 
These ranges represent an adjusted EBITDA margin of 16% to 16.8% or margin expansion of 20 to 100 basis points. One other item of note, we expect our effective tax rate for fiscal 2019 to be in the range of 30% to 32%. Our revenue and adjusted EBITDA targets are based on the market outlook provided on Slide 10. 
Overall, we anticipate continued strength in our end-markets year-over-year. We expect domestic construction markets to grow at low to mid-single-digits in fiscal 2019 supported by healthy demand in each of our end-markets. 
In international, we expect growth in the Canadian construction markets and modest growth in Mexico. We expect the Canadian Ag markets to perform in line with the domestic agriculture market. 
With that, we will be happy to take questions. Operator, please open the line. "
Operator,1,[Operator Instructions] Your first question comes from the line of Mike Halloran with Baird. Your line is open. 
Mike Halloran ,1,"Hey, good morning everyone. "
Scott Barbour,1,"Hey, Michael."
Scott Cottrill,1,Good morning. 
Mike Halloran ,1,"So, let’s start on the top-line. It feels like as you guys lay out your expectations for next year that the underlying trajectory doesn’t feel all that different when you look across the end-markets from a market perspective. Maybe you can just comment on the non-res market and the residential markets and what you guys are seeing from an underlying momentum there from a marketplace perspective recognizing that your guidance assumes you continue to outperform with the conversion side?"
Scott Barbour,1,"So, Michael, this is Scott Barbour. And, I would characterize those markets as better conditions than a year ago, much like we have been kind of seeing late last year in the calendar year trajectory, particularly in Florida, Texas to west, very good. And where we’ve got a lot of focus on those regions where we think those markets have a lot of, I would call demographic and economic lifts and we are seeing some of the benefits in that right now. 
To support that, Scott mentioned, we are pushing investments and investing in the high growth areas, that would be those kind of areas that we are talking about. "
Mike Halloran ,1,"On the cost side, first maybe some commentary on price costs. Were you guys neutral to slightly positive in the quarter? And then obviously for next year, I think the guidance assumes that you are at a minimum price cost neutral? Is that fair?"
Scott Barbour,1,"In the quarter, we are spread, if you will, on price on resin costs. We were very favorable when you look at that bridge. When you look at the full year 2019, again, we will expect pricing will remain up, but we expect that to offset some of that inflationary resin cost that we’ve seen the first part of this year, more so than what we had expected. But we expect that to be relatively neutral in fiscal year 2019 year point. "
Mike Halloran ,1,"No, that’s fair. And then, on the transportation cost side, it feels like that the headwinds there probably haven’t really changed, but your ability to mitigate that with productivity and pricing is what the difference was in the quarter?"
Scott Barbour,1,"Correct, correct. I mean, I think we are seeing the same inflationary and hiring headwinds as any other company with a fairly sizable transportation activity would see, but we’ve developed a lot of productivity mitigation actions, kind of pricing actions to try to combat that and we started that couple of months ago. So, we saw it coming and we were trying to get out ahead of it and I think we are seeing some benefits of that work right now. "
Mike Halloran ,1,"Great. And then, last one on my side. Just some thoughts on the M&A environment. What your pipeline looks like? How actionable the pipeline is? And any thoughts on pricing in the marketplace?"
Scott Barbour,1,"So, there – I mean, the pipeline is – got a few things in it. We kicked off some things. We put some more things back in. I think a couple of them are pretty actionable and it will all kind of come down to what the price is and our appetites for it. So, it is, I would say in some nice decent level of activity. "
Mike Halloran ,1,"Great. Appreciate the time. Thank you, gentlemen. "
Scott Barbour,1,Thank you. 
Scott Cottrill,1,Thanks. 
Operator,1,Your next question comes from the line of Scott Schrier with Citi. Your line is open. 
Scott Schrier ,1,"Hi, good morning."
Scott Barbour,1,Good morning. 
Scott Cottrill,1,Good morning. 
Scott Schrier ,1,"I am wondering if you could talk a little bit about the progression of the quarter. Obviously, earlier in the year, we had a lot of weather. It seems like from other companies, what they’ve been saying is things improved in March and then, accelerated even further in April. So, I am curious if you could talk a little bit about the quarter? And anything you are seeing on the ground in April and even May in terms of demand cadence?"
Scott Cottrill,1,"So, Scott, Scott Cottrill here. So you are talking more about kind of that April-May, what we’re seeing here in… "
Scott Barbour,1,"March, April, May."
Scott Cottrill,1,Yes.
Scott Schrier ,1,"Yes, just understanding, I think January and February and early March had a lot weather headwinds for a lot of the markets. So, just want to see the progression late in the quarter in March and then in April and May, just any color you can give there?"
Scott Cottrill,1,"So, we certainly saw in the January, February, March quarter an extreme regionality of our business where Midwest and Northeast poor weather. Not a lot going on. But we had really focused on Florida, Texas, the west and in that, I think we benefited from that as we went through that January, February, March kind of quarter. 
And historically, we've [indiscernible] to the Midwest and the Northeast. But a lot of great activity in those Sunbelt states in the Southeast and in the far west. As we kind of move into April, May, June, we can’t talk about a lot of stuff. But it’s very much in line kind of, let’s call it, quarter-to-date with the guidance that we are giving you today and you know the seasonality we have. 
So, it’s very in line with that. It was a little slow, kind of up in the northern regions and pretty good down in the southeast in particular. But, I would say in the last four weeks, the northeast has really turned up for us quite quickly better than the weather would have suggested, as a matter of fact. And now we are working hard to keep our delivery schedules up and try to add some production in that area. "
Scott Schrier ,1,"Got it. And then, can you talk a little bit about how your conversations are going with customers or I should say, potential customers that have been using more traditional materials that they are having more cost inflation and obviously the labor and the benefits of your products? So, are you seeing some customers or potential customers, is it resonating a little better and becoming more receptive to substitution? Just, if you could talk a little bit about the trajectory of that material substitution theme that you have."
