speaker,q&a,content
Company Participants,0,"Marcus Rogier - Treasurer, IR
John McConnell - Chairman & CEO
Andy Rose - President
Joseph Hayek - VP and CFO"
Conference Call Participants,0,"Martin Englert - Jefferies
John Tumazos - John Tumazos Independent
Phil Gibbs - KeyBanc Capital Markets"
Operator,0,"Good morning and welcome to the Worthington Industries Fourth Quarter Fiscal 2019 Earnings Conference Call. All participants will be able to listen only until the question-and-answer secession of the call. This conference is being recorded at the request of Worthington Industries. If anyone objects, you may disconnect at this time.
I'd like to introduce Marcus Rogier. Mr. Rogier, you may begin."
Marcus Rogier,0,"Thank you, Justin. Good morning and welcome to our fourth quarter and fiscal year-end earnings call. Before we begin, I'd like to remind everyone that certain statements made today are forward-looking within the meaning of the 1995 Private Securities Litigation Reform Act. These statements are subject to risks and uncertainties, and could cause actual results to differ from those suggested. We issued our earnings release yesterday after the market close. Please refer to it for more detail on those factors that could cause the actual results to differ materially. This call is being recorded and will be made available later on our worthingtonindustries.com website.
On our call today are Chairman and CEO, John McConnell; President, Andy Rose; and Vice President and CFO, Joe Hayek. John has some opening comments."
John McConnell,0,"Thank you, Marcus and thank all of you for joining us today. Our fourth quarter was strong, capping off the year of resetting the table, both in terms of our assets and our management team. We’re excited about our position and our ability to drive future results.
I’ll turn the call over to Joe now."
Joseph Hayek,0,"Thank you John, good morning everybody. In Q4, we generated earnings of $0.66 per share versus $0.50 in the prior year period. There were a couple of unique items this quarter that included estimated inventory holding losses of $8.4 million or $0.11 per share in the current quarter compared to a gain of $18.3 million or $0.19 per share in Q4 of last year, and roughly $8.5 million or $0.11 per share of impariments and restructuring charges related to our exiting the fuel systems business and writing down the value of our Chinese steel joint venture and certain laser welding assets in our majority owned WSP joint venture.
This compares to impairment charges of $52.9 million or $0.45 a share in Q4 of last year. In addition, earlier this week we reached an agreement subject to closing conditions to sell our cryogenics operations in Turkey. The closing of that transaction will not have a material impact on our financials, but our assets from these lines of business reflect a continuation of our strategy to exit these businesses and value streams that we deem non-core or focusing our efforts on investing in and profitably growing our business overall.
For the fiscal year, we generated earnings of $2.61 per share versus $3.09 last year. There were also two unique items in the full year to call out as follows; we estimated inventory holding losses for $4.4 million or $0.06 per share in the current year compared to a gain of $17.8 million or $0.18 per share in the prior year.
And that earnings in the current year were adversely affected by $13 million or $0.17 per share due to a composite tank replacement program we initiated in Q3 with pressure cylinders.
Turning back to quarterly results. Consolidated net sales decreased by 8% to $939 million in Q4 from the prior year quarter to the lower direct shipments and steel processing and lower overall volumes in pressure cylinders partially offset by higher average selling prices.
Gross profit declined in the quarter by $37 million from Q4 last year to $126 million, driven primarily by lower direct volumes and the unfavorable impact of the current quarter inventory holding losses versus prior year holding gains.
Our effective annual tax rate came in at 22% for the current year versus 4% in the prior year. In pressure cylinders net sales were down 5%, however, excluding the impact of divestitures sales were up slightly over Q4 of last year as higher average selling prices across our businesses coupled with improved volume and mix in the oil and gas business more than offset lower volumes in the consumer industrial products businesses.
Excluding impairment and restructuring activity, cylinders operating income was up from last year and the operating margins increased quarter-over-quarter. We're pleased with our progress related to margin improvements in cylinders as those initiatives were impactful during the quarter.
In steel processing, net sales of $584 million were down 10% from Q4 of 2018 due primarily to lower direct volumes. Total ship tons were down 9.5% with direct shipments declining 15.1% and toll declining 1.5%.
Direct tons were 55% of the mix compared to 59% in the prior year quarter. Volumes for the quarter were down significantly over the prior year, due to unique market conditions in both periods. Last year in Q4, Section 232 steel tariffs had recently been announced, and steel prices were rising rapidly, which we believe led customers to build inventories.
Conversely, in the last few quarters, steel prices have been falling. We believe many of our customers have been destocking and holding low levels of inventory. In addition, in the current quarter we did experience softness in automotive volumes due to the reduced North American Auto builds year-over-year.
Operating income for steel processing of $15 million was down $33 million from Q4 last year, driven by the negative swing of almost $27 million and inventory holding gains and losses, $3 million of impairment charges and lower direct volumes.
While we currently estimate that due to further decline in steel prices, we will have inventory holding losses in Q1 of 2020 we believe that our competitive position in the steel processing market has never been stronger. We are investing for growth and are focused on improving margins, while we partner with and deliver innovative solutions to our customers.
In Engineered Cabs, net sales were up 18% over Q4 of 2018 driven by higher volumes and average selling prices. Cabs reported operating loss of $3.2 million was a $2.1 million sequential improvement -- $2.1 million improvement over the prior year and a $600,000 improvement sequentially.
Equity Income from our joint ventures during the quarter was down $14.5 million driven by lower contributions across the portfolio. ClarkDietrich was down $3 million primarily due to decreased spreads as a result of declining steel prices. Equity Income from WAVE was also down $2 million due to lower volumes. The WAVE’s margins did increase year-over-year.
In addition, our equity income was negatively impacted by $4 million charge we took to write down the value of our $8 million investment in our Chinese steel strip joint venture. We received $29 million in dividends from our unconsolidated JVs during the quarter, and we believe those business are executing on solid strategies that will lead to improved performance moving forward.
Turning to the cash flow statement and the balance sheet. Cash flow from operations was $71 million in the quarter. We spent $10 million on an acquisition, $24 million on capital projects, paid $13 million in dividends and paid $39 million to repurchase one million shares of our common stock.
Yesterday, the board declared a $0.24 per share dividend for the quarter, which is a $0.01 per quarter increase just payable in September of 2019. This marks the ninth consecutive year we have increased our dividend.
Funding debt at quarter end was flat sequentially at $749 million. Interest expense of $9 million was down slightly from the prior year quarter and we ended the quarter with consolidated cash of $92 million and $548 million available under our revolving credit facilities.
Adjusted EBITDA over the last 12 months, which includes the $13 million charge for the tank replacement program, was $330 million and our net debt to trailing EBITDA leverage ratio is roughly two times.
This point I will turn it over to Andy."
Andy Rose,0,"Thanks Joe. Good morning everyone. Fiscal 2019 was a challenging year for us, primarily driven by the steel tariffs enacted in early 2018. Rather than dwell on things we cannot control, we use the time to position ourselves for the future on a number of fronts.
As a result of these efforts, we finished the fiscal year with a solid quarter, and a lot of enthusiasm for where we are headed. We have a lot to be excited about at Worthington. Our strategic planning process has been completed, and there are a number of initiatives that are delivering value today and will continue to do so for years to come.
First, our transformation playbook has been refocused into a business system that combines standard metrics and performance management, lean tools for optimizing value streams and agile teams to attack big opportunities. We have multiple innovation teams that have developed meaningful pipelines of new products that are beginning to launch in the marketplace. We believe that our ability to differentiate with new products and new services will create meaningful separation for us from our competitors, and deliver results to the bottom line.
And while the M&A market remains expensive, we have increased the size and experience level of our team here so that we are ready when the right opportunities arise. We continue to generate strong cash flow and used a portion to purchase another million shares of our stock this quarter at attractive levels. We are also taking the opportunity to clean up our underperforming assets.
Several of those moves resulted in small impairments this quarter and we will continue this effort until all of our businesses meet our goals for EBITDA growth and return on capital. We have used this year well to reposition Worthington Industries for growth. We have a number of talented leaders in new roles adding fresh ideas to our business strategies and the best workforce enabling our success.
We are on the right path to achieving new levels of performance. Thank you for your continued support of Worthington."
Marcus Rogier,0,"At this point, we'll turn it back over to the operator to open the line for questions."
Operator,1,"[Operator instructions] In first up in queue, looks like we have the line of Martin Englert of Jefferies. Your line is open."
Martin Englert,1,"Hi, good morning everyone."
