speaker,q&a,content
Operator,0,"Good day, everyone, and welcome to the First Quarter 2018 Earnings Conference Call. Please note that today's call is being recorded.
I would now like to turn the conference over to Mr. Bill Zima of ICR. Please go ahead."
Bill Zima,0,"Hello, everyone. And welcome to Xinyuan's first quarter 2018 earnings conference call. The company's first quarter earnings results were released earlier today and are available on the company's IR website as well as on Newswire Services.
Before we continue, please note that the discussion today will contain forward-looking statements made under the Safe Harbor provisions of the U.S. Private Securities Litigation Reform Act of 1995. Forward-looking statements involve inherent risks and uncertainties. As such, our results may be materially different from the views expressed today.
Further information regarding these and other risks and uncertainties is included in our registration statement in our Form 20-F and other documents filed with the U.S. Securities and Exchange Commission. Xinyuan does not assume any obligation to update any forward-looking statements, except as required under applicable law.
Today you will hear from Mr. Lizhou Zhang, the company's Chief Executive Officer, who will comment on our operating results. He will be followed by Ms. Helen Zhang, the company's Chief Financial Officer, who will provide some additional color on Xinyuan's performance, review the company's financial results, and discuss the financial outlook. Following management's prepared remarks, we will open up the call to questions.
Now with that said, I would now like to turn the call over to Xinyuan's CEO, Mr. Zhang, please go ahead."
Lizhou Zhang,0,"Thank you, Bill. Good morning and thank you all for joining our first quarter 2018 earnings conference call. We are pleased to report that the first quarter 2018 financial results were in line with our expectations despite the impact of [indiscernible] on our active projects and the ongoing government policies restricting China's housing market.
We began 2018 with strong contract sales growth in the first quarter and improved ASPs compared to first quarter 2017. Contract sales in China grew by 55.9% representing strong demand from our customers for our active projects despite the current market environment. Overseas our project in New York continued to progress as expected. Our Hudson Garden project completed foundational work this quarter and we began transferring and protecting crucial parts of the land market data at our financial report.
We also sold two units at our Oosten project in Brooklyn. In addition we are pleased to continue our overseas expansion to London where we met an equity investment in the Madison project. The Madison project is a residential community project in the Canary Wharf is expected completion in 2020. In January and April we purchased two parcels of land based total GFA of 1 million square meters which helped us in large part and brought our top line and support our long-term growth. We are also pleased to continue our diligence payment for this quarter.
Now please allow me to turn the call to our CFO, Ms. Helen Zhang. Helen please go ahead."
Helen Zhang,0,"Thank you Mr. Zhang, hello everyone and welcome to Xinyuan's first quarter 2018 earnings conference call. Allow me to take you through the financial results for this quarter, further discuss our latest operations and initiatives and conclude by updating you on our financial outlook for the rest of the year.
First we want to inform you that on January 1, 2018 we adopted ASC-606. Revenue from contracted customers which was issued by the Financial Accounting Standards Board. We adopted ASC-606 on an over time basis. We had a cost input method and applied it under only to contract not completed as of the date of adoption and made some related effect of adjustment to retain earnings recognized as of the date of adoption. Therefore our first quarter results reflect the adoption of ASC-606, especially with regards to revenue within net income and may not be directly comparable to prior period.
First quarter contract sales increased 24.7% to about 381 million from about 305 million in the first quarter of 2017. In RMB terms, contract sales were RMB2.4 billion for the quarter. Total GFA sales in China were about 150,000 square meters in the first quarter increased from about 147,000 square meters in the same quarter last year and declined from about 134,000 last quarter. Total revenue decreased 38% to about 174 million from about 181 million in the first quarter of 2017. The decrease was mainly due to the adoption of ASC-606.
The average trailing price per square meters sold in China was around RMB16,000 in the first quarter of 2018 compared to about RMB12,000 in last quarter and about RMB12,000 in the first quarter of 2017. SG&A expenses as a percentage of total revenue increased to 22.9% from 12.6% in the first quarter of 2017 and increased from 10.8% in last quarter. The increase was due to costs associated with company expansion and a decrease of revenue due to the adoption of ASC-606.
Interest expense this quarter was about 30 million compared to about 25 million last quarter and 9.3 million in the same quarter last year. The increase was mainly due to increase of debt. As a result of decrease in revenues and the increase in SG&A and interest expenses, net loss for the first quarter of 2018 was 12.7 million compared to 7.4 million net earnings for the first quarter of 2017. Diluted net loss per ADS attributable to shareholders was $0.16 compared to $0.11 net earnings per ADS in the first quarter of 2017. The company did not make a share repurchase in the first quarter of 2018.
Balance sheet; as of March 31, 2018, the company's cash and cash equivalents including restricted cash decreased to $1.2 billion from $1.5 billion as of December 31, 2017 mainly due to the payment of land acquisitions. Total debt outstanding was $3.8 billion which reflected an increase of $502 million compared to a $3.3 billion at the end of the fourth quarter of 2017. The balance of the company's real estate properties under development at end of the first quarter of 2018 increased to about $3.5 billion compared to $2 billion at end of the fourth quarter of 2017.
The increase was mainly due to the adoption of ASC-606 resulting in deferred revenue recognition as well as from the land acquisition. Equity at end of the first quarter of 2018 was about $705 million compared to about $1 billion at end of the fourth quarter of 2017. The decrease was mainly due to the adoption of ASC-606.
In summary, with the adoption of ASC-606, first, revenue will be recognized as a completion of GFA sold for property launched before January 1, 2018 which is later than previously estimated under the percentage of completion methods. And second, leverage of different projects in different periods tend to fluctuate depending on a master plan and the progress of the projects. We provided 2017 financial results adjusted for ASC-606 adoption in today's earnings release where you can see the comparison before and after the adoption and the newest match between the revenue recognition and win sales approach. And lastly, the accruement of SG&A and interest expense remain unchanged.
Now let's come to our projects update. As of May 20th, we have in total 23 active projects and 16 projects under planning, including 2 projects acquired in January and April of this year with total GFA of around 1 million square meters. The new projects are mainly located in our existing markets with solid track records, and we believe they will drive our long-term growth. As of May 20th, our total unsold land bank is around 6 million square meters, which lays a strong foundation for our development in future years.
U.S. project update; as of March 31st, our Oosten project in Brooklyn, New York has recognized a total revenue of about $456 million from the sale of 174 units out of 216 total units, representing approximately 81% of the total units sold. Revenue from this project in the first quarter of 2018 was $5.2 million. We expect total projected revenue of around $120 million for the remainder of this year and into 2019. Our Hudson Garden project in Manhattan, New York completed foundation work in the first quarter. After optimizing the internal layout of the building, we now expect 92 units to be available for sale, an increase from the original 82 units.
We continue to execute on planning, governmental approvals and predevelopment of our ground-up development project in Flushing, New York. The Landmark Protection Committee has approved our Landmark Protection Plan and awarded us a Certificate of Appropriateness. We began transferring and protecting crucial parts of the existing theater as scheduled.
Malaysian project update; Xinyuan owns the development rights for a total area of 170 acres in Malacca. With the development of surrounding reclamation projects such as Impression City in Malacca and the Malacca Gateway, we noticed that the price of the reclaimed land in Malacca rose by 40% compared to with outside projects. We have conducted our environmental impact assessment and secured related approvals from local governments and are currently in the process of finalizing the reclamation contractor. We plan to launch the reclamation in June-July period of this year.
UK project update; we applied 50% equity sharing of Madison Project London in the [indiscernible] neighborhood in March. In the first quarter, all below-ground work has been completed, including the formation of the extensive basement and all piling work have been completed. A structural core of the building has been constructed up to the 12th floor, out of a total 53 floors.. Central mechanical and electrical installations also began during the quarter. Construction remains on track for completion in 2020. At the end of the first quarter, 40% of available market sale units have been presold.
And now coming to Construction Management Service business, in the third quarter of 2017 we introduced our new Construction Management Service business when we obtained our first construction management service project in Guangzhou. During this quarter, we have six active projects in our pipeline. We charge a service fee on our Construction Management Service to provide and may receive additional revenue. Our expansion into financing services and minority holding in projects. This asset light business model will supplement our core traditional projects and development business and aid our future growth.
Dividend, we announced a cash dividend for the first quarter of 2018 of $0.10 per ADS which will be placed before June 22nd to shareholders of record as of [January] 11, 2018. Now I would like to share with your our understanding of the current market situation.
A more restricted policy implemented by the government began around October 2016. It has been well over a year and we expect this government restricted policies to remain unchanged in 2018. High down payments for second home purchases, qualification of homebuyers in the local market and [same] price guidance assuming price. Despite the restriction, overall [MMI] in home buying demands remain favorable in our local markets as demonstrated by our first quarter sales and ASP increases.
We believe the goal of environment restriction policy is to maintain healthy and stable development aftermarket by pulling down irrationally escalating prices in certain cities which will support the long-term sustainable growth of the business. We released overall long-term housing demand trends that are very strongly backed by China's stable economic growth and urbanization process in which a large corporation is migrating to Tier 1 and Tier 2 cities. We remain fully confident in our business growth particularly as most of our billable units are preferred homebuyers or buyers to operate our billing standards and not the luxury markets.
And finally, on to our full year 2018 financial forecast. Our guidance reflect the adoption of ASC-606 and may not be comparable to prior year period. Our contract sales which are a better indicator for business development with the adoption of ASC-606 are expected to continue to grow especially in the remaining three quarters of the year. Second quarter contract sales is expected to be around 530 million. For the full year 2018. The company expect an increase in contract sales of about 10% and consolidated net income of 15% to 20% over 2017. The majority of company's net income are expected to occur in the fourth quarter of 2018. This is before an early adoption of ASC-606, our newly purchased land before 2018 need a cycle to turn into revenue.
This concludes my prepared remarks for today's call. And operator, we're now ready to take questions."
Operator,1,Thank you. [Operator Instructions] We will now take a question from George Gou. Please go ahead.
Unidentified Analyst,1,"Hi. My understanding of the accounting rule changes is that it really will be the same, it just shifted. Is that correct?"
Helen Zhang,1,"Yes, and no. Yes, is because the revenue for specific project that actually is fixed as we expected. No, is because it will be shifted to a later period and might not be approved in this year."
Unidentified Analyst,1,"Okay. Also I noticed that you paid less tax this quarter -- last quarter. Will the accounting change reduce, because your profit will be less?"
Helen Zhang,1,I'm sorry. Would you please repeat your question? There has been a disconnection of the line just now.
Unidentified Analyst,1,"I noticed you paid less tax on the last quarter earnings report. Because of accounting change, will that due to the tax payment, because of the Chinese [New Year]?"
