speaker,q&a,content
Operator,0,"Good day. And welcome to the China Rapid Finance's First Quarter 2018 Earnings Conference Call. All participants will be in listen-only mode. [Operator Instructions] After today's presentation, there will be an opportunity to ask questions. [Operator Instructions]. Please note this event is being recorded.
I would now like to turn the call over to your host for today's conference, Joseph Wang, Chief Strategy Officer and Head of Investor Relations. Please go ahead. "
Joseph Wang,0,"Thank you, operator. Welcome to China Rapid Finance first quarter 2018 earnings conference call. Today's call is being webcast and is accompanied by a slide presentation, which is also available on our website. 
With us today are Dr. Zheng Wang, our Chairman and CEO; and Mr. Kerry Shen, our CFO. Following the management's prepared remarks, we will conduct the Q&A session.
Before we begin, I will refer you to the safe harbor statements in our earnings press release, which also applies to the conference call today as the company will make forward-looking statements. These forward-looking statements involve inherent risks and uncertainties that may cause actual results to differ materially from our current expectations.
Further information regarding these and other risks is included in our reports filed with or furnished to the SEC. All forward-looking statements that we make on this call speak only as of the date hereof and are subject to change at any time. China Rapid Finance has no duty to update these forward-looking statements. 
With that, I will now turn the call over to Dr. Zheng Wang. Zheng, please proceed."
Zheng Wang,0,"Thank you, Joseph. And hello everyone. Thank you for joining the call today. I will first discuss some updates regarding our business and outlook. Kerry will then give you financial details. 
In the first quarter, our top priority was to reorganize our business to deliver profitable growth towards the end of this year and beyond. The company is now organized into three business units, each of which has direct responsibility for its P&L, marketing strategy, new product development, new borrower acquisition and the strategies to address competition. The organization was designed to accomplish three goals. First, we create more responsive and adaptive teams that can better address changes in the market. Second, we have a choice of a new low products now under development they were will more effectively address the lifetime needs of our core customers. Third, we streamlined operations which improved the efficiency of many corporate functions and reduced our cost. 
Let me elaborate our each of these goals. A key competitive advantage for XRF is our ability to understand and satisfy the lifetime financial needs of the emerging middle-class mobile customer in China. This massive population of over 500 million people is still underserved with inadequate assets to affordable credit. Our new structure assigns different business units to address the different needs of different needs of different customer segments, which can span from small loans [about] $### over a few weeks to larger loans of about $10,000 over months or years.
Each unit develops their own marketing strategies, product range, risk pricing and the underlying technologies. Each business unit is responsible for operating profitability, the new ops structure strongly supports our low and grow strategy, which drives increasing average loan size overtime. This makes us a more adaptive and a competitive company. 
The second benefit of the reorganization is the new product that addressed the changing market environment. To respond to regulatory changes, particularly on the interest cap, we made changes to our product line. Some of these changes included first, the introduction of a value-added services to customers that we have identified as high-quality borrowers; second, offering to existing borrowers what we called consumption loan plus, a large line of credit. Third, extending short duration loans from 14 to 30 days to total two to three months which are providing to be very popular in our casting. Fourth, the introduction of what we call lifestyle-like loans, which have a duration of three, six and 12 months. Lifestyle-like loan sizes further gap between consumption loans and the larger loans. And fifth, the introduction of a new apps to work with more channel partners and fill more borrower categories. These products will be released soon.
The third benefit of our reorganization is to streamline our operations and cut cost. The reorg accelerates many operating changes that were already in the works. This now improves our ability to deliver our products and the services in a lower cost. For instance, we accelerated our transition to automate the personal information verification of new borrowers, making the process faster, more accurate and more secure. New borrowers benefit from the streamlined process, lenders benefit from the greater accuracy, and the company benefits from reduced costs. Similarly, we accelerate the ongoing transaction through an online marketplace eliminating many physical locations that are no longer necessary. The reorg drove this and many other efficiency improvements. 
The financial benefits will be evident starting in the third quarter and I expect it to have a substantial and a long lasting positive impact on our business. While we were implementing the new organization, we also finished all tasks necessary for registration in China as an online marketplace under the current guidelines. As the new requirements emerge, we will also be well positioned to meet them. And we're very confident that we can manage whatever final actions we may need to take. 
We believe the results of our first quarter actions will be two-fold. First, when the regulatory environment stabilizes, we anticipate an acceleration of our growth in gross billings and the revenue as our average loan size increases. 
Second, combining this with our reduced and more efficient cost structure mean that we believe we can become profitable towards the end of the year. 
With that, I will now turn the call over to our CFO Kerry to cover financial results. Kerry?"
Kerry Shen ,0,
"Thank you, Zheng and good morning to everyone and good evening to people in Asia. You can find all the figures and comparisons you need from the press release and supplemental slides. I'm not going to repeat all the numbers. Rather I'm going to focus on the analysis of the factors that influenced our financial results. Keep in mind that during my discussion, unless I'd say otherwise we are referring to Q1 2018, and all comparisons are to the first quarter of 2017. ",0,"In Q1, our top and bottom line were impacted both by the reorganization that positions us to thrive in the months and years ahead and by non-recurring and non-cash charges and adjustments. I'll clarify which will be these two categories impacted each line item as we analyze our income statements and balance sheet. 
Before we discuss the Q1 results, I want to address an accounting policy change, which affected our revenue and net profit for the first quarter. On January 1, we adopted a new revenue recognition policy, ASC-606. This rule guides how companies recognize revenue from contracts with customers. It impacted us with regards to certain transaction fees received for certain loan products. Typically, ASC-606 impacts timing of recognition and that was the case with us, netting out multiple adjustments around $4.5 million of revenue that would otherwise have been recognized in Q1 was moved to Q4 2017. This is reflected in the adjustment to retained earnings. 
Now let’s turn to the income statement starting with the topline. One measure of the health of our business is gross billings. Solid gross billing growth means that demand from our loan products is robust and that we are effectively managing our marketplace. We nearly doubled our gross billings, which was driven mostly by consumption of gross billings which nearly tripled. Throughout the quarter, we focused our efforts on repeat borrowers. 
We decided to mainly extend loans to proven borrowers that have been on the marketplace for some time. You saw the effects of this in the jump in our average loan size which completely offsets the anticipated decline in the number of loans. Our loan volume would equal to last year, our gross billings and total revenue grew, and quality and size of loans in our marketplace both increased. 
Now turning to total revenue, on an operating basis, the growth was slightly higher than gross billings growth. On a GAAP basis, with the occurring change, total revenue growth was lower than the gross billing growth. In Q1, we had one adjustment that reduced net revenue. Due to regulatory changes, we agreed to do a nonrecurring expense associated with the discontinuation of a funding program. As of this time, we do not anticipate any more provision of this nature. 
Now let’s turn to expenses. Servicing was basically flat due to loan volume being unchanged. Similarly, sales and marketing was unchanged due to the low customer acquisition cost offset by higher promotional spending in wealth management. 
General and administrative and product development expenses scaled in line with the growth in gross billings and total revenue. This infrastructure was built to support much larger loan volumes. As loan volumes returned in the second half of 2017 levels, these expenses will be well covered. Also, we did incur extra costs for collection services in 2018 Q1 but this is related to the spike in delinquencies at the end of last year. As delinquencies return to normal levels, this cost should decline. Product development expenses will continue to grow as we invest in new product innovations as Zane has described. These are intended to help us drive rapid growth when regulation stabilizes. Innovation is our top priority and we will continue to invest to improve our products, our credit analysis tools and our tax loss. In Q1, we invested in all three of these categories.
Now let's look at the balance sheet. We drew down $23 million of cash during the quarter. This was due to the operating loss as well as approximately $8 million in non-operating payments. These non-operating payments were for the discontinuation of the funding program and extra collection expenses. Our cash balance was equivalent to back half of the IPO and is quite sufficient to fund our current operations and invest in growth initiative. So far in second quarter, we're seeing a significant improvement in operating cash flow. As Zane mentioned, we expect noticeably improved operational performance including achieving profitability towards the end of the year. 
Now let me return the call to Zheng. Zheng?"
Zheng Wang,0,"Thanks Kerry. Despite the regulatory volatility, we believe the consumer credit market is still in its infancy in China. And we remain fully focused on this opportunity. We believe that this is one of the largest market opportunities anywhere in our industry around the world. XRF was the pioneer in identifying the emerging middle-class mobile consumer and is still a leading innovator in meeting the lifetime financial needs of this customer. We pioneered Big Data enabled underwriting and are pleased to see the scalability of our approach as we rapidly grow our marketplace. 
Our solid operating metrics in the face of the significant market uncertainty reinforce the strength of our approach. 
Now we're ready to open the call to Q&A. Operator, please proceed. "
Operator,1,We will now begin the question-and-answer session. [Operator Instructions] The first question come from Richard Xu of Morgan Stanley. Please go ahead. 
Richard Xu,1,"Hi Zheng, hi Kerry. Thanks for taking the question. One quick question on the cost. And you mentioned, certainly there is a cost structure program coming up. So, would you think the cost, will go down by? What are -- any assessment on the impact say this year next year, any target? 
Secondly, could you talk about some of these credit quality trends in recent, in the first quarter and then what do you expect in the second quarter? 
And number three is, you know there is a onetime provision, certainly a little bit higher than the first quarter. You certainly described the situation for the first quarter, could you explain a little bit more on this $9 million for the first quarter? Thank you. "
Kerry Shen ,1,"Thank you for the questions, I hear three questions. One is on the total expense and second is on the default rates of consumption loan and third with regarding to the discretionary payments. 
So, the first question, in terms of total expenses, they were 37.8 million in the first quarter. If you look at the breakdown, servicing has always been stable and the sales and marketing in this quarter was comparable to the first quarter 2017 but 3 million lower compared to Q4 2017. This is mainly due to the slowdown in mobile acquisition. And G&A, generally they are higher than the first quarter of 2017 at the total scale of the business is much bigger but compared with Q4 of last year G&A expense is also stable. 
When we expect to reaccelerate the business in the second half, we do the expect sales and marketing expense to increase a little bit but generally the expenses will not grow in the same pattern as the low volume in gross billings and total revenue. 
Regarding the second question on default rates, as of March 31st default rate for consumption loan was 4.8% higher than what we reported a quarter ago of 3.7%. This reflects the increased delinquency since the end of last year due to the regulatory changes. Since the middle of Q1, we see delinquency rates go down to before the regulatory change level and its back to normal now. 
Regarding your third question on discretionary payment, let me give you some key elements of this payment. It is unrelated to the payment made last quarter. One institutional investor chose to terminate an investment program in the first quarter due to regulatory changes. They incurred losses, because most of the loans are newly initiated and not profitable yet. The value to lender built over time by repeat borrowing of higher loan amounts and we voluntarily agreed to compensate the lender for the losses due to the early termination because of the regulatory change. As of this point of time, we do not foresee any similar payments to be made for that. So, I hope I answered three of your questions, is that alright?"
Richard Xu,1,Yes. Thank you. 
Kerry Shen ,1,"Okay, thank you Richard."
Operator,1,[Operator Instructions]. The next question comes from John Cai of Morgan Stanley. Please go ahead. 
John Cai,1,"Thanks management for the questions. I have two. And I want to follow up on the previous questions about the institutional funding. Just curious how much of our funding is from institution at the moment? 
The second question is on the customer acquisition cost. Just wonder what's the per customer acquisition cost in the second quarter? Thank you. "
