speaker,q&a,content
Company Participants,0,"Conrad Grodd - Vice President of Investor Relations
Howard Lerman - Founder, Chief Executive Officer
Jim Steele - President, Chief Revenue Officer
Steve Cakebread - Chief Financial Officer"
Conference Call Participants,0,"Koji Ikeda - Oppenheimer
Brent Bracelin - KeyBanc Capital Markets
Naved Khan - SunTrust
Alex Zukin - Piper Jaffray
Mark Randall - Morgan Stanley
Brett Knoblauch - Berenberg Capital Markets
Zachary Schwartzman - RBC Capital Markets"
Operator,0,"Good day and welcome to the Yext first quarter fiscal 2020 earnings conference call. All participants will be in listen-only mode. [Operator Instructions]. Please note, this event is being recorded.
I would now like to turn the conference over to Conrad Grodd, Vice President of Investor Relations. Please go ahead."
Conrad Grodd,0,"Thank you Sean and good afternoon everyone. Welcome to our first quarter fiscal 2020 conference call. With me today are, Howard Lerman, CEO of Yext, Steve Cakebread, CFO and Jim Steele, President and Chief Revenue Officer.
Before we begin, I would like to remind everyone that this call may contain forward-looking statements, including statements about revenue and non-GAAP net income guidance, margin, cash flow, market opportunities, capital expenditures, geographic expansion, business performances, financial outlook and other non-historical statements as further described in our press release. These forward-looking statements are subject to certain risks, uncertainties and assumptions, including those related to Yext's growth, evolution of our industry, price development and success, market opportunities, adoption of accounting principles and general economic and business conditions.
These statements reflect the company's current expectations based on its beliefs, assumptions and information currently available to it. Although we believe these expectations are reasonable, we undertake no obligation to revise any statement to reflect changes that occur after this call. Descriptions of these and other risks that could cause actual results to differ materially from these forward-looking statements, are discussed in our reports filed with the SEC, including our most recent report on Form 10-K and our press release that was issued this afternoon.
During the call, we will also refer to non-GAAP financial measures. Reconciliation with the most comparable GAAP measures are also available in the press release, which is available at investors.yext.com.
With that, we will begin by turning the call over to Howard."
Howard Lerman,0,"Well, hello everyone and welcome to our earnings call. And I would like to especially thank Conrad. We are excited to have you onboard for the next major revolution of Yext and we thank you all for being here. We are pleased to report yet another record quarter for Yext. We are on track to achieving another record year. With these great results, there are a ton of highlights this quarter.
Revenue grew 35% over the first quarter of last year. It exceeded the high end of our guidance. GAAP loss margins improved by nearly 600 basis points from the year ago quarter and non-GAAP loss margins improved by more than 900 basis points. And for the third time in the last five quarters, we generated positive operating cash flow.
Recently, we unveiled The Yext Building, our global headquarters that's new, located in the tech-centric heart of New York City alongside Google and Apple store. This state-of-the-art facility provides us with space for about 1,000 employees and we expect to move in during 2020. The Yext Building also includes a world-class customer briefing center. We are going to help customers from around the globe understand how to build a single source of truth online for their consumers.
And during the quarter, we signed contracts with leading brands like Daimler, Famous Brands, Rogers Communications, [indiscernible], Sephora, WH Smith. And we signed expansions and renewals with Choice Hotels, Jaguar, Land Rover, Allstate Insurance and Adidas and in German, that's Adidas. These brands recognize there is a massive paradigm shift happening in the world of search from keywords to questions.
This shift has retrained consumers to simply ask for what they want. No longer do they have got to browse through websites to get answers to their most important questions. The consumer has moved from browsing to asking. And when they ask questions, they expect specific relevant answers about companies and products, professionals, locations, services. The fact is, today's customer journey starts with a question and consumers expect answers.
But what happens to the customer journey when they get the wrong answer or chaotic results or missing info? Reputation is at stake and brands risk losing their business to succeed in this new world and answer customer demand. Brands must become what we call answers-ready.
Let's take a step back. The Holy Grail in consumer marketing has always been to reach the right customer at the right time with the right information to incite an action that converts to a sale. For decades, companies have been learning more about our customers, their customer, starting with their demographics. We knew where they lived, their age and their gender, but not a lot.
Then as technology progressed, we began to track specific purchases against specific customers and we gained insight to their buying patterns, their product usage, even their personalities. And then, we started to understand consumer behavior if they use keywords to search the web. We knew what they were doing in real-time, but we didn't know when they were going to do it or why they were going to do it. We have never been able to track true consumer intent, but now we can.
As consumers continue to just ask for what they want, now they are displaying more and more intent. And as a result, marketers aren't just optimizing for keywords anymore, there are now new ways to optimize marketing around this new intent because consumers are asking questions. This change in consumer behavior is leading to a change in how marketers do their job.
Now we can market to our customers based not on who they are, what we can guess about their psychology, but on literally what they just asked for. So we find ourselves at the dawn of a new age, intent marketing, where we can meet the customer at that exact moment of intent. Marketers who meet their customer at the moment of intent with accurate information sell more stuff. This leads to better brand reputation and increased revenue.
And our friends at Conductor ran a study that proves this. They ran a study that showed a search that's multi-word. It's a multi-word question, which by the way, is a strong indicator of intent, converts at 2.5 times that of a single keyword search. So intent marketing means opportunity and opportunity leads to revenue. And that's where Yext comes in.
Yext makes it possible to provide verified answers for consumers seeking the truth about brands. Our technology-enabled companies that take advantage of intent marketing by enabling them to implement brand- verified answers everywhere consumers search. So they can meet the customer at the moment of intent. Yext puts brands in the line of search with brand-verified answers and leading brands around the world are implementing brand-verified answers to become answers-ready.
Now being answers-ready has three parts. First, they need to build a complete knowledge graph. This is a brain like database that stores all the data about a business. Second, they need to be able to answer questions themselves on their own website with intent pages and answer pages and a great site search. And third, they need to be able to answer questions everywhere, Google, Alexa, WeChat, anywhere people are asking in any language around the world.
Our founding principle that the ultimate authority on a business should be the business itself is more relevant than ever and our continuing innovations in new technology are now enabling consumers to get brand-verified answers whenever they search with a question. Yext provides a single source of truth for companies online. Our customers have put more than 200 million authoritative facts into our platform. With our mission of perfect answers everywhere, Yext is leading brands into the future of search. We have been doing this for more than a decade. We always have and we always will.
And speaking of that, I would love to now turn the call over to our President and Chief Revenue Officer, Jim Steele."
Jim Steele,0,"Thanks Howard. We are really excited about the great start we have had to the year, especially after our strong performance in Q4. And we continue to see signs of momentum across the geographies in the vertical markets. This is true in both enterprise and in mid-markets.
In enterprise, we signed more than 50 new logos this quarter, including leading brands in travel and hospitality, food, healthcare, financial services and retail. And with all of these new customers, we are seeing the level of our executive sponsor increasingly be at the CMO and the CEO level.
I am also really excited that Patrick Blair has joined us as Executive Vice President of our Global Commercial Business. Patrick is an accomplished cloud software veteran with more than 20 years of experience developing and leading go-to-market teams. We worked together at Salesforce for 10 years. Patrick was instrumental in building the commercial business unit there to over $2 billion. At Yext, he will be responsible for mid-enterprise and mid-market sales and services around the world. It's an honor to work with alongside Patrick again. I am really excited about that.
Now I will turn the call over to Steve Cakebread to walk you through the quarter in more detail. Steve?"
Steve Cakebread,0,"Okay. Thank you Jim. It was a strong Q1. We are pleased with our start to the year even though the first quarter is when we typically see lower volume to new business. A quick note before I get into the numbers. I just want to remind you that we adopted ASC 606 last quarter and this quarter 842 for our lease accounting.
Our first quarter revenue grew 35% to $68.7 million, above the high end of our guidance and we continue to see growth from both new and existing accounts. Our net revenue retention, both overall as well as in enterprise and mid-market, remain consistent with last quarter's levels.
Unearned revenue, which we formerly reported as deferred revenue prior to adoption of 606, increased 53% from the year ago period to $125.4 million. And as of April 30, we had $256 million in remaining performance obligations or RPOs. That's down from the fourth quarter balance, because of typically seasonality of first quarter business flow. Our total backlog, which includes another $36 million of revenue that's under contract but subject to accounting exclusions, on that basis, we have $292 million in estimated future revenue under contract.
When we look at profitability, gross margins were 76% this quarter, an increase of 110 basis points over the first quarter last year. And gross margins this quarter benefited from the timing of certain publisher fees. That being said, we remain comfortable with gross margins remaining in the mid-70% range.
Operating expenses this quarter increased at a rate less than our rate of revenue growth. This highlights how we continue to realize efficiencies and economies of scale. Total OpEx increased from $55.1 million last year to $71.5 million this quarter. As a percentage of revenue, we saw improvements in all three lines of OpEx, sales and marketing, R&D and G&A compared to the first quarter last year.
When looking at our net loss, first quarter net losses increased from $17 million a year ago to $19 million this quarter. But on the basis of 106.5 million weighted average basic shares outstanding, net loss per share of $0.18 this quarter compares to $0.18 loss a year ago. Non-GAAP net loss, excluding stock-based compensation, improved 37% from $9.1 million a year ago to $5.7 million this quarter. And non-GAAP loss margin of 8% in the current quarter was a substantial improvement from the 18% of revenue in the year ago quarter.
Our GAAP loss margin was 28% in the current quarter and improving nearly 600 basis points from the 33% of revenue last year. Our non-GAAP net loss of $0.05 per share this quarter compares to $0.10 in the year ago quarter and was $0.04 favorable to the high end of our guidance. Keep in mind, approximately $0.01 of this relates to the higher share count from our recent equity offering in March where we issued seven million shares. The offering had not been reflected in the guidance we gave you in last quarter's call, so our share count is a bit higher than the guidance. Please refer to the press release we issued this afternoon for a reconciliation of GAAP to our non-GAAP results.
When you look at the balance sheet and cash flow, cash, cash equivalents and marketable securities totaled $284 million. This was an improvement of approximately $160 million from the year ago balance and is due to a combination of the proceeds from the offering, but as well, positive operating cash flow. Net cash from operations was breakeven this quarter as we were last year at this time. We have achieved this even as we continue to expand our workforce and invest in new facilities across the globe.
This further demonstrates how our business model is capable of generating healthy cash flow. Over the remainder of the year, we expect we will continue to invest in people and facilities. For example, earlier this May, the lease up on our new global headquarters in New York commenced. We need to do some work to get this space ready for our move-in next year and expect to see some of those cash impacts over the next few quarters. We continue to expect to increase our CapEx spend over the next two years for new and existing facilities around the world.
Let's take a look at our expectations for next quarter and the rest of the year. In the second quarter, we expect revenue of between $70.8 million and $71.8 million. And in the same period, we anticipate non-GAAP loss per share of between $0.12 to $0.14, which reflects the investment that we need to make in facilities and people. This assumes a weighted average basic share count of approximately 111.8 million shares.
Turning to the full year, we are raising the revenue midpoint up by $1 million to an expected range now of $297 million to $300 million in revenue. And we are maintaining our existing non-GAAP net loss per share range of between $0.40 and $0.44. This is based on an assumed basic weighted average share count of approximately 111.9 million shares.
I would like to take a moment to thank James Hart for the great Investor Relations foundation he worked hard to lay over the last two years from Yext IPO to today. We owe a great deal of gratitude for him and all he has done for Yext and fully support him on his next adventure. At the same time, I want to welcome Conrad Grodd. Both he and James have worked to make a seamless transition.
And Howard, I believe you want to close out with some important reminders."
Howard Lerman,0,"Yes. It wouldn't be an earnings call without me pitching some events here. So let's go ahead and do that before we open up for questions. I want to remind you, we have two big events coming up. The first is actually next week. So if you are in the United Kingdom, we would love to see you at our iconic, it's at the iconic London Science Museum on Wednesday, June 5, from voice search and autonomous vehicles to the future cities and virtual reality. We are going to take a look at the current state of intelligent services and their effect on businesses today and beyond. You can still join us for a few slots remaining open along with thought leaders from Google, Jaguar Land Rover, Air France and more than 500 customers, partners and prospects.
And second, I would love to remind you all of ONWARD19. It's taking place this fall on October 29 and 30. Registration also is open where our theme this year is the Future of Search. This will be our largest conference ever and we are taking over the Marriott Marquis in New York City to host it. We had it last year at Jazz at Lincoln Center, where we put on Who Killed Jim Steele and unfortunately, they can't hold our size anymore. So we are going to the Marriott. More than 1,600 of our customers and partners and investors will hear from world-class speakers. They are going to share insights into the way consumers are searching for brand-verified answers and this year we had to add more capacity, because last year it was standing room-only. ONWARD has sold out every year and this year ticket sales are running ahead of last year. So act now, while supplies last.
If you are interested in either, please visit events.yext.com or onward19.com to register. We hope to see many of you there.
And with that, operator, we will now open up the call for questions."
Operator,1,Thank you. We will now begin the question-and-answer session. [Operator Instructions] Our first question comes from Koji Ikeda with Oppenheimer. Please go ahead.
Koji Ikeda,1,"Nice quarter, guys. Thanks for taking my questions. A question for Howard or Steve. So brand-verified answers. We have been hearing more about this concept recently. So I wanted to ask you a couple of questions on the topic. I guess, first part is, have organizations out there really realized the importance of accurate information and answers yet? Or is there a lot of evangelism that still needs to be done out there? And then part two is, overall in your view, could unverified or inaccurate answers through search become a problem that really gets worse before it gets better in the near term? And then finally, why is solving the problem of having accurate brand-verified answers so difficult to do?"
