speaker,q&a,content
Operator,0,"Greetings, and welcome to the YogaWorks Third Quarter 2018 Earnings Conference Call. At this time, all participants are in a listen-only mode. A brief question-and-answer session will follow the formal presentation. [Operator Instructions] As a reminder, this conference is being recorded.
It is now my pleasure to introduce your host Jean Fontana with ICR. Thank you Ms. Fontana. You may begin."
Jean Fontana,0,"Thank you. Good afternoon, everyone. Thank you for joining us today for the YogaWorks' third quarter fiscal 2018 earnings conference call. Presenting on the call today are Rosanna McCollough, President and Chief Executive Officer and Vance Chang, Chief Financial Officer. In addition, Kurt Donnell, EVP Corporate Development and General Counsel is also here to help answer your questions.
Before we begin, I would like to remind you that during today's call YogaWorks management will be making forward looking statements that are subject to risks and uncertainties. Risk factors that may impact those statements and could cause actual results to differ materially from currently expected results are described in YogaWorks filings with the SEC as well as mentioned in the forward looking statements in the YogaWorks press release issued in advance of this call.
Investors should not assume that statements made during the call will remain operative at a later time and the company undertakes no obligation to update any information discussed on the call.
With that, I will turn the call over to Rosanna McCullough."
Rosanna McCullough,0,"Thank you, Jean. Good afternoon, everyone and thank you for joining our call to review our third quarter results. We are pleased to report that our third quarter results were in line with the expectations, and we are maintaining our outlook for the year. Total revenue grew 12% to $15.2 million and adjusted EBITDA came in at negative $1.8 million, both of which were within our guidance range.
Total visits increased 19% and unique visitors grew 17%, largely due to our growth from 53 studios at the end of Q3 2017 to our current 70 studios. However, as expected our decision to reduce promotional activity, particularly on class packages relative to last year resulted in a 6% decline in visits on a same-store pro forma basis and a 3% decrease in unique visitors.
Looking ahead, we expect visit trends to stabilize once we lap promotions we offered during the holiday season last year. We remain intently focused on executing measures designed to drive both visits and profitability in our studios. We are confident that the actions we are taking will enable us to drive healthier revenue growth at improved EBITDA margin rates. These actions include: one, a refinement of our overall promotional strategy; two, enhancements to our product offering; three, an updated marketing strategy; and four, the optimization of our studio footprint.
Beginning with our promotional strategy, as I mentioned earlier, we chose not to anniversary many of the class package promotions from last year and we also reduced the amount of discounts in the class package promotions we ran during the third quarter. Instead, we are encouraging our students to select the class packages or membership offerings that best align with their intended usage pattern rather than focus strictly on price.
At the same time, we elevated sales efforts toward driving monthly memberships for students who wish to come two or more times per week, which has resulted in three months of sequential improvement in membership revenue. This is a positive trend. We have also seen a decline in the inventory of class packages per user as students are buying on a more natural versus promotional cadence. This is also a positive sign.
In reducing promotions, we are also beginning to reset customer expectations around pricing. In fact, our revenue per visit has continued to increase as we focus on value and not on discounts. We also saw an improvement in visits per student, which tells us these efforts are starting to have an impact.
Turning to our product, last quarter I discussed adding select new classes to our schedule to increase the options for both new and returning customers. As part of this effort we are installing technology in some of our traditionally non-heated yoga studios, so that we can expand our offering to include hot yoga classes at these locations. Similarly, we are adding some non-hot yoga class options to our heated yoga studios. We believe these new class types will broaden consumer appeal of these studios. Overall, we are continuously working to optimize our programming and schedules to drive student visits and attract new practitioners.
Turning to marketing, as we stated last quarter, we have adjusted our marketing programs to place increased emphasis on brand building and less on promotions. We are focused on new customer acquisition, while also encouraging greater frequency of visits from existing customers. While we anticipate that these efforts will take longer to drive sales and the aggressive promotions we offered last year, we believe we are taking the right steps to protect our brand long-term and have seen encouraging trends and customer acquisition cost.
We are rounding out our marketing strategy with several other initiatives. First, we relaunched our loyalty program in September and saw a 65% increase in loyalty redemptions versus the prior month. As a result of promoting the program to students to sign up as well as adding new rewards at a variety of levels. In September, we also drove memberships with a membership drive giving double points for all monthly members.
Also as shared previously, we are building a new mobile app, which is on track for beta testing next month. The app is designed to aid students in finding classes more easily, as it will have basic geo location functionality, which has been missing from the white label app we currently licensed.
We have also invested in social media and hired a full time person in-house to create more content across platforms and increase consumer engagements. In just a couple of months, we have seen Instagram and Facebook followers increased by almost 10% since we bought this function in-house, and we will continue to drive further usage with this important Channel.
In terms of partnerships, we launched the GymPass and Peerfit in Q3, which are larger multi-employer corporate wellness providers that encourage employee wellness through employer reimbursement. While yet -- while not yet a material source of revenue, these and several other new corporate partners we are working with, directly provide great brand exposure to drive new visitors.
Our ClassPass partnership continues to represent a small part of our business by design. But we've been working to optimize our price per visit with their premium reservation functionality, which has increased our yield by almost 10%. This will aid our margins and help us as we scale.
To improve conversion and retention of our customers, we are nearly finished with the implementation of a new business intelligence tool, which is scheduled to go live at the end of the year. This tool will provide real time reporting on performance of individual studios as well as identify key preset customer segments to allow for more targeted follow-up and consistent customer service.
Lastly, but importantly, we are focused on optimizing our studio footprint. We closed one location this past quarter on Comm Avenue in Boston upon lease expiration, as it did not achieve our required to EBITDA margin levels. With the acquisition of five other studios in Boston earlier this year, we've been able to transfer most of the Comm Avenue students to one of our other seven Boston locations. We will also be exiting or upper West Side Studio in New York City this month, as it was not generating are required returns due to continued facilities issues and a difficult rent profile.
Finally, we are in the process of lowering rents of three other studios by reducing total square footage, while retaining nearly the same capacity by relocating to a smaller space in each instance. These measures will substantially improve profitability in these studios.
As has been the case all along, we continue to evaluate our entire portfolio and exit, relocate or resize studios where we do not believe the rent structure or layout will enable us to reach our targets as we seek to improve our four wall profitability. In terms of our acquisition strategy, we continue to receive strong in-bound interest and maintain a robust pipeline of potential acquisitions.
However, as I said last quarter, with our increased emphasis on our existing studios, we are being highly selective with acquisitions as we focus on improving the profitability of our business. Assuming we continue to receive improvements in the business, we will resume our prior acquisition pace to expand our footprint and leverage our G&A. We believe we will likely see this by the middle of 2019. And we are now actively working on securing additional growth capital. Importantly, we remain the acquirer of choice and therefore expected seamlessly resume our acquisition strategy when the timing is right.
Vance will now review the financials."
Vance Chang,0,"Thanks, Rosanna and good afternoon, everyone. I will start with a review of our third quarter 2018 results and then discuss our outlook for the fiscal year 2018. Third quarter net revenue was $15.2 million, an increase of approximately 12% compared to $13.5 million in the third quarter of 2017. The increase in net revenue as compared to last year was related primarily to our growth from 53 studios at the end of Q3 2017 to our current 70 studios. We saw a $1.2 million increase in sales from monthly memberships, as well as a $0.3 million increase in sales from multi class packages.
In addition, social commerce sales rose $0.2 million. The increase in net revenues from classes was partially offset by a $0.2 million decrease in net revenue from teacher trainings and workshops due to a lower number of teacher trainings and workshop events held in the third quarter this year versus the same quarter of last year. Cost of revenues increased 21% and center operations increased 25% year-over-year in the third quarter, due primarily to rent and payroll expenses associated with the acquired studios.
General administrative expenses decline 9% relative to the third quarter last year, primarily due to lower stock-based com. We recognize an impairment to goodwill of $5.6 million during the quarter. The impairment was primarily due to the continued decrease in market capitalization, we did not record any impairment loss related goodwill in the third quarter of last year.
We also recognize an impairment to long lived assets of $4.1 million during the quarter. We recorded the impairment charges of $3.8 million to intangibles and $0.3 million to property and equipment that were no longer recoverable and were therefore fully written off. We do not record any asset impairment losses for the same quarter last year.
Adjusted EBITDA was negative $1.8 million in the third quarter of 2018, net of the deferred revenue adjustment, our adjusted free cash flow was negative $2.9 million for the third quarter of 2018. For reconciliation of adjusted EBITDA and adjusted free cash flow, please see the tables in our earnings press release. Our studio level EBITDA for the third quarter of 2018 was $1.8 million or 12.1% of net revenue compared to $2.6 million or 19.4% of net revenue for the third quarter of 2017. The decrease in studio level EBITDA margin was primarily due to the negative same store visits, which is our best proxy for same store sales, as well as increased rent and labor from acquired studios.
Also as Rosanna mentioned, we're adding more classes in the quarter, which generated a lower margins until those classes are built up. Studio level free cash flow, which reflects adjustments for deferred revenue for the third quarter of fiscal 2018 was $0.7 million or 4.7% of sales versus $2.6 million or 18.6% of revenues in Q3 last year.
At the end of the third quarter, we have $13.2 million in cash and cash equivalents on the balance sheet, cash used in operating activities was $1.8 million for the quarter compared to cash provided by operating activities of $2.5 million in the third quarter of 2017, which reflects operating losses as well as change in deferred revenue and other networking capital adjustments.
Now turning to guidance. Fiscal year 2018, we're maintaining our net revenue guidance between $59 million and $60 million as compared to $54.5 million in the fiscal year 2017. We're also maintaining our adjusted EBITDA guidance to be between negative $6.95 million and negative $5.95 million for the fiscal year 2018 as investments, Rosanna, discussed will negatively impact margins in the short-term, but should drive a healthier business longer term.
With that, we'll open it up for Q&A."
Operator,1,Thank you. We will now be conducting a question-and-answer session. [Operator Instructions] Our first question comes from the line of Oliver Chen with Cowen & Company. Please proceed with your question.
Unidentified Analyst ,1,"Hi, good afternoon. This is Ross [ph] on for Oliver. Just had a question on the new classes you mentioned, just if you could provide more detail in terms of what types of classes you're offering now versus before? And then a bit more on customer reception to these offerings that will be great. And then, are you kind of discontinuing other lower demand classes in tandem with this? Or just if could you speak a little bit more on that? Thanks."
Rosanna McCollough,1,"Sure, thanks, Ross. So in terms of class type, we are constantly refining the classes that we offer. So if the class is not performing to the standards we think are acceptable at that exact time slot. Prime time classes having a higher threshold than non-prime time classes. We will modify that class and change either the teacher or the type of class we maybe not necessarily discontinue that class all across the studio platform, but optimize it in that exact time slot.
In terms of adding classes, so for example in the third quarter we were testing adding cool 60 formats in Houston. There was massive heat wave and we had only hot classes on the schedules. And so it became very obviously that to be consistent across the country and offer a little bit of innovation in that particular region that we would test adding some of those different temperatures. And that seen to have great appeal.
Similarly, on the West Coast we don't have any hot studios and we are now fitting the couple of studios with some technology to be able to add hot as we do in some of our studios on the East Coast, as I mentioned in Houston. In terms of customer reception, it's still early on rolling this out all across the board that we think that this is very important to deliver on our mission to have YogaWorks for everybody, while having an inclusive footprint of classes."
Unidentified Analyst,1,"Thank you. And then just follow-up, in terms of enhancing your four wall profitability, I guess, are there any other opportunities beyond just the lease renewal one that you mentioned, and not only lease renewal is it fair -- I think I saw that 30% of your leases are due between this year and next year. Is that kind of a lease by lease basis? And then just any commentary on the other opportunities on enhancing profitability would be great. Thanks."
Vance Chang,1,"Yes. So you know there are a few things that we're focused on right now. The first thing is obviously driving throughput for our studios, which could improve profitability as most our cost structure is fairly fixed. We talked about that -- we're looking at these leases on a one-off -- on a case by case basis and there's certain sets of criteria that we focus on for each one of them if they fit then we'll keep them, if they don't then we'll try to terminate or move depending on the situation.
We're constantly looking closely at studio labor to balance our class offerings and customer service levels. We have -- we are reviewing short-term working capital levers and we're looking at capital raising alternatives as we talked about all these things are helping us with profitability and long-term cash run rate."
Unidentified Analyst,1,"Great, thanks so much."
Operator,1,Our next question comes from the line of John Heinbockel with Guggenheim Securities. Please proceed with your question.
Unidentified Analyst,1,"Hey, guys. This is Brian Cubin [ph], on for John. Just going back to the footprint, are you guys largely done with the alterations footprint the changes kind of to the class offering types. And how does these alterations kind of change that breakeven level of studios? I think we had pegged it to maybe like 90 to 100 and has that changed over time? Thanks."
Rosanna McCollough,1,"So in terms -- are you asking specifically about the class type offerings, is that what you meant by the first question?"
Unidentified Analyst,1,"Yes, exactly."
Rosanna McCollough,1,"Okay. Yes, so I don't know that I would say that we are ever done with classes. I mean, we will continue to innovate and offer classes that are authentic to yoga and still be able to offer unique and creative ways for consumers to reach their goal. So I don't ever want to say that we're done with classes. I think that's our product and innovation is always going to be key.
In terms of the second part of your question. Vance, do you want to take that?"
Vance Chang,1,"Yes, sure. As far as break even, it really depends on the size and margin profiles of the studios that we acquire. And we talked about this before to cover the roughly $2 million to $3 million of public company cost we do need incremental scale. And we are actively optimizing the current footprint to bring more efficiency to our studios. Moving from bigger locations to smaller locations that obviously improves the margin profile for that specific studio.
And then, we talked about looking at growth capital raising alternatives and we'll update that as appropriate, when we have something more to share."
Unidentified Analyst,1,"Okay, thanks. And then just one last question on the visitation metrics of your most loyal customers. How have they kind of trended the last quarter, quarter two and visits per month? And what's the opportunity there? Thanks."
Vance Chang,1,"Yes, we're seeing our visit per student is gone up year-over-year and it's a combination of the result of our focus on our programming and our marketing efforts to drive more membership to our studio base. And we talked about this before memberships students tend to visit us more frequently, and so they are more committed to our studios. So that's part is what's driving this trend that we're seeing."
Operator,1,Our next question comes from the line of Dave King with Roth Capital. Please proceed with your question.
Unidentified Analyst,1,"Hi, guys. This is actually Andrew, on for Dave. So, I guess, just to start off could you talk about some of the initiatives that are underway to improve the base business? And then how are customers responding to some of the selective pricing increases? And how’s the response been to fewer class packed promotions? And then where else are you kind of finding success or running into some challenges. Thanks."
