speaker,q&a,content
Company Participants,0,"Jay Chaudhry - Chairman and CEO
Remo Canessa - CFO
Bill Choi - VP, IR"
Conference Call Participants,0,"Brad Zelnick - Credit Suisse
Patrick Colville - RT Research
Alex Henderson - Needham and Company
Saket Kalia - Barclays
Andrew Nowinski - Piper Jaffray
Gray Powell - Deutsche Bank
Daniel Ives - Wedbush
Nick Yako - Cowen & Company
Melissa Franchi - Morgan Stanley
Jonathan Ruykhaver - Baird
Fatima Boolani - UBS"
Operator,0,"Good day and welcome to the Zscaler's Third Quarter 2019 Earnings Call. Today's conference is being recorded.
At this time like to turn the conference over to Mr. Bill Choi. Please go ahead sir."
Bill Choi,0,"Good afternoon, and thank you for joining us to discuss Zscaler's financial results for the third quarter of fiscal 2019. With me on the call are Jay Chaudhry, Chairman and CEO; and Remo Canessa, CFO. By now, everyone should have access to our earnings announcement. This announcement may also be found on our website in the Investor Relations section.
In addition, a supplemental financial schedule was posted to the Investor Relations section of our website earlier today. Let me remind you that we'll be making forward-looking statements during today's discussion, including, but not limited to, the Company's anticipated future revenue, calculated billings, operating performance, gross margin, operating expenses, operating income, net income, free cash flow, dollar based net retention rate, income taxes, and earnings per share. These statements and other comments are not guarantees of future performance, but rather are subject to risk and uncertainty, some of which are beyond our control. Our actual results may differ significantly from those projected or suggested in any forward-looking statements.
These forward-looking statements apply as of today, and you should not rely on them as representing our views in the future. We undertake no obligation to update these statements after this call. For a more complete discussion of the risks and uncertainties that could impact our future operating results and financial condition, please see our filings with the Securities and Exchange Commission, as well as in today's earnings release. Unless otherwise noted, all numbers we talk about today will be on an adjusted non-GAAP basis.
Please refer to our earnings release on the Investor Relations portion of our website for a reconciliation of GAAP to the non-GAAP financial measures. For historical periods, the GAAP to non-GAAP reconciliations can be found in the supplemental financial information referenced a few moments ago. I would also like to inform you that we'll be participating in Bank of America Merrill Lynch's Global Technology Conference in San Francisco on June 5th.
Now I will turn the call over to Jay."
Jay Chaudhry,0,"Thank you Bill and thank you everyone for joining us on our call today.
I am pleased to share with you our strong third quarter results. Our revenue grew 61% and calculated billings grew 55% year-over-year. In addition to our top line growth, our operating margins improved 14% points year-over-year to 8%. Our Q3 results demonstrate the leverage in our business model and our ability to drive growth and profitability.
While we are pleased with our third consecutive quarter of profitability, we will continue to aggressively invest in our business for a significant market opportunity that is ahead of us. Based on our analysis of IDC's data, we believe we are going after a $20.3 billion TAM in calendar 2019.
Just as enterprises have adopted multi-tenant SaaS applications like Salesforce and Workday to replace legacy on-premise applications. Enterprises are saying goodbye to security appliances and choosing Zscaler born in the cloud, multi-tenant security platform to securely embrace the cloud.
Unlike traditional network security, which builds a moat around a castle, our cloud security platform acts as a business policy engine to securely connect the right user to right applications regardless of location. ZIA for access to SaaS or the Internet and ZPA for access to internal apps in a data center or a public cloud.
Our customers are leveraging increased functionality of our comprehensive cloud security platform as they progress through various stages of their cloud journey. We see this progression in product bundles purchased by our customers. A significant majority of revenue used to come from customers purchasing professional and business bundle.
As expected, we are seeing continued strong adoption of our premium ZIA transmission bundle, which is growing as mix of our ARR. In addition, while we replace security appliances in existing internet gateways, the majority of ZIA sales are coming from creating and securing new internet breakouts. These are greenfield opportunities.
We are continuing to see significant interest in ZPA, which we introduced only a couple of years ago. It remains the fastest growing product in our history. ZPA delivers what Gartner calls zero trust network access, to provide application access to users without granting network access. This significantly reduces business risk.
While ZPA has been and continues to be purchased as an up-sell by existing ZIA customers, we are seeing more upfront sales of both ZIA and ZPA. ZIA and ZPA together provide our customers a single platform for secure cloud transformation, which we believe no other vendor can match.
Let me highlight several new customer deals in the quarter. I will start with a deal that shows how large enterprises are buying the ZIA and ZPA platform.
One of the world's largest pharmaceutical companies with its headquarters in Europe purchased our transformation bundle for 100,000 users and ZPA for over 17,000 users.
Moving from a decentralized IT and business units to a centralized IT model. This customer had a strategy to transform to the cloud, for their network and for their applications. To achieve this, the IT team identified two initiatives, one increased use of cloud including a move to Office 365, Zoom and AWS.
And number two, network and security transformation. They adopted a strategy to create secure local internet breakouts for 200 offices around the globe. Our cloud security platform allowed them to realize the vision, a perimeter-less enterprise with direct access to any service or application from anywhere, on any device without back hauling traffic through regional hubs.
The results reduced business risk, faster user experience and significant cost savings. They will no longer need either a site-to-site VPN to AWS, or remote access VPN. ZPA also enables the customer to rapidly integrate mergers and manage divestitures, while increasing the level of security with a zero trust network access approach.
Another deal involving both ZIA and ZPA upfront was a Fortune 500 Financial Services Company that purchased our Transformation Bundle for 85,000 users and ZPA for 20,000 users. This customer was preparing to deploy Office 365. The anticipated scaling issues with their own premise web proxy appliances, which would not keep up with the significant growth in internet bound traffic from 750 worldwide offices.
The initial discussion of proxy replacement expanded significantly once the security team realized that Zscaler was much more than a traditional web proxy. We offer the full security stack including next gen firewall, sandbox and SSL inspection. This customer decided to pursue a local internet breakout strategy and use Zscaler to secure their SD-WAN initiative.
They purchased ZIA for all employees, which will also cover mobile users and improve the user experience. In addition, they purchased ZPA for two use cases, one to integrate accusations of new businesses and two, to replace remote access VPN for business units that were having poor user experience.
I often receive personal notes from CIOs, CTOs and CISOs of Global 2000 Enterprises indicating how much they appreciate the quality of service of the Zscaler team and our commitment to their success.
A number of them have brought Zscaler into the new organizations after making a career move. I am excited to share with you two recent examples. A travel and leisure company purchased our Transformation Bundle for 17,000 users and ZPA for 6,500 users. The new CTO came from a large healthcare company, where he had deployed Zscaler one year ago.
In another case, a financial services company purchased our Transformation Bundle for 10,000 users. Their new CIO moved from another financial services company, which had rolled out Zscaler three years ago.
These wins demonstrate the strong loyalty of our customers and the value of our platform. We also had a number of notable up-sell wins in Q3. A U.S. based conglomerate has been a Zscaler customer since 2015, using our business bundle, for it's two dozen portfolio companies to protect 70,000 employees around the world.
This customer purchased ZPA for 40,000 users to replace multiple remote access VPN solutions and made ZPA the standard solution across multiple portfolio companies. The driver: customer is moving its applications to SaaS and public cloud and needed a future proof solution that provides secure and fast access to the applications. In addition, as this conglomerate actively acquires new businesses ZIA and ZPA will enable them to quickly integrate the acquired companies.
This latest purchase resulted in doubling of the total customer annual spend with Zscaler. A Fortune 500 bank with headquarters in Asia that purchased our Business Bundle for 38,000 users two years ago, completed the addition of 12,000 users and upgraded all 50,000 users to the transformation bundle.
The driver of this deal was the need to upgrade security posture for all employees at any location, on any device using a cloud based integrated platform. They also required granular policies to control access to certain applications for defined roles such as restricting web mail, and chat access for traders during the trading window. In addition, they purchased our Data Loss Prevention solutions to help meet stringent regulatory requirements.
Let me say a few words about the competitive landscape. As organizations increasingly make the shift to the cloud, traditional firewall and VPN vendors are finally acknowledging that the legacy security appliances can secure the new digital enterprise and are attempting to build a security cloud using single tenant software designed for on-premise appliances just like you can't create a Netflix service by stacking thousands of DVD players in the cloud.
You can't offer an inline high-performance security cloud by spinning up a bunch of virtual machines in a public cloud. This is a defensive strategy of cloud imitators, which in our view serves the self-preservation of the vendor not the needs of the customers. We believe, we have a significant competitive advantage as a result of the technology, architecture and maturity of our cloud security platform including one, we were born in the cloud, for the cloud just like Salesforce and Workday.
Two, we have a purpose built globally distributed multi-tenant cloud for fast user experience, unlike imitation cloud, Zscaler requires no back hauling from front doors to a central compute data center of a public cloud.
Three, we perform SSL inspection at scale as a purpose built proxy for better security. Four, we deliver zero trust network access that provides application access without network access reducing business risk unlike firewalls and VPN's.
And lastly, we have over 10 years of experience running a mission-critical in-line cloud for Global 2000 customers, processing 65 billion transactions a day. As someone said, it is really no compression algorithm for experience. We continue to innovate and invest in maintaining our significant technology lead.
Our latest fourth generation large data centers provide multiple 100 gigabits per second links. We continue our strategy of targeted tuck-in acquisitions. Our previously announced TrustPath acquisition is already well integrated into the Zscaler platform and their machine learning and AI technology is helping us deliver better threat detection.
Just this week we acquired Appsulate, a pre-revenue browser isolation company with a talented group of developers. This technology is highly effective for use cases with internet or application content should not be downloaded to the end point due to security or data protection concerns, instead it should be rendered as pixels in the browser. We plan to incorporate this technology into our extensible cloud platform. We remain focused on execution and are investing in our go to market capabilities.
We are welcoming a new VP and general manager in EMEA with substantial experience in selling to large enterprises to help us scale EMEA to the next level. We will be holding our annual Zenith Live Cloud Summit in Las Vegas on September 16th through 18th and Zenith Live Europe in Lisbon, Portugal, on September 30th through October 2nd. We will have an inspiring lineup of keynote speakers to talk about cloud transformation.
In summary, we are very pleased with our strong Q3 results and continue growth in our business. We believe we are in the early innings of a significant market opportunity to disrupt traditional network security.
I'd like to now turn over the call to Remo to walk through our financial results."
Remo Canessa,0,"Thank you, Jay.
As Jay mentioned we had a very strong Q3. Revenue for the quarter was $79.1 million, up 6% sequentially and 61% year-over-year. For the sequential comparison recall the Q2 revenue was aided by $2.3 million and non-recurring revenue from a large public sector customer deploying our solution as a private cloud. From a geographic perspective for the quarter Americas represented 51% of revenue, EMEA was 41% and APJ was 8%.
Turning to calculated billings, which we define as the change in deferred revenue for the quarter plus total revenue recognized in that quarter. Billings grew 55% year-over-year to $85 million. As a reminder our contract terms are typically one to three years, and we primarily invoice our customers one year in advance.
Excluding upfront greater than one year billings in both periods, billings growth was over 60%. Total backlog which represents remaining performance obligations was $497 million on April 30, up 63% from $305 million one year ago.
Please keep in mind that next quarter we'll have a difficult comparison with a large public sector deal that closed in Q4, 2018. This deal added $16.5 million to billings and $26 million the backlog in the July quarter, which will pose a difficult year-over-year comparison in Q4. Our strong customer retention and the ability to up-sell have resulted in a consistently high dollar based net retention rate, which was 118% for the period ended April 30. This compares to 120% a year ago and 118% last quarter.
Our increased success selling bigger deals upfront, which start with the transformation bundle and faster up sales within a year, while good for our business, can reduce our net dollar retention rate, which is calculated on a year-over-year ARR basis. Given these factors, we feel 118% is outstanding and will vary quarter to quarter. Total gross margin was 82%, up 2% sequentially and 1% year-over-year. We feel that 80% continues to be a good target in the near-to-medium term, as it is important to continue to invest in our platform to drive top line revenue growth.
Turning to operating expenses, our total operating expenses increased 18% sequentially and 38% year-over-year to $58.9 million, but decreased on a year-over-year basis to 74% of revenue. The sequential increase in operating expenses is primarily due to increased headcount, compensation related expenses, marketing expenses and professional fees. We increased our headcount in Q3 by over 110 employees and approximately 40% more in sales and marketing.
Sales and marketing increased 17% sequentially and 37% year-over-year to $38.8 million. The increase is primarily due to headcount increases, compensation related expenses and marketing expenses. R&D was up 15% sequentially going up 30% year-over-year to $12.3 million.
As we continue to invest to enhance product functionality and to offer new products. G&A increased 32% sequentially and increased 43% year-over-year to $7.8 million. The growth in G&A includes investments in building our teams, compensation-related expenses, professional fees including acquisition related expenses.
G&A expenses exclude $6.2 million in litigation related expenses including the settlement of the Finjan lawsuit. Our third quarter operating margin was a positive 8%, which compares to a negative 6% in the same quarter last year. Net income for the quarter was $7.4 million or non-GAAP earnings per share $0.05.
We ended the quarter with $353 million in cash, cash equivalents and short-term investments. Free cash flow was positive $4.6 million in the quarter, compared to positive $3.7 million for the same quarter a year ago.
Please keep in mind in the quarter, we made a payment of $7.3 million to settle the Finjan lawsuit. We had a positive impact from our ESPP program, which contributed $4 million to our free cash flow. ESPP program does not impact our overall cash balance.
Now moving on to guidance, as a reminder, these numbers are all non-GAAP, which excludes stock-based compensation expenses, amortization of intangible assets, certain litigation related expenses, and any associated tax effects.
For the fourth quarter, we expect revenue in the range of $81 million to $83 million, reflecting year-over-year growth of 44% to 48%; operating profit in the range of zero to $2 million; income taxes of $700,000, earnings per share of approximately $0.01 to $0.02, assuming $138 million common shares outstanding.
For the full-year 2019, we expect revenue in the range of $298 million to $300 million or year-over-year growth of 57% to 58%; billings in the range of $379 million to $381 million or year-over-year growth of 47% to 48%; operating profit in the range of $17 million to $19 million; income taxes of $2.2 million; and earnings per share in the range of $0.16 to $0.18, assuming approximately 136 million common shares outstanding.
The acquisition of Appsulate is expected to have little to no impact on revenue, either in Q4 or fiscal '20 as we are primarily acquiring technology in the development team. Our plan is to further develop this technology and incorporate it into our platform. The deal is all cash with the purchase price of approximate $13 million . We expect to incur approximately $7 million to $9 million in additional operating expenses in fiscal '20 related to the acquisition and to build up new services.
As reflected in our guidance, I would emphasize that our plans are not to maximize profitability or generate additional operating leverage in the near term, but to invest aggressively in our business to pursue our significant market opportunity. We plan to continue to invest in our sales organization and marketing programs as well as increased investments in our technology platform and cloud infrastructure. We're very proud of what we've achieved and look forward to building upon our opportunity.
Now I will hand the call back over to Jay."
Jay Chaudhry,0,"Thank you, Remo.
We believe we are the best choice to secure cloud transformation. The right architecture for the security cloud matters, on-premise single-tenant architecture, whether deployed as appliances or as virtual machines in a public cloud will not allow enterprises to fully realize the benefits of cloud.
These imitators cannot scale, leave gaps in security are expensive and deliver a poor user experience. With multiple tailwinds such as SaaS adoption, SD-WAN and application migration to public clouds, we believe the market is coming to us. We thank you for your interest in Zscaler and look forward to reporting on our progress in the future.
Operator, you may now open the call for questions."
Operator,1,[Operator Instructions] We'll take our first question from Brad Zelnick with Credit Suisse. Please go ahead.
Brad Zelnick,1,"Jay, Remo and Bill congrats to you and the team on another great quarter. I mean 55% billings growth, over 60% excluding upfront deals is truly impressive. My question Jay, at the risk of getting too deep into the technology and you talked about this briefly in your prepared remarks, but I'm hoping you can help us understand your differentiation versus some of the competitors that are leveraging public cloud partnerships to compete with Zscaler. Why might this make sense or not make sense and what are you seeing when you go head-to-head in proof of concept with these types of solutions? Are they able to perform and deliver on all the capabilities that you are? Thanks"
Jay Chaudhry,1,"Brad thank you. Very good questions. Appliance vendors are having to compete for the cloud using technology that it wasn't meant from the cloud. So when they are spinning these virtual machines on public cloud and claiming to have presence in 100 locations or more is totally misleading.
Let me walk through a little bit on how these public clouds work. Google, AWS, they're very large centralized data centers in about 100 locations around the world. They call them regions. That's where applications run, that's where storage and compute actually runs. 
Now in addition they have 100 some locations. Some of them call them points of presence, others call them natural edge locations and these are front doors that collect information so that the thing can be sent to the regions, which are about 20 or so. So these clouds are built to run applications as the destinations, not an in-transit cloud.
For example, take AWS data center in Ohio. It is kind of staying away from Chicago, so the traffic goes there and comes back. Speed of light is speed of light, so the performance can't be good unless you build a cloud that's distributed to handle security to enforcement hence the response time architecturally can't be good. The second part of your question was about POCs. We actually don't really do business through POC's. We are driving top down cloud transformation through the CIOs. So none of this is impacting us from POC's point of view."
