speaker,q&a,content
Corporate Participants,0,"Joon Huh - Vice President, Investor Relations
Tien Tzuo - Chief Executive Officer
Tyler Sloat - Chief Financial Officer"
Conference Call Participants,0,"Stan Zlotsky - Morgan Stanley
John DiFucci - Jefferies
Chris Merwin - Goldman Sachs
Scott Berg - Needham"
Operator,0,"Good afternoon. My name is Chris, and I will be your conference operator today. At this time, I would like to welcome everyone to the Zuora First Quarter and Fiscal 2020 Earnings Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session. [Operator instructions] Thank you.
I will now turn your call over to Joon Huh, VP of Investor Relations. You may begin your conference."
Joon Huh,0,"Thanks, Chris. Good afternoon and welcome to Zuora's first quarter fiscal 2020 earnings conference call. Joining me today are Tien Tzuo, Zuora's Chief Executive Officer; and Tyler Sloat, Zuora's Chief Financial Officer. The purpose of today's call is for us to provide some color on our first quarter results, as well as provide our financial outlook for the upcoming quarter and fiscal year 2020. Some of our discussion and responses today will include forward-looking statements. So as a reminder, our actual results could differ materially as a result of a variety of factors. You can find information regarding those factors in the earnings release we issued today, and the most recent 10-K filed with the SEC.
As we noted on our last earnings call, we adopted the new revenue recognition standard, ASC 606, as of February 1, 2019 on the full retrospective method. This means all of our net results from this quarter and going forward will be into the new accounting standard. I should also note that we provided supplemental ASC 606 slides on our Investor Relations Web site that contains updated historical financial information under ASC 606.
Finally, we'll be referring to several non-GAAP financial measures today, and reconciliations to the related GAAP measures are included in our earnings release. For a copy of our earnings release, links to our SEC filings, a replay of today's call, or to learn more about Zuora, please visit our Investor Relations Web site at investor.zuora.com.
And with that, let me turn it over to Tien."
Tien Tzuo,0,"Thanks, Joon. And welcome to our first quarter earnings call for fiscal 2020.
Our first quarter results were largely in line with our expectations, subscription revenues grew 32% and professional services increased 1% resulting in total revenue of $64.1 million for the quarter. Now as you all know, we're playing in a large secular shift towards a subscription economy, a shift that's still in the early innings and a shift that underpins our ability to achieve long-term sustainable growth. And so, we're incredibly bullish about the future. However, while we had solid Q1 financial results, we did have some challenges which are impacting our Q2 and our full year outlook. So, let me address this upfront.
I will structure my comments today with the following. I'll start by talking through the two execution headwinds that we saw in the quarter. I'll cover the specific actions we are taking. Later I'll share some of the signs we're seeing that continue to support the thesis of the long-term growth of the subscription economy. And I'll close with my thoughts on our products and where we are headed.
First, based on what I saw in Q1, we need to improve our sales execution. As you know from our recent calls, Global 2000 companies have been an important source of our recent growth. Companies like Caterpillar, Ford and Schneider Electric. And so, we've been expanding our strategic sales teams and have hired a number of talented sales people over the past year. Or seen in Q1 is that the newer reps were less than half as productive than our more experienced reps. We're finding that we need to improve the support of our new reps with training and experienced oversight to help them ramp and close new businesses.
Second, part of our ability to grow within our installed base has been predicated on our ability to cross-sell our two flagship products, Billing and RevPro. However, the product integration for these two products is taking longer than expected. What we're seeing strong demand from our billing customers to implement RevPro, the technical work to complete the integration is taking time as these are complex mission critical systems. And so, for our existing billing customers, we've recently purchased RevPro. We've slowed down the RevPro implementations this past quarter given the product integration delay.
We're continuing to acquire and deploy new customers for each product on a standalone basis, but naturally this delay has slowed down our cross-sell motion. This resulted in lower professional services and subscription revenue in the quarter as well as tempered expectations going forward. So, what are we doing to address this?
On the sales execution side, we are making three key changes that helped create the right infrastructure, process, an organization to position us for the next stage of growth. First, we've realigned our strategic accounts organization and placed many of the newer reps under our more experienced managers, so they can get mentoring and provide oversight to more effectively close business. And second, we're revamping our pipeline process. We're shifting from an evangelical sales motion that worked in our earlier years to a more focused approach over a more developed market.
We've also added folks in sales operations, field enablement and demand generation have already seen the next level of skill. Lastly, we announced a change in our sales leadership. Over the last few years, Mark Diouane has done an incredible job growing our business worldwide.
Let me shift to a more analytical go-to-market approach. Mark and I both agree that it's a good time to find a new leader who can scale the business to next level and capture the market growth, we continue to see. Mark will stay on for the near term as an advisor as we search for a replacement.
Like many enterprise software companies focused on the upper end of the market. We've been able to make our bookings numbers with an all hands-on deck approach towards the end of our quarters. This did not happen in Q1 and we recognized that this is not the way to build a sustainable growing enterprise software company. We're committed to building a go-to-market process that is more predictable and able to deliver that consistent performance that we expect.
Now these changes in the sales organization are meaningful. So, we'll take time to become effective, but the right changes for the business and we believe this will get us back onto our expected long-term growth trajectory. Second, on a product integration side, we need a course correction in our approach and I'm confident that we're on the right track. The integration of our two flagship products is critically important to us and our customer success. So, I'm personally spending a lot of my time here to drive this to completion. We expect this to be a short-term delay and to have this resolved by the end of Q3. At the same time, we're continuing to innovate on our products and I will talk more about that later.
Now despite this, we did see a lot of positive momentum in these last three months especially in the industries outside of technology. For example, in the automobile industry, we recently signed one of the largest auto distributors in Chile. We recently signed a second of the big four GSIs making them both a customer and a partner. We signed one of the world's largest producers of wind and solar energy and now count more than 10 utility companies around the world. We signed the largest financial publisher in Belgium as media continues to be a big growth driver for us globally.
When you look at these trends, it's hard for me not to be as optimistic as ever about our future. As I said many times before, we're in the early stages of the shift to subscription so we consider ourselves to be a portfolio play for the entire subscription economy. And like a lot of other transformational shifts we've seen before, for mainframes to client servers as an example or on premise to the cloud, this is a shift that will ripple through every industry.
Sooner or later, we believe that every company will have to contend with a shift to subscriptions. Why? Because this is a shift that's very much driven by consumers. In a recent survey conducted by the Harris Poll, they found the consumers around the world prefer access to services over owning products. Consumers have more subscriptions today than ever and think they'll add even more in the future. The survey shows that over 70% of adults across 12 countries have subscription services and 74% can see subscribing to even more in the future. And so, industry after industry what we are starting to see is a pattern where unit sales are declining. The consumption is bulk. Strong sales are declining, but hours listened to music is up. Game sales are down but hours played is up and even cars, even autos. Car sales are down worldwide including in China but miles driven continues to go up. This is what we see as ownership is on his way out and more and more companies are looking for ways to tie their businesses to this growth in subscriptions. So we believe the market opportunity remains strong with broad based demand. Companies are looking to establish direct relationships with their customers and then turn them into subscribers. And this is why the market continues to come to us for a new set of tools built around enabling these services versus selling products.
And quite frankly, we are just getting started because what we do today is billings, collections revenue recognitions. We're often compared to an ERP system but to better understand where we are going, let's look at how a telecom company works. Now a telco company doesn't make you buy switches or towers or satellites that wouldn't make any sense. Instead they use these physical assets and transform them into offering a service that anyone can tap into. They give you access to their infrastructure and then you use that to make calls or access data and you're charged according to how much you've used.
Now telcos have a system for handling all this. They call it a BSS/OSS system. The BSS part handles all the service monetization activities like billing and revenue recognition. And the OSS part, you know, all the service orchestrations in the background. Now these guys have spent 50, 60, 70 years hard coding this platform. The problem is it only works for them. So, what about everybody else? What about these car companies? What about retailers? What about manufacturers? They all want to turn into services companies they don't have the right platforms in place. ERP is about tracking assets. The subscription economy is about turning assets into services. So, this is the direction we're headed with our products. We're building a horizontal SaaS platform that can first adapt to any monetization model. Second also orchestrate any subscription service for any company in any industry around the world. And we'll be talking more about this at our subscribers’ conference or annual user conference next week. I hope to see you there.
So, to sum up, we are building products and addressing growing market demand for an end-to-end subscription management solution. We're playing in a big transformational shift that's moving in our direction. We're working on resolving the execution challenges we faced in Q1 and we feel really good about our future.
With that, let me turn it over to Tyler."
Tyler Sloat,0,"Thanks Tien.
Let me start today by reviewing our key operating metrics before moving to our financial results. I will then close with our outlook for the second quarter and the remainder of the year.
Starting with our key operating metrics. We ended the quarter with 546 customers over 100k thousand pay-TV representing 24% growth versus the prior year. We saw solid growth in this number, but the field execution hurdles that Tien mentioned earlier clearly impacted our rate in signing up new customers. This group of customers continues to represent the vast majority of our business, represent over 85% of our ARR.
Another key metric dollar based retention ended at 110% which is at the midpoint of our long-term range that we talk about. While this is a healthy level for us dollar-based retention was impacted by the property integration delay that slowed down across our motion in the quarter. Given some of the seasonality in this metric that we've talked about previously, we can expect to see quarterly movements throughout the year.
Turning to transaction volume, this continues to be the biggest driver of our upsell motion with our customers. We processed over 9.7 billion in transaction volume through our Billing platform in Q1 resulting in 34% year-over-year growth. Now, keep in mind this metric can fluctuate throughout the year as customers may have seasonality in their business or new customers may move over meaningful volume in a given quarter. As you know this represents the aggregate usage of our Billing system and this is how we grow alongside our customers.
Now, we've heard a number of questions about how transaction volume growth translates to our revenue growth. So, let me walk you through that.
Our customers buy annual blocks of transaction volume based on their expected $1 billion volume over the next twelve months. We recognize those volume block purchases a subscription revenue ratably over the 12-month period following the purchase. But the actual transaction volume flowing through our system may lag or may not be evenly distributed over the 12-month period. So, while the transaction volume, quarterly revenue may be consistent for specific customer, the reported transaction volume for that customer can be uneven each quarter. As such it's also helpful to look at this metric on a trailing 12-month basis which results in 42% growth.
I'll talk about how all of these operating metrics translate to our financial results. As a reminder, we adopted a new revenue standard ASC 606 as of February 1. So, all of our financial numbers are under the new standard including prior year numbers for comparative purposes and forward-looking guidance. From a high-level perspective, there was minimal impact to total revenue with a small negative impact of subscription revenue offset mostly by higher services revenue in the prior year numbers as a result of adopting ASC 606.
There was an improvement in operating loss resulting from lower sales commission expenses and there is no difference in our cash or cash flow between the two accounting standards. As Joon mentioned at the beginning of the call, additional details related to the financial impact of ASC 606 can be found in the supplemental presentation on our IR Web site.
We saw a healthy subscription revenue growth of 32% to 47.3 million in the quarter. Professional services grew 1%, as this was impacted by the new business and product integration challenges mentioned early in the call. Additionally, we add $1.4 million of professional services in Q1 over last year related to customers upgrading from ASC 605 to ASC 606, compared to only 300,000 in Q1 of this year. This further impacted the year-over-year professional services growth rate. All this led to total revenue $64.1 million in Q1 in line with the midpoint of our guidance.
Turning to margins, we continue to have steady performance in our non-GAAP subscription gross margin of 78%. Non-GAAP professional services gross margin was lower in the quarter due to lower services revenue, seasonality in the business and fewer revenue days in Q1 compared to other quarters. As we've said previously, our target models to run the services organization on a roughly non-GAAP breakeven basis. We expect to see improvement in these margins over the course of the year and reach quarterly breakeven over the next few quarters.
In Q1, our non-GAAP operating margin was negative 19% coming in slightly ahead of our expectations. This performance was partly driven by timing of expenses, spending was delayed into future quarters this year. As many of you know, we measure ourselves efficiency with our GEI or Growth Efficiency Index. It is calculated by dividing our trailing 12 months non-GAAP sales and marketing expense of 91.2 million by the year-over-year increase in trailing 12 months subscription revenue of 44 million, the lower the number the better. This means we're spending less to acquire each incremental dollar of subscription revenue.
I should also point out that this number skews higher under ASC 606 as both subscription revenue and sales and marketing costs through sales commissions amortization are impacted by the new reporting standard. With that in mind, our GEI for Q1 was 2.1, similar to our Q4 efficiency level. We've made improvements to our GEI over the years and our goal is to maintain or improve the GEI while supporting our long-term growth. But this metric may seem near term fluctuations going forward given the changes to our go-to-market approach and the seasonality of our business.
Now moving to Billings growth. We generally focus on the Billings growth over a longer period of time because there's a better reflection of the overall business. Quarterly billings can fluctuate and we saw some of this in Q1.
Calculated total billings was 65.6 million and calculated subscription billings was 48.8 million for the quarter. We mentioned on the last call that we expect subscription billings growth to approach 30% in Q1, but in fact calculate subscription billings growth came in higher 32% despite our challenges in the quarter. This is primarily driven by higher early renewal activity. We saw this in Q3 of last year which resulted in lower billings in Q4. Similarly, we expect that the early renewal activity in Q1 will reduce billings growth in Q2. And we expect that subscription billings growth rate to be lower than the subscription revenue growth rate.
We also saw higher annual mix in billing terms along with ASC 606 adjustments that contributed to a higher quarterly balanced growth rate.
Going forward, we expect to see continued quarterly fluctuations in billings growth. For the full year fiscal ’20, we expect to track similarly to our subscription revenue growth for the year. Over time, we expect 12-month trailing subscription billings to grow similarly with our long-term revenue growth rates.
Turning to cash flow, Q1 free cash flow was negative 3.8 million as we benefited from strong collection activity and some spending delays into future quarters. As a reminder, we signed a new lease agreement to move our headquarters this year and most of those costs are still to come in the second half of the year. As a result, we expect free cash flow for the year to be approximately negative $40 million in fiscal ’20, a $2 million improvement from our prior estimate.
We ended the quarter with 179 million in cash and cash equivalents remain fully funded against our current operating plan. One other IM to note for your models, our fully diluted share count as of April 30 was 125 million using the treasury stock method.
Before moving to our guidance numbers a few quick comments. First, as we talked about earlier in the call, our Q1 results were largely in line with guidance. However, our self-execution and product integration hurdles in the quarter our impacting our outlook going forward. Part of the impact is less predictable. So, we're providing a wider range for the rest of the year.
We expect it to take a few quarters to realize the benefits of the changes to our sales organization and processes, while the product efforts should be completed by the end of Q3. We're confident these are the right changes to help our company scale and get us back on track by the end of the year.
And lastly, we're optimistic about the sustained long-term growth opportunity of the subscription economy. We believe we're the best positioned company to capture that growth over time.
Now, let me close out with our guidance numbers as a reminder that these numbers are under ASC 606. For Q2, we are currently expecting total revenue of $66 million to $68 million. Subscription revenue $48.5 million to $50 million; non-GAAP operating loss of $15.5 million to $14 million; and non-GAAP net loss per share of $0.15 to $0.13 assuming weighted shares outstanding of approximately 109.9 million.
For the full year fiscal ’20, we are currently expecting total revenue of 268 million to 278 million; subscription revenue of 200 million to 206 million, which represents a 3% decrease at the midpoint from our prior estimates. Non-GAAP operating loss of forty $9 million to 45 million; and non-GAAP net loss per share of $0.44 to $0.40 assuming weighted shares outstanding approximately 110.5.
With that, we're happy to take your questions. Operator?"
Operator,1,[Operator Instructions] Your first question comes from Stan Zlotsky with Morgan Stanley. Your line is open.
Stan Zlotsky,1,"All right. Thank you so much for taking my question. So, maybe just digging into the sales changes that you guys are making now. Is it something specific that happened in Q1 that that made you kind of sit up and realize, “Hey, you know, we need to make changes now,” or is this something that's been brewing and you decide to, if you find okay. And you let's rip off the band, let's make these changes now before things potentially getting worse?"
Tien Tzuo,1,"Yes. If I were to simplify down, right, we're an enterprise software company. Our deal sizes, we sell to the upper end of the market. And I would say there is a certain amount of thinking that we could power our way through our quarters through sheer brute force. And so, I think Stan, what we just saw is, is that eventually catches up to you. And for us we have a incredible opportunity here with a subscription economy to build a billion dollar or a multi-billion dollar company and you don't just do that through brute force. And so, we've got to move towards a more predictable sales model and we have started hiring a lot of folks that have seen the next level of scale. We talked about the new folks that we've hired into the operations team, the enablement team, the management team. But what we saw in Q1 was a strong desire in me and the executive team here to accelerate that change."
Stan Zlotsky,1,"Got it. That makes sense. And I think that the one metric that really stands out to a lot, people is really the transaction volume, right? The 34% growth that you saw in the quarter and 42% in the trailing 12-month basis. Is that what investors as you're going through a transition, this is what investors should really kind of hang their head on, it's like, “Hey, this is the opportunity, right.” This is the big, the growth in the underlying subscriptions that's continuing to increase and thereby, this is the opportunity that these guys are executing to."
